B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
S1056	0.2597	0.4147	0.1211	0.0415	0.004	0.159
S10563	0.1726	0.3843	0.1686	0.0452	0.0067	0.2226
S10574	0.1999	0.383	0.2075	0.0431	0.0038	0.1627
S10576	0.2273	0.3157	0.123	0.0653	0.012	0.2567
S10578	0.2104	0.245	0.2086	0.0917	0.0116	0.2326
S10579	0.1927	0.3329	0.1742	0.061	0.0086	0.2306
S10582	0.214	0.3177	0.1771	0.0522	0.005	0.2341
S1059	0.2032	0.3381	0.234	0.0585	0.0015	0.1647
S10599	0.2762	0.2955	0.127	0.0611	0.0075	0.2327
S10611	0.2179	0.3739	0.1142	0.0709	0.0048	0.2182
S10614	0.195	0.3812	0.0962	0.0675	0.0025	0.2576
S10624	0.3327	0.333	0.0862	0.0478	0.0056	0.1947
S10632	0.1746	0.3474	0.1701	0.0771	0.0131	0.2176
S10634	0.2394	0.3767	0.1499	0.0519	0.0062	0.1759
S10638	0.2133	0.4251	0.0795	0.0427	0.0052	0.2342
S10644	0.206	0.3966	0.2079	0.0349	0.0056	0.149
S10649	0.2246	0.2997	0.1372	0.082	0.005	0.2515
S10652	0.2474	0.2646	0.1924	0.065	0.0055	0.2252
S10654	0.2137	0.2579	0.3192	0.0462	0.0043	0.1588
S10655	0.206	0.3768	0.1734	0.0568	0.0053	0.1817
S10656	0.1636	0.2882	0.3704	0.0408	0.0017	0.1353
S10657	0.2193	0.4083	0.1146	0.07	0.0122	0.1756
S10658	0.2189	0.3169	0.2273	0.0496	0.0033	0.184
S10660	0.1709	0.4061	0.2779	0.0393	0.0061	0.0996
S10661	0.2475	0.4055	0.1488	0.0425	0.0054	0.1503
S10676	0.35	0.1837	0.169	0.0582	0.0026	0.2365
S1068	0.2312	0.4019	0.1361	0.0415	0.0035	0.1858
S10681	0.2108	0.2847	0.2324	0.0642	0.0112	0.1967
S10686	0.2209	0.3363	0.1414	0.0649	0.0137	0.2228
S10688	0.1674	0.47	0.1406	0.048	0.0026	0.1715
S10690	0.1581	0.3553	0.2353	0.0503	0.0118	0.1892
S10698	0.192	0.4008	0.2096	0.0443	0.0045	0.1488
S107	0.1501	0.4143	0.2394	0.0467	0.0057	0.1438
S10703	0.1976	0.3598	0.2505	0.0423	0.0058	0.1439
S10726	0.218	0.4435	0.1252	0.051	0.0092	0.1531
S10729	0.1783	0.3893	0.1303	0.075	0.008	0.2191
S10733	0.2345	0.3213	0.1994	0.0498	0.0044	0.1908
S10734	0.2167	0.3748	0.1968	0.0442	0.0097	0.1577
S10735	0.2657	0.3716	0.1438	0.0488	0.0074	0.1626
S10740	0.1886	0.4452	0.0535	0.0487	0.0078	0.2562
S10745	0.2602	0.2416	0.1369	0.0701	0.003	0.2882
S10748	0.1752	0.4674	0.1228	0.0532	0.0089	0.1725
S10753	0.2148	0.4339	0.0941	0.0433	0.003	0.2109
S10756	0.2639	0.3266	0.1869	0.0474	0.0042	0.1709
S10757	0.189	0.5108	0.1794	0.0271	0.0034	0.0903
S1076	0.2109	0.399	0.1477	0.0443	0.0042	0.1938
S10764	0.1777	0.41	0.1471	0.0699	0.0125	0.1828
S10767	0.1893	0.3246	0.3244	0.0476	0.0075	0.1067
S10776	0.2052	0.3501	0.1338	0.0496	0.0018	0.2595
S10778	0.2096	0.3796	0.135	0.0486	0.0031	0.2241
S10784	0.2012	0.375	0.0744	0.0658	0.0019	0.2817
S10787	0.212	0.3937	0.1789	0.0528	0.0083	0.1543
S10800	0.4236	0.2705	0.0973	0.0463	0.0039	0.1583
S10805	0.2122	0.3556	0.1188	0.0688	0.0093	0.2353
S10813	0.2088	0.2914	0.2216	0.0492	0.0024	0.2266
S10814	0.1855	0.2947	0.2103	0.0921	0.0102	0.2071
S10815	0.1967	0.3711	0.1846	0.0472	0.005	0.1954
S10817	0.1651	0.4051	0.2047	0.0578	0.0076	0.1597
S1083	0.2329	0.3731	0.1763	0.0437	0.0032	0.1708
S10835	0.2434	0.3053	0.1251	0.0606	0.0071	0.2585
S10838	0.2149	0.2892	0.2368	0.0565	0.006	0.1966
S10844	0.2576	0.3421	0.1799	0.0582	0.0064	0.1556
S10845	0.2276	0.3034	0.1413	0.0637	0.0071	0.2569
S10846	0.2756	0.363	0.2206	0.0372	0.0031	0.1005
S10853	0.2314	0.235	0.1585	0.088	0.013	0.2741
S10854	0.2594	0.4246	0.1408	0.0377	0.0042	0.1332
S10865	0.1764	0.3592	0.2092	0.0471	0.0074	0.2006
S10866	0.1777	0.2472	0.3202	0.0534	0.004	0.1976
S10869	0.2107	0.2521	0.1807	0.058	0.003	0.2954
S10873	0.1819	0.3789	0.1508	0.0595	0.007	0.222
S10876	0.2175	0.3544	0.2127	0.0374	0.004	0.174
S10883	0.2603	0.2921	0.1547	0.0699	0.0043	0.2187
S10885	0.2342	0.3664	0.114	0.0568	0.0118	0.217
S10893	0.2298	0.3059	0.1504	0.0623	0.0082	0.2434
S10895	0.1985	0.3021	0.2002	0.0578	0.0058	0.2356
S10902	0.2523	0.3243	0.1815	0.0658	0.0085	0.1676
S10903	0.1457	0.2692	0.3178	0.0566	0.011	0.1997
S1092	0.2061	0.3691	0.0994	0.0625	0.0043	0.2586
S10925	0.281	0.3197	0.1207	0.0602	0.0069	0.2116
S10927	0.1792	0.4618	0.0881	0.0508	0.0041	0.2161
S10936	0.1943	0.3384	0.2723	0.0506	0.0021	0.1422
S10945	0.2385	0.3098	0.1819	0.048	0.0023	0.2196
S10947	0.1598	0.4156	0.1575	0.0777	0.0202	0.1691
S10949	0.1841	0.3757	0.2333	0.0532	0.0075	0.1462
S1095	0.1514	0.3892	0.1436	0.0774	0.0151	0.2233
S10961	0.1936	0.3106	0.1921	0.0741	0.007	0.2227
S10969	0.2101	0.3486	0.2313	0.0474	0.0032	0.1594
S10972	0.2488	0.2845	0.2307	0.053	0.0046	0.1785
S10973	0.2454	0.3166	0.13	0.0539	0.0051	0.2489
S10978	0.1741	0.3238	0.2402	0.0529	0.0051	0.2039
S10979	0.22	0.4006	0.1504	0.0469	0.0049	0.1772
S10986	0.179	0.4369	0.1021	0.0586	0.0127	0.2108
S10989	0.199	0.4052	0.1626	0.05	0.0069	0.1764
S10995	0.2349	0.3333	0.1937	0.0426	0.0051	0.1905
S11005	0.1839	0.3375	0.2309	0.0619	0.0094	0.1764
S11008	0.2466	0.3591	0.1304	0.0643	0.0073	0.1923
S11010	0.186	0.3609	0.2296	0.0622	0.0061	0.1552
S11013	0.1704	0.3993	0.1976	0.0533	0.0017	0.1776
S11016	0.2307	0.2886	0.2608	0.046	0.0041	0.1699
S11017	0.2476	0.3427	0.128	0.0469	0.0068	0.228
S11020	0.1992	0.3321	0.2346	0.0351	0.0066	0.1926
S11027	0.2344	0.2663	0.1981	0.0538	0.0059	0.2416
S11035	0.2568	0.2689	0.1861	0.0683	0.0101	0.2098
S11041	0.2013	0.4141	0.148	0.0495	0.0093	0.1778
S1106	0.1912	0.3457	0.2228	0.0482	0.0046	0.1875
S11071	0.1944	0.3036	0.3757	0.0322	0.0045	0.0896
S11076	0.1625	0.4001	0.186	0.0661	0.0046	0.1807
S11078	0.2186	0.3604	0.137	0.049	0.0071	0.2279
S11081	0.1863	0.3652	0.1994	0.0564	0.0036	0.1891
S11086	0.1684	0.3658	0.1988	0.0617	0.0059	0.1994
S1109	0.2626	0.2442	0.21	0.051	0.004	0.2282
S11096	0.1803	0.3217	0.1602	0.0591	0.0059	0.2728
S11100	0.2058	0.5084	0.0529	0.0456	0.0069	0.1805
