ID,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
S10496,8.53994,7.943958,8.398696,8.312312,9.867358,8.261044,8.817754,8.153666
S10510,7.864638,7.63886,8.097236,7.77214,9.6467,7.80876,8.420108,7.765454
S10513,8.151222,7.955688,8.559844,8.276922,9.90756,8.084286,8.696734,8.101276
S10516,8.183316,7.873618,8.438844,8.174466,9.823554,7.950012,8.56508,7.958732
S10534,8.324056,7.853158,8.419808,8.033928,9.729962,8.051006,8.754442,7.991406
S10535,8.159868,7.917302,8.250362,7.9844,9.66795,8.181816,8.886744,8.050856
S10537,8.399956,8.158316,8.725516,8.493648,10.03157,8.295364,8.853226,8.199378
S1054,8.00884,7.745018,8.321276,8.09137,9.692608,7.963718,8.602048,8.140198
S10543,8.300938,7.950438,8.370866,8.345558,9.963044,8.039478,8.661036,8.13831
S10546,8.031954,7.687888,8.161572,8.132152,9.75338,7.9607,8.61835,7.90368
S1055,8.044558,7.739004,8.461698,8.083374,10.0634,7.894822,8.556004,7.970762
S10551,8.062692,7.858412,8.465622,8.184532,9.843946,7.922348,8.66825,7.961024
S10552,7.988184,7.721476,8.362998,8.086214,9.903286,7.732028,8.389048,7.89296
S10555,8.426668,8.243618,8.530058,8.646548,10.031662,8.485366,9.087342,8.478656
S10559,8.176944,7.840306,8.462322,8.127138,9.91866,7.98231,8.64898,7.966492
S1056,8.348348,8.06876,8.357422,8.203226,9.857202,8.23819,8.970238,8.176136
S10563,8.254502,8.115558,8.633294,8.490514,10.14936,8.280136,8.856134,8.23852
S10574,8.417452,7.937904,8.410956,8.300268,9.895616,8.190336,8.804254,8.198958
S10576,7.97435,7.791516,8.201552,7.964974,9.94272,7.770576,8.714106,7.862374
S10578,7.996656,7.92645,8.457918,8.216528,10.0111,8.092864,8.776268,8.03414
S10579,8.255146,7.86638,8.2184,8.15716,10.063282,8.02598,8.599406,8.002786
S10582,8.338976,7.934728,8.446958,8.282708,10.06763,8.100098,8.805438,8.101588
S1059,8.392512,8.147322,8.539954,8.441778,10.021422,8.299066,8.876438,8.23552
S10599,8.358952,8.201954,8.61844,8.37015,10.240186,8.388608,9.01223,8.225294
S10611,8.25245,7.82022,8.373384,8.182396,9.959334,8.03193,8.668926,8.046898
S10614,8.194092,7.982886,8.54114,8.284058,10.03165,8.0947,8.71648,8.081506
S10624,8.387842,7.903032,8.378918,8.092842,9.741976,7.926312,8.573158,8.05574
S10632,7.842122,7.726362,8.137578,7.880412,9.630112,7.636226,8.551138,7.797332
S10634,8.26866,7.863802,8.208074,8.016386,9.843626,7.995504,8.663306,7.970388
S10638,8.297466,7.900616,8.670626,8.186516,9.985468,8.071536,8.191794,8.231688
S10644,8.244812,8.054328,8.521838,8.361748,9.91568,8.30373,8.92185,8.205766
S10649,8.29155,7.69183,8.277734,8.117622,10.170018,7.928774,8.456206,7.982626
S10652,8.14632,7.830652,8.275768,8.201066,9.801266,7.863686,8.447512,7.913886
S10654,8.263732,7.904836,8.43608,8.264954,9.870872,8.247442,8.724276,8.12371
S10655,8.205622,7.817332,8.223716,8.09122,9.75296,8.002608,8.719422,8.051592
S10656,8.519338,8.112794,8.548378,8.647792,10.112216,8.450584,8.937988,8.395614
S10657,8.009498,8.065572,8.48105,8.29091,9.961892,8.052174,8.565912,8.15842
S10658,8.502044,8.08906,8.469892,8.39686,10.142292,8.346748,8.900202,8.214918
S10660,8.00125,7.799446,8.191548,8.000452,9.429546,7.960568,8.785128,8.105038
S10661,8.370946,7.935488,8.301512,8.149262,9.848118,8.083286,8.747978,8.105018
S10676,8.537012,7.91946,8.559964,8.256536,10.02489,8.108116,8.630276,8.175578
S1068,8.382452,7.937878,8.415566,8.217598,9.83322,8.112642,8.750294,8.14858
S10681,7.76794,7.663526,8.010778,7.767822,9.802688,7.783648,8.350942,7.795286
S10686,7.967148,7.64111,8.2376,7.930136,9.859334,7.78731,8.630778,7.823206
S10688,8.44733,8.054084,8.63249,8.370046,9.918108,8.335866,8.506406,8.347634
S10690,7.993432,7.858358,8.448498,8.220192,9.72418,7.8962,8.433698,8.001626
S10698,8.24318,7.875646,8.358592,8.175214,9.742916,8.102362,8.847392,8.088092
S107,8.245778,8.103086,8.404772,8.361436,10.005094,8.316752,9.033322,8.325048
S10703,8.339488,7.891802,8.319616,8.255588,9.834634,8.21158,8.82476,8.127718
S10726,8.224528,7.941864,8.352662,8.08301,9.925698,8.178836,8.81374,8.106684
S10729,8.048936,8.058276,8.50801,8.158198,9.766538,8.10461,8.7853,8.140856
S10733,8.360882,7.991066,8.514162,8.330826,10.062474,8.315652,8.872462,8.18927
S10734,7.937874,8.078828,8.460172,8.28018,9.792734,8.330078,9.056894,8.068912
S10735,8.276656,8.012486,8.34533,8.183636,9.869106,8.078258,8.712962,8.11375
S10740,8.133282,8.223732,8.781516,8.511676,10.066728,8.332678,8.93612,8.2212
S10745,8.34736,7.881756,8.591346,8.250232,10.109064,7.96934,8.564996,8.01505
S10748,8.164078,7.965332,8.396278,8.158154,9.793552,7.966374,8.56813,8.046456
S10753,8.455052,8.28401,8.954344,8.64399,10.128188,8.464676,9.000642,8.363314
S10756,8.378536,7.956642,8.485768,8.299826,9.918914,8.26053,8.849924,8.208574
S10757,8.366388,8.067496,8.41152,8.295854,9.730726,8.320286,8.683474,8.300746
S1076,8.30582,8.038672,8.554404,8.478428,9.950704,8.264906,8.811406,8.137668
S10764,7.996532,7.890038,8.377084,8.167098,9.813612,7.923236,8.632272,7.999522
S10767,8.201282,8.128312,8.354806,8.38175,9.847366,8.28436,8.978544,8.28855
S10776,8.37109,7.972586,8.583736,8.338082,10.0469,8.10585,8.664428,8.07933
S10778,8.318794,8.136032,8.577918,8.339842,10.21828,8.295758,8.91506,8.215522
S10784,8.265542,8.0145,8.57107,8.335154,10.063752,7.990968,8.573066,7.981008
S10787,8.134034,7.922212,8.262648,8.202428,9.790476,8.03908,8.81607,8.036498
S10800,8.59712,8.041996,8.440018,8.297764,9.871328,8.10775,8.709058,8.070368
S10805,8.203314,7.98776,8.50102,8.315334,9.94929,8.039564,8.627008,8.026972
S10813,8.271048,7.894674,8.411394,8.272864,9.971176,8.063756,8.590104,8.048166
S10814,7.667146,7.48578,7.91028,7.621922,9.620298,7.542878,8.247874,7.635596
S10815,8.31509,7.893208,8.309614,8.2904,10.006622,8.084322,8.721958,8.069502
S10817,7.834218,7.909338,8.135706,8.228792,9.631814,7.893144,8.82425,7.976028
S1083,8.509462,7.905136,8.475084,8.291202,9.910292,8.187816,8.730416,8.162062
S10835,8.18969,7.895776,8.549074,8.098848,9.798458,7.970952,8.685966,8.177664
S10838,8.284476,7.796758,8.397002,8.191602,10.049874,8.14821,8.758592,8.139684
S10844,8.189172,7.890446,8.178376,8.10157,9.795442,7.992736,8.768798,7.994642
S10845,8.33074,7.856884,8.437432,8.228392,9.996116,8.046906,8.541464,8.073712
S10846,8.37968,8.200362,8.403944,8.364836,9.79456,8.320982,9.093934,8.19665
S10853,7.962884,7.818148,8.350682,8.005942,10.08395,7.936436,8.833524,7.91617
S10854,8.431234,7.8887,8.474318,8.185032,9.793252,8.192778,8.71585,8.13132
S10865,8.214526,7.955306,8.575792,8.422192,9.986108,8.132242,8.653168,8.14439
S10866,8.211738,8.04981,8.467598,8.23591,9.97739,8.22917,8.851636,8.092368
S10869,8.272438,7.983846,8.701438,8.426604,10.262094,8.177354,8.57887,8.161118
S10873,8.186998,7.996314,8.446582,8.17748,9.86637,8.012908,8.599438,8.101974
S10876,8.488764,8.063588,8.550452,8.364042,9.96637,8.306422,9.074842,8.261852
S10883,8.133178,7.925226,8.53156,8.08594,9.974158,8.021906,8.754462,8.058762
S10885,8.1558,8.14228,8.537466,8.27869,10.076384,8.24899,9.057224,8.148462
S10893,8.135058,7.856966,8.42331,8.12683,10.124868,8.100864,8.789822,8.008062
S10895,8.257572,7.949576,8.521046,8.395846,9.978174,8.10266,8.6777,8.11967
S10902,8.143406,7.844534,8.189602,8.070502,9.882638,8.103042,8.860296,8.11201
S10903,8.000068,8.27555,8.487852,8.36277,10.107626,8.346248,9.182506,8.262622
S1092,8.332596,7.830518,8.436814,8.106096,10.071994,8.054652,8.613216,8.011794
S10925,8.25618,7.79765,8.329818,8.061696,9.85591,7.974104,8.640276,7.996664
S10927,8.288012,8.150996,8.745654,8.451546,10.148332,8.312882,8.838588,8.25435
S10936,8.395342,8.0808,8.56004,8.504032,9.916036,8.375384,8.933638,8.36143
S10945,8.396632,8.138096,8.786348,8.525986,10.117428,8.351864,8.85912,8.239134
S10947,7.788636,7.628884,8.026978,7.740442,9.603284,7.705648,8.52165,7.814754
S10949,8.152922,8.050224,8.250494,8.170204,9.917966,8.292996,9.089254,8.164048
S1095,7.845116,7.69271,8.239016,8.001396,9.739124,7.663772,8.273774,7.854944
S10961,8.190682,7.929114,8.429552,8.266056,10.017728,8.056464,8.570832,8.201258
S10969,8.305698,7.91276,8.400022,8.284574,9.873026,8.242898,8.695908,8.138722
S10972,8.306204,8.006426,8.48846,8.305718,9.837212,8.078634,8.660526,8.099334
S10973,8.35196,7.964426,8.636126,8.500736,10.222416,8.042852,8.59624,8.16669
S10978,8.345132,7.854056,8.463406,8.470628,10.15584,8.151918,8.65951,8.20937
S10979,8.30302,8.00292,8.435256,8.403366,9.933136,8.174146,8.720514,8.227642
S10986,8.01135,7.891278,8.360818,8.11203,9.854114,7.927438,8.769514,8.005476
S10989,8.17531,7.767992,8.23611,8.044048,9.788374,8.084166,8.60902,8.026072
S10995,8.452984,7.977856,8.559822,8.343976,10.0751,8.28456,8.894226,8.273244
S11005,8.131818,8.096902,8.42037,8.292784,9.908232,8.2853,9.072212,8.170084
S11008,8.295608,7.837018,8.411322,8.213426,10.007568,7.995562,8.638578,7.982478
S11010,7.696016,7.290734,7.686078,7.416284,9.308602,7.525068,8.04242,7.571142
S11013,8.230028,7.939406,8.448552,8.26528,9.780174,8.13393,8.733744,8.144312
S11016,8.31469,8.114856,8.663012,8.373894,9.98013,8.393176,9.086206,8.28647
S11017,8.294536,8.14532,8.621408,8.43472,10.028912,8.237354,8.839256,8.23065
S11020,8.24571,8.199408,8.799078,8.655356,10.254128,8.4253,8.933002,8.211002
S11027,8.298926,8.004706,8.597604,8.483452,10.2332,8.237866,8.876474,8.169878
S11035,8.07381,7.766742,8.221906,7.992402,10.036116,8.02729,8.78606,7.981982
S11041,8.178258,7.682284,8.207856,7.982554,9.730198,7.876766,8.51532,7.96244
S1106,8.350636,7.94971,8.45288,8.231776,10.043906,8.167878,8.758054,8.219034
S11071,8.342004,8.20617,8.540582,8.569086,9.813154,8.511642,9.323076,8.38495
S11076,8.150142,7.822558,8.216446,8.119002,9.746162,7.936938,8.709522,8.057924
S11078,8.230502,7.991482,8.448582,8.304126,10.065216,8.097336,8.798552,8.054724
S11081,8.212916,8.163294,8.491442,8.383332,9.925974,8.200746,8.889136,8.17731
S11086,8.037624,7.907354,8.27609,8.214254,9.879508,8.01347,8.74905,8.023732
S1109,8.465278,8.405492,8.948144,8.73806,10.231576,8.585592,9.098472,8.517934
S11096,8.255346,8.103624,8.729076,8.451124,10.260702,8.290588,8.87424,8.239882
S11100,8.140054,7.857596,8.290606,8.113556,9.803934,7.909334,8.472896,7.987912
S11107,8.215992,7.990254,8.387574,8.248356,10.086048,8.185564,8.801632,8.06311
S11109,8.116862,7.723488,8.326118,8.103676,9.937058,7.805466,8.392752,7.936898
S1111,8.2431,8.030454,8.459812,8.281452,9.817548,8.37821,9.052642,8.300344
S11119,8.133068,7.737044,8.321506,8.084746,9.9558,7.920652,8.579334,8.046392
S11127,8.178156,8.187068,8.438356,8.440092,10.003688,8.45751,9.309002,8.334642
S11136,7.870906,7.817978,8.118458,8.01556,9.690648,7.849908,8.624234,7.893968
S11147,8.20805,7.822108,8.372204,8.113084,10.025638,8.098154,8.66667,8.041174
S11150,8.229594,7.769458,8.356708,8.195666,10.234398,8.036184,8.64946,8.042932
S11152,8.20293,7.695354,8.38561,8.097094,9.92074,7.901192,8.44852,7.976046
S1116,8.391358,8.408342,8.570724,8.663018,10.075884,8.636694,9.286868,8.454062
S11163,8.345732,7.862862,8.285382,8.195632,9.883006,8.110178,8.690232,8.084702
S11164,8.09472,7.83209,8.431888,8.145898,10.038666,8.024624,8.660966,8.06399
S11166,7.646224,7.486756,7.926256,7.662978,9.362802,7.242496,8.181564,7.513404
S11173,8.498192,8.003516,8.443494,8.29725,10.043068,8.156042,8.824468,8.218664
S11174,8.162156,7.73202,8.249042,8.078704,9.806334,8.009744,8.713866,8.011442
S11182,8.572732,8.09914,8.523492,8.370352,10.11511,8.340404,8.860266,8.24939
S11188,8.350574,7.89589,8.549106,8.234178,10.059052,8.111654,8.652158,8.08518
S11189,8.423282,7.986016,8.599714,8.447766,10.051336,8.254778,8.732174,8.216288
S1119,8.22722,8.00842,8.326588,8.138814,9.670352,8.130782,8.987354,8.145878
S11195,8.54882,8.391782,8.760678,8.773634,10.071942,8.63207,9.166802,8.402172
S11197,7.894078,7.679436,7.928132,7.778458,9.612406,7.67674,8.415972,7.736872
S11198,8.249642,7.893148,8.710064,8.349104,10.210408,7.962506,8.408302,8.086638
S11211,8.096636,8.088346,8.564938,8.457712,9.9034,8.23437,8.769582,8.215256
S11214,8.122952,7.87822,8.269496,8.13013,9.863586,8.141376,8.965998,8.110904
S11216,8.270364,8.206198,8.611586,8.575572,10.062016,8.325834,8.969768,8.271246
S11224,8.269954,7.793804,8.234986,8.087592,9.855454,7.953502,8.534628,7.997034
S11236,8.286802,7.98727,8.45335,8.375688,10.09827,8.274148,8.86245,8.191946
S11241,7.960938,7.861844,8.226116,8.07887,9.91714,7.967922,8.770272,7.987914
S11243,7.991524,7.869562,8.389594,8.130438,9.85839,7.959956,8.591196,7.998756
S11245,7.967062,7.802704,8.26053,8.041652,9.69,7.69005,8.483754,7.87124
S11249,8.024832,7.774568,8.297832,8.169016,9.569388,7.86906,8.46352,7.835626
S11274,7.475326,7.739532,8.037648,7.9587,9.43265,7.545814,8.388922,7.63118
S11280,8.351416,8.099334,8.518694,8.397612,9.917286,8.277174,8.872198,8.299924
S11281,8.215326,7.91787,8.441522,8.210816,9.709184,8.069444,8.648764,8.127916
S11285,7.938194,7.68002,8.211926,7.924338,9.669352,7.729122,8.539672,7.891626
S11298,8.096934,8.003132,8.32082,8.197696,9.796194,8.155056,8.85014,8.043562
S11311,8.168674,7.935888,8.350074,8.257782,9.92195,8.089754,8.65351,8.242288
S11312,8.135132,8.17163,8.557758,8.49445,9.88518,8.348322,8.887774,8.315802
S11316,8.353314,8.018568,8.494546,8.291474,9.856694,8.21636,8.897044,8.144282
S1133,7.983948,7.69239,8.15697,7.914088,9.781972,7.776812,8.558408,7.857498
S11330,8.199526,7.871718,8.29352,8.27906,9.9547,8.075632,8.650578,8.144802
S11332,8.37758,7.975528,8.315932,8.41626,9.867618,8.266754,8.907246,8.215918
S11334,8.244332,8.075386,8.62581,8.468278,9.95434,8.238504,8.96484,8.201442
S11335,8.270856,7.847944,8.500062,8.167534,10.020564,8.029432,8.488964,8.04982
S11345,7.833508,7.950856,8.285164,8.215186,9.730008,7.775672,8.495974,7.939778
S11349,8.236504,8.331048,8.731726,8.603736,10.021436,8.484198,9.159542,8.361938
S1135,8.322892,8.011166,8.642986,8.396362,9.973866,8.111096,8.750444,8.184924
S11352,7.974908,7.933988,8.432964,8.200504,10.077094,7.942016,8.568316,7.954104
S11353,8.167816,7.887958,8.525346,8.302478,10.072586,8.079754,8.675014,7.961128
S11368,8.21042,8.038044,8.54238,8.290138,10.081908,8.214754,8.916548,8.17337
S11369,8.038802,7.973916,8.438132,8.335466,9.723164,8.083042,8.70964,8.09293
S11371,7.937838,7.8799,8.23476,8.219864,9.724994,8.07761,8.684642,8.113718
S11377,8.102154,7.828584,8.41936,8.014168,9.911816,7.93981,8.64853,8.02257
S11378,7.876114,7.715906,8.040558,7.77785,9.564386,7.90035,8.595006,7.809956
S11383,8.400164,8.182262,8.517384,8.414804,10.039796,8.432394,9.136426,8.328602
S11384,8.094562,7.916788,8.092798,8.080842,9.670452,8.263914,9.06952,8.006234
S11392,8.147298,7.948044,8.417732,8.29043,9.878788,8.062524,8.776292,8.07727
S1140,7.942076,7.665252,8.095124,7.921574,9.778042,7.73826,8.455092,7.864966
S11410,8.18209,8.087006,8.512446,8.303306,9.919982,8.143662,8.753976,8.143414
S11411,8.425278,8.076722,8.617534,8.422532,9.847226,8.358298,8.60566,8.432756
S11414,8.019686,7.879182,8.216722,8.164886,9.755168,7.846762,8.69,7.926152
S11419,8.341946,7.987438,8.61448,8.270248,10.044684,8.173238,8.78806,8.162408
S11424,8.111006,8.092222,8.490672,8.181606,9.75257,8.208324,8.97211,8.26529
S11425,8.27588,7.961202,8.426156,8.195708,9.844536,8.099648,8.657376,8.12791
S11433,8.17568,8.452576,8.748074,8.73093,9.974932,8.446538,9.09554,8.310254
S11434,8.43956,8.200066,8.554312,8.511868,10.069202,8.384566,8.95047,8.28282
S11436,8.145474,8.093068,8.559548,8.305156,9.91776,8.21979,8.918454,8.203026
S11437,8.298384,8.055978,8.2815,8.114962,9.86814,8.192038,8.98835,8.14838
S11440,8.125896,7.872198,8.424704,8.283482,10.210798,7.889068,8.52884,7.902708
S11449,8.376974,7.857808,8.236384,8.23775,9.843688,8.092038,8.776464,8.103856
S11459,8.048744,7.886358,8.245324,8.027504,9.556636,7.874696,8.640438,7.969054
