ID,Bcells,Monocytes,NKcells,Neutrophils,CD4_Tcells,CD8_Tcells
S10748,8.071532,8.754602,8.62046,9.950706,8.395206,7.800372
S10753,8.572268,9.329388,8.934108,10.359376,8.840478,8.1014
S10756,8.227814,8.879156,8.706142,10.049826,8.601116,7.943168
S10757,8.308188,8.81067,8.697992,9.862716,8.622146,8.10085
S1076,8.279026,9.053882,8.829348,10.114754,8.572336,7.849624
S10764,8.02827,8.823152,8.68376,9.96643,8.3805,7.720578
S10767,8.2688,8.802122,8.859722,9.960754,8.811874,8.067372
S10776,8.284934,8.978974,8.745912,10.205578,8.393542,7.828302
S10778,8.220228,9.079938,8.762326,10.347012,8.741178,8.030168
S10784,8.129372,9.0042,8.759614,10.195572,8.30829,7.686718
S10787,8.075966,8.746192,8.701666,9.940914,8.59983,7.798956
S10800,8.499992,8.689262,8.63943,9.999662,8.492298,7.845212
S10805,8.187656,8.968028,8.723104,10.11129,8.358152,7.742672
S10813,8.046118,8.85598,8.717302,10.099418,8.332876,7.747708
S10814,7.612006,8.27597,8.187006,9.710018,8.01419,7.48251
S10815,8.048074,8.76376,8.64205,10.087976,8.46486,7.89584
S10817,8.016896,8.55023,8.61658,9.746774,8.53111,7.737742
S1083,8.091206,8.85693,8.701836,10.042314,8.49874,7.953892
S10835,8.033544,8.73635,8.490508,9.94741,8.47536,7.765006
S10838,8.045288,8.735634,8.617894,10.137068,8.496506,7.910336
S10844,8.005534,8.612754,8.541996,9.913856,8.506044,7.800038
S10845,7.99767,8.812692,8.631492,10.085196,8.280544,7.76428
S10846,8.42924,8.812038,8.750162,9.86981,8.92465,8.008394
S10853,7.75278,8.68478,8.389442,10.111974,8.574904,7.64567
S10854,8.20387,8.763798,8.61745,9.86299,8.561962,7.894244
S10865,8.184386,8.98729,8.87986,10.131614,8.409152,7.832072
S10866,8.037428,8.899418,8.704904,10.081172,8.575282,7.949842
S10869,8.065858,9.158692,8.79851,10.37264,8.316908,7.818926
S10873,8.080782,8.827084,8.665478,9.996326,8.359446,7.822572
S10876,8.230532,8.947306,8.729212,10.094008,8.872556,8.120894
S10883,8.248824,8.836072,8.607424,10.09313,8.544222,7.688432
S10885,8.280558,8.992018,8.6734,10.211366,8.83868,8.007154
S10893,8.054834,8.835716,8.526114,10.250706,8.473122,7.709916
S10895,8.067426,8.99713,8.722596,10.12934,8.463272,7.779946
S10902,8.027542,8.68347,8.518474,9.984218,8.590694,7.86359
S10903,8.051876,8.944852,8.720438,10.20096,8.947728,7.963488
S1092,7.97139,8.864208,8.486112,10.19418,8.344616,7.794914
S10925,7.994544,8.696424,8.481472,9.907916,8.455214,7.78741
S10927,8.310636,9.140204,8.841444,10.316782,8.611394,7.935594
S10936,8.169438,8.87157,8.822328,10.048232,8.760296,8.106368
S10945,8.328984,9.187446,8.840508,10.332094,8.678222,7.882096
S10947,7.64219,8.392694,8.368234,9.708242,8.316908,7.532088
S10949,8.008522,8.667792,8.512132,10.001156,8.889216,7.977624
S1095,7.848768,8.64626,8.501178,9.872042,8.008228,7.523386
S10961,7.92568,8.784998,8.689444,10.132374,8.305142,7.848044
S10969,8.101128,8.821992,8.786186,9.992478,8.485126,7.953226
S10972,8.362372,8.825228,8.72388,9.974814,8.432386,7.744578
S10973,8.265642,9.070668,8.861576,10.399912,8.320226,7.82511
S10978,8.038982,8.880252,8.888534,10.287756,8.454062,7.951082
S10979,8.161656,8.8357,8.744162,10.045868,8.568548,7.999864
S10986,7.98777,8.776852,8.562508,9.983646,8.524848,7.707076
S10989,7.89279,8.649628,8.511242,9.84987,8.41019,7.817428
S10995,8.2925,8.902284,8.68859,10.228258,8.612472,8.000266
S11005,8.332594,8.790264,8.693544,10.071408,8.780488,7.918738
S11008,8.102902,8.78175,8.674802,10.108898,8.402604,7.85684
S11010,7.36487,7.97723,8.022494,9.336102,7.956136,7.570478
S11013,8.194464,8.824106,8.737284,9.932776,8.50554,7.829288
S11016,8.341448,8.922424,8.705024,10.082802,8.910324,8.029246
S11017,8.324224,9.066944,8.801234,10.297334,8.533484,7.808694
S11020,8.351306,9.238028,8.87336,10.426628,8.72923,7.934632
S11027,8.178626,9.042254,8.837726,10.383724,8.616366,7.881234
S11035,7.9376,8.540652,8.485128,10.112602,8.55289,7.828172
S11041,7.849942,8.479088,8.527474,9.831892,8.309612,7.702634
S1106,8.137694,8.867234,8.743346,10.143944,8.568886,7.95733
