Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE
mix_28	0.183852620472527	0	0.0546838018486381	0	0.0266926260498907	0	0.166154162929638	0.155456014880046	0.00514232579042453	0.34628523836222	0	0	0	0	0	0.0401856628075536	0.00214139524865457	0	0.0140947022438526	0	0.00531144936655452	0	9999	0.749710424189871	0.670018213530522
mix_29	0.132108221745136	0	0.392023118648043	0	0.0298927478618826	0	0.0734349526189341	0.0752452077008365	0.00538655094741805	0.217039862030843	0	0	0.00134634706408284	0	0	0.0207661151088676	0.00428618080228789	0	0.0359549011754134	0	0.0125157942962555	0	9999	0.727682855591034	0.713746835803782
mix_30	0.159812605366604	0	0.373125020199652	0	0.0222868122467764	0	0.0478549155581462	0.0735994597945019	0	0.246382018595504	0	0	0.00821090613079523	0	0	0.0233707299216304	0.00319729485149325	0	0.0261347751625314	0	0.0160254621723652	0	9999	0.736187547119159	0.708070977746967
mix_31	0.136270580862203	0	0.43398051881236	0	0.00737939211159933	0	0.121714298353724	0.13212322471442	0.00646163863982146	0.128746708233419	0	0	0	0	0	0.0113048106097662	0	0.00680000135484151	0	0	0.0152188263078459	0	9999	0.748237850812462	0.69755331403465
mix_32	0.161984046098202	0	0.292010342405025	0	0.0363594782932446	0	0.1089156604255	0.100211187791934	0	0.217828005439462	0	0	0.0064849040352545	0	0	0.0238101124551824	0.00507943640719577	0	0.0368573869806183	0	0.0104594396683812	0	9999	0.732218173303401	0.709736116498585
mix_33	0.176285843586561	0	0.422341006947468	0	0.0227303914521539	0	0.0505106996468074	0.0856007086565488	0.00201861537865432	0.159810878801922	0	0	0.00268076794373549	0	0	0.0278569138148557	0.0080369199290912	0	0.0284031516377564	0	0.0137241022044456	0	9999	0.744364790709823	0.7013543631929
mix_34	0.0167450444073132	0	0.639636326561381	0	0.0188237537971071	0	0.0317490081628069	0.0394363243988186	0	0.221115740679174	0	0	0	0	0.00689470577312497	0.00565536213054062	0.000836886773140467	0.0020267999929094	0.000620265080048138	0	0.0164597822436357	0	9999	0.745319488318862	0.678812392408597
mix_35	0.0957962225448935	0	0.456416667885188	0	0.0304271100591207	0	0.0404050018899583	0.0664030988678728	0.000523632179516871	0.270602163619329	0	0	0.00306291041792027	0	0.0010596900307084	0.0159483491466185	0.00294430344424318	0	0	0	0.0164108499146311	0	9999	0.731975894562668	0.706941920305255
mix_36	0.266243002623421	0	0.224667277567261	0	0	0	0.109450690697684	0.155016441997593	0.0197751196572964	0.149282005686404	0	0	0	0	0	0.0422346032498598	3.40888425552849e-05	0	0.0242641482655461	0	0.00903262141238039	0	9999	0.764893958986437	0.679372744593264
mix_37	0.255222663395404	0	0.262503713439375	0	0.00836278405559972	0	0.0913887990054225	0.155260605455083	0.00228191235617455	0.165816551667841	0	0	0.000626706147915289	0	0.000359206490728739	0.0375041637582136	0.00669172882863768	0	0	0	0.0139811653996065	0	9999	0.764913127081249	0.681342623416838
mix_38	0.0458133886601774	0.0493147740484814	0.113165356144314	0.0185194281735053	0.0559973825652189	0.00447657129699435	0.172038095081382	0.205619449831798	0.000199207112987441	0.258835549533403	0.00223769397894498	0	0	0.0187627138836501	0	0.0314366821114719	0	0.0121254782311077	0	0.0086130573223426	0.00284517202422119	0	9999	0.722408597356104	0.702064485412789
mix_39	0.30834436719652	0	0.122262167017573	0	0.0338443678114723	0	0	0.115534910687994	0.00319993814963307	0.351158942599931	0	0	0	0	0	0.04726585521087	0.00560573223125859	0	0.000934774029363724	0	0.0118489450653841	0	9999	0.732195907657246	0.69238162698539
mix_40	0.187728404915459	0	0.417350110014712	0	0.00351315308637359	0	0.0941588717116381	0.0950159063507749	0.016641593533759	0.107720346560242	0	0	0.00610038802725264	0	0	0.0247691478973274	0.00383260426302993	0	0.0306314841600957	0	0.0125379894793364	0	9999	0.753878942649122	0.695285941829606
mix_41	0.0487958921895912	0	0.555440300516977	0.00431373321164368	0.0341565875932325	0	0.0190065640532462	0.0340853779405167	0.00942643732517671	0.237914025213973	0	0	0.0154258460165924	0	0	0.0177910936270483	0.00505627703429344	0	0	0	0.0185878652777095	0	9999	0.737943739871783	0.695343849896634
mix_42	0.299618941102381	0	0.0734480459502481	0	0.00754446887759035	0	0.143168384209595	0.116430930380448	0.0107989808055569	0.279713676891509	0.00127332457007707	0	0	0	0	0.0598148322676511	0	0	0	0	0.00818841494494367	0	9999	0.779859984055419	0.645131749958276
mix_43	0.00964085098374034	0.0268450935537729	0.293114209345006	0.0109721181996757	0.0662743070948623	0	0.0701200931569737	0.0709478035140021	0.00682540167407564	0.393910729011931	0	0	0	0.00741767927560795	0	0.00957381258533636	0	0.000625495598647635	0	0	0.033732406006368	0	9999	0.698197097742273	0.726521565534942
mix_44	0.0714099668045021	0	0.266912131276305	0	0.0466940138745806	0	0.143626758927609	0.165101718755657	0.0200947845933547	0.239823089289361	0	0	0.000532519349354869	0.00339879555571637	0	0.014547843394831	0.00151988506727072	0.00406830451464793	0.00699176649925938	0	0.0152784220975511	0	9999	0.715260218620403	0.717131783419598
mix_45	0.0112900803825893	0.00224702871636224	0.430735096528827	0	0	0	0.202686357544454	0.141679178729627	0.00798030744985453	0.171580920862238	0	0	0	0	0.00663443213398017	0.00508070999422836	0	0.0103519626587837	0	0	0.00973392499905495	0	9999	0.742375127409229	0.69262259663456
mix_46	0.15331693119835	0	0.164417984398199	0	0.0379423069917173	0	0.0700632657305858	0.11812897781798	0	0.419320026342338	0	0	0	0	0	0.0259425859154181	0.00146553323355239	0	0	0	0.00940238837185936	0	9999	0.727535070895363	0.697595043667953
mix_47	0.195708351414501	0	0.416789981775145	0	0.00635259464228317	0	0.062312565616858	0.0905379065039754	0.0105010504846924	0.167511460222372	0	0	0.00284161250196987	0	0	0.0243012101784842	0.00522188964719454	0	0	0	0.0179213770125252	0	9999	0.753549154522745	0.694546184391404
mix_48	0.233075203132539	0	0.489226180989701	0.085814687897697	0	0	0	0.0657403222984568	0.00558844445026382	0.0458712530052316	0	0	0.00486607014028694	0	0.000145738402572757	0.0286827725275196	0.0132111694920219	0	0.0120972366799333	0	0.0156809209837759	0	9999	0.735945933688222	0.700041263549427
mix_49	0.203371713333245	0	0.439107565151578	0.0230916654483878	0.0224745323450784	0	0	0.0328929496138809	0.011784149677286	0.189952103940202	0	0	0.0169340873225906	0.000767399100630361	0	0.0231467660153816	0.0108375125537982	0.00456037546103019	0	0	0.0210791800369103	0	9999	0.735764361579665	0.707345059639461
mix_50	0.237798637835013	0	0.163511515054058	0	0	0	0.157170324241014	0.164804689207415	0.00404471526899103	0.202322749288544	0	0	0	0	0.00535173867150694	0.0431568657068934	0	0.0126778220151001	0	0	0.00916094271146445	0	9999	0.774116331638259	0.664375374131232
mix_51	0.217458148023839	0	0.46576360485275	0.0506050871959594	0.0034952874697167	0	0	0.104635122589764	0.0138878859816741	0.0628141642060347	0	0	0.00681240786602236	0	0	0.0285378105448533	0.00507702133304588	0	0.0244412481134761	0	0.0164722118228652	0	9999	0.740361967893806	0.70091849442557
mix_52	0.353808180582741	0	0.0866975765331375	0	0.017228520223597	0	0.0328253924796668	0.103141030779718	0.0105051437566223	0.30588174896973	0	0	0	0	0	0.0547697053183024	0.0124466883160876	0	0.0105144437028136	0	0.0121815693375831	0	9999	0.771304314976595	0.652338063831189
mix_53	0.219557480196902	0	0.435438020180868	0	0.0334110903339495	0	0	0.0859017472641017	0	0.130984537669731	0	0	0.0160191671019893	0	0.00487319564079071	0.0258927603406302	0.0119678766855495	0	0.021667705045194	0	0.0142864195402937	0	9999	0.747710606462593	0.696579232148824
