Gene,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
Mix_11,124.921754211,97.4493352384,261.139164971,173.538432752,294.205417691,161.918809024,406.038896832,154.078802662,132.329804317,141.098516652,200.190134814,127.427100605,1205.35238259,113.842075807,197.900766562,116.887367529,347.767995548,212.133725784,110.602403752,1623.11889232,356.731088247,164.575340113,352.260340794,240.124492286,200.881264868,312.390776782,1052.63424227,153.322879178,219.671362738,3683.70149911,126.973546509,152.005412545,461.545277952,375.780359875
Mix_12,114.659469254,80.0317348002,222.254497497,286.265516971,300.107031856,152.017191059,402.433663445,161.021359901,133.865169823,138.391201495,205.491417202,156.567170008,1268.72570608,104.62556832,194.786993067,122.274697141,356.119667304,224.457645204,115.042625362,1553.19517868,382.317967087,155.250070823,350.061011158,254.846715054,225.008432119,314.571175439,1064.67112432,148.401155158,191.386482486,3797.24479035,130.656237307,137.098049591,433.469309278,351.617582891
Mix_13,123.669576615,110.946735288,288.461511735,180.130521462,273.727927654,150.698941652,362.307374061,148.243344303,128.064740003,137.317715508,194.508221885,125.395612439,1144.14821683,114.523366211,200.931922191,117.263670491,355.154112187,212.444759026,110.804381819,1517.52357315,362.876787919,160.539125227,350.634389549,219.84713944,201.038687282,302.234209916,1182.76159539,144.720095925,210.683134862,4135.27931702,131.303281423,154.524691145,428.999974487,350.153946603
Mix_14,123.410531583,87.3369637618,222.662869495,148.114467598,321.405847904,162.594830674,377.708264641,169.161930014,132.06964319,135.780691001,196.740108942,115.479076437,1163.32253613,116.479604038,196.339897926,115.097056801,316.621506812,193.4838464,108.89378568,1646.86842938,352.422203491,159.538673646,337.48705513,217.278211862,209.146651186,309.526856564,1192.50155919,143.512040638,195.557667231,3992.92373692,136.744835777,158.447188986,464.408529013,457.786855454
Mix_15,126.907883453,90.2657501111,249.72651287,183.02936966,284.334091238,164.617654522,409.429004902,154.847761903,134.784229866,139.880689299,206.799417683,134.139618391,1225.38626316,116.09049719,201.884255223,118.830095936,350.285902413,212.500200395,108.576744726,1638.9246662,364.265913702,163.852178409,355.321929552,243.743712644,200.957626239,314.469677537,1093.62364961,152.37003657,220.295970376,3813.38045615,128.358259247,155.411796955,482.854280358,447.40064938
Mix_16,119.506400112,97.5981453279,272.138081444,211.445956197,257.853899339,155.323266935,381.904697476,144.156316497,129.671830346,135.893774683,202.094261136,137.358498013,1184.27262067,113.121708717,201.443273022,117.077713569,356.403488882,216.916760387,107.413043468,1534.67950724,366.831818147,160.931780165,352.485040991,235.620150487,197.174293079,309.156772558,1123.63057164,145.746229841,217.780571581,3959.22224795,127.330776817,150.253070833,451.510352623,403.161964069
Mix_17,123.722116577,92.0647132217,255.299892251,176.201531369,282.930141628,162.151639854,389.803223788,152.038607413,133.690677116,137.790067061,205.366794585,127.008852116,1198.10540086,117.798768993,202.78435951,117.076409532,341.116196137,212.933509924,107.541264658,1614.43727595,361.739558722,163.813066615,348.050846982,234.802942588,198.865559422,309.42267483,1151.27844901,147.30715295,215.570121945,3967.12591947,129.952466923,156.426941132,475.655645666,458.842729182
Mix_18,124.028840222,91.6618843365,258.368391116,186.093312311,270.814653525,166.005778862,422.939346243,148.387477111,131.870319202,142.915125805,209.617749327,135.37395877,1248.26335317,114.418857437,205.079701894,123.361480311,351.798779224,220.6959239,103.874570779,1659.45716482,365.779969439,167.507338667,363.510945742,256.132735393,195.936871055,320.833279173,1033.94071652,154.627292321,236.846033846,3634.24188944,125.56376802,151.123652765,495.648208921,460.51170939
Mix_19,110.576008623,85.2558705036,233.184785619,297.131440785,290.63032421,148.974416305,383.965067634,156.673106952,133.9952355,136.219301678,202.713177936,157.908699282,1246.57959333,105.329493527,196.820352993,118.825963543,364.005499293,222.653737164,115.347295924,1509.20949449,385.827960679,149.924871942,355.03319808,245.027462828,227.539079135,312.053594252,1134.86303789,146.085031178,185.205785143,4031.31956071,132.493515587,141.579871454,411.376208169,345.737741971
Mix_20,117.236612351,101.313241296,276.517902646,246.146134158,257.787323754,149.606732184,379.686755905,144.563274023,130.749273839,135.063175168,198.835959009,145.150091484,1203.11853035,110.210662773,200.596411391,116.602215095,370.868634077,222.387957027,110.464421677,1489.39029078,376.070691545,159.392309808,357.149793484,238.929865399,206.305986672,307.016550576,1107.41970472,147.386341799,208.367777742,3973.03967665,128.481303656,145.039071957,427.123810511,340.338266296
Mix_21,114.912766216,98.6452074475,276.248880035,286.770800498,245.370480286,146.848645426,380.463479228,139.992653701,131.726689384,137.049335914,204.816143598,160.243385042,1223.27459595,108.233021074,203.459044976,117.856084016,380.375355922,231.341252973,113.696664864,1471.65889256,386.966977807,157.441064518,363.579057438,249.759019973,207.530340854,312.203181128,1095.16096132,148.329116645,207.495091532,4016.67704543,125.293689441,141.155881098,423.890635031,337.776559015
Mix_22,107.547967163,85.0581018705,241.446162203,323.294524397,276.471362225,143.549101551,386.600133611,153.742193815,133.94156991,136.197062663,206.81133594,169.335456254,1266.41580836,103.253855948,196.921867659,122.165295228,376.862477386,232.359128876,118.80374351,1494.52420091,397.118537331,152.527697714,359.295658769,255.456242221,226.633647263,315.487049465,1098.62015981,148.211899082,189.765015653,3990.61731166,133.746383025,136.565748975,417.656533896,336.95760551
Mix_23,122.606872914,111.183543856,297.253356018,188.326272246,260.162793742,153.545055813,381.535665079,145.612188395,130.275311417,142.068840962,195.518738697,130.751283452,1182.84341618,112.100230754,202.446776207,118.922496724,368.913591601,220.621856882,110.778086182,1532.78864037,364.277271294,162.094924014,357.737062822,236.857792172,195.695024641,309.311314486,1084.08803121,149.684393669,220.956800163,3849.45035089,125.02199032,150.089851329,435.708335157,319.765070856
Mix_24,118.634801499,72.9699218673,234.453037014,224.647214789,264.313852082,167.116247074,417.555903856,143.592705438,135.977545627,136.655607782,214.111171737,147.165571513,1281.04200565,119.130308469,204.096714991,119.782291338,346.828803031,217.84051371,103.873909508,1647.4042154,374.785828146,163.282587857,356.791101171,262.618696654,201.697418048,318.037239878,1088.7592203,151.859848119,225.533911472,3812.7957744,126.093485431,150.68627897,506.303811005,541.771678663
Mix_25,124.955500503,108.044109466,283.909776759,145.082775744,271.638218635,155.034417398,365.202849514,150.602577001,128.61936858,134.875143324,194.313003035,116.29981219,1129.44732992,117.531767828,200.184791606,114.61987268,341.331709066,204.104650455,106.860152097,1547.28828408,352.643301766,161.850171969,344.771585221,211.2403935,194.424999003,303.541069866,1190.1491445,144.79478612,212.408351431,4105.3721711,131.899250476,159.498256661,444.703986768,386.658076926
Mix_26,124.464918542,97.309376751,270.537993434,166.809153182,267.195027534,161.576684826,385.846092333,147.429640748,128.389269799,136.262196731,203.363758494,125.603464887,1176.11838449,121.000830687,201.086665777,115.962157456,346.142316238,209.104939014,105.182303676,1595.10344301,362.929818885,164.023348262,350.042443137,228.460227075,195.248587658,312.300842699,1167.47027705,146.630235864,224.196734335,4016.25860289,127.880557595,153.921777424,471.697332384,458.664610247
Mix_27,111.087120508,101.853296564,290.13893499,259.039228473,223.955384712,146.100655968,362.579924346,134.476349684,126.625255703,131.054678875,205.768970048,151.069109453,1157.22781363,114.485355206,204.901834302,116.336807208,369.751371346,222.15080492,106.985802765,1439.67970732,379.571097837,160.045136273,356.228740862,227.423927732,197.144484757,304.505265134,1214.36502863,143.147707184,213.549755703,4331.6946162,125.406578445,149.66294337,429.747790897,407.249133564
Mix_28,114.867549798,94.6906016581,262.560970436,271.330890145,267.191242715,150.989806527,390.537403729,146.850159114,130.64420608,138.601528338,202.720067219,153.672911348,1232.69500866,105.77565752,199.316357114,120.586396052,370.483111832,228.41654526,113.21169084,1512.76515452,378.885062834,155.635410845,357.174911958,252.625816632,211.73529936,310.902853026,1067.32376044,148.42935794,204.391258218,3861.66242749,126.53522271,140.518031759,423.869231439,334.222866853
Mix_29,123.160390735,101.995786608,281.894921659,162.791399006,259.601283529,159.901837312,381.211644473,147.501599085,130.011139639,136.498301287,201.159420048,123.849292856,1157.62347372,118.912160972,203.360079618,115.238016316,348.106070238,207.799671056,105.153254676,1564.47758605,359.281593553,163.920433028,351.761078703,222.993790119,192.490734996,305.681181108,1170.36816307,147.157148033,222.170934815,4085.66799582,127.140714117,156.763505418,467.955903506,438.486201552
Mix_30,123.557186072,95.6196519307,240.270548742,155.856930619,316.308722883,154.654899328,358.399206318,167.218065272,131.002025164,133.580576206,194.632134177,116.015408993,1144.85727213,115.976633791,196.086204313,114.289912443,321.175010945,196.803545568,111.12973334,1592.42005907,353.86250751,156.709985106,335.153471792,207.738152956,210.685068439,307.700627691,1236.71572938,141.432554916,191.72399391,4185.14343157,138.815228681,160.645668272,441.572017927,410.280428649
Mix_31,119.884780237,101.414046996,270.450420544,200.183862717,265.161957974,156.14574606,383.374650804,148.135280684,129.703433176,135.32242468,201.505978343,134.058637654,1182.92408613,112.029857896,202.730879616,117.337763337,354.190892259,216.438107979,109.5606125,1545.84483015,367.917563523,159.839892702,352.674347851,234.558869422,199.172833083,309.958346842,1118.4709486,148.407480968,215.679835749,3944.16260739,128.731289339,150.507311695,450.919205893,385.999439235
Mix_32,123.692699907,88.3249672785,260.181196369,213.301021405,260.747382029,163.778646588,409.956183663,144.075384646,137.960579227,136.299767888,216.018712693,137.09242784,1266.10443488,112.25574901,201.826324804,119.50292582,367.41676558,220.208486796,105.612503607,1611.17573863,369.643762631,168.459114947,355.715594724,258.973333532,194.994350837,316.875256534,1042.04588521,152.907881386,231.154743422,3736.9765213,119.804891515,152.681407107,489.410908442,452.26912734
Mix_33,119.25302937,83.8816183255,237.959839118,231.626644046,274.231774388,159.318976599,402.076690673,149.693701133,132.436113676,135.802007558,206.190525015,143.995301865,1239.00324935,112.81649547,199.429211893,118.057251267,348.606218799,216.15534242,107.398587348,1585.76413165,368.19631161,160.027585825,349.565793787,247.348911481,203.680867307,311.861877368,1092.02588359,148.60126189,212.257991594,3843.9541402,127.623475963,147.080704568,463.474728451,445.434718384
Mix_34,112.356050704,100.272424317,268.820047038,321.028899128,262.940793815,141.562663342,376.705697848,147.604476549,130.725330258,140.5331167,202.034981932,165.757009449,1234.12839778,101.30197096,197.700048705,119.589970541,386.784417594,236.145487787,117.585063916,1451.14599259,393.368097446,152.37290309,361.2624982,250.261114132,220.268794849,313.198925991,1094.08296106,144.190716623,194.475942106,4035.84993267,130.210556945,135.195730176,395.671030714,278.980046785
Mix_35,123.503328272,96.0102134058,247.409275406,180.689582388,302.783744729,158.516787873,392.28016055,161.191327281,132.562252095,139.219842178,196.190407611,126.623624262,1199.74661748,111.75548578,195.945960468,117.449666486,342.758043562,210.238929164,109.555461414,1594.65817973,359.222278159,158.55992561,346.007752763,233.590821735,207.032357727,308.319753734,1088.10616586,148.422558446,203.667614599,3769.86396429,132.260287994,151.284028046,441.399658625,360.631444084
Mix_36,120.984105346,99.5651520113,263.87254414,195.695306284,281.35867398,154.823811376,377.401708743,153.728594719,129.708501791,137.163442551,197.99775044,131.027740055,1175.85199973,112.234817607,197.026990194,116.341880142,348.303793056,212.671164702,109.596341082,1546.39615856,364.221771733,159.192232433,347.793521645,226.784525013,205.850951787,305.416103816,1147.18968162,146.049632372,206.211875472,3989.28939101,131.662467901,151.326585421,440.762482359,375.908231466
Mix_37,119.401172329,86.9531682244,228.632582373,224.942217133,313.630027086,154.145025775,382.930664758,167.290889085,132.121878344,136.118356827,199.381761062,137.325803524,1212.54858101,109.673573614,196.592729262,117.80258093,341.061175191,209.415473015,113.346932578,1581.43204903,370.414034268,153.600824463,343.203967917,229.02372708,225.52043103,311.861372766,1181.61413683,146.11805621,186.507998433,4049.45309127,139.825728378,150.046509551,432.997186826,383.185759138
Mix_38,115.082414641,79.9200067349,227.545237376,263.800389349,293.259571453,154.735551543,401.456201668,156.262399384,131.578359095,136.937295688,202.501938791,149.601151398,1259.67941704,104.843552573,193.849800927,120.561103999,354.36342375,220.584607473,112.747235576,1568.16255954,375.529726352,153.418271041,350.501396826,254.444703967,217.950046454,311.731436656,1044.91778801,148.987418439,199.567995836,3719.64087456,128.749199851,140.963982663,442.651155521,375.754262814
Mix_39,113.962013428,106.606166501,301.675506768,307.036911237,222.133710051,146.38778768,383.44764775,131.740430662,132.23367989,140.919155106,208.58007954,166.246429846,1233.57338637,107.313871889,201.352906313,121.703881501,401.097391278,242.935959381,114.776946914,1442.90406253,390.63192975,158.97636536,372.746284438,259.32041145,203.411685642,308.001964043,1058.53425319,150.376672602,215.314003542,3958.32492082,121.425088448,138.66736523,419.025927809,289.108374687
Mix_40,118.29219114,99.6301405636,249.364210551,189.614136803,309.604469498,151.309665258,362.474443926,167.678349383,129.741516737,135.028514174,195.216253314,125.802528572,1162.1065473,111.324558756,195.776464933,115.298560136,339.015581115,205.807754791,111.867263789,1557.2658398,365.730674128,154.986054214,343.969952879,215.261326384,215.331352833,308.991738024,1209.84708391,143.081556643,188.546233344,4141.57469976,139.667766904,154.408335942,426.653691042,355.3142388
Mix_41,115.963072997,95.7057640559,240.806062269,219.993758535,315.422025229,154.4427101,382.60722491,170.93838785,132.982912495,138.070364512,195.974818395,133.907903773,1214.32854753,106.096499393,197.670635745,119.293041609,356.830801335,216.941287354,117.843888604,1567.86021327,370.674837448,151.421071937,354.302491853,238.03108844,220.764584596,313.2328792,1096.51549177,150.588579777,189.808209895,3816.69900359,137.176206275,149.170259825,425.680985341,314.558700019
Mix_42,122.498689422,100.64891397,277.591465353,166.130524076,256.193131546,161.07437769,382.822511983,142.971567848,130.128053163,136.357947821,201.568692918,127.148538319,1172.05536179,119.902899973,202.719869096,113.53757283,348.219510158,210.462093266,104.441023757,1580.47461472,357.203198839,168.816601825,352.417917449,227.323438564,192.788153005,310.794998078,1185.77918774,148.411439635,228.67776349,4115.29685951,126.832529185,160.148922323,481.688231461,474.894034759
Mix_43,113.908402258,102.385798308,269.18792749,251.547721682,269.887081988,143.474570418,363.923362153,149.551836455,127.945273379,135.998995394,195.548135337,145.074558608,1174.09552881,106.768959207,196.704429302,117.283167257,363.533449059,219.709301409,114.715118996,1457.21276521,373.496400668,151.582073559,349.926826884,229.537800222,213.201786429,303.365826291,1138.34453227,144.375404099,192.711181492,4064.09098698,131.387264753,142.721634804,400.037381109,300.999457193
Mix_44,113.976482043,84.4339861255,230.917335917,266.431956584,305.171235334,152.715760829,400.060054765,160.061618847,133.483494755,139.455619482,200.015567068,148.319814298,1256.02603786,102.856472564,191.888850135,119.861844667,356.621162149,222.530332683,115.755105142,1564.14718471,375.853428196,151.544472444,351.053927252,251.682399122,221.879616896,310.998756573,1036.86496681,149.172974972,191.845469078,3681.28708952,131.184299052,138.472315667,424.72941266,320.701651707
Mix_45,114.560718614,86.3527577051,243.680384768,242.338231794,275.118612149,151.959015148,379.579060896,148.27378154,130.82579283,133.305363597,205.053677039,144.156329197,1205.98132178,113.946513005,201.209204938,114.287738345,348.527555582,217.451530816,109.874557366,1532.53396572,372.208593697,155.757990534,347.185402568,232.328955354,210.513282375,310.014589584,1197.81466218,146.704145013,200.16278058,4161.53867054,132.577416219,150.457623687,446.572968029,442.455515674
Mix_46,117.879774311,99.514270875,280.566511949,209.804592103,234.00813636,152.980994751,369.79123586,135.807424672,128.461223305,129.823432822,204.963883261,140.040004263,1171.57316753,119.0230573,205.88823971,115.301306268,352.739291621,213.550668311,103.990102173,1490.64642377,367.091141972,164.170573001,352.423064404,226.929511857,192.995899564,302.799717412,1202.78236093,143.688779777,218.026499594,4217.76556814,127.415240974,154.172928094,451.402181553,455.950988347
Mix_47,112.237757848,94.8070925196,258.262173767,284.237796857,272.442609769,148.540722501,379.542908402,148.147549609,130.716884272,137.217342926,203.532505777,154.490739089,1230.39528049,105.527606984,196.036009102,118.947908714,369.241778338,229.508128859,116.195698405,1473.63824952,386.436539931,154.045143128,354.48468875,248.354216644,220.334094471,304.368249473,1100.12399229,148.829049302,194.673009709,3975.68575464,130.08780761,137.164919858,410.813259892,313.594706885
Mix_48,123.017974414,100.811197024,265.757015794,188.831685343,283.798993577,155.200516908,392.297785149,151.825876903,132.285888193,136.746997663,196.98020634,128.549091699,1192.59777781,112.367281333,200.338384677,117.058854017,349.974860999,212.915091819,109.81572425,1563.59417664,365.778053212,160.550555935,351.423486954,235.912028824,203.564869753,307.833015083,1109.66394191,148.303081975,213.293709972,3863.30433982,129.717869469,150.722945785,442.670460371,370.716550784
Mix_49,123.407182936,89.3701801465,226.218844687,160.117731448,332.42314376,160.910576051,390.22704612,173.227324616,133.806353877,139.024377606,194.929140596,118.797621345,1203.33527271,111.330131566,194.966017093,117.377876388,322.650873194,203.336980946,112.49174109,1648.37922519,353.682441819,154.789078261,341.697581688,226.974812783,217.147227483,310.573821824,1126.74279728,148.095994824,192.366224356,3789.57589978,138.452791971,154.991898971,450.372605742,385.580608062
Mix_50,119.558345479,86.2995153983,250.882675952,222.147421788,258.476658301,159.215808834,385.88680649,145.106002133,132.308735574,134.019725434,210.779886455,143.676270885,1209.27137369,118.995828267,205.717231577,114.120679113,344.940241223,212.514314534,105.589168082,1584.65785888,371.776999822,163.223743956,351.104492296,234.804059003,201.357723191,311.470467184,1183.74715519,148.832678647,220.48330835,4136.82188119,127.503901085,155.442255884,480.272506821,513.484460444
Mix_51,122.281701335,98.4311361596,270.5356439,202.861494225,268.984625543,157.121085192,390.446920959,149.248935448,132.070675625,139.138051695,202.495688008,132.348688358,1204.81934755,112.639049522,200.564231206,118.360258711,357.217084453,217.610800796,108.966355135,1564.78729468,365.001440701,161.40833403,356.265988274,240.129831335,200.169160485,309.091618861,1092.18029782,150.20003161,217.610800784,3840.55554746,128.105336266,148.341736034,452.663241881,380.701843388
Mix_52,119.010836768,79.7782067766,221.398432124,211.874004677,301.554945623,156.997280006,381.867232445,162.071040431,132.919171293,134.321131416,201.50395045,133.853811365,1215.94448986,115.539316483,195.050483224,115.405796465,331.352161443,204.953217406,110.109502688,1598.19002904,365.110471012,155.350533188,342.745869103,227.295565985,215.85735168,313.549493312,1194.4255147,145.648079038,194.13809648,4097.01704048,135.745344867,152.924919663,457.194772196,467.498066383
Mix_53,113.855274937,95.3791852894,270.466736361,268.435333847,254.176822794,149.027558675,377.608709619,143.242898143,129.89368155,134.517540629,204.281707392,153.960964807,1210.15485181,109.366842689,201.979451203,117.801999834,367.471043697,226.607788506,112.442966511,1488.68915805,377.879563299,157.424022461,355.804989164,243.052475607,208.441245905,310.533732879,1128.60855027,146.589875642,207.802805106,4048.58523494,124.940928717,143.126818009,434.371900232,371.707968952
Mix_54,111.64546825,85.9816097653,222.625008053,302.818162706,325.562181031,148.399596955,391.540324222,170.14472256,131.751385342,139.921815345,198.011267513,156.518801684,1265.85317232,97.9683221178,187.330799464,121.66000786,364.749509845,227.901210512,121.403881518,1527.69112186,383.472344764,145.735883099,351.14920163,257.893604013,242.910213571,312.141161212,1054.90752488,149.475327543,171.399741585,3761.31764165,138.18015629,136.131145634,382.371001537,247.110685428
Mix_55,120.523528146,82.4966654324,214.824741007,214.464296805,336.294435173,163.146054362,395.497394385,173.64399157,132.913797387,142.375457551,208.201578884,133.184130539,1253.39963707,111.287145607,195.360754396,114.9366431,338.772489019,208.246634439,117.279530385,1631.77593219,374.997130756,152.558006093,356.389199109,237.082170122,228.972175722,314.938116538,1167.56886304,150.485451964,186.980426848,3955.55966619,141.969957818,153.459116585,440.417752381,384.639012994
Mix_56,113.421498082,87.1180666438,250.337055887,245.957741114,263.337285873,155.121388345,381.661413061,146.555558855,133.996014602,131.214185751,207.838422678,147.767444689,1220.23133323,116.671555585,201.531107695,119.177955853,352.410895586,217.698766614,109.45532622,1554.29868377,380.174098614,159.58333169,353.567695711,235.160939934,208.829965629,314.208948565,1186.82184377,146.583101706,211.281280199,4184.69691366,126.421728081,149.722987762,467.760393873,475.472394707
Mix_57,119.503174988,78.9258615786,199.692769409,224.20918699,352.098952783,162.676885007,414.780102761,176.325199916,136.32231056,143.399214582,201.416041526,136.735895865,1285.35418416,102.913809028,189.123367304,123.156511816,340.7942879,215.730688307,117.61906417,1653.83571033,367.470539827,154.795787316,345.964104155,255.136176706,233.583787128,318.644497343,1026.81741725,153.302284842,185.975523612,3511.52302077,139.67694688,143.215398902,433.988842378,327.950166624
Mix_58,124.863266316,89.6516314779,251.131123313,187.391767793,288.134822063,161.57636013,398.806879306,153.294118662,135.712518324,141.524617604,204.731197318,131.837785461,1209.78846635,117.113800604,203.03600171,118.954298711,347.127629823,220.520733718,109.219032405,1626.22538,366.016952499,161.915399262,356.426988679,242.170803548,205.457709745,318.067133393,1119.02284916,147.869492656,218.970840593,3851.72663053,135.131308389,154.795577646,475.429721549,450.922036232
Mix_59,119.387719976,89.8933944303,218.386605906,214.694629835,346.091642695,155.581530132,387.553778245,179.662340236,133.968951237,139.52765674,194.782848884,132.371860465,1229.01319661,107.171012698,194.492468763,119.076598392,336.115010777,209.509270235,119.408461412,1613.45575895,372.184372343,151.910295528,348.06207938,231.142590568,237.344280686,315.456538051,1175.583251,149.711703049,177.961542277,4010.50232316,144.733757818,151.329535255,423.291276787,339.848469739
Mix_60,125.156767818,116.251076594,302.077865915,128.09882652,249.624404781,156.856787793,344.909999921,145.751178798,126.747069822,131.703511083,198.151629884,114.740289686,1085.01004816,127.913291299,208.117522437,112.460856813,339.794528482,201.968354691,102.680499482,1533.23666845,356.148134106,167.82987164,348.594199585,196.773368137,188.291757446,307.007802136,1327.16003346,140.317646941,220.680908287,4545.34818232,133.770903691,169.923769267,459.358734243,473.326886887
