B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
mix_65	0.0014497305495145	0.000465516682678156	0.00122090567301873	0.00189089489845928	0	0.00149256203028813	0.00155744562325614
mix_66	0	0.00199719346200329	0.00161729166938351	0	0.0014895287975309	0	0
mix_67	0.00163148220858096	0	0	0.00207802358449072	0	0.00203903200324174	0.00195951768074548
mix_68	0.00133081849091422	0	0	0.00223480811910268	0	0.00206925980742447	0.00201697718275044
mix_69	0.000452248475363778	0.00129227498590033	0.0010973098193309	0	0	0	0
mix_70	0.000445266039550689	0.000806456787618576	0.0010786025273528	0.00014906309999864	0	0	0
mix_71	0	0.00241287701193855	0.00171541375242695	0	0.00219925557889311	0	0
mix_72	0.00144011478529087	0	0	0.000967799611882468	0	0.00117061029159692	0.0011502602188163
mix_73	0.00124608210631686	0	0.000608123129141451	0.00118098954958382	0	0.000797040383946939	0.000918975788300479
mix_74	0.00115035324779722	0.000401680937212503	0.000820313429053623	0.000801189087704861	0	0.000697480295836156	0.000842905389014292
mix_75	0	0.00240275552373422	0.00191188692513645	0	0.00218211300585893	0	0
mix_76	0.00114601838170536	0	0.000199298751354309	0.00168120141122338	0	0.00160487519433641	0.00161336402335298
mix_77	0.00166574069605581	0	0	0.00250989108843647	0	0.0027182336446985	0.00252487360669151
mix_78	0.000645941301262992	0.00171330384832725	0.00160989126092835	0.000161716085874415	8.55227101418449e-05	0	0.00011704328903288
mix_79	0.000189819310749227	0.00200171650376586	0.00163573827574307	0	0.000779040052452097	0	0
mix_80	0.00114060453630596	0	0	0.000818035572604716	0	0.0010448649144847	0.00106279260590839
mix_81	0.0012652710052364	0	1.55314345851118e-05	0.00126913074978604	0	0.00156163576164666	0.00151911036266477
mix_82	0.000805916622223863	0.000995992485069194	0.0010873003486824	0.000313325220732374	0	0.000214883669342363	0.000391249155923235
mix_83	0	0.00206489096380099	0.00160629601871017	0	0.00141455513145174	0	0
mix_84	0.00110652235342851	0	0.000186942880539645	0.000900925912171476	0	0.00107563381776551	0.00111978885012842
mix_85	0.00116583612949465	0	0.000203304111858122	0.00113262192422169	0	0.00132813596795406	0.00134274943869767
mix_86	0.00148154879352348	0	0	0.0021762901177308	0	0.0023061756793627	0.00218641067140652
mix_87	0.00118645992977665	0.000592157829372609	0.000910200093275444	0.000939751220967703	0	0.00108443373404573	0.00117551471097002
mix_88	0.00126013632943004	0	5.02863965012691e-05	0.00147916055734613	0	0.00148439524455752	0.0015077138504356
mix_89	0.00161889331607387	0	0	0.00216751771788263	0	0.00236412032733988	0.00224160542602344
mix_90	0.000977075192801395	0.000972415097777955	0.00110763026323215	0.000753331844723567	0	0.000734642776481607	0.000930042020596128
mix_91	0	0.00199388461177316	0.00162846708928008	0	0.00137381419533741	0	0
mix_92	0.00101222457872989	0.000843572779725194	0.00108778106956033	0.000691101128959939	0	0.000642963501934424	0.00083218139141575
mix_93	0	0.0037795015753235	0.00270912108116542	0	0.0049162675271586	0	0
mix_94	0	0.00308514536885169	0.00233069884713101	0	0.00370974793752168	0	0
mix_95	0	0.0019162939961463	0.00156003773713814	0	0.00146290303782733	0	0
mix_96	0.00017342410553691	0.00162336881055843	0.00156292721320795	0	0.00103703743000896	0	0
mix_97	0.000646108789185505	0.00149823320923477	0.00134896668758567	0.000221032728400533	0	3.82601962184334e-05	0.000266375967365141
mix_98	0.00068770261858565	0.00106935590049043	0.00108887156309305	0.000153596585523021	0	9.05984836711279e-05	0.000266597215586468
mix_99	0.00178464616207675	0	0	0.00253494434112566	0	0.00301349280095756	0.00271538507027916
mix_100	0.00115602062060062	0.000598496047754639	0.000935059064555516	0.00087998081316479	0	0.000900882029407547	0.00101772642965099
