Gene,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
mix_34,159.0627,363.8017,701.6383,534.5862,470.335,98.9661,412.0199,280.4271,1149.5153,284.2873,616.8474,140.4079,228.5402,40.7046,170.0203,293.6585,375.8772,530.2194,1627.606,179.7162,346.6501
mix_35,189.9139,400.621,708.0863,528.9964,475.6264,101.942,411.9404,256.8078,989.9468,307.7636,563.9539,136.039,201.9096,40.8105,163.7002,342.7943,444.3086,630.0273,1514.7239,204.4506,334.038
mix_36,265.5519,434.0342,874.3299,529.5302,425.8554,109.1438,406.8524,220.4787,679.4575,376.397,454.9733,127.2639,175.8303,42.3375,157.8642,437.9098,678.0232,651.7453,1245.1175,248.7584,320.6333
mix_37,258.5441,430.0637,858.9189,518.2571,425.5612,106.3707,411.522,229.3089,737.0202,349.1497,477.3946,128.4402,184.154,41.8469,158.4404,433.7671,658.5973,642.6756,1259.308,247.1508,326.3131
mix_38,211.3553,458.4792,470.3104,539.2478,464.1212,112.3833,410.9378,198.3434,539.0448,444.2057,403.9867,124.0204,157.3374,44.2274,153.3096,556.706,765.903,810.5664,1300.336,287.8822,299.043
mix_39,276.5427,424.3046,905.4391,533.9042,442.6457,110.9212,402.3788,205.2213,575.4902,417.9292,408.7105,127.1043,153.9617,43.5209,154.6051,412.9856,602.0475,778.6271,1277.6266,263.0485,308.417
mix_40,215.7915,404.9749,806.1343,522.5172,441.8268,102.5626,416.8515,253.6821,952.2497,312.7697,557.0984,133.3162,206.0323,40.8641,164.9238,355.2357,525.6017,550.9722,1514.3111,210.2622,326.8552
mix_41,171.8966,371.8972,710.3259,533.393,484.0709,100.0957,408.6659,267.994,1092.2463,298.0422,597.5309,138.3193,214.3608,39.8223,165.9443,307.7211,386.743,580.7588,1606.7299,189.5029,340.6287
mix_42,292.789,484.4516,815.0067,529.8309,455.7131,113.0464,411.5238,198.508,465.6707,420.5711,377.8527,127.8728,147.9214,44.4682,153.2311,506.4221,759.929,806.0783,1117.9973,285.3309,301.949
mix_43,177.3951,427.7305,424.9696,546.8599,468.3003,107.5074,411.2105,223.9111,768.6193,383.0062,489.7271,128.9796,182.5588,41.5434,157.379,451.6183,568.4554,765.3841,1454.7481,244.0497,319.2419
mix_44,188.7117,437.4563,475.5846,541.8168,462.415,105.7111,415.6237,218.9649,720.0838,397.3394,462.503,130.2129,180.0251,43.1919,157.3929,484.7899,657.6914,733.5846,1387.2319,259.1506,315.3468
mix_45,171.616,429.8221,474.6363,522.7238,458.372,105.7911,422.5921,243.0904,893.2496,316.1402,529.7079,135.154,198.5534,43.051,161.8772,463.4083,604.1962,659.2302,1346.0967,233.95,326.2547
mix_46,225.913,459.8329,583.2637,529.1652,472.3849,110.4997,412.2851,207.6672,593.6356,401.5004,420.0231,128.2785,155.1351,41.4829,154.6469,482.8913,642.6337,857.2921,1303.8388,267.2943,304.9303
mix_47,218.8654,408.4944,816.206,521.3739,444.5454,102.6914,413.2832,251.6577,939.9311,306.0188,552.5331,134.3868,204.014,40.3414,164.8798,352.1343,513.0474,575.2158,1463.8871,208.8416,331.6334
mix_48,225.448,336.7507,1293.5424,532.3667,454.0753,98.8893,399.0343,285.3052,1146.8945,289.4944,614.5763,139.0655,224.23,40.5616,172.644,187.5102,305.7297,448.7952,1756.6609,163.8883,347.0398
mix_49,219.9605,379.6481,985.8252,528.78,464.2256,101.5939,405.2649,260.6637,994.5747,316.3206,561.9949,132.2673,204.4473,39.9081,165.1885,280.2104,402.637,562.5686,1608.7358,192.606,337.6305
mix_50,263.12,475.0682,732.804,524.1809,430.5513,112.0555,418.183,207.8891,577.9817,382.2963,418.9629,128.6612,164.0141,44.1434,155.0522,514.7869,741.1227,758.8086,1145.0806,274.5537,309.1663
mix_51,224.0112,349.7444,1111.0053,535.4413,443.4878,101.2709,399.9222,271.6581,1089.1424,303.3033,589.8166,137.1133,215.6377,39.5686,168.2583,243.395,374.9437,493.2538,1630.2544,179.6613,342.529
mix_52,299.8227,436.957,935.1519,529.8248,432.2734,113.1706,400.96,202.0305,507.751,429.5859,392.173,126.366,154.0119,43.0861,153.1313,443.6488,709.8274,736.5148,1210.7132,276.9657,303.5677
mix_53,228.6419,378.5084,1033.9859,528.1385,459.403,101.2057,406.3339,263.402,1040.9529,305.3435,567.8853,134.8351,207.8729,39.7326,167.5047,271.0878,402.4609,526.0474,1605.4816,189.0928,334.6852
mix_54,289.638,482.2076,808.361,518.8769,463.8016,114.0324,414.4554,201.957,484.9904,391.6858,387.7778,131.1473,144.0761,42.9562,151.7683,489.0368,712.8811,862.54,1101.3875,280.2361,306.3326
mix_55,218.8204,385.2934,974.9297,527.008,459.4719,101.7358,405.0939,261.7817,1013.9491,306.4933,569.7045,134.9639,206.3028,40.2322,166.9253,289.3238,428.065,546.5236,1566.27,192.9659,337.5545
mix_56,212.9006,446.7301,572.1229,526.1323,438.2749,107.7249,421.8776,229.4644,764.8542,337.6283,492.8544,131.9154,183.2317,42.3994,157.9747,480.7855,660.6605,700.6,1246.8084,248.2662,322.6856
mix_57,164.1143,395.7103,547.8649,532.6993,474.6921,102.6942,411.9606,256.755,999.3851,323.4431,570.8046,133.004,210.541,40.7799,164.3388,378.4896,492.6798,602.1773,1519.2736,210.76,328.0977
mix_58,220.2934,426.25,684.5362,544.9933,455.5672,103.4391,412.7285,225.1639,732.8782,375.9108,467.4507,127.9421,178.6695,41.7548,160.8317,428.9853,597.2238,705.3077,1354.9811,244.1183,321.4913
mix_59,164.5521,389.3671,626.5426,527.0721,485.8989,100.0082,409.3172,265.9958,1064.0952,300.1892,585.9097,137.0058,210.5728,41.0065,164.3873,330.0792,400.8794,613.6913,1638.6937,194.7593,335.8784
mix_60,261.2025,425.1586,927.5391,518.3702,438.5114,106.0409,413.1839,240.4443,814.717,315.2699,505.7436,135.2521,183.9722,41.2923,162.0736,369.5805,551.7421,642.9824,1302.9357,224.1296,328.2379
mix_61,267.7021,516.7282,611.6642,546.0611,439.8568,118.6368,424.7055,195.319,448.7526,418.858,373.286,127.6321,154.5317,46.3068,154.2142,596.8424,859.0266,809.9037,1076.4343,303.9394,292.8383
mix_62,244.9015,457.1679,619.0412,541.2061,445.7869,112.3925,414.6975,199.3237,540.5769,423.5647,405.7352,125.9905,158.4966,43.3389,153.9946,524.2442,754.5229,772.1986,1228.6738,283.5115,302.3638
mix_63,171.0523,396.3992,618.0109,529.4167,466.4115,100.9314,412.8819,262.9704,1035.3028,301.9185,581.9409,136.0404,212.9285,41.2435,165.7061,358.6571,461.7306,585.8069,1535.7319,202.0793,335.8128
