ID,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
S10111,6.262422,6.20536,7.016228,5.955326,5.786738,5.537646,6.637118,5.952054,5.767744
S10116,6.344804,6.006494,7.010674,6.064606,5.660206,5.69586,6.412886,5.74125,5.884034
S10119,6.284382,6.033362,6.877216,5.947116,5.785878,5.513428,6.495424,5.910836,5.81172
S10121,6.277856,6.02681,6.754474,5.898854,5.678906,5.474284,6.454246,5.80226,5.683654
S10130,6.39299,6.016828,6.823474,5.911682,5.72418,5.559142,6.459944,5.70897,5.74242
S10140,6.356374,6.260072,6.93986,5.919238,5.651766,5.461444,6.612166,5.825198,5.66493
S10142,6.24459,6.126914,6.854198,5.907112,5.66098,5.412422,6.543874,5.898668,5.68418
S10150,6.409278,6.032128,6.74835,5.982186,5.650082,5.702892,6.410872,5.62427,5.67696
S10155,6.274564,6.14328,6.992814,5.984612,5.802638,5.570196,6.493868,5.859006,5.832008
S1016,6.234174,5.972626,6.71011,5.863934,5.584304,5.521014,6.363016,5.729976,5.621456
S10163,6.497074,6.121336,7.066448,6.066568,5.716796,5.686714,6.51975,5.693406,5.800412
S10167,6.346392,6.067432,6.945992,5.98312,5.773434,5.588614,6.508546,5.76292,5.785456
S10168,6.250992,6.075496,6.83624,5.923978,5.689994,5.489496,6.524048,5.855472,5.679264
S10173,6.219778,6.056838,6.942684,5.972392,5.705798,5.495664,6.471754,5.857018,5.794636
S10175,6.302828,6.106098,6.881646,5.93029,5.655472,5.530132,6.491674,5.759594,5.64186
S10179,6.228532,6.226462,7.176694,5.989936,5.812974,5.597436,6.810112,6.06017,5.786564
S10186,6.198684,6.086768,6.916716,5.876608,5.691968,5.464614,6.524176,5.97985,5.763662
S1019,6.32581,6.035324,6.845744,5.964334,5.730644,5.47377,6.459478,5.820704,5.719472
S10190,6.200504,6.160124,7.023906,5.959572,5.86197,5.53651,6.593652,6.033028,5.846258
S10195,6.36204,6.125972,6.965104,5.93927,5.690344,5.631426,6.555638,5.771248,5.767802
S10196,6.35974,6.120724,7.03286,5.984884,5.749242,5.615392,6.689186,5.902562,5.846832
S10200,6.360162,6.03303,6.863096,5.89978,5.624614,5.492502,6.489596,5.781988,5.632732
S10201,6.392496,6.062012,6.768962,5.902442,5.554584,5.583204,6.347502,5.618926,5.618594
S10202,6.314606,5.94613,6.848668,5.971208,5.585818,5.482882,6.46219,5.699548,5.693876
S10205,6.30828,6.324964,7.08007,5.925736,5.702124,5.595932,6.63398,5.859318,5.767028
S10211,6.240018,5.967928,6.687172,5.837992,5.723732,5.484346,6.406446,5.81279,5.693158
S10221,6.378668,6.220564,7.11789,5.963336,5.790338,5.649446,6.718416,5.94105,5.88527
S10222,6.271242,5.992224,6.785582,5.877152,5.596438,5.546596,6.316762,5.697662,5.660184
S10226,6.286016,6.155338,6.865262,5.890468,5.683608,5.53675,6.53669,5.862122,5.643048
S10227,6.365928,6.143482,6.935648,5.981784,5.688964,5.530096,6.500952,5.754748,5.69877
S10228,6.272536,6.06739,6.831932,5.895752,5.661662,5.52612,6.501748,5.772624,5.72035
S10232,6.093822,5.906372,6.7855,5.923528,5.79099,5.568032,6.389782,5.80437,5.799406
S10248,6.079428,6.075212,6.788804,5.838906,5.754046,5.559154,6.499318,5.92387,5.699252
S10249,6.384774,6.076618,6.935104,5.95218,5.59898,5.557362,6.45833,5.731006,5.64722
S1025,6.328086,6.109304,6.887404,5.974986,5.707954,5.441738,6.546022,5.926966,5.711168
S10266,6.404232,6.05792,6.901502,6.003584,5.66307,5.674584,6.347546,5.702688,5.786294
S10269,6.324032,6.107578,6.732294,5.943372,5.60349,5.51328,6.381308,5.748084,5.655906
S10272,6.259054,6.04298,6.746372,5.901364,5.554742,5.605488,6.445242,5.76099,5.63326
S10273,6.327998,6.142408,6.872974,5.924408,5.659944,5.519726,6.467956,5.746022,5.604934
S10274,6.330972,6.133288,6.896966,5.909344,5.651746,5.55544,6.565436,5.87709,5.74765
S1028,6.134974,6.099414,6.845732,5.836334,5.717584,5.51533,6.570852,5.856448,5.70047
S10280,6.40157,6.10896,7.195998,5.964612,5.78219,5.574876,6.697876,5.983948,5.716224
S10283,6.265524,6.070282,7.034498,5.957108,5.721864,5.469072,6.634172,6.002128,5.7315
S1029,6.300034,6.13263,6.927268,5.999616,5.717536,5.498886,6.513422,5.85157,5.742114
S10292,6.252014,6.103262,6.826632,5.896892,5.728514,5.457846,6.437332,5.840362,5.76381
S10294,6.175634,6.12638,6.910266,5.877386,5.74193,5.421066,6.584858,5.929022,5.758448
S10302,6.297314,6.032846,6.882016,5.904166,5.636102,5.575486,6.494252,5.829792,5.78313
S10303,6.30895,5.974954,6.843438,5.958158,5.668658,5.53528,6.354346,5.673794,5.695574
S10323,6.348234,6.122252,6.922416,5.967658,5.643086,5.559828,6.513144,5.73395,5.747486
S10326,6.356068,6.068426,6.889538,5.903142,5.629282,5.470584,6.557892,5.860392,5.729348
S10328,6.362486,6.008252,6.919734,5.998654,5.723206,5.475164,6.534808,5.825284,5.726784
S10329,6.35627,6.149914,6.944084,5.95882,5.681338,5.549698,6.57201,5.89556,5.780484
S10336,6.355866,6.127234,6.823108,5.929124,5.638816,5.483066,6.462534,5.696454,5.673224
S10340,6.29525,6.082318,6.888802,5.970374,5.6561,5.500268,6.44687,5.81957,5.710922
S10347,6.328806,5.912828,6.761792,5.948048,5.68747,5.608048,6.292526,5.612684,5.758866
S10353,6.329418,6.153318,6.81848,5.92757,5.643758,5.558532,6.465438,5.758004,5.69162
S10356,6.34535,6.075342,6.818048,5.97575,5.675476,5.565498,6.378534,5.727366,5.751484
S10358,6.368398,6.124594,6.961688,5.854438,5.613974,5.532766,6.549774,5.762,5.686382
S10365,6.283476,6.026236,6.798392,5.894036,5.681302,5.42953,6.402132,5.736986,5.643314
S1037,6.20397,6.097392,6.9453,5.946872,5.804082,5.494228,6.534712,5.912512,5.828126
S10373,6.350816,6.14362,7.029388,5.996776,5.831534,5.611544,6.565492,5.883994,5.808296
S10374,6.12706,6.056732,6.601594,5.821384,5.707342,5.492198,6.328054,5.782724,5.705092
S10375,6.331338,6.032882,7.088596,5.98449,5.835424,5.631986,6.667928,5.875172,5.785262
S10377,6.27312,6.001604,6.81991,5.944196,5.82967,5.594684,6.436166,5.77997,5.867474
S10378,6.274,6.12466,7.036626,5.944788,5.773912,5.562994,6.68122,5.977786,5.792282
S10390,6.32499,5.891518,6.580178,5.984766,5.611166,5.620444,6.165382,5.52979,5.742818
S10391,6.217494,6.105216,6.827906,5.850144,5.68069,5.531548,6.473206,5.760778,5.745852
S10393,6.153124,6.057128,6.77406,5.873628,5.79427,5.489252,6.478564,5.917706,5.730188
S10400,6.416504,6.045942,6.984334,6.03975,5.713606,5.506572,6.48877,5.738624,5.751854
S10401,6.448278,6.106798,6.956622,5.993302,5.682196,5.60841,6.438716,5.709226,5.760378
S10406,6.276436,6.075448,6.761142,5.867832,5.65511,5.526708,6.431466,5.6957,5.696362
S10408,6.481666,6.145088,7.070844,6.002552,5.660252,5.624706,6.517312,5.742738,5.820622
S10409,6.266992,6.191848,6.973276,5.988928,5.79952,5.632102,6.658916,6.01249,5.849308
S10418,6.377762,5.970104,6.594844,5.919968,5.698154,5.579396,6.182968,5.451006,5.68818
S10431,6.352788,5.975272,6.789828,5.978962,5.756432,5.56199,6.418658,5.742378,5.75349
S10438,6.353966,6.10788,6.90278,5.978116,5.738536,5.546496,6.548084,5.85334,5.769426
S10439,6.3499,6.149182,7.035634,5.963892,5.688774,5.628056,6.70283,5.829532,5.776578
S10441,6.443496,6.094088,7.062452,5.903392,5.728396,5.559994,6.574588,5.823508,5.677828
S10442,6.354868,6.20062,7.03524,5.994986,5.716148,5.587048,6.549898,5.802356,5.723282
S1046,6.348576,6.121026,6.941684,5.961798,5.712226,5.529972,6.545946,5.729226,5.666404
S10478,6.479944,6.147546,6.837216,5.941562,5.624096,5.563532,6.415622,5.66038,5.678512
S10480,6.217748,5.960946,6.73007,5.958006,5.659564,5.512422,6.414608,5.792344,5.70111
S10484,6.439606,6.122892,6.971214,5.97798,5.656162,5.60115,6.455586,5.724932,5.766036
S10492,6.311256,6.16107,7.264766,6.006722,5.882106,5.628448,6.764034,6.040658,5.85109
S10496,6.241658,6.24875,6.982912,5.91129,5.746246,5.452928,6.627362,5.971644,5.702834
S10510,6.155344,5.996436,6.629904,5.82602,5.547468,5.511612,6.382884,5.777736,5.673212
S10513,6.30353,6.023142,6.92228,5.941288,5.664696,5.52239,6.50391,5.810996,5.590018
S10516,6.328724,6.06318,6.81476,5.955992,5.587968,5.507418,6.397014,5.720376,5.698938
S10534,6.300512,6.066066,6.853188,5.901584,5.751052,5.472984,6.530222,5.906094,5.742136
S10535,6.169848,6.114202,6.745748,5.836388,5.789018,5.444712,6.515992,5.909082,5.73246
S10537,6.402166,6.113656,7.005466,5.994124,5.686852,5.512738,6.57377,5.791046,5.72129
S1054,6.328486,6.017748,6.821034,5.947286,5.638838,5.547646,6.407132,5.775056,5.67647
S10543,6.33112,6.166576,6.916936,5.94581,5.636188,5.506448,6.58101,5.851268,5.745468
S10546,6.07314,6.049748,6.783644,5.80666,5.682528,5.470426,6.412088,5.81732,5.628756
S1055,6.359136,6.0629,6.737524,5.908366,5.59911,5.524568,6.366344,5.59369,5.617118
S10551,6.3504,6.060772,6.83898,5.951956,5.52194,5.5773,6.349234,5.709716,5.688156
S10552,6.397074,6.055484,6.791666,5.942072,5.634598,5.58673,6.399364,5.653642,5.704838
S10555,6.329196,6.193058,7.110066,6.00928,5.722212,5.511548,6.694922,6.001798,5.815724
S10559,6.313792,6.048892,6.833118,5.890742,5.688328,5.452044,6.467116,5.784424,5.649308
S1056,6.27677,6.158036,6.920094,5.931934,5.77618,5.565698,6.532794,5.890834,5.775686
S10563,6.428564,6.128074,6.971872,6.030572,5.689352,5.5547,6.474036,5.77975,5.748562
S10574,6.295936,6.133522,6.908284,5.944896,5.684382,5.49521,6.603526,5.937996,5.749276
S10576,6.264608,6.03571,6.705478,5.918398,5.66356,5.512976,6.371558,5.714032,5.719544
S10578,6.256894,5.993406,6.78376,5.885138,5.631988,5.46608,6.444454,5.716966,5.65333
S10579,6.256654,6.118918,6.774094,5.882432,5.610172,5.51427,6.543462,5.8339,5.708832
S10582,6.269994,6.161268,6.88842,5.885306,5.666574,5.494028,6.583702,5.832738,5.697668
S1059,6.402672,6.173622,7.043438,5.970808,5.682708,5.502858,6.604746,5.86072,5.7884
S10599,6.296954,6.071056,6.964024,5.85185,5.742176,5.528176,6.622146,5.837398,5.65357
S10611,6.318982,6.05952,6.857662,5.883258,5.701026,5.481774,6.497396,5.818158,5.68696
S10614,6.438922,6.104632,6.896188,5.989434,5.69766,5.506018,6.489218,5.749464,5.676882
S10624,6.307782,6.132402,6.778752,5.885062,5.664442,5.475356,6.421882,5.766244,5.662212
S10632,6.28833,6.030658,6.625888,5.84816,5.67973,5.466838,6.370912,5.729438,5.66063
S10634,6.259414,6.109884,6.775098,5.884848,5.662574,5.490852,6.4865,5.889626,5.695508
S10638,6.380508,6.055492,7.010066,5.955328,5.718346,5.57364,6.539778,5.812068,5.758136
S10644,6.260102,6.040978,6.954348,5.952568,5.664894,5.55352,6.568582,5.921698,5.771506
S10649,6.244972,6.137668,6.782204,5.898628,5.594138,5.545558,6.49778,5.80546,5.646094
S10652,6.32953,6.164048,6.768486,5.831604,5.617448,5.514204,6.437884,5.668892,5.67084
S10654,6.237384,6.078902,6.813414,5.875496,5.762596,5.48313,6.574246,5.93847,5.729112
S10655,6.261166,6.081126,6.773374,5.897936,5.70919,5.459864,6.472134,5.81424,5.658862
S10656,6.29774,6.181076,7.03787,5.956082,5.763664,5.58587,6.770636,6.007138,5.772676
S10657,6.355634,6.088288,6.920166,5.889144,5.662846,5.55777,6.489536,5.709424,5.78184
S10658,6.270798,6.166008,7.00454,5.915342,5.798496,5.49447,6.688342,6.003678,5.805704
S10660,6.283568,5.992264,6.797022,5.944548,5.672964,5.472584,6.37155,5.808428,5.734734
S10661,6.217038,6.226642,6.963984,5.938372,5.709066,5.49814,6.558552,5.924892,5.718144
S10676,6.28883,6.243042,6.899952,5.848174,5.581822,5.387506,6.58989,5.858444,5.668498
S1068,6.309748,6.18393,6.946818,5.965788,5.722688,5.477698,6.562042,5.869688,5.717742
S10681,6.196568,6.002548,6.644846,5.867576,5.681914,5.519326,6.41393,5.742874,5.730766
S10686,6.324424,5.937206,6.67872,5.925946,5.626112,5.521982,6.29683,5.669956,5.673696
S10688,6.317298,6.121116,7.078736,5.956826,5.698052,5.5577,6.63494,5.930304,5.694672
S10690,6.377634,6.059146,6.839496,5.948582,5.667282,5.599424,6.419204,5.723936,5.786052
S10698,6.26525,6.023048,6.766074,5.90991,5.641784,5.494666,6.438944,5.839986,5.694548
S107,6.279748,6.057668,6.97877,6.036648,5.749978,5.602884,6.59116,5.94714,5.863194
S10703,6.211462,6.055146,6.877826,5.915668,5.84509,5.449782,6.58668,5.901006,5.670668
S10726,6.312654,6.079192,6.929604,6.004522,5.759444,5.586482,6.508316,5.831988,5.792102
S10729,6.451498,6.120008,6.97226,6.006056,5.715882,5.612954,6.535804,5.79314,5.830866
S10733,6.221502,6.076016,6.865158,5.87191,5.683268,5.469354,6.563492,5.90517,5.67883
S10734,6.29347,6.065968,6.970744,6.002916,5.733546,5.585772,6.464598,5.856198,5.849014
S10735,6.324712,6.138836,6.90758,5.973756,5.670856,5.533818,6.49329,5.79611,5.717896
S10740,6.481384,6.088328,7.074076,6.040872,5.720182,5.576872,6.510858,5.743184,5.77697
S10745,6.404444,6.126688,6.822526,5.912466,5.576492,5.490354,6.515626,5.767668,5.649626
S10748,6.366346,6.033978,6.870462,6.00822,5.710572,5.541548,6.432386,5.736726,5.73049
S10753,6.487012,6.269362,7.214684,6.071566,5.79778,5.6123,6.679282,5.90748,5.814844
S10756,6.282204,6.20103,6.914762,5.900852,5.72021,5.556308,6.60517,5.856446,5.734818
S10757,6.134902,6.080772,7.04093,5.923962,5.902708,5.529786,6.628562,5.989798,5.789984
S1076,6.41821,6.110502,6.971764,5.94883,5.738342,5.573264,6.513032,5.799922,5.781428
S10764,6.434854,6.040576,6.845606,5.959108,5.666246,5.61227,6.396412,5.731186,5.76902
S10767,6.313216,6.102416,6.952262,6.010468,5.766794,5.645394,6.580632,5.920698,5.859988
S10776,6.375508,6.118836,6.902822,5.924144,5.668336,5.562162,6.564622,5.804814,5.671376
S10778,6.33969,6.181072,7.038894,6.014818,5.79787,5.596556,6.594674,5.91056,5.822194
S10784,6.430406,6.114058,6.929666,6.019376,5.668186,5.536698,6.51163,5.730516,5.699328
S10787,6.338498,6.036168,6.87255,5.904718,5.783594,5.477584,6.45001,5.755492,5.698848
S10800,6.326588,6.347148,6.914876,5.9274,5.638866,5.553422,6.595878,5.782906,5.700512
S10805,6.47817,6.142222,6.945412,5.979938,5.702612,5.648414,6.477576,5.820802,5.746318
S10813,6.28615,6.039928,6.79988,5.875492,5.62684,5.447878,6.467938,5.810462,5.65637
S10814,6.155686,5.951142,6.60036,5.840266,5.652862,5.482194,6.315802,5.704872,5.73798
S10815,6.271408,6.215508,6.880956,5.921766,5.662694,5.570392,6.526462,5.92036,5.65953
S10817,6.227632,6.023848,6.7709,5.90214,5.68174,5.530154,6.442904,5.783904,5.764582
S1083,6.258248,6.095666,6.926244,5.900274,5.693672,5.420516,6.572218,5.929912,5.720078
S10835,6.298478,6.067018,6.885032,5.8236,5.62328,5.458608,6.496864,5.755146,5.652058
S10838,6.204304,6.093628,6.847648,5.870886,5.615386,5.512794,6.56865,5.906462,5.65671
S10844,6.193588,6.027476,6.74752,5.8725,5.684206,5.456944,6.420056,5.808972,5.68092
S10845,6.309252,6.162436,6.861412,5.918744,5.609338,5.507744,6.540934,5.776638,5.677224
S10846,6.281864,6.16359,6.94357,5.942954,5.76068,5.543684,6.516404,5.911814,5.799508
S10853,6.21844,6.043776,6.733214,5.867404,5.617572,5.49088,6.437562,5.752656,5.612084
S10854,6.309592,6.13248,6.88534,5.96112,5.756764,5.497138,6.511072,5.89107,5.723492
S10865,6.380438,6.08629,6.93628,5.969362,5.715088,5.575976,6.525534,5.783788,5.72337
S10866,6.282544,6.125986,6.916078,5.848502,5.695928,5.469562,6.614632,5.948874,5.685772
S10869,6.404994,6.111874,6.996652,5.912142,5.609994,5.50467,6.576146,5.756686,5.64943
S10873,6.350242,6.229304,6.972312,5.933368,5.688174,5.561796,6.484214,5.725832,5.677506
S10876,6.229568,6.126024,6.959922,5.882566,5.660676,5.455072,6.585074,5.93258,5.760796
S10883,6.407614,6.141852,6.808454,5.962524,5.670448,5.605934,6.481756,5.766842,5.713722
S10885,6.384942,6.085034,7.04019,6.033722,5.832794,5.569636,6.516484,5.793904,5.844894
S10893,6.27095,6.035664,6.737512,5.893928,5.654272,5.528396,6.435022,5.751524,5.704992
S10895,6.370192,6.123716,6.932338,5.920606,5.654678,5.546186,6.5664,5.777608,5.655924
S10902,6.214156,6.071854,6.78131,5.881916,5.703152,5.469534,6.462492,5.844588,5.699916
S10903,6.334684,6.074084,6.97887,5.996306,5.833268,5.684816,6.582588,5.865092,5.85755
S1092,6.286024,6.184798,6.856336,5.945718,5.730848,5.484304,6.497958,5.808238,5.627486
S10925,6.351326,6.0991,6.825504,5.925738,5.633592,5.515376,6.46948,5.81005,5.72463
S10927,6.442036,6.098666,7.049158,6.006552,5.791254,5.56478,6.616316,5.79509,5.751422
S10936,6.297438,6.160586,7.05088,5.963102,5.779912,5.540952,6.664532,5.92177,5.755516
S10945,6.415352,6.15694,6.984142,5.959884,5.705716,5.61596,6.594956,5.807842,5.677996
S10947,6.209286,6.045472,6.66571,5.93758,5.667426,5.514434,6.323446,5.6911,5.726704
S10949,6.191168,6.18717,6.897436,5.89654,5.75505,5.551854,6.631764,6.004494,5.818078
S1095,6.372386,6.028064,6.736976,5.97016,5.658678,5.60869,6.318582,5.614892,5.746736
S10961,6.32594,6.10705,6.870554,5.917954,5.574434,5.584036,6.521764,5.780184,5.61678
S10969,6.28001,6.137948,6.907974,5.912974,5.66465,5.470594,6.590344,5.91228,5.748164
S10972,6.365946,6.176164,6.894858,5.905278,5.68051,5.502224,6.48504,5.710176,5.67528
S10973,6.442808,6.23444,6.932478,5.961636,5.657066,5.604286,6.492202,5.742526,5.72565
S10978,6.316316,6.130182,6.952892,5.95874,5.62692,5.520398,6.534824,5.798418,5.702622
S10979,6.390324,6.213638,6.990994,5.995664,5.716642,5.566402,6.564108,5.85608,5.79032
S10986,6.304828,6.028988,6.844668,5.935388,5.71493,5.485518,6.441374,5.701966,5.69262
S10989,6.285084,6.038876,6.811934,5.863264,5.70774,5.48818,6.478724,5.881164,5.710328
S10995,6.243932,6.120198,6.939578,5.900034,5.730418,5.529152,6.623108,5.884744,5.70387
S11005,6.290974,6.049368,6.839848,5.942956,5.712534,5.611812,6.501898,5.826624,5.81959
S11008,6.33214,6.216238,6.921358,5.947606,5.675482,5.568664,6.507664,5.842068,5.733586
S11010,6.090858,5.844872,6.526554,5.896906,5.698878,5.48871,6.364628,5.784084,5.651338
S11013,6.361676,6.027484,6.928856,5.980992,5.686926,5.50504,6.516872,5.780898,5.709154
S11016,6.297634,6.143412,6.948194,5.920514,5.766398,5.571974,6.634944,5.958672,5.771414
S11017,6.404064,6.142028,6.944496,5.95285,5.659632,5.548348,6.622462,5.71766,5.759816
S11020,6.35942,6.052122,7.045848,5.977852,5.802244,5.60249,6.557714,5.757006,5.769308
S11027,6.326328,6.111408,6.891332,5.840492,5.655038,5.551666,6.547202,5.818282,5.739466
S11035,6.193138,6.08716,6.697382,5.827304,5.626328,5.525442,6.49942,5.819244,5.697762
S11041,6.264994,6.055482,6.720152,5.850084,5.643274,5.499784,6.422056,5.796196,5.6427
S1106,6.325186,6.161134,6.880466,5.945334,5.614676,5.551062,6.54422,5.837532,5.740496
S11071,6.220956,6.02462,6.979278,5.934878,5.775864,5.547686,6.582968,6.010566,5.826638
S11076,6.33475,6.077472,6.81149,5.956486,5.664976,5.566472,6.518418,5.818448,5.713018
S11078,6.342464,6.1475,6.816964,5.916982,5.631392,5.562822,6.496228,5.747362,5.718956
S11081,6.418172,6.026042,6.999426,6.01623,5.739224,5.556472,6.506412,5.852306,5.772748
S11086,6.313848,6.064234,6.856018,5.956244,5.756688,5.536414,6.45587,5.796066,5.751192
S1109,6.411612,6.109564,7.183402,5.954462,5.690274,5.51044,6.652068,5.852692,5.673264
S11096,6.370628,6.131946,6.999342,5.90474,5.716068,5.624872,6.567808,5.750494,5.68098
S11100,6.231328,5.975192,6.795476,5.953022,5.730954,5.600144,6.32937,5.756084,5.76943
S11107,6.301546,6.061718,6.856826,5.963274,5.72815,5.582486,6.445278,5.788314,5.719664
S11109,6.387446,6.151634,6.770012,5.91743,5.631338,5.557774,6.455912,5.75683,5.687344
S1111,6.215536,6.133676,6.968904,5.937292,5.72993,5.548668,6.680736,6.04245,5.786366
S11119,6.259852,6.115236,6.79731,5.907888,5.642424,5.566784,6.408666,5.744826,5.706748
S11127,6.23841,6.107804,6.8879,5.915674,5.777908,5.55891,6.653016,5.956488,5.702784
S11136,6.22587,5.94033,6.799326,5.924338,5.65144,5.541062,6.3308,5.696196,5.65287
S11147,6.315726,6.142064,6.836878,5.896118,5.71975,5.56495,6.504766,5.836508,5.716988
S11150,6.291468,6.159694,6.866566,5.92501,5.69568,5.637496,6.486188,5.773966,5.685198
S11152,6.317848,6.16725,6.789602,5.861954,5.662634,5.488934,6.455202,5.797016,5.677072
S1116,6.345016,6.178104,7.251104,5.981896,5.845908,5.583872,6.759022,5.97424,5.88138
S11163,6.257722,6.19002,6.904778,5.944184,5.762006,5.54175,6.596198,5.902018,5.693204
S11164,6.370032,6.100738,6.843468,5.916916,5.647228,5.537284,6.455484,5.721896,5.659912
S11166,6.263432,5.887788,6.61341,5.844362,5.632198,5.60951,6.111416,5.61035,5.63291
S11173,6.306986,6.29331,6.926846,5.871428,5.680286,5.538782,6.545968,5.798054,5.662428
S11174,6.145704,5.996858,6.719336,5.865512,5.651536,5.431362,6.343294,5.803154,5.691914
S11182,6.24362,6.200486,7.034122,5.960196,5.68646,5.584008,6.68638,5.94654,5.757676
S11188,6.337912,6.044898,6.86568,5.875616,5.672472,5.469108,6.577794,5.850214,5.68619
S11189,6.302902,6.121968,6.970246,5.91246,5.636712,5.511936,6.546452,5.883582,5.73037
S1119,6.22204,6.044682,6.846246,5.951608,5.69557,5.494766,6.466604,5.84397,5.789938
S11195,6.429556,6.229422,7.226318,6.08241,5.75488,5.612318,6.630254,5.919118,5.92266
S11197,6.25821,6.01836,6.68169,5.987046,5.796086,5.549308,6.273618,5.801856,5.733678
S11198,6.424342,6.105904,6.811332,5.881832,5.641564,5.613142,6.467298,5.685256,5.718664
S11211,6.439472,6.050532,6.948648,6.016708,5.74505,5.53055,6.47342,5.726622,5.776128
S11214,6.241144,6.121806,6.78728,5.860578,5.736972,5.506764,6.53173,5.951966,5.718742
S11216,6.443462,6.078534,7.064572,6.048016,5.714668,5.590306,6.56681,5.799474,5.804656
S11224,6.247258,6.115376,6.825302,5.85188,5.646948,5.437856,6.468306,5.805262,5.66255
S11236,6.276196,6.046478,6.896696,5.90887,5.624044,5.52053,6.510552,5.774402,5.674512
S11241,6.215726,6.075162,6.776834,5.868664,5.68748,5.635654,6.41173,5.803584,5.758818
S11243,6.325208,6.009922,6.854934,5.98635,5.728138,5.575432,6.406606,5.726908,5.768858
S11245,6.341708,6.06998,6.721106,5.952698,5.683336,5.574282,6.328224,5.665412,5.73866
S11249,6.301262,5.9432,6.720506,5.972244,5.588844,5.604094,6.280734,5.631316,5.646726
S11274,6.373608,5.883672,6.650868,5.992594,5.692238,5.607524,6.188496,5.562872,5.805716
S11280,6.34149,6.120322,7.045476,6.008608,5.77295,5.582002,6.557714,5.83571,5.790432
S11281,6.330334,6.050156,6.920868,5.959128,5.669954,5.491094,6.528028,5.826116,5.704328
S11285,6.369466,6.044612,6.695392,5.968822,5.570116,5.566632,6.308292,5.747232,5.775728
S11298,6.257634,6.077566,6.961886,6.046712,5.760952,5.52406,6.495756,5.82547,5.802028
S11311,6.2155,6.038866,6.95011,5.85999,5.753368,5.55355,6.522336,5.87708,5.748618
S11312,6.39912,6.07795,7.027212,6.033414,5.730218,5.557374,6.57616,5.79803,5.7806
S11316,6.287854,6.066084,6.948452,5.916848,5.732456,5.522528,6.519314,5.920012,5.721106
S1133,6.284626,6.093126,6.707384,5.90246,5.722308,5.594438,6.340948,5.724782,5.714178
S11330,6.244778,6.080754,6.751222,5.856116,5.651222,5.51555,6.566354,5.814532,5.675034
S11332,6.29385,6.090918,6.978734,5.988272,5.73624,5.527032,6.561152,5.890658,5.847138
