ID,T_cells_(CD4+),B_cells,T_cells_(CD8+),Endothelial_cells,Fibroblasts,Macrophage
S10336,6.408908,5.007702,5.441654,6.096306,5.623244,6.047454
S10340,6.522694,4.949066,5.465696,6.098226,5.599418,6.028576
S10347,6.238462,5.101358,5.291472,6.046184,5.604306,5.943598
S10353,6.474124,5.011464,5.549178,6.06579,5.609616,6.039858
S10356,6.39065,5.075892,5.430112,6.108658,5.585702,6.034856
S10358,6.42489,4.928432,5.532996,6.175662,5.621392,6.144418
S10365,6.368006,4.991072,5.466302,6.055914,5.51687,5.999206
S1037,6.629828,4.989316,5.571882,6.172152,5.656458,6.067504
S10373,6.6095,5.05612,5.659086,6.23359,5.624432,6.111678
S10374,6.249926,5.087502,5.694836,6.005764,5.553442,5.924308
S10375,6.565758,4.994448,5.589286,6.300884,5.695954,6.04237
S10377,6.418848,5.239508,5.624036,6.10769,5.6514,5.964736
S10378,6.648404,4.959418,5.729876,6.280774,5.651986,6.0981
S10390,6.224572,5.136884,5.299772,5.906504,5.461366,5.847296
S10391,6.272764,5.155976,5.653142,6.107006,5.607744,6.068878
S10393,6.342706,5.044832,5.820186,6.129912,5.562754,5.93145
S10400,6.480746,5.027514,5.39522,6.16705,5.627188,6.078626
S10401,6.458396,5.054726,5.397692,6.120468,5.636254,6.106104
S10406,6.286728,5.033392,5.522162,6.0408,5.578408,5.992306
S10408,6.452022,5.030716,5.509586,6.18226,5.709666,6.11735
S10409,6.607442,5.062382,5.896188,6.321752,5.630012,6.11101
S10418,6.136722,5.185916,5.344964,5.895942,5.482142,5.846882
S10431,6.358164,5.027382,5.559536,6.098914,5.532676,6.019594
S10438,6.51919,5.09745,5.617954,6.16036,5.63465,6.04578
S10439,6.515276,4.949638,5.688154,6.302592,5.65629,6.1663
S10441,6.434936,5.004258,5.484732,6.2063,5.662698,6.127754
S10442,6.514376,5.053966,5.539604,6.196108,5.666226,6.11056
S1046,6.420878,4.96397,5.444634,6.146118,5.647592,6.058824
S10478,6.252354,4.991718,5.413832,6.049264,5.5887,6.113916
S10480,6.384836,5.031312,5.500896,6.085722,5.649068,5.98183
S10484,6.40066,5.013018,5.448414,6.120548,5.646098,6.111128
S10492,6.65746,4.992438,5.807458,6.408002,5.798722,6.236276
S10496,6.62708,4.90063,5.681776,6.228448,5.67057,6.082868
S10510,6.285132,5.044142,5.700726,5.99941,5.503216,5.953306
S10513,6.48757,4.936952,5.490582,6.156662,5.637244,6.0351
S10516,6.39627,5.048106,5.470654,6.0784,5.608176,6.012404
S10534,6.561746,4.931952,5.583552,6.133578,5.601622,6.052188
S10535,6.503274,5.00402,5.67757,6.144254,5.547448,6.013554
S10537,6.565598,4.919158,5.476356,6.253856,5.661072,6.100338
S1054,6.41464,5.066346,5.512054,6.128208,5.590756,6.028002
S10543,6.50097,5.023138,5.577064,6.145924,5.66738,6.095322
S10546,6.31234,5.043612,5.633432,6.07469,5.54963,5.90862
S1055,6.21854,5.064492,5.35966,6.04056,5.561042,5.999992
S10551,6.330704,4.961278,5.461482,6.084046,5.59885,6.045812
S10552,6.30849,5.091606,5.438746,5.988112,5.59358,6.013574
S10555,6.695306,5.003604,5.6502,6.273408,5.752226,6.145302
S10559,6.393178,4.953528,5.51299,6.09018,5.584556,6.089552
S1056,6.48369,4.974504,5.608238,6.177112,5.6435,6.08803
S10563,6.442804,4.952754,5.450962,6.196144,5.6835,6.133936
S10574,6.653012,4.889418,5.622168,6.185722,5.669072,6.159092
S10576,6.32221,5.071854,5.586212,6.008534,5.514006,5.899982
S10578,6.25738,5.04713,5.528462,6.045778,5.561628,5.977104
S10579,6.436508,4.904008,5.562746,6.059182,5.58157,6.00344
S10582,6.501726,4.887206,5.606176,6.18324,5.630684,6.082474
S1059,6.54222,5.022308,5.522278,6.238752,5.694974,6.133158
S10599,6.514986,4.942924,5.649186,6.180282,5.589186,6.055418
S10611,6.487158,4.88864,5.536748,6.120028,5.57814,6.078208
S10614,6.49904,4.921506,5.390404,6.111238,5.610872,6.05885
S10624,6.368288,4.964346,5.436202,6.095922,5.571686,6.081308
S10632,6.300702,5.060828,5.416712,5.956108,5.510144,5.94463
S10634,6.490244,4.960518,5.574558,6.085148,5.565596,6.053386
S10638,6.49813,5.031874,5.461266,6.224494,5.60301,6.1162
S10644,6.5855,4.939958,5.678078,6.217964,5.684572,6.073978
S10649,6.399116,4.937792,5.536712,6.034622,5.574856,5.99469
S10652,6.332698,4.967006,5.507002,6.102924,5.595826,6.003542
S10654,6.450444,4.999584,5.674704,6.148484,5.65215,6.035422
S10655,6.490876,4.951182,5.521544,6.06701,5.564756,5.992426
S10656,6.712364,4.884508,5.778238,6.292526,5.732624,6.183512
S10657,6.343452,5.162972,5.535176,6.159576,5.696202,6.04801
S10658,6.682104,4.909156,5.669578,6.274952,5.66581,6.138362
S10660,6.373394,5.092986,5.590374,6.113452,5.539168,6.018468
S10661,6.58901,4.997898,5.56603,6.152844,5.645354,6.09497
S10676,6.439542,4.883844,5.674986,6.209272,5.60345,6.17852
S1068,6.552092,4.917772,5.49409,6.194702,5.622002,6.152736
S10681,6.238658,5.11171,5.550856,6.040846,5.547508,5.923974
S10686,6.269472,5.040356,5.501144,6.0567,5.498746,5.956528
S10688,6.738164,4.91328,5.5875,6.26088,5.706168,6.159756
S10690,6.352272,5.084132,5.462614,6.124132,5.5674,6.063726
S10698,6.513476,4.886034,5.54604,6.08586,5.585208,6.054348
S107,6.636336,5.00761,5.671954,6.233324,5.67728,6.082784
S10703,6.62447,4.930124,5.62371,6.157996,5.608494,6.04441
S10726,6.554564,5.026926,5.608168,6.20256,5.65677,6.06482
S10729,6.467322,5.101904,5.575936,6.18209,5.695316,6.140192
S10733,6.504116,4.880062,5.649888,6.17519,5.612746,6.043578
S10734,6.435968,5.056518,5.626196,6.218558,5.664156,6.048212
S10735,6.530318,5.066696,5.499782,6.12188,5.619398,6.04049
S10740,6.47483,4.997798,5.436868,6.215146,5.675362,6.146168
S10745,6.331662,4.95505,5.46209,6.126004,5.575034,6.095212
S10748,6.414208,5.094828,5.44742,6.14682,5.618764,6.028926
S10753,6.682642,4.974464,5.549306,6.311306,5.756666,6.249526
S10756,6.49359,4.981848,5.658846,6.207294,5.602246,6.10926
S10757,6.734274,4.938462,5.66166,6.30415,5.692228,6.051244
S1076,6.504454,4.92144,5.441844,6.214266,5.6633,6.114738
S10764,6.355284,5.047042,5.470872,6.104452,5.599104,6.054754
S10767,6.578046,5.139818,5.66642,6.255208,5.655018,6.180292
S10776,6.489286,4.855648,5.510372,6.172446,5.630846,6.104946
S10778,6.57828,5.002926,5.617482,6.20058,5.699056,6.11174
S10784,6.4588,4.900876,5.308144,6.127064,5.679542,6.118638
S10787,6.476752,5.028918,5.435016,6.085128,5.599994,6.028154
S10800,6.501028,5.006434,5.568688,6.285724,5.671566,6.08134
S10805,6.41579,5.09043,5.509204,6.1903,5.684882,6.120738
S10813,6.437012,4.91167,5.485998,6.115862,5.581318,5.983962
S10814,6.194262,5.09641,5.607124,5.950536,5.493928,5.847772
S10815,6.519646,4.975856,5.605182,6.16249,5.625418,6.090674
S10817,6.358286,5.036912,5.614392,6.090252,5.5821,5.956584
S1083,6.527232,4.88894,5.62404,6.135438,5.59258,6.138158
S10835,6.33329,4.990662,5.659106,6.167548,5.624314,6.1133
S10838,6.464292,4.93139,5.700622,6.139718,5.604354,6.02511
S10844,6.357136,4.956706,5.528178,6.035958,5.521702,5.963814
S10845,6.423566,4.913192,5.537938,6.11536,5.612388,6.10392
S10846,6.577186,5.013958,5.64645,6.202174,5.651642,6.07645
S10853,6.27117,5.023918,5.675936,6.065354,5.546336,5.958604
S10854,6.61383,4.93457,5.601118,6.191426,5.647456,6.097954
S10865,6.521112,4.970368,5.517174,6.181604,5.6263,6.092296
S10866,6.496834,4.905416,5.69551,6.196734,5.634804,6.119038
S10869,6.378812,4.920666,5.535076,6.160926,5.609192,6.134902
S10873,6.405002,5.02961,5.492022,6.108594,5.59624,6.106902
S10876,6.564886,4.88448,5.684692,6.251556,5.6563,6.12455
S10883,6.39593,5.080624,5.605762,6.185718,5.624982,6.095614
S10885,6.483082,5.119784,5.712498,6.207854,5.736514,6.069692
S10893,6.378964,4.931244,5.577978,6.10157,5.484424,6.00907
S10895,6.48341,4.959412,5.47828,6.14153,5.687354,6.05022
S10902,6.393858,5.034622,5.575606,6.05074,5.555188,6.005506
S10903,6.44106,5.147808,5.722092,6.18023,5.65411,6.086412
S1092,6.484404,4.907992,5.52898,6.086776,5.588126,6.047904
S10925,6.41625,4.998542,5.569402,6.12663,5.604914,6.139782
S10927,6.54239,4.909766,5.43492,6.18385,5.65686,6.117514
S10936,6.633538,4.92365,5.615116,6.268528,5.71311,6.216262
S10945,6.475302,4.924218,5.483558,6.216668,5.655866,6.156672
S10947,6.268066,5.11291,5.48957,5.99312,5.532384,5.935594
S10949,6.511694,5.002788,5.79141,6.203152,5.603256,6.082738
S1095,6.289082,5.139042,5.310892,6.043514,5.56648,5.989218
S10961,6.38188,4.975186,5.60888,6.108926,5.635658,6.08214
S10969,6.532356,4.889428,5.585482,6.19858,5.632318,6.074816
S10972,6.413482,5.025926,5.459158,6.198656,5.625216,6.064304
S10973,6.449576,5.003506,5.49682,6.151248,5.642878,6.111482
S10978,6.509958,4.940864,5.539964,6.159614,5.611052,6.09414
S10979,6.558242,5.01796,5.652016,6.237966,5.681564,6.168978
S10986,6.330592,5.011134,5.376548,6.066638,5.617488,6.038726
S10989,6.457616,4.969972,5.561142,6.102618,5.580258,6.043464
S10995,6.606094,4.90621,5.669546,6.220916,5.612232,6.063318
S11005,6.441044,5.054426,5.706006,6.199702,5.637102,6.039896
S11008,6.504076,5.01162,5.529136,6.134878,5.616424,6.068782
S11010,6.211234,4.997926,5.608064,6.008796,5.47256,5.902656
S11013,6.493512,4.887572,5.4324,6.179832,5.65273,6.09288
S11016,6.486432,4.997836,5.769256,6.269188,5.671194,6.14928
S11017,6.42469,4.97013,5.44087,6.185858,5.592718,6.190752
S11020,6.482288,5.038378,5.526032,6.250474,5.682198,6.066464
S11027,6.396606,4.98692,5.61338,6.167038,5.616814,6.02734
S11035,6.325292,4.965094,5.69387,6.05105,5.551716,5.996878
S11041,6.447016,4.916036,5.508596,6.06403,5.569074,6.031502
S1106,6.49158,4.985612,5.586716,6.131942,5.613252,6.086498
S11071,6.628762,5.00218,5.784208,6.251062,5.644264,6.046244
S11076,6.48833,4.972128,5.534856,6.134556,5.636748,6.062638
S11078,6.443448,4.9734,5.469038,6.119036,5.592314,6.0565
S11081,6.548044,4.989126,5.455298,6.168356,5.651292,6.091008
S11086,6.41418,5.060066,5.50457,6.099026,5.628022,6.034748
S1109,6.55671,4.953188,5.60434,6.306464,5.691872,6.221742
S11096,6.44987,4.96052,5.571214,6.145304,5.653164,6.137648
S11100,6.432602,5.038582,5.398122,6.016428,5.541702,5.910258
S11107,6.47549,4.933198,5.46878,6.12141,5.61755,6.016242
S11109,6.298846,5.053972,5.564106,6.122004,5.593618,6.061196
S1111,6.686034,5.007264,5.87091,6.313118,5.639544,6.150102
S11119,6.417136,5.005198,5.516322,6.044344,5.604372,5.994574
S11127,6.487506,5.05255,5.829514,6.228256,5.623102,6.14699
S11136,6.38306,5.124196,5.373694,6.03456,5.590416,5.869834
S11147,6.451104,4.976898,5.570116,6.102266,5.619818,6.07407
S11150,6.442438,5.004508,5.57977,6.087806,5.622808,6.015422
S11152,6.373174,5.034516,5.598916,6.085726,5.581668,6.045364
S1116,6.742656,5.00131,5.774334,6.350996,5.803212,6.197434
S11163,6.624664,4.900326,5.555952,6.111264,5.641092,6.084072
S11164,6.369834,4.98566,5.442508,6.116368,5.575112,5.997276
S11166,6.15869,5.230764,5.349032,5.968346,5.526048,5.91751
S11173,6.516564,4.95413,5.596164,6.19565,5.60921,6.070024
S11174,6.363418,4.97614,5.554468,6.052436,5.526194,5.874618
S11182,6.7204,4.904964,5.609928,6.250938,5.72009,6.12138
S11188,6.452046,4.889466,5.580544,6.15681,5.584492,6.08731
S11189,6.611512,4.85979,5.546844,6.172734,5.618934,6.109078
S1119,6.539678,5.018528,5.59732,6.153306,5.579742,6.045422
S11195,6.724968,4.930058,5.524334,6.340672,5.712046,6.208846
S11197,6.395014,5.055444,5.409978,6.05118,5.549358,5.889322
S11198,6.268564,4.94637,5.42756,6.084516,5.60305,6.059762
S11211,6.443196,5.003062,5.391234,6.15898,5.66864,6.105874
S11214,6.417558,5.060496,5.77289,6.128368,5.571364,6.096164
S11216,6.60538,4.951576,5.411072,6.23222,5.662732,6.094438
S11224,6.451956,4.916056,5.523452,6.12337,5.586062,5.992318
S11236,6.477524,4.927456,5.535834,6.13717,5.592488,6.027898
S11241,6.377746,5.075924,5.653944,6.069704,5.542288,5.939472
S11243,6.472708,5.039898,5.472388,6.096428,5.59339,5.98946
S11245,6.274138,5.102934,5.382086,6.055168,5.569034,5.996288
S11249,6.34262,5.005168,5.3714,6.0213,5.539602,5.933352
S11274,6.271462,5.16483,5.30262,6.018144,5.55435,5.884146
S11280,6.592872,5.031368,5.581388,6.260834,5.63883,6.103596
S11281,6.52479,4.988326,5.472782,6.147598,5.657362,6.071644
S11285,6.325022,5.094868,5.4643,6.031244,5.530014,5.989636
S11298,6.508988,5.073972,5.56359,6.188986,5.680452,6.028918
S11311,6.547228,5.032792,5.653286,6.087034,5.63312,6.028296
S11312,6.575166,4.935624,5.412122,6.253598,5.6853,6.06129
S11316,6.56659,4.95435,5.60525,6.184142,5.648836,6.074686
S1133,6.327674,5.11161,5.521312,6.013532,5.556724,6.007642
S11330,6.438462,4.986918,5.532582,6.105534,5.605214,5.990704
S11332,6.606772,4.915588,5.549908,6.21594,5.664586,6.071142
S11334,6.402466,4.98529,5.60603,6.160496,5.618714,6.07789
S11335,6.403214,4.956096,5.408084,6.114636,5.60294,6.032314
S11345,6.410488,5.185532,5.30912,6.076936,5.672038,5.959798
S11349,6.613058,5.011032,5.557908,6.334792,5.73369,6.163756
S1135,6.455372,5.027952,5.527522,6.19129,5.606862,6.152426
S11352,6.377006,5.121124,5.511274,6.025028,5.548288,5.935626
S11353,6.434884,4.913708,5.429528,6.11726,5.623602,6.081092
S11368,6.373976,5.073576,5.66845,6.147804,5.648508,6.112226
S11369,6.438934,4.985646,5.404256,6.136768,5.615438,6.093424
S11371,6.411282,5.077732,5.636354,6.065534,5.644148,5.971792
S11377,6.352742,5.012924,5.481012,6.120688,5.575712,6.027194
S11378,6.234208,5.006244,5.640372,6.129086,5.536592,5.935738
S11383,6.667494,4.987232,5.737528,6.21984,5.644724,6.118614
S11384,6.421784,5.088306,5.805712,6.170646,5.62768,5.967626
S11392,6.496184,5.051284,5.453244,6.09191,5.598516,6.0155
S1140,6.283244,5.09449,5.490588,6.098472,5.530036,5.92823
S11410,6.513104,4.997022,5.44683,6.17656,5.655394,6.154348
S11411,6.668418,4.952594,5.608252,6.304284,5.702074,6.184128
S11414,6.379446,5.070532,5.508942,6.071844,5.596322,5.967036
S11419,6.466814,4.995626,5.641028,6.16497,5.627328,6.119688
S11424,6.651846,5.061526,5.727106,6.166166,5.609078,5.987502
S11425,6.566022,4.93281,5.451802,6.162358,5.638908,6.033872
S11433,6.588734,5.064416,5.433186,6.291812,5.766786,6.234504
S11434,6.572262,4.928586,5.630572,6.247838,5.730566,6.149734
S11436,6.458578,5.000888,5.502506,6.19006,5.626638,6.106734
S11437,6.60025,4.976094,5.756178,6.165714,5.637542,6.060794
S11440,6.318132,4.999368,5.481606,6.009254,5.5856,6.043172
S11449,6.577158,4.849964,5.590942,6.15418,5.559044,6.019076
S11459,6.35951,5.073206,5.400726,6.04776,5.634524,5.986092
S11477,6.503642,5.004514,5.628788,6.172564,5.615092,6.07992
S11480,6.389134,5.02399,5.481368,6.08517,5.57374,6.045404
S11486,6.467138,5.052234,5.598858,6.073992,5.589236,6.019762
S11501,6.103258,5.116592,5.625606,5.962788,5.473426,5.895646
S11504,6.43373,5.0907,5.558528,6.119386,5.625158,6.061494
S11507,6.506002,5.001316,5.543908,6.028428,5.575728,5.969316
S11518,6.751112,4.96931,5.641596,6.383408,5.810058,6.331722
S11525,6.49995,5.056726,5.588372,6.130142,5.570258,5.996218
S11531,6.348404,4.918322,5.362666,6.019424,5.575982,6.00647
S11532,6.561644,5.073422,5.631676,6.101148,5.604742,6.046836
S1154,6.44845,5.016022,5.75558,6.21045,5.630448,6.109846
S11542,6.347552,5.105502,5.344962,6.011444,5.564954,5.96428
S11543,6.416214,4.915864,5.55705,6.095658,5.64937,6.096592
S11546,6.510942,4.938032,5.486032,6.164352,5.642034,6.069346
S1155,6.431972,5.06896,5.427956,6.146708,5.654758,6.124642
S1156,6.37957,5.07246,5.714638,6.146016,5.577698,5.956962
S11568,6.39475,4.961742,5.495462,6.023484,5.583766,5.979564
S11576,6.65006,4.936198,5.687054,6.255038,5.651704,6.139792
S11584,6.418088,4.942384,5.489932,6.125196,5.591982,6.049892
S11586,6.622456,4.974122,5.529624,6.266722,5.699642,6.164518
S11590,6.596526,4.86597,5.567542,6.218414,5.634768,6.14324
S11592,6.36446,5.06879,5.468168,6.04398,5.598434,5.887504
S11593,6.567014,5.004806,5.536204,6.176808,5.671598,6.107828
S11599,6.390516,5.184926,5.47758,6.185858,5.662068,6.001592
S1160,6.393914,5.000296,5.503238,6.035798,5.513596,5.960794
S11610,6.268372,5.100056,5.378074,6.014934,5.47305,5.912384
S11615,6.429236,4.904224,5.48429,6.180416,5.591522,6.054214
S11629,6.540958,4.977188,5.88033,6.328974,5.682688,6.132154
S11631,6.592868,4.934876,5.687156,6.284656,5.66036,6.138154
S1164,6.4806,4.918066,5.664396,6.154954,5.5908,6.193216
S11642,6.217058,5.139452,5.34505,6.086,5.567682,6.000642
S11656,6.437806,5.190326,5.45397,6.065356,5.630564,6.093736
S11663,6.631992,5.021604,5.568464,6.25008,5.702902,6.126424
S11667,6.639584,4.98617,5.499908,6.316302,5.734488,6.180704
S11668,6.400834,5.009148,5.44383,6.071444,5.61222,5.989298
S1167,6.391948,4.962776,5.512256,6.08045,5.591036,6.009214
S11673,6.29362,5.14827,5.302108,6.048336,5.56694,6.008788
S11682,6.507252,4.902618,5.543426,6.176046,5.655698,6.163322
S11693,6.468216,5.04916,5.433254,6.098892,5.588916,6.000704
S11696,6.534142,4.961906,5.603116,6.10928,5.577484,6.05884
S11699,6.67951,4.864432,5.627224,6.265264,5.704132,6.16778
S117,6.078594,5.134482,5.265078,5.883324,5.409086,5.763794
S1170,6.610842,4.969424,5.639156,6.160232,5.664512,6.092962
S11709,6.432324,4.982008,5.54289,6.09734,5.644554,6.039922
S11713,6.501734,5.033444,5.599926,6.15485,5.615896,6.062908
S11717,6.450978,5.127132,5.615764,6.057218,5.60457,6.00046
S1173,6.377616,5.049042,5.525264,6.107334,5.570946,6.105772
S11731,6.311224,4.93869,5.42619,6.091254,5.55136,6.054852
S11732,6.452948,5.0036,5.568288,6.088808,5.594546,5.974666
S11733,6.56364,5.032508,5.509948,6.275864,5.75536,6.147062
S11734,6.38841,4.946652,5.637244,6.107196,5.564202,6.07373
S11735,6.484194,4.95175,5.470158,6.176052,5.689568,6.122032
S11737,6.263636,5.140832,5.27277,6.020618,5.51068,5.921216
S11745,6.361944,5.033676,5.458032,6.128318,5.645356,6.044706
S11760,6.252664,5.147744,5.34084,5.968594,5.5388,5.89212
S11761,6.393376,5.111044,5.702092,6.136268,5.699284,6.10077
S11769,6.2173,5.018678,5.423112,5.993924,5.526322,5.856032
S11783,6.628744,4.9927,5.724324,6.22034,5.635634,6.069376
S11784,6.506744,4.927846,5.438048,6.11525,5.614394,5.971612
S11786,6.538916,4.930036,5.539812,6.15001,5.636186,6.049168
S11797,6.380096,5.10996,5.372668,6.098566,5.63046,6.07054
S11799,6.425314,5.049676,5.552876,6.11069,5.633756,6.086374
S118,6.435654,4.894368,5.433492,6.174706,5.62569,6.036932
S11800,6.511662,4.983136,5.701696,6.241264,5.665564,6.184832
S11802,6.399682,5.047804,5.469462,6.060768,5.592922,5.968708
S11806,6.28528,5.056502,5.379712,5.952636,5.52254,5.95215
S11807,6.482182,5.158404,5.468564,6.214226,5.643598,6.113842
S11810,6.426236,4.939432,5.47257,6.129928,5.572702,5.94836
S11811,6.422708,4.957748,5.55982,6.140114,5.62488,6.074286
S11812,6.258162,5.051996,5.30771,6.036592,5.578562,5.99682
S11820,6.560526,4.94951,5.636978,6.187232,5.603202,6.07759
S11822,6.354544,4.891668,5.57145,6.072828,5.550296,6.001662
S11823,6.216408,5.16986,5.630602,6.035106,5.541918,5.952778
S11826,6.33539,4.994402,5.496138,6.103198,5.5481,5.99768
S1183,6.32772,5.095734,5.514446,6.01488,5.56943,5.980952
S1184,6.542026,4.897564,5.512114,6.18498,5.623998,6.084342
S11842,6.549244,5.10992,5.799186,6.264274,5.616598,6.124216
S11843,6.395918,4.930616,5.458888,6.089382,5.59788,6.078352
S11844,6.508118,5.029468,5.525494,6.120978,5.638286,6.104756
S11850,6.48333,5.120532,5.236036,6.1532,5.656144,6.083958
S11853,6.425086,5.071108,5.520904,6.081018,5.552958,5.919802
S11857,6.41593,5.04001,5.393378,6.04059,5.569256,5.978842
S11858,6.312016,5.086178,5.497648,6.058514,5.590026,5.982498
S11860,6.49966,5.060438,5.6031,6.16114,5.619952,6.03775
S11864,6.31354,4.954666,5.512374,6.106768,5.539454,6.090016
S11870,6.516598,4.938372,5.76162,6.218676,5.618464,6.0944
S11875,6.47391,4.909964,5.544178,6.091984,5.575486,6.033564
S11877,6.17868,5.217842,5.470334,5.894778,5.484552,5.888106
S11878,6.498348,5.069368,5.696862,6.37243,5.71654,6.18372
S11882,6.297216,5.028426,5.467296,6.042368,5.594708,5.991646
S11883,6.14423,5.060508,5.36517,5.972624,5.483506,5.908342
S11884,6.534272,4.832476,5.531096,6.19022,5.70046,6.23102
S11886,6.296926,5.023596,5.364492,6.04687,5.5753,5.944064
S11897,6.545912,4.975148,5.621974,6.144498,5.659338,6.054192
S1190,6.59771,4.85759,5.631564,6.2439,5.723852,6.130062
S11903,6.338756,4.987698,5.5472,6.089172,5.562106,5.951964
S11905,6.262798,5.018846,5.517376,6.031158,5.631046,6.006954
