B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils	otherCells
S10077	0.0405878229421612	0.00346328661114365	0.0050560412813231	0.0311593219704968	1.11967749909603e-06	0.185239671784131	3.04264869673007e-06	5.29603973510185e-05	0.0135580951932461	0.0394781015523719	7.52938470848172e-06	0.0113559734173703	0.0366727153931869	0.0227645081018603	6.01144454433894e-07	0.0340505663065491	0.0276470857986784	0.0134938989273993	2.466208363174e-06	0.0172313332944948	0.02670803421568	0.0194961480896798	0.471969675659154
S10080	0.0416374370494025	0.0010609028814195	0.00492436564507553	0.034129414814108	3.06447519057677e-06	0.193348882266727	1.41739184013454e-05	2.22372050741193e-06	0.0144058497602751	0.0416825825698772	1.39203375571527e-05	0.010284500368594	0.0347721705786958	0.0236042948529156	7.57968778314064e-06	0.0344785861565688	0.0274429491449099	0.0100285165402534	2.52828677669774e-06	0.0185549499205906	0.0261812424180439	0.0185916103682784	0.464828254238049
S10082	0.0318006021489988	0.011377538051324	0.00474848181147541	0.0262879447603646	7.64032907838955e-07	0.197079285985734	2.43979693831389e-05	0.000599383696427332	0.0154449000152828	0.0448412000549992	3.8667929424034e-06	0.0114881423707773	0.0355966549343144	0.0234444171233944	3.94173414224903e-07	0.0344155977463442	0.0296424204432142	0.00842010269840277	5.26322610738006e-06	0.0177284158202127	0.028004553807113	0.0155620865921422	0.463483585744724
S10087	0.0394836868724668	0.00486854448233911	0.00580001029354923	0.0307231358353893	5.10321110462392e-07	0.186355882207473	5.31369373659655e-06	0.00908847527070282	0.0148424108520538	0.0356809860472801	9.17194062092974e-06	0.0108373349254187	0.03422328352887	0.0248388585093128	4.96150569937363e-06	0.0351455424826219	0.0253844997764134	0.0102149477595523	2.12620543924505e-05	0.0196037026848383	0.0266523969339002	0.01608097526443	0.470134106757828
S10089	0.0328989359380827	0.00859007923489286	0.00429728263292815	0.0323164002433312	7.02824316991774e-07	0.199937088712058	1.66176856195115e-05	0.0003451567795136	0.0108878670385666	0.0356768413402151	3.45724533804281e-05	0.011227790619415	0.0344229226828144	0.0236827242803491	2.36416883005835e-07	0.0326889023726665	0.0288659592182713	0.0134182440127689	5.84039987265916e-06	0.0183334941276274	0.0267592257609688	0.0177356284683985	0.467857486757059
S1009	0.0408568174720675	0.00436489623011611	0.00453690497546749	0.0298606590648252	1.4053422409664e-07	0.180649964574662	4.00239867556492e-06	0.000147859716727689	0.0156710292229378	0.0459369799700561	1.77670889418176e-06	0.0103423634805769	0.0357803215152114	0.022759760606264	7.89630900806744e-07	0.0370496276090999	0.0282484922077831	0.0116977669357079	4.86035589816334e-06	0.0191679365984669	0.0261661900194527	0.0157387884828896	0.471012071689095
S10090	0.0307258525251496	0.00855730879165398	0.00425241725256527	0.0310948352586006	7.37405177680893e-07	0.199526834579029	2.88793205122396e-07	0.000199737242957978	0.014284749693506	0.0375867580511539	4.29088033176723e-05	0.013497723798909	0.0339221721598414	0.023626050704454	4.23259101215259e-06	0.0325973146476935	0.0326515175224697	0.00850559915250788	3.27082916892568e-06	0.020595656611051	0.0256135065935113	0.0145718075937245	0.46813871939934
S10093	0.0368015206859561	0.00131225029649754	0.00458911585874529	0.0337008516164636	2.9889642567191e-06	0.194500892134147	9.29289377801061e-06	0.000284610248397239	0.0134725856422326	0.0377982780634785	1.150253146862e-05	0.0116620868965333	0.0353711314907834	0.0248056253508628	2.07538424846789e-06	0.0332188887080138	0.0300090754127512	0.00923067655690174	1.47559945422541e-06	0.0193571111618894	0.0265635692933884	0.0184093676605997	0.468885027549152
S10094	0.0324404005779383	0.00816065934310793	0.0053654480022311	0.034970748140094	2.36451217432507e-06	0.196873517144098	8.53627771809603e-06	0.00424053497587624	0.0125757728113821	0.0330911202101646	8.66407508657079e-06	0.0094770016131584	0.0350586807247684	0.0242576217099496	4.0438918208195e-06	0.0336326168231141	0.027333726835367	0.0127555963342051	5.90028303758902e-07	0.0187692482397475	0.0271545246765383	0.0166228665504715	0.467195716502684
S1010	0.0405729247226229	0.00205476774899627	0.00509384539980416	0.0322427740497681	7.71567823329577e-07	0.187441862040476	8.21512307519896e-06	0.000222985461357071	0.0137482847141891	0.0422731275175069	1.05411266713771e-06	0.0114371987910586	0.034432224127047	0.0254969804992088	8.1024951963602e-06	0.0336389442291298	0.0299538474726354	0.0095914374016793	1.92991898666983e-06	0.018952553970337	0.0281762915046016	0.0161901216298856	0.468459755501948
