Gene,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
mix_34,569.719294575,552.028610239,619.175024157,708.264899769,1007.59811277,355.540230591,842.518206095,837.732685525,680.742624602,676.806769201,793.017497638,405.278332956,436.658318654,182.373518362,520.805754896,632.359129135,583.214188893,1009.13612606,846.327475338,507.95646791,722.638799872
mix_35,606.560055905,535.929659694,538.915714683,762.140230771,925.631620015,354.287246502,764.428210771,750.178539558,615.850432489,855.660236142,802.026485944,375.609384069,408.982358244,174.305459054,506.328102176,789.511965507,730.953953147,1261.00694669,840.233077438,601.451074714,596.13942742
mix_36,605.869583463,536.106274188,565.00023181,749.686008337,961.782542472,343.649462787,774.238307332,789.117998824,665.632105637,809.657843136,800.922744601,399.753252314,410.618740838,173.629527147,518.715923669,736.127052323,691.55889057,1183.18950239,839.217366404,572.396321653,600.967709674
mix_37,552.773019746,536.307609773,526.03436291,656.284250541,1101.8052436,347.431029041,833.741185518,755.075373405,561.040841173,703.586930559,752.265034906,402.93981474,417.881692439,182.393818852,592.531983304,634.677354101,561.557785162,1049.69746991,823.315837254,507.652854622,667.944736172
mix_38,562.585331597,533.766987407,555.945110205,676.414417933,1071.92995171,342.816024396,822.923003908,777.285837704,604.405172256,745.660954915,763.937703763,407.876414222,409.84854608,180.48437474,568.379320212,671.301647538,575.00924082,1102.88659236,840.497325395,521.150951513,647.705463336
mix_39,617.659549717,539.379500838,514.978139666,714.91932292,912.893025934,347.320083948,788.36650284,700.122475241,559.916833395,847.119224139,773.865886585,405.251363836,399.028601911,178.930174369,498.459007163,797.431018993,713.435723659,1262.01568107,851.548464331,606.146511251,611.730899458
mix_40,611.701596071,540.735815354,574.28228391,751.600723501,949.425808198,345.334251176,761.275910514,803.825646322,689.597294986,807.873886761,812.17241191,378.283064867,409.187717749,167.442295289,513.815759218,758.406953951,710.542626914,1193.30917869,841.709660524,583.956474482,597.050215598
mix_41,564.179908429,541.376683596,590.063810973,686.388756905,1046.21929223,345.771589358,837.959537638,819.800046649,660.912410601,694.112772587,786.398474766,398.088560929,427.792834331,176.747868289,544.876718376,658.395078515,598.223709214,1041.24568408,846.75139034,511.899744846,688.723678258
mix_42,690.619664015,539.695525311,542.060073488,757.574274458,741.997213912,360.780597866,755.360399962,714.176529011,633.361886642,871.992590072,819.374882225,440.409822006,402.467909,174.728145981,419.057635786,893.659988412,869.359263056,1292.13262164,871.036631493,680.301381616,585.848397063
mix_43,601.371101231,547.186200433,592.933711759,680.024751778,993.455221567,347.994411485,819.40036927,807.036158557,661.214293498,704.200866611,785.447694741,423.490775679,417.8567157,177.936138881,525.659740704,680.111895966,643.210280477,1052.01597445,846.539543646,542.407810439,674.500122752
mix_44,632.677147153,538.087697178,565.023809121,708.304871926,829.398915687,347.329958667,803.571981152,746.387959158,616.189416802,852.780585309,778.674579419,433.597878918,404.512823416,182.289035783,438.839962151,822.939291617,735.304650142,1271.72319753,870.458912957,616.475991096,653.357716795
mix_45,600.899103208,546.70620288,529.342628604,754.531905872,971.596874347,340.588000945,771.24402784,740.570470766,616.630425748,819.230988202,786.76581335,418.691136999,417.886659605,180.94690767,510.994609978,717.766832079,643.98789149,1192.04053369,846.631929514,561.086443769,601.99379983
mix_46,571.850123965,528.443285646,621.226073244,731.188248495,1003.40187897,348.564631522,799.81231357,843.639963813,721.624684365,748.465462357,819.318406514,380.456627996,408.619350577,170.659408885,527.129913682,702.607037311,660.979218332,1113.421279,854.416853267,537.035352103,661.838530632
mix_47,507.392316744,549.023586293,531.207428526,547.080771349,1227.65692365,357.459776669,918.76851144,750.594528177,480.632011209,564.82559696,690.725344876,455.611104432,434.559277804,200.274163226,656.473425889,479.725811678,392.396739176,821.090635116,826.297053512,422.615785533,760.851701564
mix_48,650.607991728,538.657149958,592.782948012,731.574688763,824.264578664,359.650134527,786.522212087,797.504949416,684.435391291,800.396227789,813.795867516,428.846405381,408.887480947,176.189843122,447.229170272,813.071763013,778.001861348,1195.12982822,871.756432904,617.43812863,639.409498656
mix_49,620.450922255,549.227793366,684.041811288,850.644338116,844.929233068,342.187399456,706.68795507,909.926922258,862.822834155,869.117083462,873.905319296,385.044176266,423.22989352,161.83517086,443.63222404,809.227764791,727.296478654,1253.50680707,876.627970927,588.729948181,589.373126753
mix_50,618.747717873,539.920172993,525.296745723,744.147919255,910.936660352,347.626120818,762.831109461,716.193545519,595.695076851,865.112128097,793.213151038,393.159505695,400.917302006,173.06846086,498.733526123,805.218443516,729.704854154,1274.29815946,850.042704409,603.922476864,590.540471581
mix_51,563.9453849,542.074769948,563.342612312,649.152058687,1098.32284518,353.892669735,843.766945565,794.844018386,604.936332205,652.939907071,758.141706405,420.584307408,419.720412392,181.617279104,585.996073094,610.068438908,567.128929116,980.434070249,827.337023052,493.323030089,676.883776687
mix_52,576.637797919,544.619646773,586.929467991,689.115384701,1025.91848311,347.972782659,835.04597051,806.659759695,643.352172714,709.820066513,781.471110433,409.875713319,414.818408865,184.275973572,536.098145391,664.969596107,610.869479762,1051.98787036,842.804984313,528.249417868,676.746610909
mix_53,620.026914598,551.011966157,599.817257881,681.232909229,925.270827424,348.529770924,830.287467559,812.645045064,666.579326973,733.835195098,775.846477988,476.408755888,414.423004821,184.705344832,483.755513696,708.434142023,626.04439284,1077.32318271,859.161732121,541.893623137,691.386179122
mix_54,616.359298599,529.857747866,542.541454365,686.575806303,959.841600371,349.532513453,795.409768564,742.922156339,598.871979589,788.858036807,780.774060655,412.865271616,395.62016906,175.905594138,516.145101223,776.781886331,716.652417831,1203.86439289,852.687434804,589.990674019,616.240380637
mix_55,593.356458254,534.027341194,553.025393667,660.128862516,985.299126004,361.233961753,830.094642859,744.990462088,586.273977983,720.185218848,771.813139083,378.511844355,408.313186239,181.805846192,524.041969597,718.715510145,684.566892595,1103.26167211,843.135517833,564.083219671,691.568326348
mix_56,625.783197961,518.208990873,558.938356152,749.512356695,885.155320853,351.067758195,769.751391151,763.56129702,658.046618612,850.780369362,813.892182407,359.111620435,399.739639378,170.312489112,477.321121919,851.996503533,806.662804292,1287.3360699,862.446896047,639.16789167,610.581165258
mix_57,642.372741204,533.799965183,529.966021858,756.671381248,862.318095155,348.931182372,743.073727947,722.667371833,606.117148125,906.877710878,804.01263327,409.925027757,397.902433654,172.405257537,483.234638066,860.872043435,785.573289129,1332.03233217,853.37924776,636.2685964,555.813139124
mix_58,581.175570376,527.45115295,519.236297996,686.797886615,1003.03565061,348.219212361,808.171457522,722.626194364,560.885115977,802.061398076,768.446897102,384.052301928,400.599023633,178.811754288,545.685777456,751.058398196,672.560656055,1203.64175715,839.722626917,574.478670355,630.867364686
mix_59,584.292640422,556.624597983,602.980154254,704.531138364,1037.03833974,348.579821193,815.615781348,834.930684727,685.305493545,700.408831166,784.550390282,446.027741724,428.556257426,177.63380861,538.446038075,630.829272408,574.821648025,1009.7423062,837.219325712,505.402888773,666.013253321
mix_60,608.162916193,531.082883423,561.077710974,674.858922449,949.150081002,353.341683918,821.216627134,765.754130441,614.815800479,755.184050247,770.051039167,401.84264153,406.224353376,179.809191891,508.108067044,758.925633917,705.458933158,1163.74209448,849.161390397,580.203529,657.951628864
mix_61,601.54019283,531.341731751,543.803432771,713.43607679,996.478136131,343.781750914,768.309351386,756.919218713,617.848308579,798.573097846,785.990401697,413.159332707,407.567047419,173.831650405,543.900922595,738.161020288,681.06250703,1181.41653543,831.563874042,566.894990665,581.250533121
mix_62,565.137366905,532.547973361,570.468437993,676.902589834,1082.82523642,342.39806662,819.436573626,804.773807106,633.185624164,709.54529307,766.94911479,396.504084222,411.625896582,177.968793838,560.465839332,645.556271278,587.556211655,1062.16213211,835.500576229,512.95357054,659.904308143
mix_63,593.611160892,522.476466397,517.39803747,701.031854589,983.493319389,348.335553032,789.278198353,723.455391066,576.486602847,809.589666872,773.549659383,378.271013621,399.769547676,177.138312049,539.432674339,770.83116238,709.179829479,1223.54137237,839.104373801,584.984258801,608.259191751
mix_64,538.818529662,562.034370341,532.909365511,578.24422941,1161.89602996,352.947885129,907.930824744,753.597263443,515.634479205,595.602286814,710.996378395,480.456109615,436.270707096,198.287447852,629.707969072,507.59153729,411.074247355,852.715560247,809.846786235,436.381611915,732.349344635
mix_65,563.894155355,540.36935014,596.671459999,686.759714786,1057.296212,346.749145847,835.715239855,814.991097628,654.717297268,699.474597958,785.09453509,399.528691186,422.976736253,176.070379786,541.288538278,638.349071741,581.848303273,1031.25585703,837.289578422,503.062739752,703.842721917
mix_66,600.106328227,569.798951298,603.560822628,730.740704052,931.34370761,340.481843443,823.268059564,814.469418209,695.609963718,771.411202754,799.999178854,437.699373641,428.142751392,185.600612499,500.962616435,686.750763136,595.921652094,1104.15028462,843.598277896,541.383371861,669.410382738
mix_67,599.268230129,531.852219148,570.278270807,710.234375748,961.725847931,338.862730524,793.751543187,783.914686356,646.347585515,835.754375548,792.716780401,423.744700628,403.762088371,175.883770361,515.0348451,756.442937001,654.695116516,1228.83045836,853.762362405,559.011915892,613.552821308
mix_68,578.665989249,546.507558331,529.182774558,672.508736479,1024.99343276,346.008990285,827.617549663,736.592100697,569.201789247,732.158182819,755.067213679,403.617197185,410.57463543,180.644049747,562.282906349,681.773069419,610.407520332,1092.67620893,834.084072273,544.977398478,656.105252581
mix_69,636.318533207,528.317146021,499.283114452,684.237789456,924.01081397,349.380610658,789.293964766,686.179002881,545.851123158,823.328640815,761.958027864,445.477467726,395.756786803,183.213982558,513.531489914,801.936281512,736.061679416,1240.12676734,835.280874564,615.468560978,596.730216444
mix_70,550.422167139,531.327491022,538.924154626,654.071900467,1105.37346318,352.187047032,837.150649088,768.192214782,579.791757936,672.525224625,759.857749418,383.346106663,419.937066679,183.433640633,591.375314581,637.788244229,593.971000651,1015.33149086,827.972615482,510.428068362,672.302548153
mix_71,570.699580311,537.496466974,548.260716522,667.808617588,1049.28716246,344.148717424,838.169084573,761.139565576,597.217727111,737.564362841,765.674567705,400.532952697,412.985594941,182.785707418,547.604545563,684.468369515,601.025078144,1100.26907879,844.492261585,525.542495659,665.177988703
mix_72,548.732153604,524.143535572,565.121196496,662.235115792,1104.6260853,337.363695614,826.345731412,806.284269728,610.050247786,707.505143073,774.788995683,401.287516011,410.355993169,176.196881462,576.596822362,639.435905284,563.752989921,1058.25290333,846.049038436,493.332918933,643.465966208
mix_73,566.21160176,527.486619974,512.498528679,633.624894045,1127.51184967,351.760656439,824.906678404,730.037242996,541.402575561,686.1679316,737.474784872,424.111235998,403.445042667,180.843968898,629.922295803,634.550817209,588.938557077,1019.76319837,815.00353536,513.751380098,609.539588413
mix_74,660.54407312,520.674120725,537.709118667,736.299366556,751.747098533,354.5078004,768.352786659,695.21974134,612.306538058,915.160677826,815.127503207,387.39897052,389.692030409,180.410904111,410.574685823,926.29081407,865.164118997,1378.6368889,876.083777939,686.796402834,612.040454439
mix_75,622.377176588,534.846251994,565.769992959,682.566346713,936.320313798,352.660013171,800.698038951,762.860561286,619.585103639,766.021996893,787.844365023,424.969871944,402.14594046,174.316521291,498.508996521,760.590311472,716.626032586,1159.34687311,858.702991323,588.073272241,642.331484169
mix_76,563.820043434,537.718898812,566.462688785,737.579179072,1057.15546548,340.37179296,782.934353426,804.271688971,661.951698731,788.930654737,792.474468505,400.724357848,413.531523836,175.16335817,559.854151696,681.292414467,597.173443085,1157.10627729,831.436547606,522.356998929,600.245265995
mix_77,626.997298448,529.563284458,545.567172541,726.035435163,906.600786848,349.956728868,775.732768679,738.641326461,616.041450034,830.909971957,792.527307522,427.997571027,401.13562614,171.506185653,498.030480532,793.661781626,735.284161585,1243.6065393,846.837924773,604.912405095,592.356824464
mix_78,579.169132982,526.354775693,527.328883656,655.716930555,1028.04955331,345.643120569,834.18967813,742.506546984,561.837172227,727.566647859,760.497335159,404.635932674,407.403923897,181.615039595,554.716900826,701.073221833,639.0366267,1113.96429485,840.000743409,543.696475689,663.920863393
mix_79,571.506787649,529.406784498,589.280268337,623.286039871,1136.35661082,341.472734198,830.375982166,825.989965984,644.634641958,658.984520167,762.188391441,484.971148059,414.512326259,182.668788808,582.449303738,593.890765966,519.831068672,958.676101934,819.024154309,482.808563425,629.160461991
mix_80,635.015650593,547.187867683,622.929247107,702.131521039,921.168792206,349.056526306,800.759465006,841.231534412,706.662835766,735.905955396,794.515547985,476.55802849,404.625299152,179.069953661,479.522040981,710.229602782,676.173356699,1112.09344994,852.268510527,556.786126121,649.315298975
mix_81,564.321474181,542.433470589,664.256964786,659.203641996,993.998363711,343.356408359,872.995917686,889.625861556,716.569461135,672.073846462,779.604120425,438.182972638,432.050100536,191.245334865,497.172595298,623.846846076,560.593109602,1007.52871844,859.920164371,485.922028828,755.761047681
mix_82,507.384476859,559.762887628,544.276052258,652.898297411,1237.31617843,353.485843034,865.824898554,785.16230487,578.637791946,588.052059591,731.254872842,411.227460283,441.78329272,191.438309211,654.335132473,477.956318797,405.302820313,832.368457144,803.166016417,418.611928582,705.163637163
mix_83,579.824861779,538.110010431,497.586284217,682.425303745,1069.22631409,357.746460508,798.364499398,717.324345711,548.37910332,713.267180323,755.530860825,383.58041381,413.513458898,176.092278101,596.651886007,677.819652536,662.26195748,1069.83594261,810.520827841,544.113702629,611.277858025
mix_84,568.825295594,537.467016057,537.882530465,706.022157374,1033.54198281,345.617818306,808.688391331,755.674620555,591.727236382,768.283583022,771.7137154,402.303344923,413.404763518,175.280028885,560.304597396,689.363382881,608.245085939,1132.42552571,836.857822544,533.698642475,633.832821405
mix_85,549.824105555,553.820037447,585.978644548,697.962575487,1073.83531734,346.518782971,835.007719417,811.78159652,651.322623233,698.902415698,783.882015321,393.411890735,428.108733356,183.172586023,558.085746712,614.648103833,540.758331405,1020.09050399,828.620340156,483.646871959,686.839146809
mix_86,602.179849347,523.864012825,509.496558747,684.198736557,995.040972314,347.697054879,789.401679982,721.682004452,562.695575444,802.864421292,770.767964407,420.90458802,396.841227112,176.512970376,542.255174353,755.115899183,690.97962621,1199.70732927,830.062053702,578.963521032,586.317668917
mix_87,680.273073862,509.007252635,581.337753858,814.029668724,720.468498221,353.908224332,693.565023549,761.036157939,715.665419848,1003.67648693,856.311055295,388.889551491,398.778623377,175.609499465,397.394359812,987.628714215,911.873486933,1479.46624088,881.848459239,714.560241581,535.250380362
mix_88,624.355108323,530.094885686,576.534278545,747.49188333,866.216802454,350.625280608,768.838206952,768.413670838,675.383149385,857.936387186,820.506932428,378.448918625,401.537395197,172.780817335,468.997056757,829.645522879,769.12055513,1285.95926325,864.678534857,621.290955074,619.946127466
mix_89,565.358278207,547.938651004,631.274436657,584.998829969,1075.55250053,349.198918428,887.74194265,848.319804299,636.112007638,620.9609596,741.788851824,523.457159173,416.466834544,190.800828714,543.994458537,578.656800289,507.623422062,932.472374138,846.972962548,467.477418084,730.103430594
mix_90,645.558346536,532.55730133,536.430214262,807.847991404,783.911516195,350.224298193,732.439804334,704.983230803,635.014057079,959.745594052,832.120810679,352.672875831,398.562757655,170.622398978,441.169173553,906.25421814,837.978622939,1423.0372215,862.068857219,672.89712818,568.37757189
mix_91,601.964788456,536.179259149,547.446138666,774.448425742,944.619184356,349.479078951,761.963297115,755.53250031,643.87584125,844.23087952,807.560935822,364.437724712,409.136927371,172.619444179,513.366357986,783.577258037,720.468097855,1252.17891917,843.313701543,586.530357801,594.962967589
mix_92,622.825343596,537.686440781,531.306613094,705.876014373,891.971256763,348.367398093,804.878177996,723.783814926,581.324483392,814.58722909,783.136672274,403.546651504,405.086952216,177.947834452,489.605417909,803.997206714,739.837071473,1236.62021123,852.9512883,608.623800242,636.511754297
mix_93,541.006138935,534.521654632,492.423269474,600.14560538,1232.66829401,349.794933771,846.661425376,737.483699063,504.272080194,624.566838204,717.819187229,445.841723901,411.691509086,185.912918967,676.826873575,546.283706971,501.112963337,909.650387025,798.391028454,458.239141404,626.647444099
mix_94,641.517427386,529.596527177,527.439696618,771.551866051,838.345134187,346.771329163,732.718089487,723.667947638,624.746032224,905.752989729,815.028171881,384.872581508,399.995593614,169.544426634,474.914842705,879.699492962,818.65157884,1351.29964349,855.067583696,653.076072086,566.026420183
mix_95,624.327958547,528.667793942,526.84450957,722.858683658,886.141007924,359.990998114,790.530221184,708.690335748,591.404474648,834.795040702,789.102056824,366.623958564,403.529134893,173.380513947,498.631719831,824.367658602,775.602245187,1258.05765283,854.890950374,632.414576114,629.81317208
mix_96,604.954703362,547.160068534,586.754922622,724.1255912,900.283619505,345.487002537,810.179177324,798.372196252,679.407957469,784.405185551,809.395732299,410.685350795,414.575100897,178.569523127,472.119044806,747.014701087,687.701493903,1179.78866266,854.994073952,570.607717439,675.514158931
mix_97,664.088747748,549.936918681,581.980162828,826.670267694,774.183817811,356.797587938,716.37187399,787.380993661,732.723415427,902.029817071,860.525040332,389.660441918,421.547625166,167.531338695,419.044737737,858.382344578,831.515902652,1328.28634591,866.70127726,658.992973782,562.918518452
mix_98,623.044556025,531.128492934,575.263896128,766.28227136,892.587831251,355.802254566,755.042489657,798.990547612,695.589995764,814.409096826,830.588169564,370.498110785,413.232276285,169.264630633,483.563815236,792.906119287,784.059896314,1214.24228386,855.313195444,608.90067328,599.828107309
mix_99,567.12438531,567.525103435,551.98912298,669.699144496,1163.74459803,345.836672264,814.557162884,801.667124448,629.45239203,645.999182748,762.243062179,509.613968706,437.692695837,181.624207653,632.890876255,513.445026894,464.609809463,875.205028981,802.336182381,440.920098631,599.9050683
mix_100,592.669251048,524.856233947,516.761047779,730.057189575,997.696459789,352.841482105,758.306447684,728.107473654,596.60667541,798.89312252,782.615155766,365.570204813,403.637576445,170.700459012,559.695942319,756.808659354,710.587608811,1199.06156461,829.171769402,577.507842596,580.499222642
