B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
S10516	0.0687	0.2397	0.0776	0.1036	0.3232	0.1665	0.0208
S10534	0.0701	0.2706	0.0102	0.0563	0.3219	0.2182	0.0526
S10535	0.0682	0.2424	0	0.0256	0.2657	0.2366	0.1615
S10537	0.0823	0.2959	0.02	0.0884	0.3322	0.1465	0.0348
S1054	0.0519	0.2483	0.0058	0.1012	0.283	0.1765	0.1334
S10543	0.0753	0.1492	0.0288	0.1337	0.3707	0.1437	0.0985
S10546	0.0732	0.2181	0	0.1209	0.3881	0.1281	0.0716
S1055	0.0617	0.2498	0	0.0757	0.492	0.1115	0.0092
S10551	0.066	0.2345	0.0513	0.0837	0.3276	0.2162	0.0207
S10552	0.0732	0.2017	0.0678	0.1257	0.4246	0.0865	0.0205
S10555	0.0436	0.1729	0	0.1353	0.284	0.1289	0.2354
S10559	0.0554	0.293	0.0292	0.0759	0.3574	0.1754	0.0136
S1056	0.1209	0.1895	0.0087	0.0408	0.3262	0.2321	0.0818
S10563	0.0525	0.1775	0.014	0.0736	0.4324	0.1638	0.0862
S10574	0.0597	0.238	0.0109	0.0736	0.2766	0.2436	0.0976
S10576	0.067	0.169	0	0.0454	0.5547	0.1129	0.0509
S10578	0.0922	0.2543	0	0.0739	0.4364	0.0932	0.05
S10579	0.0725	0.1651	0	0.0802	0.4644	0.1637	0.054
S10582	0.0675	0.2017	0.006	0.0974	0.4318	0.1468	0.0488
S1059	0.078	0.1806	0.0364	0.1088	0.3559	0.1508	0.0895
S10599	0.0771	0.2647	0	0.0509	0.4497	0.1135	0.044
S10611	0.0803	0.2335	0.0021	0.0506	0.3878	0.1913	0.0544
S10614	0.0423	0.2576	0.0217	0.0671	0.4619	0.1423	0.0072
S10624	0.1394	0.1931	0.1154	0.0627	0.2796	0.1719	0.0379
S10632	0.0651	0.1639	0.0581	0.0835	0.4115	0.159	0.0589
S10634	0.1075	0.1558	0.0122	0.0515	0.3934	0.2115	0.068
S10638	0.0879	0.2513	0.0494	0.0455	0.3258	0.1942	0.046
S10644	0.0688	0.2548	0	0.0613	0.2785	0.2501	0.0864
S10649	0.0712	0.148	0	0.0853	0.5571	0.1212	0.0173
S10652	0.0783	0.1814	0.0172	0.0893	0.4832	0.0825	0.0681
S10654	0.0706	0.2209	0	0.118	0.3494	0.1445	0.0967
S10655	0.0638	0.2261	0	0.0717	0.3816	0.1842	0.0726
S10656	0.052	0.1589	0	0.1027	0.331	0.1737	0.1816
S10657	0.104	0.1871	0.0541	0.1096	0.361	0.1574	0.0268
S10658	0.0784	0.1785	0	0.0643	0.3905	0.1806	0.1076
S10660	0.0643	0.2439	0	0.0968	0.1744	0.253	0.1676
S10661	0.1146	0.1783	0	0.0624	0.3083	0.2624	0.0739
S10676	0.118	0.3368	0.0097	0.0951	0.3489	0.058	0.0335
S1068	0.0956	0.2063	0.0404	0.0443	0.2882	0.2415	0.0836
S10681	0.0632	0.2003	0	0.0687	0.4567	0.1003	0.1108
S10686	0.0755	0.2655	0.0198	0.0754	0.3854	0.1426	0.0359
S10688	0.0891	0.1881	0.0105	0.0504	0.2868	0.2756	0.0995
S10690	0.0486	0.2052	0.0845	0.1466	0.3275	0.1368	0.0507
S10698	0.0642	0.2302	0.0115	0.0635	0.2795	0.2286	0.1224
S107	0.041	0.1741	0	0.0452	0.3372	0.2309	0.1716
S10703	0.0725	0.2673	0	0.0925	0.2491	0.2216	0.0969
S10726	0.0899	0.2063	0	0.0377	0.3422	0.2551	0.0687
S10729	0.0444	0.2542	0.0504	0.0656	0.3597	0.1683	0.0574
S10733	0.0575	0.2682	0	0.0642	0.3561	0.1498	0.1042
S10734	0.0899	0.2575	0	0.0683	0.2955	0.1957	0.0932
S10735	0.1141	0.1982	0.022	0.0566	0.368	0.1783	0.0627
S10740	0.0309	0.3063	0.0285	0.0328	0.3957	0.1886	0.0171
S10745	0.0635	0.256	0.021	0.081	0.4936	0.0603	0.0246
S10748	0.0748	0.2098	0.0427	0.0962	0.3211	0.227	0.0284
S10753	0.0677	0.2663	0	0.0418	0.3646	0.2218	0.0378
S10756	0.0962	0.2304	0	0.0644	0.3442	0.1587	0.1061
S10757	0.1174	0.1454	0	0.0275	0.2026	0.3634	0.1437
S1076	0.0813	0.2307	0.012	0.0567	0.3534	0.1887	0.0772
S10764	0.0696	0.1754	0.0801	0.0656	0.3635	0.1781	0.0677
S10767	0.1033	0.1835	0.0131	0.0943	0.2497	0.1948	0.1612
S10776	0.0496	0.2057	0.043	0.0741	0.4403	0.1462	0.0411
S10778	0.0603	0.1583	0.0115	0.0462	0.4828	0.1768	0.0639
S10784	0.041	0.211	0.0605	0.0753	0.4943	0.1103	0.0075
S10787	0.0869	0.1677	0.0719	0.0958	0.3282	0.1885	0.0609
S10800	0.2444	0.1678	0	0.0839	0.3508	0.1505	0.0025
S10805	0.1065	0.2014	0.0459	0.0821	0.3908	0.1389	0.0344
S10813	0.0835	0.2702	0	0.1108	0.352	0.1195	0.064
S10814	0.0723	0.15	0.0177	0.1104	0.4935	0.1312	0.0248
S10815	0.0822	0.1657	0	0.061	0.4202	0.1839	0.0871
S10817	0.0796	0.1253	0.0312	0.0774	0.3335	0.2271	0.1258
S1083	0.0812	0.237	0.0452	0.0708	0.2805	0.2067	0.0786
S10835	0.0517	0.4296	0	0.0678	0.2975	0.1259	0.0275
S10838	0.0682	0.2253	0	0.0703	0.39	0.132	0.1142
S10844	0.1107	0.1523	0.0171	0.0842	0.3551	0.201	0.0795
S10845	0.0592	0.3038	0.0077	0.0869	0.3791	0.1302	0.0332
S10846	0.157	0.1628	0	0.0553	0.223	0.2515	0.1505
S10853	0.0486	0.242	0	0.0588	0.541	0.068	0.0415
S10854	0.1115	0.2512	0	0.0378	0.2249	0.2906	0.084
S10865	0.063	0.1965	0.0824	0.1298	0.317	0.1807	0.0304
S10866	0.0525	0.271	0	0.0646	0.3819	0.1	0.13
S10869	0.0257	0.3119	0.005	0.0905	0.4774	0.0562	0.0335
S10873	0.062	0.2118	0.0332	0.0937	0.3854	0.1581	0.0558
S10876	0.0779	0.2803	0	0.0469	0.2631	0.1966	0.1352
S10883	0.0739	0.2628	0	0.0615	0.441	0.0919	0.0689
S10885	0.0992	0.2729	0	0.0624	0.3757	0.15	0.0398
S10893	0.0462	0.2576	0	0.0482	0.4661	0.1304	0.0515
S10895	0.0589	0.2921	0	0.1258	0.3959	0.0966	0.0307
S10902	0.1047	0.1914	0	0.0621	0.3639	0.1754	0.1024
S10903	0.0465	0.2413	0	0.0986	0.4288	0.0823	0.1026
S1092	0.0602	0.2577	0	0.0556	0.4648	0.1436	0.0182
S10925	0.091	0.2898	0	0.0702	0.3485	0.1569	0.0436
S10927	0.0411	0.2221	0.0237	0.0633	0.4129	0.2249	0.012
S10936	0.084	0.2426	0	0.1184	0.2475	0.1945	0.113
S10945	0.0562	0.2579	0	0.0702	0.4563	0.0997	0.0598
S10947	0.0531	0.1928	0.0195	0.0878	0.3892	0.199	0.0585
S10949	0.0754	0.1546	0	0.026	0.3828	0.2182	0.1431
S1095	0.0585	0.1776	0.0898	0.0931	0.3697	0.1843	0.027
S10961	0.0526	0.2353	0	0.0896	0.4464	0.1061	0.07
S10969	0.0712	0.2302	0.0088	0.0787	0.3133	0.1901	0.1078
S10972	0.1219	0.2494	0	0.1464	0.3366	0.102	0.0438
S10973	0.0867	0.1636	0.031	0.0624	0.4858	0.1267	0.0438
S10978	0.0419	0.1955	0	0.0995	0.4301	0.1354	0.0977
S10979	0.0851	0.2017	0.0088	0.0684	0.3328	0.2348	0.0684
S10986	0.0369	0.2056	0.047	0.0875	0.4286	0.1825	0.0119
S10989	0.0553	0.1932	0	0.0419	0.399	0.2201	0.0904
S10995	0.0572	0.269	0	0.0587	0.3674	0.1642	0.0836
S11005	0.0997	0.2385	0	0.0765	0.3305	0.1631	0.0916
S11008	0.1067	0.1693	0.0219	0.0721	0.4232	0.1725	0.0344
S11010	0.0712	0.2359	0	0.0787	0.3364	0.186	0.0918
S11013	0.0514	0.2255	0.0253	0.0975	0.3222	0.1986	0.0795
S11016	0.0755	0.2525	0	0.0561	0.3309	0.1423	0.1427
S11017	0.0649	0.365	0.0307	0.0741	0.3306	0.1069	0.0277
S11020	0.0518	0.2535	0.0022	0.1124	0.3859	0.1494	0.0449
S11027	0.0546	0.2719	0	0.075	0.4367	0.0968	0.0649
S11035	0.084	0.1838	0	0.0486	0.4845	0.1076	0.0914
S11041	0.0462	0.2018	0	0.0894	0.3946	0.2322	0.0359
S1106	0.0699	0.1944	0.0114	0.07	0.3698	0.165	0.1194
S11071	0.1062	0.2298	0	0.0897	0.1655	0.1936	0.2152
S11076	0.0475	0.1793	0.0196	0.0839	0.3699	0.2053	0.0945
S11078	0.072	0.2039	0.0029	0.0642	0.4478	0.143	0.0663
S11081	0.0709	0.2035	0.0626	0.0939	0.3181	0.1686	0.0824
S11086	0.0552	0.1444	0.029	0.0867	0.4483	0.1733	0.0632
S1109	0.0498	0.2929	0.024	0.0745	0.3913	0.063	0.1044
S11096	0.033	0.2716	0	0.0622	0.4744	0.1053	0.0534
S11100	0.0925	0.1408	0.052	0.0602	0.3517	0.3002	0.0025
S11107	0.0758	0.1462	0.0367	0.0502	0.4744	0.1864	0.0304
S11109	0.0587	0.1975	0.0357	0.0662	0.4868	0.1161	0.039
