Gene,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
mix_83,1248.4244,1808.3824,11182.6573,2299.8721,17156.694,1733.534,50572.179,1297.5167
mix_84,1399.2059,1869.7359,7990.7585,2125.9656,12668.6666,1961.9544,56346.6801,1450.5867
mix_85,1319.5522,1853.2563,7650.3773,2134.3385,12634.6995,1982.9115,56479.7989,1487.7194
mix_86,1245.6859,1792.2448,6475.7824,2626.6859,11370.4615,2132.4349,57407.7794,1633.7201
mix_87,1196.1787,1825.7375,8895.0349,2029.7791,13761.2346,1945.2145,54972.7829,1436.3561
mix_88,1413.8017,1841.915,7454.6985,2562.9739,12244.0808,1992.1779,56585.4954,1519.2589
mix_89,1412.0786,1841.3874,6402.124,2543.3177,10818.3551,2119.0668,57619.6299,1648.336
mix_90,1155.5633,1810.8652,9180.9498,2094.3603,14458.6452,1898.1231,54100.8216,1425.4884
mix_91,1232.9271,1803.3233,10942.2676,2498.0579,17155.7084,1734.3213,50625.9043,1324.8716
mix_92,1262.7438,1832.6673,9354.1174,2112.0305,14329.0702,1897.6626,54138.0222,1391.9979
mix_93,939.4059,1752.1802,12469.077,2158.601,19265.9825,1623.7249,46987.4782,1229.5563
mix_94,961.3789,1733.0941,11310.0921,2585.0394,18506.8672,1695.2234,48842.4133,1358.4984
mix_95,1392.6956,1816.9551,11248.5669,2624.0101,17178.2095,1704.0188,50171.7781,1311.8983
mix_96,1308.321,1800.9707,10791.0495,2910.1132,16786.7408,1705.9536,50887.9806,1373.9645
mix_97,1201.6044,1814.4944,9938.5732,2197.1371,15652.6291,1811.6692,52705.3161,1391.0237
mix_98,1319.0414,1860.5693,9851.4938,2119.7765,14840.0675,1856.348,53429.2763,1363.1462
mix_99,1372.1,1861.0749,5096.5566,2369.3727,9371.4785,2282.9072,58675.9348,1731.2782
mix_100,1297.9251,1841.4509,9087.1254,2167.2068,13912.2035,1920.6713,54666.6022,1416.4096
