ID,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated,Plasma cells,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Dendritic cells resting,Dendritic cells activated,Eosinophils
S10067,6.36907096774,6.22511538462,7.16862307692,7.12966,7.20345,8.19078809524,6.49942727273,7.56910769231,4.82416923077,6.75041666667,6.35506,5.86952941176,6.01735652174,5.734965,5.03043333333,5.99694482759,6.23877083333,6.00511515152,6.2644,5.34373,5.798055,6.27591515152
S1007,6.55053548387,6.09291538462,7.23503076923,6.751605,6.959095,8.22852380952,6.41296818182,7.10211538462,4.91785384615,6.382,6.39779333333,5.79010882353,6.10499130435,5.742785,5.17103333333,6.06996206897,6.1353,6.15927272727,6.16777142857,5.536215,5.769345,6.26346060606
S10073,6.45270322581,6.16648461538,7.28691538462,7.029385,7.342915,8.54196666667,6.69641363636,7.72449230769,5.04521538462,7.06178333333,6.36637333333,5.91302941176,6.07586521739,5.777715,4.94395238095,6.04185172414,6.4277625,6.02996060606,6.30432857143,5.430485,5.760045,6.23419393939
S10077,6.42522903226,6.13596153846,7.25544615385,6.75454,7.032765,8.2613952381,6.49424090909,7.24550769231,4.84334615385,6.51241666667,6.4177,5.94061176471,6.12400434783,5.651265,4.97591904762,5.90370344828,6.05130833333,6.08018484848,5.95372142857,5.40221,5.630685,6.39260606061
S10080,6.47957741935,6.32617692308,7.64278461538,7.129695,7.424265,8.55736428571,6.45875909091,7.20359230769,4.94566153846,6.68716666667,6.53825333333,5.99811764706,6.23619565217,5.8131,5.13908571429,6.06621724138,6.209725,6.21397272727,6.22815,5.62061,5.788015,6.47363636364
S10082,6.47893548387,6.32694615385,7.48867692308,6.82702,6.80324,8.43172142857,6.59804090909,7.58050769231,5.0133,6.73038333333,6.26910666667,6.00530588235,6.09017826087,5.659275,4.9293952381,6.09343793103,6.16255,6.01123333333,6.1766,5.51657,5.7779,6.29115151515
S10087,6.65875806452,6.42321538462,7.3736,6.71771,7.00072,8.42745952381,6.50354090909,7.6172,5.04026153846,6.60986666667,6.38076666667,5.89210588235,6.13409130435,5.76733,5.01679047619,6.01357931034,6.21827083333,5.96974848485,6.19597857143,5.532845,5.839335,6.30845454545
S10089,6.1940516129,6.13209230769,7.03208461538,6.79392,6.77292,8.38445952381,6.45776818182,7.23283846154,4.90513076923,6.36683333333,6.40941333333,5.84750588235,6.05196521739,5.595565,5.0921047619,5.86815517241,5.95099583333,6.04105454545,5.91055714286,5.428355,5.662515,6.22463333333
S1009,6.82814516129,6.34223846154,7.25342307692,6.93193,7.1909,8.13031904762,6.7689,7.60576153846,5.09546923077,6.94501666667,6.28698666667,5.86294705882,6.05574347826,5.65863,5.0098952381,6.27192758621,6.4230125,6.15649090909,6.25078571429,5.61492,5.71344,6.12736969697
S10090,6.12207741935,6.08596153846,7.03537692308,6.656615,6.87995,8.35802857143,6.42714545455,7.39222307692,5.08541538462,6.51238333333,6.39914666667,5.80805,5.87103478261,5.600245,5.16438095238,5.97404482759,6.15440416667,5.97263030303,6.02302857143,5.46772,5.543165,5.9638
S10093,6.0546516129,6.06157692308,7.3614,7.113155,6.90258,8.18198809524,6.26285,6.83079230769,4.95316153846,6.23855,6.49638,5.81770588235,6.12241304348,5.8054,5.08744285714,5.99540689655,5.98942916667,6.15732424242,6.04632142857,5.515095,5.73548,6.30106666667
S10094,6.27412903226,6.16524615385,7.51864615385,7.03685,7.07433,8.57373095238,6.47297272727,7.24942307692,4.91993076923,6.41408333333,6.44278666667,5.8994,6.20122173913,5.865965,5.00033333333,6.06429310345,6.0944125,6.00352121212,5.99990714286,5.51102,5.83415,6.3627030303
S1010,6.37282903226,6.49271538462,7.38587692308,7.03339,7.117155,8.41845714286,6.66199090909,7.55713846154,5.04076923077,7.02236666667,6.50976666667,6.10253235294,6.21824347826,6.051855,5.13997142857,6.04479310345,6.25475416667,6.14849393939,6.35557857143,5.54763,5.898535,6.25477878788
S10111,6.33776129032,6.34449230769,7.36323846154,7.069075,7.245785,8.38908333333,6.57902727273,7.66056923077,5.05577692308,6.5863,6.40018666667,5.94849411765,6.09237391304,5.93079,4.98363333333,6.06989310345,6.22745416667,6.00229090909,6.20260714286,5.41217,5.99842,6.44530606061
S10116,6.21178387097,6.21447692308,7.02136153846,7.016205,7.45803,7.79272857143,6.71054545455,7.49611538462,4.96693076923,7.02626666667,6.31328666667,5.77517058824,5.97709565217,5.56458,4.92554285714,5.97805862069,6.44757916667,6.18794242424,6.29257142857,5.445365,5.682815,5.87614545455
S10119,6.46687741935,6.24453846154,7.21065384615,6.855685,6.89578,8.15060238095,6.51858636364,7.33344615385,4.85994615385,6.80861666667,6.34246,5.81445294118,6.07339565217,5.707465,5.04444285714,6.07826896552,6.19129583333,6.0949,6.12396428571,5.45182,5.82662,6.31028787879
S10121,6.30062903226,6.18189230769,7.18169230769,6.985075,7.02862,8.3345047619,6.43246363636,7.17592307692,4.7525,6.80255,6.40325333333,5.91276470588,6.00603043478,5.630375,5.01087619048,5.9396137931,6.048075,5.96051818182,6.02980714286,5.349015,5.824495,6.21375757576
S10130,6.24083548387,6.10933076923,7.35713846154,6.966225,6.89549,8.48302380952,6.42094545455,7.12962307692,4.80426153846,6.41306666667,6.35121333333,5.86270294118,6.11550869565,5.802665,5.06287619048,5.97126896552,5.95465833333,6.13985454545,5.92607142857,5.462705,5.692175,6.08301818182
S10140,6.6841,6.41181538462,7.51077692308,7.10186,6.921945,8.81892142857,6.23284090909,7.16766923077,4.89917692308,6.39665,6.59256,5.92833529412,6.22354782609,5.98311,4.99319047619,6.28838275862,5.92957916667,5.91625151515,5.94132142857,5.49506,5.992835,6.43286363636
S10142,6.48955806452,6.44441538462,7.22683076923,7.14839,7.39017,7.96995952381,6.36502727273,7.38310769231,4.9934,6.48726666667,6.37434,5.84740882353,6.05333043478,5.8014,4.91773333333,6.03914827586,6.08538333333,6.00096969697,6.38315714286,5.559235,5.880005,6.33696969697
S10150,6.28251935484,6.35288461538,7.6303,7.16105,7.105005,8.82470952381,6.18351363636,6.74365384615,4.88436923077,6.02785,6.66439333333,5.87864117647,6.10294347826,5.840245,5.06261428571,5.99975517241,5.8393625,5.99018484848,5.83875714286,5.500955,5.741885,6.13096969697
S10155,6.47039354839,6.3471,7.3764,6.907535,7.01929,8.44349047619,6.61288181818,7.58499230769,4.98836923077,6.59715,6.51692666667,5.90441176471,6.13386086957,5.85043,5.32753333333,6.00899310345,6.27707083333,6.02372727273,6.24635714286,5.5208,5.741555,6.58825151515
S1016,6.08754193548,6.18459230769,7.34716923077,6.80027,7.011245,8.23345952381,6.29846363636,7.08723076923,4.90721538462,6.26601666667,6.44618666667,5.74735294118,5.94227826087,5.68796,5.06977142857,5.7946,5.948625,5.99124242424,6.16408571429,5.426745,5.84349,6.26506060606
S10163,6.41808709677,6.18346153846,7.4017,7.189455,7.287645,8.59496904762,6.62654090909,7.32419230769,4.92459230769,6.70033333333,6.53219333333,5.87689117647,6.08606521739,5.90884,4.9657952381,6.04992758621,6.33359166667,6.17262424242,6.17289285714,5.556265,5.67975,6.16578181818
S10167,6.27404516129,6.15424615385,7.18799230769,7.126345,7.45871,8.26319761905,6.37023636364,7.09802307692,5.08804615385,6.69856666667,6.42802666667,5.88648823529,5.95843478261,6.07589,5.30643809524,6.05677931034,6.15066666667,6.15377575758,6.41263571429,5.467385,5.944995,6.48117878788
S10168,6.47246451613,6.26371538462,7.10486923077,7.208105,7.453665,8.13274285714,6.51824545455,7.38313846154,4.99236923077,6.74366666667,6.17868666667,5.85345588235,5.93873478261,5.68723,5.13477619048,5.9536137931,6.14624583333,5.98764545455,6.27337142857,5.434085,5.798515,6.39177575758
S10173,6.81267741935,6.54949230769,7.29736153846,6.92592,7.010555,8.23123333333,6.56885909091,7.46465384615,4.9886,6.71535,6.33036666667,5.84220588235,5.99176956522,5.576355,5.00474761905,6.10476896552,6.3378875,6.08826969697,6.21145,5.450945,5.753285,6.26903636364
S10175,6.34854193548,6.20792307692,7.30176153846,6.84228,7.01765,8.41229047619,6.33344090909,7.17516923077,4.96686153846,6.33696666667,6.35734,5.94032352941,6.07637826087,5.79757,5.0896047619,6.11033103448,6.039425,6.00886363636,6.05765,5.44296,5.98457,6.51046363636
S10179,6.30858709677,6.43210769231,7.39501538462,7.20759,7.59783,8.26117619048,6.59023181818,7.69676153846,5.01224615385,7.02945,6.35306666667,5.98654411765,6.17923913043,5.74466,5.06592857143,6.24077586207,6.32952083333,6.12373333333,6.40204285714,5.64638,6.075085,6.43208484848
S10186,6.6075483871,6.52080769231,7.22246153846,6.929245,7.007035,7.57469047619,6.55192272727,7.49247692308,4.96931538462,6.82378333333,6.25660666667,5.76594411765,6.03084347826,5.584765,4.97442380952,6.01785517241,6.17438333333,6.13147575758,6.07865714286,5.47446,5.879815,6.21197272727
S1019,6.36838709677,6.24522307692,7.21503076923,6.921655,7.083905,8.04718095238,6.49212727273,7.37726923077,4.8951,6.54925,6.31764666667,5.88273235294,5.9545826087,5.72401,5.07433333333,5.95783448276,6.10692083333,6.03816666667,6.03395,5.358635,5.67708,6.47636666667
S10190,6.70028064516,6.50913076923,7.34386153846,6.75253,6.999475,8.4612952381,6.61801363636,7.68931538462,5.03848461538,6.81893333333,6.52515333333,6.11184117647,6.20595652174,5.736565,5.09407619048,6.17402758621,6.3014875,6.06878181818,6.28572142857,5.576815,6.14108,6.5351
S10195,6.31326774194,6.2294,7.39016923077,6.787185,6.86076,8.64838333333,6.37214545455,7.16852307692,4.98687692308,6.32686666667,6.57768666667,5.85778823529,6.1692173913,5.912675,5.0562952381,6.04277931034,6.0353875,6.06138787879,6.03147857143,5.44055,5.87914,6.14027575758
S10196,6.21841612903,6.22366923077,7.44938461538,6.990765,7.21114,8.57416666667,6.58680909091,7.46342307692,5.02283846154,6.42158333333,6.65673333333,5.86806764706,6.10659565217,6.09348,5.27662857143,6.10125172414,6.16197916667,6.0401030303,6.17525714286,5.56275,5.84866,6.67617575758
S10200,5.96976129032,6.18563846154,7.48640769231,7.060405,7.224365,8.43408571429,6.24470454545,7.11754615385,4.81996153846,6.34823333333,6.47956666667,5.96102941176,6.0738173913,5.59864,4.99520952381,5.93403448276,5.94324583333,5.96257272727,6.09978571429,5.40246,5.86452,6.2563030303
S10201,6.35467419355,6.11787692308,7.33816153846,6.80438,6.835455,8.90016428571,6.12901818182,6.69606153846,4.66983076923,6.09553333333,6.50467333333,5.85917058824,6.13514782609,5.7785,5.08415714286,5.78614827586,5.63685416667,5.91274242424,5.80960714286,5.352105,5.632865,6.16786060606
S10202,6.33190967742,6.09036923077,7.50843076923,7.252995,7.52166,8.39384285714,6.43985909091,7.17343076923,4.89657692308,6.49741666667,6.36138,6.00032058824,6.02853478261,5.657925,5.10524761905,5.82767931034,6.13038333333,6.01861212121,6.25479285714,5.606005,5.846525,6.26141515152
S10205,6.72747096774,6.4157,7.35176153846,7.008955,7.37707,8.67504761905,6.48078181818,7.58993846154,4.89703846154,6.38848333333,6.55066,5.96624117647,6.12592608696,5.940735,5.09609047619,6.28947241379,6.21329166667,6.0130969697,6.23568571429,5.40988,5.932795,6.5058030303
S10211,6.13309354839,6.22203846154,7.03423076923,6.920605,6.796575,8.09243571429,6.22409545455,6.9491,5.11096923077,6.7188,6.34785333333,5.7022,6.13119565217,5.73131,5.19497619048,6.00708965517,5.9374,6.0360030303,6.25900714286,5.52597,5.70799,6.42957878788
S10221,6.49276451613,6.28091538462,7.43406153846,7.170985,7.014195,8.55287619048,6.54842272727,7.47522307692,4.95162307692,6.72491666667,6.41582,5.89275882353,6.16446521739,5.991815,5.28844285714,6.16658965517,6.23295833333,6.04591818182,6.15325714286,5.528015,5.799115,6.62096969697
S10222,6.23590645161,6.2865,7.08248461538,6.61009,6.582515,8.39944285714,6.32547727273,7.09832307692,4.89286153846,6.41516666667,6.4536,5.84582352941,6.02263913043,5.763715,4.96814761905,6.0484137931,5.914975,5.93895151515,5.8651,5.3045,5.708375,6.12267272727
S10226,6.50927741935,6.40520769231,7.33383076923,6.674175,6.91945,8.60532619048,6.44921363636,7.41149230769,4.97656153846,6.67723333333,6.52151333333,5.77312352941,6.14607826087,5.891745,5.10057142857,6.05911724138,6.05929583333,5.89512424242,6.06298571429,5.367465,5.78441,6.35060606061
S10227,6.18416451613,6.17737692308,7.50684615385,6.77856,6.878535,8.54623333333,6.36334090909,7.18609230769,4.85500769231,6.24213333333,6.56325333333,5.90014117647,6.16035652174,5.972765,5.09227142857,5.99373448276,6.01807916667,6.01627575758,5.89424285714,5.48653,5.782325,6.52607878788
S10228,6.32033870968,6.23621538462,7.25230769231,6.831805,7.102995,8.38449285714,6.53160454545,7.31248461538,4.95922307692,6.65185,6.52938,5.93436470588,6.05853043478,5.943315,5.10442380952,5.96591724138,6.13135416667,6.06331515152,6.14922857143,5.40881,5.897665,6.35593939394
S10232,6.46947096774,6.32940769231,6.85108461538,6.961245,7.01943,7.67441904762,6.53228181818,7.38414615385,5.07103846154,6.41625,6.30214,5.78984411765,5.91547826087,5.535395,5.07005238095,6.1022,6.2593875,6.10370606061,6.37231428571,5.561305,5.790735,6.18380909091
S10248,6.40240967742,6.27626923077,7.22688461538,6.747015,6.79326,8.41267857143,6.41847727273,7.42978461538,4.97865384615,6.5406,6.39186,5.80893823529,6.00796956522,5.74012,5.12838095238,6.11304482759,6.14209583333,5.95646060606,6.20224285714,5.341955,5.881735,6.51585151515
S10249,6.24401612903,6.35167692308,7.74278461538,6.946495,7.03352,8.74476190476,6.28511818182,6.87248461538,4.99540769231,6.3253,6.74044,6.23640882353,6.10437391304,6.060545,5.30689047619,6.13175517241,5.94491666667,5.90561818182,5.76093571429,5.55852,5.874445,6.48880909091
S1025,6.45725806452,6.45237692308,7.30823076923,7.05904,7.363555,8.22817380952,6.48671363636,7.54868461538,4.91010769231,6.5995,6.46034666667,5.99330294118,6.12821304348,5.85727,5.06344761905,6.04844827586,6.10634166667,6.02903030303,6.2739,5.58687,5.900005,6.42949393939
S10266,6.19715806452,6.21469230769,7.25236153846,6.698335,6.94064,8.66370952381,6.51617727273,7.25578461538,4.93230769231,6.5254,6.56014,5.93007058824,6.12206956522,5.71777,5.0561047619,5.94879655172,6.07215833333,6.0269,6.00987857143,5.542685,5.72451,6.10897878788
S10269,6.39700645161,6.47833846154,7.18911538462,6.79057,7.030965,8.44869761905,6.30387272727,7.17176153846,4.96083846154,6.39685,6.52995333333,5.85613235294,6.0198826087,5.866135,5.0865952381,5.9840137931,6.02929166667,5.99126969697,6.15521428571,5.40242,5.81457,6.35260909091
S10272,6.11343870968,6.20353846154,7.17774615385,6.836885,6.62296,8.48862619048,6.21882272727,7.00152307692,4.86364615385,6.28673333333,6.43218,5.70643235294,6.06732608696,5.763305,5.13256190476,5.86532068966,5.90987916667,5.9705,6.04040714286,5.330725,5.77632,6.24495454545
S10273,6.63806129032,6.25356923077,7.3467,6.848485,7.200425,8.5488452381,6.34528636364,7.2876,4.81740769231,6.25661666667,6.39212666667,5.84342352941,5.95476956522,5.754085,5.03934285714,5.9759137931,5.993075,5.93696363636,6.02124285714,5.440305,5.805655,6.32939393939
S10274,6.30458709677,6.2949,7.36635384615,6.911365,6.898215,8.51744761905,6.44663181818,7.26834615385,4.78393076923,6.28988333333,6.46526,5.86647647059,6.08484347826,5.785015,5.09460952381,6.03193448276,6.01150833333,6.09476363636,6.05785,5.401605,5.91079,6.33583333333
S1028,6.65096129032,6.27554615385,7.55476923077,6.81661,6.84889,8.5195,6.35059090909,7.2094,4.91757692308,6.24023333333,6.53162666667,6.03549705882,6.15714347826,5.811275,5.19736666667,6.17584137931,6.13174166667,6.05726969697,6.11185714286,5.494345,6.18661,6.74289393939
S10280,6.58658064516,6.48173076923,7.43959230769,7.07416,7.4363,8.62517857143,6.67613636364,7.7066,5.10043846154,7.10763333333,6.35757333333,6.10199705882,6.31883478261,6.25582,5.19476190476,5.96098275862,6.2938625,6.12435757576,6.34888571429,5.68447,5.86926,6.64186060606
S10283,6.46523870968,6.19396923077,7.51717692308,6.941405,7.39433,8.10513095238,6.58470454545,7.60623076923,4.94252307692,7.02058333333,6.22913333333,6.03285,6.01800869565,5.498405,4.93468571429,6.10820344828,6.28097916667,6.03156969697,6.35291428571,5.583225,5.934735,6.35524242424
S1029,6.3949,6.40397692308,7.27424615385,7.093675,7.105315,8.275,6.46142272727,7.34314615385,4.84042307692,6.42026666667,6.36227333333,5.98506470588,5.97606086957,5.98917,5.0587,5.97567586207,6.11475416667,6.08285757576,6.01692857143,5.417015,5.86636,6.24493636364
S10292,6.35426774194,6.1629,6.95046153846,6.70013,6.865795,8.00971190476,6.56903636364,7.42759230769,4.91368461538,6.63005,6.28492666667,5.75566470588,5.9454826087,5.674985,5.00649047619,6.04231724138,6.08374583333,6.02662424242,6.05630714286,5.388975,5.75872,6.25933030303
S10294,6.37900645161,6.37367692308,7.22530769231,7.062655,7.191755,8.08888809524,6.35455909091,7.30209230769,4.91409230769,6.81856666667,6.2979,5.93531764706,6.06729130435,5.658965,4.92468095238,6.22306206897,6.17382916667,6.07962727273,6.32774285714,5.423415,5.903385,6.5898969697
S10302,6.28028064516,6.15688461538,7.29254615385,7.241895,6.94897,8.33930714286,6.41635454545,7.35193076923,5.06129230769,6.47026666667,6.45020666667,5.75058823529,6.06299130435,6.304415,5.19976190476,6.0206862069,6.11932083333,6.06432727273,6.3258,5.50479,5.826905,6.32336666667
S10303,6.53751612903,6.31343846154,7.32176923077,7.11903,7.31246,8.27502142857,6.40051818182,7.19630769231,4.93369230769,6.3012,6.36226666667,5.81798235294,6.07455217391,5.784605,5.04345238095,5.89912758621,6.13165416667,5.9990969697,6.06255714286,5.528195,5.7273,6.10751818182
S10323,6.42369677419,6.20732307692,7.3562,6.864055,6.99027,8.37785952381,6.47858181818,7.29890769231,4.92638461538,6.65735,6.48826,5.88815882353,6.0966,5.748565,5.02950952381,5.97112413793,6.1042,6.01058181818,6.09985,5.46004,5.77569,6.19066363636
S10326,6.29940967742,6.26496923077,7.41522307692,6.9412,7.133815,8.51141428571,6.32590909091,7.22310769231,4.88787692308,6.5392,6.54391333333,5.87844705882,6.07651304348,5.91369,5.2254,6.00475172414,6.02880833333,5.90127272727,6.24833571429,5.502565,5.845855,6.5192030303
S10328,6.26175483871,6.1221,7.08469230769,7.155685,7.688535,8.38167857143,6.60325454545,7.45389230769,4.95846923077,7.10951666667,6.24054,5.89310882353,6.03821304348,5.693445,4.98327142857,5.92525862069,6.2713375,6.10007878788,6.44627142857,5.392465,5.74556,6.30550606061
S10329,6.73149354839,6.35773076923,7.24492307692,7.019765,7.210095,8.35405,6.47030454545,7.45503846154,5.02544615385,6.74385,6.34123333333,5.87425588235,6.17359130435,5.758615,5.0051047619,6.12882758621,6.18217916667,6.01587272727,6.34302142857,5.53865,5.83453,6.32405454545
S10336,6.40700967742,6.21195384615,7.18546923077,7.07899,7.330125,8.35140952381,6.34472272727,7.03001538462,4.85791538462,6.20526666667,6.36645333333,5.80790294118,6.03949130435,5.87035,5.05501904762,5.88760344828,5.9853,5.93718181818,6.20036428571,5.543835,5.841615,6.28331818182
S10340,6.57858064516,6.22525384615,7.2445,6.6924,6.873445,8.5244,6.51005909091,7.46600769231,5.09316153846,6.60411666667,6.24398,5.88475,6.0701173913,5.69068,5.11125238095,6.00117931034,6.11792083333,5.981,6.14412857143,5.441615,5.722315,6.31109393939
S10347,6.06906774194,6.05876153846,7.029,6.834405,7.013185,8.07788333333,6.52755909091,7.06176923077,4.95289230769,6.44711666667,6.37523333333,5.85152941176,6.00025217391,5.717315,5.02122857143,5.87563103448,6.03479583333,6.0575030303,5.95945714286,5.38421,5.54883,5.84038484848
S10353,6.5835516129,6.44738461538,7.24729230769,6.90186,6.9662,8.42146190476,6.43730909091,7.40120769231,4.81653076923,6.44788333333,6.60226666667,5.95808235294,6.07845217391,5.94431,5.06647619048,6.06059655172,6.0587125,6.04680606061,6.13761428571,5.429445,5.86232,6.36483939394
S10356,6.48212258065,6.14946153846,7.2414,6.7854,6.8946,8.20637380952,6.54086818182,7.40630769231,4.99667692308,6.37661666667,6.34452666667,5.87786176471,6.0626826087,5.838015,4.9572952381,5.99189310345,6.09025833333,6.06224545455,6.09673571429,5.439505,5.672665,6.19378181818
S10358,6.11034193548,6.22472307692,7.41958461538,6.937935,6.955005,8.6036547619,6.37905,7.37516153846,4.8704,6.53835,6.49844666667,5.99959705882,6.10812173913,6.09219,5.00502857143,5.92331724138,6.03388333333,5.93667878788,6.04281428571,5.484245,5.87406,6.21710606061
S10365,6.30299677419,6.08901538462,7.46983846154,6.895385,6.8022,8.51272619048,6.33235454545,7.19423846154,4.89925384615,6.31338333333,6.33710666667,5.90344411765,6.12276521739,5.618,5.05346666667,5.84109655172,5.90219583333,5.98676666667,5.92946428571,5.417155,5.782095,6.3360969697
S1037,6.55501612903,6.30185384615,7.05924615385,6.98395,7.299885,7.92390238095,6.72694090909,7.72646923077,5.12447692308,7.01288333333,6.27062,5.81442058824,6.01793913043,5.71975,5.02345714286,6.03808965517,6.39616666667,6.07664545455,6.40683571429,5.401355,5.737835,6.12188787879
S10373,6.71518064516,6.23831538462,7.32253846154,7.150805,7.077135,8.27265238095,6.57336818182,7.48702307692,4.95447692308,6.59886666667,6.42352,5.97714411765,6.12805217391,5.88184,5.01621904762,6.16001724138,6.213175,6.11152121212,6.21603571429,5.57235,5.93133,6.31805757576
S10374,6.27787096774,6.113,7.02314615385,6.58716,6.52461,8.03699761905,6.24581363636,7.12856923077,5.07397692308,6.23113333333,6.38752,5.70773235294,5.92966521739,5.85786,5.23917142857,6.13245862069,5.98324166667,6.01922121212,6.10753571429,5.370325,5.811625,6.37116666667
S10375,6.38246451613,6.20548461538,7.50942307692,7.185655,7.479,8.62845714286,6.44985,7.24691538462,5.08247692308,6.47868333333,6.53728,5.80178529412,6.03024782609,5.80743,5.20152857143,5.99393793103,6.2206,6.08040909091,6.17341428571,5.69609,5.806395,6.47632727273
S10377,6.39848064516,6.21544615385,7.23854615385,6.88589,6.809725,7.95132619048,6.40245909091,6.98160769231,5.00972307692,6.4481,6.33314666667,5.80219411765,6.09183478261,5.775505,5.22217142857,6.04499655172,6.24505416667,6.16616666667,6.06882857143,5.484575,5.910395,6.25155757576
S10378,6.62565483871,6.42845384615,7.31083846154,7.143425,7.28764,8.61112142857,6.52970909091,7.48933846154,5.02232307692,6.97446666667,6.37318666667,5.84168823529,6.19541304348,5.8455,5.08602380952,6.28403448276,6.37515,6.08620606061,6.1925,5.556845,5.818145,6.45949393939
S10390,6.2635516129,6.07373076923,6.92836923077,6.700475,6.553775,7.96465238095,6.41454090909,6.84867692308,5.06073846154,6.41326666667,6.25186,5.76305882353,5.83398695652,5.796985,5.07321428571,5.94366206897,6.0005875,6.11546363636,5.85338571429,5.268385,5.43341,5.97072727273
