Gene,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
mix_11,221.7845,168.7099,239.5855,773.4361,323.7716,269.4106,380.502,156.399,138.0974,213.8692,264.7391,225.9864,2314.9147,139.6956,297.3753,189.3546,392.3373,401.0626,192.951,2797.8041,353.3252,199.1808,386.7359,400.836,280.6439,367.604,377.8174,175.8898,310.8979,12093.5201,151.4057,160.3994,537.5494,302.5178
mix_12,221.543,165.3182,241.7737,703.7391,332.8137,283.6158,382.8586,158.5814,136.0874,215.1098,255.5893,214.356,2184.7128,142.0423,299.3897,187.3606,376.4749,384.3755,186.4121,2784.4182,351.3535,207.034,381.2431,370.2807,263.294,357.6278,397.2994,175.6872,341.9491,12057.591,153.6022,176.4395,572.4413,404.6355
mix_13,237.6467,236.4781,292.218,421.5052,397.9706,295.9403,395.1595,167.3214,129.3583,209.8395,205.3566,164.0403,1808.1673,139.4529,296.223,197.001,372.0316,319.8001,170.1844,2498.1666,346.961,225.3727,376.5202,279.1499,234.7861,337.3029,421.5913,173.9209,392.0118,11192.4153,167.787,214.8627,622.5361,416.3257
mix_14,245.0548,239.2167,298.0814,443.3146,347.1391,292.8742,380.0075,158.0866,131.1168,207.962,216.2242,169.9438,1753.6721,146.8756,306.393,192.4818,369.8247,323.8267,166.9236,2504.1011,339.2088,227.9004,372.0811,288.4736,228.7208,336.3416,429.9042,174.9266,395.9018,11238.5648,161.2747,217.5594,627.6001,473.0687
mix_15,240.4968,225.5034,284.5946,341.1512,456.4092,298.6173,438.7527,187.2135,132.6183,206.8878,199.3697,154.5317,1869.9631,141.8232,300.5883,207.9552,357.6364,295.2816,173.3932,2693.3124,345.9025,230.1393,392.7769,281.5491,231.8707,340.3826,414.658,165.6158,401.1156,10957.0103,177.271,219.922,640.4822,504.127
mix_16,240.7944,202.9362,278.3928,462.1829,370.7899,298.962,393.2301,164.2728,134.3509,205.7346,222.0243,170.3171,1807.3065,141.877,305.7604,188.6779,356.1941,322.8259,168.9457,2504.2897,347.3484,228.8041,377.8101,301.3469,231.19,344.4096,441.2158,171.7473,400.2994,11220.4574,164.439,227.2328,660.6817,512.0844
mix_17,262.1302,284.6409,332.2745,234.8144,383.9465,314.7674,407.5469,177.7317,135.975,204.992,180.0905,133.6515,1438.1424,158.5279,313.2373,206.1823,340.2633,269.7163,158.153,2064.9132,334.7613,253.4871,379.5271,224.0504,198.3117,324.631,462.7275,177.7695,445.3083,11148.7154,179.3219,264.8921,705.1834,586.8983
mix_18,220.9865,167.0171,240.2958,826.7637,304.2876,261.876,368.1632,150.7665,137.4948,224.3013,268.2831,237.2449,2444.6174,140.5977,294.2312,185.7117,398.842,420.0543,199.2881,2605.0954,360.7101,198.704,383.8715,412.5128,285.8679,369.6666,353.7744,180.5029,308.5724,12227.3971,146.3216,147.3483,511.8834,281.2061
mix_19,228.4214,199.7951,264.9564,588.0155,350.5559,283.5059,390.03,160.7611,135.4479,212.2139,233.274,195.5273,2062.97,141.1301,298.5414,190.3497,369.4224,354.2487,179.6746,2544.9142,340.4139,217.9139,381.6313,327.2015,252.2215,344.2717,397.2468,171.5573,358.2585,11801.3944,157.5261,190.026,593.9096,416.8366
mix_20,238.2255,208.9003,293.353,253.1011,438.9113,347.7068,483.948,185.4182,148.3923,203.048,198.7148,138.731,1595.5611,157.7339,314.8788,195.7707,320.9343,281.3616,151.4014,2676.1169,333.9955,240.0945,401.7701,253.2574,210.432,333.2204,469.253,173.2144,458.2945,10951.296,183.6269,271.1582,752.1752,777.4108
mix_21,240.4354,219.5441,281.5205,434.6744,361.0993,307.4722,393.4714,166.1791,136.1916,204.0647,210.845,165.0059,1746.4067,146.3148,305.607,189.7614,351.8248,315.4941,166.2974,2500.8388,345.5811,232.0997,378.0936,291.5158,227.1528,337.7267,437.0005,175.6406,399.6281,11215.1001,165.3841,227.3077,652.9863,548.5726
mix_22,226.4911,209.1801,270.061,548.2181,387.2766,283.0919,401.4257,164.0742,130.2723,212.8038,222.0286,189.0585,2087.6423,138.5875,292.8251,194.9941,369.9599,347.8083,177.855,2746.5749,343.9392,213.4557,384.0182,322.3714,251.3499,341.8958,390.0037,171.6956,362.352,11718.2369,158.9081,187.9353,583.6034,389.7436
mix_23,235.1436,213.5919,277.4384,567.6394,329.9522,281.877,379.9084,155.3164,133.1128,212.3727,230.3234,187.2887,1974.081,140.8709,302.0548,191.6819,374.3079,355.5552,178.8175,2539.7621,345.0394,219.9377,378.7318,328.0306,246.9068,347.8713,395.1005,175.9023,365.2228,11748.1252,158.8931,197.4759,598.776,381.826
mix_24,217.5518,158.4514,233.7184,875.0965,326.6666,263.5636,376.5601,154.2624,137.5614,223.5812,270.9055,243.4053,2595.4557,136.8126,290.1874,189.8098,406.3615,429.9077,203.9539,2616.5269,363.2812,193.544,384.0257,437.0706,295.0168,370.2825,357.0552,180.5576,304.2956,12170.5825,148.9451,141.3795,501.3314,252.8154
mix_25,227.7664,176.3066,256.4373,609.5132,334.4044,294.5208,391.3051,159.0697,137.1453,210.7325,241.7467,195.1919,1919.9696,145.2402,304.1387,185.1968,364.6759,358.4667,174.5433,2544.2631,349.8515,219.1387,384.0127,338.9855,250.406,354.086,418.0716,176.8243,367.989,11754.0619,157.3929,203.0731,636.4407,488.3614
mix_26,233.8511,192.6484,278.6661,271.3192,502.8632,344.0724,499.1854,198.3513,139.2746,206.0126,200.0689,149.6312,1772.6487,145.5295,303.5316,205.7172,327.4238,281.5786,163.218,2673.3162,339.2018,236.8757,393.3673,274.4888,228.1366,334.346,460.8268,169.8666,440.2178,10719.172,187.559,258.7467,746.2187,657.9273
mix_27,224.026,205.3394,258.1343,716.9226,352.3571,259.7208,368.916,153.7027,129.9371,221.6884,245.6329,218.1205,2301.3261,134.5252,290.5554,192.616,396.6421,389.3166,194.6256,2784.9125,350.2404,203.6342,376.0611,387.796,273.1939,348.6446,366.218,176.1084,316.881,12090.6509,150.5832,153.9705,498.4597,230.3016
mix_28,243.4928,216.7287,294.851,254.7565,430.663,336.575,464.3863,185.7502,141.0286,200.5998,199.232,141.854,1585.3301,152.5035,312.3536,194.6872,329.2509,279.6098,155.5066,2667.6449,328.1936,245.0925,389.1811,246.696,211.2446,329.5154,469.5352,171.0611,444.7843,10696.013,179.4249,270.2544,750.7682,696.0998
mix_29,221.3462,185.5633,263.5783,581.3607,372.8493,286.8884,406.2657,165.3177,133.7555,210.1177,231.4948,193.6482,2102.2086,137.9424,298.8478,187.7063,370.8061,352.4712,180.1536,2535.9557,353.1528,212.8516,381.0326,341.0199,252.1725,353.3569,404.4517,173.0158,357.98,11804.3497,157.6304,195.6817,610.4873,436.1676
mix_30,228.7476,194.3862,262.0883,568.8748,361.693,289.2631,400.2351,163.5487,133.6622,210.8749,231.8024,189.988,2075.3645,140.7433,299.32,189.8635,368.7062,352.0032,176.6187,2535.1696,348.6521,217.4792,380.7276,334.4928,249.6281,350.0515,403.9465,172.7129,359.6812,11720.3429,157.7278,196.4956,611.0499,434.521
mix_31,230.4261,183.841,257.765,604.8625,344.5499,288.8852,391.0791,162.5537,134.8807,207.6503,237.6856,193.0927,2046.4857,138.2701,304.717,185.498,366.6546,360.8071,177.0364,2541.0713,351.9648,216.1411,380.4747,343.4018,248.7082,351.5924,406.0492,174.74,360.442,11805.4296,153.566,199.8053,617.0437,424.7107
mix_32,230.6985,198.1403,271.5285,497.026,373.9138,293.2541,405.7225,163.6836,132.9169,208.3244,226.2359,178.4427,1875.7509,141.463,303.2897,188.9124,357.9888,331.7437,169.7271,2514.6935,349.2838,222.4662,379.8013,312.798,240.8471,343.6358,435.6122,171.9657,387.2108,11369.9394,161.3091,215.4613,640.3254,492.2533
mix_33,228.5698,192.6216,259.484,624.8259,352.8726,279.5591,382.7734,159.374,130.7669,210.7116,239.2267,198.4758,2076.3453,137.9615,296.8593,189.5134,374.6128,364.884,181.7058,2544.4001,345.5374,212.4291,372.8675,349.0656,254.8313,351.8523,397.7812,174.6402,352.0382,11937.4071,157.2193,188.2931,587.6522,367.7194
mix_34,218.3647,164.0606,238.4846,759.3914,342.5521,273.7411,380.7471,157.6478,136.1172,219.5709,259.1394,221.3732,2263.1056,137.7061,293.784,188.7878,385.7258,400.1726,192.2349,2799.5638,353.5687,203.7482,381.0204,393.1064,275.803,360.7886,377.7493,175.6582,318.057,12228.8251,150.9227,164.7173,546.7235,334.1946
mix_35,222.1748,180.6584,252.9762,639.0992,357.3979,285.9537,405.3366,160.8577,135.7573,214.7587,242.2979,201.302,2083.1532,142.938,296.9285,188.2609,371.5692,368.3866,180.1342,2764.3191,348.415,210.0054,384.165,356.447,260.1942,349.9367,403.5299,175.3721,356.4199,11938.5541,155.6078,183.7626,577.4271,431.4744
mix_36,245.9078,222.2999,291.0035,427.3657,368.4059,302.7628,391.2638,164.9485,130.8279,205.9702,213.5733,162.1751,1726.9227,139.6748,306.8178,193.6937,358.3008,311.8923,165.2024,2488.2735,342.7543,232.9149,374.6737,285.9497,222.8912,337.9372,429.1963,173.7144,399.7785,11218.0073,165.4378,230.3721,671.9927,454.8703
mix_37,248.27,220.8072,286.1502,456.0663,356.0996,294.5632,384.5815,161.1857,131.2056,205.0908,218.2251,170.9684,1752.0315,141.1138,306.4744,188.2654,358.5432,323.9178,166.9016,2506.4991,347.1296,229.7744,380.4407,297.8583,226.556,338.1415,431.6244,172.1242,402.0248,11284.1696,163.3909,224.98,654.3721,460.8859
mix_38,241.256,196.8463,279.1103,309.5761,454.8455,330.2094,460.5606,185.541,136.6662,202.7591,205.2451,153.0602,1736.6083,145.0994,305.7153,197.3122,332.0785,291.0573,160.288,2464.8295,336.4518,238.1569,386.7643,276.2439,221.4905,336.287,453.1284,172.0169,430.5904,10826.147,177.6813,256.5568,736.456,619.2347
mix_39,241.563,232.4935,293.3062,337.2694,431.7527,310.2362,431.6187,181.9705,134.701,200.9239,194.3137,155.903,1720.8289,143.6901,302.666,194.8517,349.4392,297.1303,169.1911,2482.0515,337.7872,233.4622,387.4378,270.2998,226.6233,329.0136,428.2856,173.309,408.7372,10933.4387,174.2208,229.5288,668.051,525.7444
mix_40,233.2493,193.2178,265.0823,619.7428,341.8123,281.4244,373.1141,156.6685,131.2662,208.9808,239.9906,195.4684,2074.7629,138.4193,301.0427,188.1583,371.9488,362.329,179.6109,2544.0297,343.39,215.7661,375.4928,348.5712,250.3496,351.8942,397.3712,176.5633,360.4206,11807.0356,156.4333,193.7018,599.481,370.3789
mix_41,216.3709,171.2117,245.2724,704.9268,358.0302,278.7284,405.4393,159.3063,135.9026,218.3585,250.6355,213.5887,2217.1364,139.274,293.7915,188.4043,382.2326,385.3265,187.0401,2786.2943,352.4708,206.1164,387.5566,368.9121,269.6541,357.611,385.8972,175.7462,333.645,12020.3513,153.3972,171.1011,554.3073,376.9335
mix_42,251.467,243.2117,306.477,264.7753,411.1101,324.2352,450.6257,176.8119,137.1337,202.4873,194.3457,138.5867,1547.4706,148.1146,314.4329,198.4124,333.8033,279.019,156.9883,2456.5083,334.7148,243.3356,382.9101,244.7623,211.3018,329.0689,464.9366,174.3952,439.9594,10739.7904,175.2259,257.1247,711.7782,610.1296
mix_43,220.1405,176.3644,257.5164,475.7001,429.7154,317.7377,437.185,176.3421,137.1093,210.9583,224.6106,179.1576,1968.5087,140.2947,298.5179,191.1757,351.0444,330.9541,171.2454,2511.7813,352.5867,221.07,384.9117,312.8215,238.4138,345.4799,444.1262,173.0693,383.5693,11317.6961,169.0641,216.8955,649.335,558.2994
mix_44,230.5568,181.921,265.381,442.3989,412.8644,313.3174,432.0678,174.6455,134.5318,208.03,219.9422,168.3706,1888.671,138.1095,304.9809,194.3694,348.2206,321.9438,168.9844,2503.6879,351.7097,227.2808,380.7575,307.7681,235.9836,345.3033,437.5043,171.2739,398.5801,11228.0823,168.5393,229.0336,682.9926,533.7268
mix_45,233.7523,172.1408,257.8131,580.524,338.8352,300.1107,394.0915,159.3389,138.8162,208.9338,241.2031,191.4942,1892.8123,144.8114,307.7296,184.188,362.2141,351.0505,171.9682,2533.3957,350.9305,222.9753,383.1377,337.187,242.6388,354.7427,432.3555,175.7305,372.9177,11602.4887,158.7718,215.8624,661.431,518.885
mix_46,234.2459,204.7734,283.7905,355.5548,418.3959,325.2343,453.1523,179.4072,139.8034,201.6618,205.0798,159.3426,1764.5418,148.2135,303.5137,193.6249,341.4731,300.4252,163.2513,2488.9757,339.2642,230.5534,390.6429,281.1341,224.8697,337.0896,440.4907,173.2166,412.376,10960.0169,171.6022,238.6531,687.6297,651.7011
mix_47,232.3845,196.7357,265.8662,616.1011,337.3155,283.9569,374.2541,156.4002,132.6268,211.4279,238.2716,194.5978,2021.4527,139.9052,301.6276,189.4212,369.3756,360.1075,178.3767,2542.6575,345.3171,217.2367,378.9458,348.0195,251.8779,351.6626,397.7307,175.5201,363.2361,11804.934,155.8298,193.1179,599.0903,399.237
mix_48,222.6736,200.5379,255.692,741.2191,352.0657,255.4752,371.2502,152.541,129.6799,222.1667,249.2305,220.512,2405.4837,134.2444,290.878,193.9616,399.0579,399.3068,194.5392,2796.2942,344.3434,202.9024,379.1253,406.4407,280.4298,353.07,357.403,178.1355,310.6532,12009.2341,152.0866,145.7447,486.8585,204.7878
mix_49,223.716,200.7504,261.5578,635.3859,363.3975,270.6901,394.606,158.2702,132.3466,213.9164,238.3711,205.468,2188.6619,136.6303,291.7935,193.4971,381.2058,371.6019,183.9508,2764.7212,344.1621,207.7862,383.0295,360.0055,262.6811,352.2913,389.0081,173.5316,349.0126,12018.6828,155.0134,170.873,550.0921,338.6185
mix_50,250.4938,223.4959,296.2038,350.9348,369.6549,318.7291,404.7396,174.5691,136.7284,200.838,209.8824,150.76,1599.8894,149.4323,317.6092,191.1414,339.4761,295.2452,158.9729,2479.1609,337.1108,240.8955,381.0993,272.7957,214.2054,337.6837,449.0611,174.8649,425.5242,10924.7009,169.5787,251.5751,716.4078,600.9832
mix_51,221.6829,199.3668,257.583,689.6988,363.4614,264.4593,368.2119,158.02,129.801,219.7123,244.4356,211.6211,2235.3049,132.8906,290.7644,192.7125,389.5079,383.9064,190.7816,2774.056,348.6172,207.0836,379.612,372.0536,270.4311,353.8962,380.5336,175.6608,332.3911,11988.0604,153.2566,161.9431,522.0916,258.0205
mix_52,246.9708,245.3358,305.4412,291.2775,432.3319,310.7032,428.8064,176.1475,130.3293,204.0288,193.962,144.6925,1637.0386,142.4803,307.6548,203.1545,343.2113,290.0775,160.7375,2459.6694,331.399,236.7948,380.8194,257.2813,214.4383,335.495,446.5006,171.5579,427.5245,10828.8035,171.1045,247.9311,690.4509,509.5975
mix_53,223.6039,201.066,259.2745,646.956,357.5248,265.4462,383.828,154.8729,131.9146,215.6478,243.511,202.3592,2189.0255,135.8228,294.9787,193.6975,381.9162,376.0884,186.6941,2765.8332,345.8893,208.2806,382.7132,355.8157,264.0411,349.3164,386.98,176.4029,347.1411,12015.5939,151.0346,168.4673,546.6907,307.6639
mix_54,248.557,241.9078,307.6463,285.9516,384.0329,324.3985,444.4397,177.5987,140.545,206.3698,195.174,141.4653,1540.8659,157.5759,314.688,193.806,340.5687,288.0742,156.26,2467.5317,335.9478,240.5624,392.7879,248.3261,213.5893,326.2126,460.9277,173.3925,448.7791,11290.4419,174.4299,255.1095,691.3901,669.5219
mix_55,225.1435,197.9278,260.4969,645.6549,352.0646,271.8986,385.444,157.1003,131.1342,215.5158,241.0407,202.6773,2140.8341,136.97,293.638,191.1611,377.6493,372.494,185.9893,2766.0572,348.6463,211.0965,379.6593,359.8909,261.5539,353.82,396.3231,175.7732,346.299,12053.0968,155.9196,176.4887,555.3157,331.4424
mix_56,241.8974,194.194,273.7065,486.0583,345.1411,300.4953,386.4729,160.1544,137.474,205.5771,227.2999,173.309,1758.525,145.5855,310.6898,184.7146,347.6225,330.6785,165.9797,2509.2548,348.8726,230.0091,377.0826,301.3904,230.7582,347.9705,444.6205,175.1456,402.6855,11353.0877,162.1328,230.8031,676.4971,544.1903
mix_57,220.5943,166.1624,244.5702,652.9732,367.1092,289.1624,407.7052,163.1001,134.5096,213.2682,246.426,203.5108,2098.3933,138.2017,297.4762,189.5728,373.7726,367.9764,181.186,2766.7401,350.3425,211.1347,381.6406,356.8666,262.245,355.969,404.7098,174.1978,355.5174,11940.9143,156.1109,192.1222,596.5442,415.1635
mix_58,231.3793,200.1452,272.9481,451.6898,400.9826,296.9667,420.6602,170.1019,136.2921,206.9239,217.2312,172.598,1869.7613,139.2011,297.0532,192.3993,356.1815,324.1114,171.7244,2506.9128,348.0065,223.5061,378.7976,305.8594,234.2733,344.518,433.7776,176.1253,388.3608,11313.5069,164.2173,218.3399,651.3852,503.4283
mix_59,215.7698,168.2339,244.2961,689.6877,357.0216,283.4056,410.2201,160.8579,136.3289,215.5033,248.055,212.3356,2236.9793,141.6822,291.8969,187.2672,377.5498,382.2446,183.5306,2784.7332,352.0119,206.3301,390.0275,369.7204,264.6398,357.6187,391.179,174.8715,342.584,12057.2594,155.4325,174.2439,566.9428,418.2096
mix_60,236.9883,220.6234,283.0139,519.0646,332.4539,286.4586,376.1239,155.4083,133.0417,209.7678,222.6788,179.3742,1828.1765,146.5378,307.0907,190.0591,370.0352,339.9913,173.374,2524.0627,342.2346,223.5189,378.4044,310.8955,236.1724,339.3895,418.6543,175.9532,381.7565,11533.8004,158.2011,204.3588,613.6057,449.4893
mix_61,257.0339,227.5352,303.2578,257.8263,396.7152,332.907,432.1665,181.2848,137.7961,200.7211,202.6106,134.0446,1494.1525,149.7361,320.6204,193.0651,330.8896,272.8685,154.8321,2164.7872,329.8788,254.1122,380.9151,241.819,201.408,334.6142,463.8303,175.2486,442.2437,10990.5968,177.8452,278.3585,779.8123,650.0982
mix_62,243.2439,214.514,290.2837,313.2256,427.3053,323.3362,439.7826,180.9763,135.2513,201.5523,204.0006,148.6071,1658.0775,142.3392,310.3598,197.047,337.7562,291.012,160.813,2465.5396,339.3564,238.4008,383.3339,266.3327,216.5072,335.7974,458.5676,171.6479,425.3187,10858.0739,173.9676,255.1304,721.9784,572.6237
mix_63,222.1836,170.1079,245.4477,675.436,350.2632,282.5494,389.7298,160.1695,136.0123,216.0591,249.6385,207.9667,2130.1678,140.3696,297.7108,185.824,376.0767,375.6824,180.8247,2775.8162,351.4369,208.459,378.9507,369.0006,262.5782,356.5167,397.2925,174.9553,351.5092,12056.9761,153.0316,185.879,584.2081,407.3726
mix_64,234.8405,198.5711,266.2935,641.4582,321.0802,277.4917,374.0235,153.008,133.1802,212.1079,244.7375,199.0974,2073.2286,139.028,302.5779,187.1283,374.6835,368.5426,180.9721,2550.9029,341.5225,216.5128,374.5325,349.0312,252.5063,355.4153,397.7346,177.5345,364.9281,11938.4726,153.6381,189.4555,586.5107,366.0348
mix_65,219.1651,193.6768,262.6987,496.3132,439.5775,293.298,420.4901,170.7173,132.1741,209.2737,217.3981,180.3625,2165.1407,133.7282,293.4627,197.1554,365.8898,336.4949,173.3389,2724.6569,347.5316,218.7287,382.0838,321.6347,247.9742,345.8117,412.8541,170.118,355.8116,11422.4889,168.459,198.8483,621.2891,437.677
mix_66,220.133,197.8769,258.1443,694.5933,360.3683,263.7275,370.0403,155.8694,130.0092,220.5075,243.6842,211.0918,2239.2515,134.4029,289.0346,192.6797,388.0666,382.279,191.5903,2779.4479,351.4031,204.3317,379.3405,370.8682,271.1393,352.6066,377.7274,176.1675,322.5804,11987.1535,151.9514,161.6766,522.5757,269.6074
mix_67,243.0293,234.5417,298.2013,287.9235,434.9251,321.4641,444.2372,181.5353,133.0209,206.7626,195.5897,146.4003,1709.4298,145.9645,302.437,201.1458,340.221,286.4856,165.0442,2463.4916,338.2703,236.2042,386.3774,259.9587,219.9497,332.0143,450.9439,171.866,430.6271,10795.3807,172.1231,243.1569,688.0332,555.8035
mix_68,226.9884,191.7953,268.2691,362.7625,446.5328,328.5962,463.1916,186.0856,139.8887,207.9472,206.4195,163.0105,1852.2216,147.2239,298.0879,195.273,336.8956,303.0961,163.5225,2696.6994,348.1745,227.471,392.6392,285.879,228.2705,340.0529,438.3494,170.017,401.1177,10976.7313,175.3357,235.3429,690.1222,637.7399
mix_69,231.932,194.7048,262.8056,651.3905,323.3494,276.1421,378.814,152.7566,133.9001,214.7969,245.0059,201.9729,2057.1719,139.664,301.5047,187.3362,375.2678,370.9657,182.25,2553.9226,341.4617,212.7719,377.7971,350.1081,254.0552,355.0457,397.6356,178.0707,362.9985,11990.0457,152.913,183.1801,577.9682,362.9576
mix_70,222.6854,229.9319,276.9843,555.2489,434.1855,261.3668,405.5802,162.6494,126.7755,212.9871,219.2969,193.6879,2275.8801,133.2621,284.6228,204.5882,385.894,358.4514,186.1382,2745.2844,343.6198,204.5278,371.2013,326.9237,265.0046,339.0557,366.7254,172.8082,333.6229,11830.314,164.4349,167.8058,539.7357,245.5794
mix_71,231.3092,208.7076,263.3548,738.4914,302.97,259.9951,349.2678,146.3595,131.0548,219.5399,253.653,216.3678,2173.5629,138.1405,297.7073,187.6276,395.9226,395.1678,194.918,2792.6509,346.2754,206.1738,373.6941,372.8003,270.374,351.2852,374.5883,181.4008,325.5883,12091.1965,150.0232,159.5209,509.7881,250.0009
mix_72,258.3194,260.5303,308.8107,359.4178,361.953,302.6435,370.3776,163.5969,129.7492,204.3956,204.6821,154.1764,1635.3151,142.3739,306.1908,198.2367,355.7492,299.8213,169.8476,2473.5826,331.835,242.6692,374.2183,261.5311,215.9268,333.378,434.7146,173.8285,418.1984,10966.199,170.8685,239.8527,674.3664,441.9567
mix_73,236.0236,226.6062,281.7126,470.4969,423.2632,282.4134,405.152,165.6787,131.2227,211.0811,212.2637,175.5495,2097.6943,133.6303,288.7823,197.8156,373.2965,332.9364,174.3658,2511.1435,343.4862,218.2051,378.8622,298.1058,249.9893,334.5537,395.4829,169.1448,363.3286,11434.0609,164.2904,195.4855,593.6104,379.4719
mix_74,235.4619,210.8233,275.0269,530.6279,364.4662,284.3933,386.8357,158.5144,133.3019,210.425,229.2183,183.0431,1941.2763,138.2847,301.4145,192.9522,371.0909,343.2585,172.3071,2527.5883,346.7674,220.4706,373.7843,326.8853,244.8142,338.5113,400.1161,173.9731,354.4398,11637.9855,157.4876,202.6667,615.3654,391.845
