ID,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
S10326,8.523324,8.556358,9.221026,7.908182,7.272582,8.565876
S10328,8.65594,8.661112,9.383936,8.031406,7.378416,8.561242
S10329,8.636646,8.658306,9.253494,7.97065,7.32554,8.58881
S10336,8.51112,8.543966,9.138268,7.941968,7.321878,8.568008
S10340,8.61972,8.679394,9.164318,7.898192,7.204268,8.505912
S10347,8.331418,8.292888,8.80264,7.843302,7.152604,8.391502
S10353,8.696826,8.634204,9.218668,8.061258,7.342828,8.667326
S10356,8.593636,8.516278,9.108746,7.927808,7.345772,8.67807
S10358,8.544034,8.55184,9.340658,7.97929,7.34363,8.76006
S10365,8.423122,8.52461,9.137902,7.819422,7.212196,8.614286
S1037,8.771738,8.804692,9.313912,7.925614,7.280276,8.407698
S10373,8.815052,8.841634,9.217038,8.13722,7.307174,8.658422
S10374,8.543004,8.544376,8.736374,7.903996,7.05141,8.345986
S10375,8.959828,9.101592,9.333826,8.250062,7.475612,8.852444
S10377,8.71091,8.836764,8.939128,8.116476,7.393742,8.679694
S10378,8.973052,8.975318,9.405878,8.140502,7.415284,8.7306
S10390,8.349202,8.188296,8.720262,7.684016,7.07147,8.340352
S10391,8.565886,8.493036,9.00116,7.99727,7.261186,8.55745
S10393,8.989396,8.958922,9.22656,8.059736,7.318888,8.616818
S10400,8.50698,8.65213,9.149816,7.96055,7.391674,8.8368
S10401,8.546736,8.566074,9.15681,7.992474,7.418428,8.689414
S10406,8.51396,8.46421,9.070954,7.93995,7.149612,8.55088
S10408,8.696396,8.726546,9.330378,8.217526,7.501836,9.061716
S10409,9.115734,9.14829,9.294242,8.24654,7.53308,8.901716
S10418,7.92653,7.915606,8.689424,7.728164,6.8982,8.260938
S10431,8.698434,8.604666,9.017796,7.884942,7.178344,8.67496
S10438,8.562322,8.684736,9.106544,7.946978,7.272866,8.609398
S10439,8.849772,8.987578,9.446382,8.17138,7.532658,8.939742
S10441,8.249228,8.531976,9.38178,8.088776,7.460968,9.137094
S10442,8.678568,8.80465,9.254404,8.066154,7.478028,8.762512
S1046,8.563386,8.66729,9.246402,8.031296,7.29627,8.866062
S10478,8.39853,8.475452,9.119262,7.99576,7.417998,8.843424
S10480,8.503334,8.37037,8.90093,7.66745,7.019552,8.17812
S10484,8.632062,8.620318,9.182014,8.003558,7.408654,8.750778
S10492,9.161668,9.280422,9.462006,8.317272,7.750318,9.025772
S10496,8.753224,8.756664,9.247016,7.921168,7.250866,8.529808
S10510,8.31639,8.394916,8.866688,7.703488,7.09813,8.48149
S10513,8.561576,8.623276,9.166876,7.853932,7.305954,8.668184
S10516,8.480368,8.4756,9.037314,7.911882,7.281848,8.592056
S10534,8.558804,8.590694,8.98278,7.83118,7.233382,8.529846
S10535,8.65137,8.821032,9.064954,7.926064,7.221318,8.433338
S10537,8.72293,8.81782,9.28618,8.081032,7.540186,8.865692
S1054,8.493866,8.485578,9.1004,7.835864,7.212794,8.554814
S10543,8.572286,8.618908,9.218524,7.967904,7.243148,8.576512
S10546,8.37438,8.4652,8.946066,7.82639,7.237618,8.440162
S1055,8.377402,8.496478,9.146374,7.906642,7.293346,8.802226
S10551,8.55085,8.478546,9.130732,7.918928,7.319662,8.75509
S10552,8.281942,8.318612,9.018878,7.909214,7.204638,8.615796
S10555,8.916914,9.056414,9.521902,8.223186,7.505314,8.753466
