	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
mix_73	0	0	0.2768	0.0125	0	0	0	0	0	0.0353	1.00E-04	0.0586	0.0053	0	0	0	0.0613	0	0	0	0	0	0	0.0107	0.0373	0	0	0.0252	0.0027	0.0589	0	0.0033	0.0044	0	0	0.0038	0.1748	0	0.0295	0	0.0576	0	0.0017	0.0015	0	0	0.0244	0	0	0	0	0	0	0.0071	0.0191	0	0	0.0272	0.1035	4.00E-04	0	0.0712	0.0165	0.0617	0.2671	0	0.2671
mix_74	0	0	0.2083	5.00E-04	0.0266	0.066	0	0.0181	0.003	0.0086	0	0.0192	7.00E-04	0	0	0	0.0394	0	0	0	0	0	0	0.0298	0.0467	0	2.00E-04	0.0128	0	0.083	0	0.0076	0.0033	0	0	0.0061	0.1366	0	0.055	0	0.0206	0	8.00E-04	0.0018	0	0	0.0142	0	0	0	0	0	0	0.0044	0.0125	0	0	0.0262	0.095	0	0	0.0579	0.0085	0.046	0.2139	0	0.2139
mix_75	0	0	0.1827	0.0149	0	0	0	0	0	0	0	0.0071	0	0	0	0	0.0393	0	0	0.0021	0	0	0	0.0465	0.0187	0	0	0	0.0012	0.0708	0	0.0133	0.0092	0	0	0.0126	0.1257	0	0.0995	0	0.0069	0	5.00E-04	0.0095	0	0	0.0129	0	0	0	0	0	0	0.0066	0	0	0	0.0552	0.1706	0	0	0.0489	0.015	0.0456	0.2005	0	0.2005
mix_76	0	0	0.0495	0	0.0238	0.0641	0	0.0054	0.0089	0.0927	0.0271	0.0533	0.0102	0	0	0	0.0011	0	2.00E-04	0	2.00E-04	0	0	0.0193	0.0372	0	1.00E-04	0.0182	0	0.0504	0	0.0041	0.0011	0	0	0.0038	0.0382	0	0.0327	0	0.0608	0	6.00E-04	0	0	0	0.0094	0	0	0	0	0.0011	0.0019	0.0116	0.0223	0	0	0.007	0.0445	0	0	0.019	0.0025	0.0099	0.173	1.00E-04	0.1731
mix_77	0	0	0.0802	0	0.0582	0.1106	0	0.0274	0.0378	0.1188	0.0445	0.0457	0.0166	0	0	0	0.0163	0	0	0	1.00E-04	0	0.0055	0	0.0469	0	0	0.046	0	0.0086	0	1.00E-04	3.00E-04	0	0	0	0.0513	0	0	8.00E-04	0.0388	0	9.00E-04	0	0.0072	0	0.0158	0	0.0023	0	0	0.0257	8.00E-04	0.0164	0.0289	0	0	0.0022	0.0147	2.00E-04	0	0.0256	2.00E-04	0.0195	0.1973	0.0028	0.2001
mix_78	0	0	0.1441	0.0069	0	0.0065	0	0	0	0.0348	0.0038	0.0285	0.006	0	0	0	0.0269	0	0	0.001	0	0	0	0.0339	0.0089	0	0	0.0046	0.0034	0.0526	0	0.0102	0.0058	0	0	0.0097	0.1015	0	0.0829	0	0.0209	0	6.00E-04	0.0064	0	0	0.0123	0	0	0	0	0	0	0.0048	0.0057	0	0	0.0383	0.1368	0	0	0.0394	0.0161	0.0362	0.1934	0	0.1934
mix_79	0	0	0.022	0	0.0209	0.0428	0.0037	0.0039	0.0056	0.0382	0.0086	0.011	0.0064	0	0	0	0.0032	0.0014	0	0.0044	0	0	0	0.0442	0.0084	0	1.00E-04	0.003	0	0.0437	0.003	0.0141	0.0055	0	0	0.012	0.0186	0	0.1039	1.00E-04	0.005	0	1.00E-04	0.0064	0	3.00E-04	0.0017	5.00E-04	0	0	0	0	0.0022	0.0026	0.0011	0	0	0.0366	0.0935	0	0	0.0074	0.002	0.0045	0.1368	0	0.1368
mix_80	0	0	0.2336	0	0.0257	0.055	0	0.0048	0.0086	0.0499	0.0086	0	0.0113	0	0	0	0.0514	0	0	0	0	0	0	0.0153	0.0576	0	1.00E-04	0.0273	0	0.067	0	0.0034	0.0036	0	0	0.0044	0.148	0	0.029	0	0	0	0.0015	0	0	0	0.0188	0	0	0	0	0	0	0	0.0041	0	0	0.027	0.1046	0	0	0.0617	0	0.0492	0.2255	0	0.2255
mix_81	0	0	0.1058	0	0.0577	0.0993	0	0.0228	0.0328	0.0592	0.0176	0	0.0118	0	0	0	0.0192	0	0	0	1.00E-04	0	0	0.0237	0.058	0	2.00E-04	0.0188	0	0.0469	0	0.0035	0.0022	0	1.00E-04	0.0043	0.0745	0	0.0315	0	0	0	0.0011	0	0	0	0.0082	0	0	0	0	0	0	7.00E-04	0.0044	0	0	0.0145	0.0678	0	0	0.0312	0	0.0226	0.1695	0	0.1695
mix_82	0	0	0.1789	0.0063	0.0088	0.0214	0	0	0	0.0427	0.0085	0.0133	0.0071	0	0	0	0.0403	0	0	0	0	0	0	0.0266	0.0034	0	1.00E-04	0.0114	0.0039	0.069	0	0.0081	0.0045	0	0	0.0075	0.1215	0	0.0705	0	0	0	9.00E-04	0.0039	0	0	0.0091	0	0	0	0	0	0	0.0029	0.0038	0	0	0.0429	0.1544	0	0	0.044	0.0103	0.0461	0.2032	0	0.2032
