Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
S10130	0.071	0	0.0103	0.1157	0.219	0.0572	0	0.2911	0.1302	0.026	0.008	0.0236	0.1042	0.1396	0	0.011	0.0555	0.0125	0.0578	0.3295	0.169	0.145	0.001	0	0.0417	0.001	0.0621	0	0.0604	0.2647	0.0213	0.0203	0.0591	0.0103	0.2093	0.0493	0	0.0668	0.144	0.0127	0.1178	0.3747	0.0218	0.1846	0.0438	0.0876	0	0.0813	0.0611	0.0036	0.0395	0.1776	0.0081	0.1744	0	0.0876	0.0029	0	0	0.1299	0.1456	0	0	0.023	0.7169	0.0649	0.7818
S10140	0	0	0.106	0	0.1918	0	0.022	0.3514	0.0457	0.0272	0.0864	0	0.1504	0.1757	0	0	0.1212	0.0045	0	0.4571	0.1041	0.0456	0	0	0	0	0.0108	0	0.1406	0.0015	0.0427	0.0129	0.005	0.0149	0.5896	0.0542	0.0142	0.0112	0.13	0	0.0428	0.4439	0	0.1642	0.1938	0.0431	0.0808	0.2065	0.1426	0.0039	0	0.4238	0.0586	0.1749	0.0859	0.0637	0	0	0	0.0412	0.091	0.0397	0	0	0.7875	0	0.7875
S10142	0	0	0.1615	0	0.3094	0.0956	0.1183	0.4945	0.0313	0.0481	0.1023	0.1187	0.118	0.2056	0	0	0.1117	0.0189	0.0378	0.3234	0.0823	0.1459	0	0.0598	0.0219	0.0148	0.0257	0	0.0545	0.063	0.0267	0.0267	0.0021	0.0241	0.2992	0.0383	0.0398	0.0214	0.1219	0.0295	0.2462	0.1449	0.0014	0.1178	0.1454	0.0168	0	0.1405	0.1249	0.0031	0.0237	0.4669	0.0413	0.1749	0.0939	0.0649	0	0.0401	0	0.0966	0.0875	0.1014	0.04	0	0.932	0.0189	0.9509
S10150	0.0329	0	0	0.0446	0.0973	0.0506	0.0519	0.1429	0	0	0.0162	0.0392	0.1218	0.1287	0	0	0.0326	0	0.0407	0.5471	0.2003	0.074	0	0	0.0356	0.0033	0.073	0	0.2861	0.3554	0.0171	0.0072	0.0836	0.0023	0.3213	0.0602	0	0.1128	0.149	0.0165	0.1093	0.5447	0.0196	0.1856	0.0561	0.0735	0	0.0942	0.0152	0.006	0.0531	0.0592	0	0.1487	0.0771	0.0452	0	0	0	0.129	0.1634	0	0	0.0557	0.7385	0.0368	0.7753
S10155	0	0	0.0227	0	0.3544	0.1316	0.035	0.4867	0.1543	0.0995	0.1435	0.0113	0.1286	0.1941	0	0	0.0087	0	0.0044	0.72	0.1016	0.0907	0	0.0236	0.027	0	0.0166	0	0.1924	0.0494	0.0125	0.0097	0.0146	0	0.2888	0.0542	0	0.0264	0.0206	0.0077	0	0.4019	0	0.1353	0.2425	0.0511	0	0.1001	0.1363	0.0061	0.0018	0.4375	0.0744	0.1864	0.0582	0.1206	0	0	0	0.0823	0.1139	4e-04	0	0	0.91	0.0022	0.9122
S1016	0.0208	0	0.03	0	0.2882	0.0932	0.112	0.4843	0.0312	0.0577	0.1381	0.1103	0.1352	0.1955	0	0	0.0498	0.0447	0.0403	0.426	0.1263	0.0997	0	0.0106	0.1194	0.0299	0.0654	0	0.0496	0.1422	0.0388	0.0125	0.0514	0.0014	0.269	0.0383	0.0082	0.05	0.1155	0.0505	0.1187	0.2986	0.0151	0.1582	0	0.0751	0.0211	0.095	0.0768	0.0072	0.0459	0.3636	0.0397	0.1204	0.1277	0.0709	0.0248	0.0497	0.0239	0.1132	0.1075	0.0022	0	0.0068	0.8528	0.0306	0.8834
S10163	0.0027	0	0.0059	0.0255	0.2435	0.1137	0.0671	0.2086	0.167	0.0645	0.0601	0.0852	0.1542	0.0882	0	0	0.0709	0.0339	0.0337	0.6177	0.1854	0.1302	0	0	0	0	0.0339	0	0.2747	0.3857	0.0272	0.0113	0.063	0.0014	0.2963	0.031	0	0.0859	0.0465	0	0.0102	0.5983	0.007	0.1537	0.2526	0.0961	0.0041	0.0903	0	0.0057	0.0389	0.1174	0.0029	0.3087	0.0363	0	0	0	0.046	0.0968	0.2317	0	0	0.0081	0.803	0.0182	0.8212
S10167	0.0521	0	0	0	0.1936	0.0263	0.0264	0.3728	0.0457	0.087	0.141	0.1273	0.1367	0.1802	0	0	0	0	0.0488	0.6017	0.1575	0.2229	0	0	0.0893	9e-04	0.0538	0.0067	0.0246	0.1922	0	0	0.0409	0	0.2912	0.0484	0	0.0349	0.0401	0.008	0.1428	0.4602	0.0018	0.1205	0.2381	0.0629	0.0201	0.1259	0.0488	0.0066	0.0212	0.3277	0.0271	0.1886	0.1332	0.0272	0	0	0	0.1189	0.1503	0	0	0	0.7905	0.0504	0.8409
S10168	0	0	0.0805	0	0.3213	0.0974	0.0246	0.4635	0.1581	0.0869	0.0791	0.0931	0.1577	0.2151	0	0	0.0509	0.0199	0.0408	0.4884	0.0952	0.102	0	0	0.0158	0	0.0233	0	0.108	0.1083	0	0	0	0.0069	0.2542	0.033	0	0	0.045	0.017	0.1829	0.3316	0	0.1302	0.2642	0.0397	0	0.1055	0.1131	0.0043	0.0124	0.435	0.0524	0.1975	0.0592	0.1047	0	0.0192	0.0192	0.0768	0.093	0.0495	0	0	0.908	0.0204	0.9284
S10173	0	0	0.2039	0	0.3763	0.1062	0.0716	0.5287	0.1947	0.1155	0.2024	0.0379	0.1242	0.2412	0	0	0.0746	0	0.0451	0.2402	0.09	0.0288	0	0	0.0021	0.0017	0.031	0	0.1405	0.1474	0.0501	0.0132	0.0343	0.0036	0.1855	0.0318	0.1249	0.019	0.064	0	0.0611	0.3907	0.0088	0.1668	0.2765	0.0524	0.0384	0.0623	0.12	0.0034	0.0091	0.4108	0.0531	0.2362	0.0719	0.0662	0	0.0313	0	0.0837	0.118	0.1073	0	0.0281	0.8543	0.0226	0.8769
S10175	0	0	0.0211	0	0.2934	0.0681	0.0415	0.4454	0.089	0.0393	0.1179	0.0223	0.1631	0.1257	0	0	0.0106	0.0177	0.0193	0.6579	0.1282	0.1281	0	0	0.0499	0	0.0151	0	0.0826	0.1487	0.0466	0.0095	0.0329	0	0.2948	0.0457	0	0.0201	0.0348	0.0051	0.055	0.3408	0	0.1468	0.161	0.054	0	0.1227	0.0805	0.0043	0.0125	0.3739	0.0274	0.1528	0.0855	0.1257	0	0	0.011	0.0956	0.1366	0	0	0	0.8751	0.0096	0.8847
S10179	0	0	0.0642	0	0.3761	0.1125	0.0379	0.6276	0.103	0.0964	0.1602	0.0941	0.1587	0.2352	0	0	0	0.0344	0.0139	0.092	0.0709	0.2433	0	0	0.0257	0	0.0141	0	0	0	0.0316	0.003	0	0.0061	0.382	0.0248	0	0	0.1153	0.0182	0.2004	0.1148	0.0011	0.1132	0.2821	0.0259	0.0402	0.1744	0.1534	0.0067	0	0.5571	0.0791	0.2203	0.1447	0.0909	0	0.0648	0.0078	0.04	0.0414	0.0404	0.049	0	0.7531	0.007	0.7601
S10186	0.0157	0	0.217	0	0.3339	0.0999	0.0692	0.5139	0.1374	0.1072	0.1352	0.0623	0.134	0.2107	0	0	0.1173	0.0199	0.0379	0.1261	0.0563	0.1726	0	0.0726	0.0296	0.0111	0.033	0	0.1144	0.0544	0.0452	0.0229	0.0274	0.0203	0.2276	0.0388	0.0841	0.017	0.1172	0.0088	0.0954	0.2835	0.0029	0.077	0.2647	0.0291	0	0.1167	0.1269	0.0045	0.0077	0.486	0.0693	0.22	0.0768	0.0484	0	0.0326	0.027	0.0915	0.0926	0.1358	0.0701	0.0492	0.7728	0.0268	0.7996
