	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
Mix_15	0	0	0.1231	0.0264	0.0012	0.048	0.0027	0.0116	0	0.0197	0.0246	0.0299	5.00E-04	0	0	0	0.0222	0	0.0055	0	4.00E-04	0	0	0	0.0062	0	0	0.0016	0.0144	0.052	0	0	0	0	0	1.00E-04	0.0955	0	0.0414	0.0027	0.0567	0	0.0013	0	0	0.0283	0.0077	0.0084	0	0.0033	0	0.0096	0.005	0	0.0171	0.0129	0	0.0513	0.0877	9.00E-04	1.00E-04	0.0496	0	0.0271	0.1614	0.0028	0.1642
Mix_16	0	0	0.1982	0.0312	0	0.0212	0	0.0037	0	0.0134	0.0244	0.0213	0.0013	0	0	0	0.0485	0	0.0025	0	0	0	0	0.0141	0.0021	0	0	0	0.0197	0.0971	0	0	0	0	0	4.00E-04	0.1451	0	0.065	0	0.0289	0.0056	0.003	0	0	0.031	0.0097	0.0029	0	0.0116	0	0	0	0	0.0119	0	0	0.0955	0.1387	0	0	0.0697	0	0.0425	0.2037	0.0012	0.2049
Mix_17	0	0	0.1488	0.0186	0	0.0335	0	0.0053	0	0.0264	0.0313	0.0321	0.002	0	0	0	0.0209	0	0.0031	0	0	0	0	0	0.0015	0	0	0	0.0156	0.0848	0	0	0	0	0	2.00E-04	0.1126	0	0.0371	0.0013	0.0564	0	0.0014	0	0	0.0416	0.0066	0.0124	0	0.0029	0	0.0018	0.0037	0	0.0202	0	0	0.0339	0.0953	4.00E-04	0	0.0611	0	0.0325	0.1791	0.0016	0.1807
Mix_18	0	0	0.1295	0.0087	0.0164	0.0646	0.0195	0.0207	0	0.0043	0.016	0.0218	0	0	0	0	0.0332	0	0.0156	2.00E-04	0.0022	0	0.0052	0.0133	0.0046	0	9.00E-04	0.0016	0.0168	0.0724	0	0	0	0	0	4.00E-04	0.0999	0	0.0605	0	0.031	0	4.00E-04	0	0.0033	0.0525	0.0102	0.0056	0	0.0044	0	0	0.0047	0	0.0132	0.0142	0	0.083	0.1065	0.0022	0	0.0474	0	0.0276	0.1613	0.0104	0.1717
Mix_19	0	0	0.0725	0.0506	0	0	0	0	0	5.00E-04	0.0161	0.0317	6.00E-04	0	0	0	0.0185	0	0	0	3.00E-04	0	0	0.05	0	7.00E-04	0	0	0.0149	0.0677	0	0	0	0	0	6.00E-04	0.0667	0	0.1083	7.00E-04	0.0658	0.0327	0.0013	0.0027	0	0.0526	0.015	0	0	0.027	7.00E-04	0	0	0	0.0037	0	0	0.1757	0.102	0	0	0.035	0	0.0192	0.1665	0	0.1665
Mix_20	0	0	0.2139	0.0576	0	0	0	0	0	0	0.0104	0.0181	6.00E-04	0	0	0	0.0576	0	0	0	0	0	0	0.0296	0	0	0	0	0.0213	0.1333	0	0	0	0	0	6.00E-04	0.1562	0	0.0757	0	0.0293	0.0081	0.0032	0	0	0.0196	0.0158	0	0	0.0195	0	0	0	0	0.0057	0	0	0.1228	0.1895	0	0	0.0724	1.00E-04	0.0488	0.2126	0	0.2126
Mix_21	0	0	0.2	0.0518	0	0	0	0	0	0	0.0097	0.0152	1.00E-04	0	0	0	0.0497	0	0	0	3.00E-04	0	0	0.0441	0	0	0	0	0.0224	0.1303	0	0	0	0	0	0.0011	0.1506	0	0.1058	0	0.011	0.0194	0.0027	0	0	0.0325	0.0167	0	0	0.0294	0	0	0	0	0.0048	0	0	0.157	0.202	0	0	0.068	0.0034	0.0489	0.2112	0	0.2112
Mix_22	0	0	0.0781	0.0541	0	0	0	0	0	0	0.0094	0.0273	0	0	0	0	0.0198	3.00E-04	0	0	3.00E-04	0	0	0.067	0	2.00E-04	0	0	0.0153	0.1059	0	0	0	0	0	4.00E-04	0.0689	0	0.1296	0.001	0.0528	0.0354	3.00E-04	0.0016	0	0.0694	0.0103	0	0	0.0338	0	0	0	0	0.0075	0	0	0.1899	0.1666	0	0	0.0373	0	0.0216	0.1749	0	0.1749
Mix_23	0	0	0.2706	0.0252	0	0.0175	0	0.0034	0	0	0	0.0195	0	0	0	0	0.069	0	0	0	0	0	0	0.0028	0.0036	0	0	0	0.0202	0.1502	0	0	0	0	0	3.00E-04	0.1894	0	0.0465	0	0.0328	0	0.0041	0	0	0.0108	0.0112	0	0	0.0093	0	0	0	0	0.0111	0	0	0.0817	0.134	0	0	0.0915	0	0.0522	0.2333	0	0.2333
Mix_24	0	0	0	0	0.0224	0.0644	0.0442	0.0183	0	0.0443	0.0462	0.0274	0.0034	0	0	0.0024	0	0	0.017	0	0.0031	0	0.0107	0.0284	0.0021	0	0.0014	0.0032	0	0.0149	0	0	0	0	0	3.00E-04	0	0	0.0851	0	0.0203	0.0027	0	0	0.0101	0.0426	6.00E-04	0.002	0	0.0145	0	0.0185	0.0091	8.00E-04	6.00E-04	0.0092	0.0215	0.0935	0.0018	0.0011	1.00E-04	0	0	0	0.1147	0.0138	0.1286
Mix_25	0	0	0.2559	0.0404	0	0	0	0	0	0.0099	0.0194	0.0278	0.0021	0	0	0	0.052	0	0	0	0	0	0	0	3.00E-04	0	0	0	0.0185	0.1277	0	0	0.0014	0	0	2.00E-04	0.1804	0	0.0075	0.0013	0.0539	0	0.0054	0	0	0.0213	0.0079	0.003	0	0	0	0	0	0	0.0283	0	0	0.0162	0.1065	0	0	0.0921	0	0.0541	0.2181	0	0.2181
Mix_26	0	0	0.1928	0.0112	0	0.0277	0	0.0066	0	0.0307	0.0307	0.0286	0.0038	0	0	0	0.0465	0	0	0	1.00E-04	0	0	0	9.00E-04	0	9.00E-04	0	0.018	0.1098	0	0	0	0	0	4.00E-04	0.1443	0	0.0332	0	0.0401	0	0.003	0	0	0.0027	0.0126	7.00E-04	0	0.0056	0	0	0	0	0.0322	0.0027	0	0.0324	0.0879	0	0	0.0665	0	0.0406	0.1979	0	0.1979
Mix_27	0	0	0.2285	0.0562	0	0	0	0	0	0.0045	0.0197	2.00E-04	0.0035	0	0	0	0.0626	0	0	0	0	0	0	0.0328	0	0	0	0	0.0234	0.1582	0	0	0	0	0	7.00E-04	0.1642	0	0.0916	0	0	0.0207	0.0045	0.0015	0	0.0315	0.0164	0	0	0.0224	0	0	0	0	7.00E-04	0	0	0.1522	0.1775	0	0	0.0773	0	0.0533	0.2174	0	0.2174
Mix_28	0	0	0.166	0.0506	0	0.0026	0	0	0	0	0.0053	0.0227	1.00E-04	0	0	0	0.0453	0	4.00E-04	0	2.00E-04	0	0	0.0362	0	0	0	0	0.0191	0.0974	0	0	0	0	0	5.00E-04	0.1281	0	0.0962	0	0.04	0.0207	0.0018	0	0	0.049	0.0149	0	0	0.0236	0	0	0	0	0.0043	0	0	0.1532	0.1722	1.00E-04	0	0.0577	0.0016	0.0394	0.2015	2.00E-04	0.2017
Mix_29	0	0	0.2271	0.0245	0	0.0248	0	0.0052	0	0.0221	0.0262	0.0218	0.004	0	0	0	0.0487	0	0.0035	0	0	0	0	0.0025	1.00E-04	0	0	0	0.0201	0.0898	0	0	0	0	0	4.00E-04	0.1628	0	0.0306	0.0012	0.0315	0.0019	0.0043	0	0	0.0182	0.0055	0.0028	0	0.0019	0	0	0	0	0.0216	0	0	0.0539	0.1125	0.0012	0	0.0798	0	0.0458	0.2075	0.0018	0.2093
Mix_30	0	0	0.1582	0.0426	0	0	0	0	0	0.0154	0.0235	0.04	0.003	0	0	0	0.0155	0	4.00E-04	0	0	0	0	0	0	4.00E-04	0	0	0.0159	0.0137	0	0	0	0	0	0	0.1217	0	0.002	0.007	0.0982	0	0.0015	0	0	0.0265	0.0082	0.0125	0	3.00E-04	0.0037	0.0244	0	0	0.0183	0	0	1.00E-04	0.0731	0.002	0	0.067	0	0.0365	0.1825	2.00E-04	0.1827
Mix_31	0	0	0.2115	0.0438	0	0.0188	0	0.002	0	0.0062	0.0185	0.0256	0.0015	0	0	0	0.0487	0	4.00E-04	0	0	0	0	0.0075	0	0	0	0	0.0181	0.1184	0	0	0	0	0	2.00E-04	0.1547	0	0.0552	0	0.0375	0	0.0026	0	0	0.0055	0.0125	9.00E-04	0	0.0084	0	0	0	0	0.0082	0	0	0.0767	0.1643	0	0	0.0726	0	0.0427	0.2069	2.00E-04	0.2071
Mix_32	0	0	0.1237	0	0.0129	0.0644	0.0171	0.0155	0	0.0139	0.0204	0.021	0.0018	0	0	0	0.0315	0.0017	0.013	0.0035	0.0031	0	0.0074	0.0474	0.0047	0	0.0018	0	0.0204	0.0544	0	0	0	0	0	0.001	0.1025	0	0.0811	0	0.0272	0.0114	0.001	0	0.0017	0.0562	0.0104	0.0039	0	0.0115	0	0.0022	0.0016	0	0.0145	0.0039	0	0.1019	0.1181	5.00E-04	0	0.0401	0	0.0299	0.176	0.0102	0.1862
Mix_33	0	0	0.0765	0.0111	0	0.037	0.0033	0.0061	0	0.0285	0.0303	0.0344	6.00E-04	0	0	0	0.0171	0	0.0038	0	0.0012	0	0	0.0301	0	0	5.00E-04	0	0.0137	0.0647	0	0	0	0	0	4.00E-04	0.0603	0	0.0869	0	0.0564	0.0072	0	0	0	0.0428	0.0076	0.0046	0	0.0166	0	0.0101	0.0056	0	0.0128	0	0	0.1068	0.1015	0	0	0.0316	0	0.0173	0.1655	0.0019	0.1674
Mix_34	0	0	0.1862	0.0822	0	0	0	0	0	0	0	0.0214	3.00E-04	0	0	0	0.0469	0	0	8.00E-04	0.0042	0	0	0.056	0	0	0	0	0.0235	0.1144	0	0	0	0	0	7.00E-04	0.1474	0	0.1135	0	0.0223	0.0214	0.0019	0.0047	0	0.0293	0.017	0	0	0.0519	0	0	0	0	0	0	0	0.1788	0.206	0	0	0.069	0.0035	0.051	0.2183	0	0.2183
Mix_35	0	0	0.1667	0.0453	0	0.0139	0	9.00E-04	0	0	0.0068	0.033	0	0	0	0	0.0299	0	0.0032	0	0	0	0	0	0.0022	0	0	0	0.014	0.0634	0	0	2.00E-04	0	0	2.00E-04	0.1261	0	0.0346	0.004	0.0827	0	0.0016	0	0	0.0246	0.0094	0.0044	0	0.0031	0.0022	0.0017	0.0011	0	0.0181	0	0	0.0585	0.0815	0.0017	0	0.0657	0	0.0318	0.1893	0.0016	0.1909
Mix_36	0	0	0.1973	0.0537	0	0.0023	0	0	0	0.0052	0.0168	0.0283	9.00E-04	0	0	0	0.0407	0	4.00E-04	0	0	0	0	0	0	0	0	0	0.0183	0.0995	0	0	0	0	0	3.00E-04	0.1456	0	0.0413	0.0017	0.0593	0	0.0029	0	0	0.0324	0.0138	0.0017	0	0.0076	0	0	0	0	0.0157	0	0	0.0669	0.1188	1.00E-04	0	0.0736	0	0.0405	0.2021	2.00E-04	0.2023
Mix_37	0	0	0.0939	0.0677	0	0	0	0	0	0.0089	0.0202	0.0374	0.0019	0	0	2.00E-04	0.0182	0	0.0013	0	0	0	0	0.0034	0	4.00E-04	0	0	0.0106	0.0092	0	0	0	0	0	1.00E-04	0.0723	0	0.0542	0.0067	0.0909	4.00E-04	0.0011	9.00E-04	0	0.0613	0.0126	0.0033	0	0.0065	0.0033	0.0207	0	0	0.0172	0	0	0.0883	0.0736	0.0022	0	0.0424	0	0.0253	0.1659	6.00E-04	0.1665
Mix_38	0	0	0.0457	0.0287	0	0.02	0	2.00E-04	0	0.0086	0.0179	0.0337	0	0	0	0	0.0123	9.00E-04	0.0074	0	8.00E-04	0	0	0.0422	0	5.00E-04	0	0	0.0081	0.0305	0	0	0	0	0	1.00E-04	0.0365	0	0.1037	0.0031	0.0783	0.0136	2.00E-04	3.00E-04	0	0.0441	0.0106	0.0048	0	0.0207	0.0011	0.0128	0.0055	0	0.0093	0	0.0107	0.1517	0.08	0.002	0	0.0238	0	0.0108	0.1583	0.0037	0.162
Mix_39	0	0	0.2416	0.0342	0	0	0	0	0	0	0	0	0	0	0	0	0.0657	3.00E-04	0	0.0034	0.002	0	0	0.0682	0	0	0	0	0.028	0.1741	0	0	0	0	0	0.0013	0.177	0	0.1206	0	0	0.0176	0.0031	0.0012	0	0.0386	0.0169	0	0	0.0353	0	0	0	0	0	0	0	0.181	0.2398	0	0	0.0814	0.0072	0.0579	0.2447	0	0.2447
Mix_40	0	0	0.1793	0.0872	0	0	0	0	0	0	0.0116	0.035	0.0025	0	0	0	0.0263	0	0	0	0	0	0	0	0	5.00E-04	0	0	0.0126	0.0572	0	0	0	0	0	0	0.1373	0	0.0211	0.0073	0.0778	0	0.0036	0	0	0.0392	0.0069	0	0	0.0038	0.0032	0.0083	0	0	0.0236	0	0	0.0404	0.1066	0.0024	0	0.0744	0	0.0469	0.1855	0	0.1855
Mix_41	0	0	0.145	0.0825	0	0	0	0	0	0	0.0025	0.0333	0	0	0	0	0.0292	0	0.0016	0	0	0	0	0	0	0	0	0	0.0171	0.0245	0	0	0	0	0	0	0.1164	0	0.0506	0.0096	0.0809	0	0.0013	0.0019	0	0.0187	0.0141	0.0035	0	0.0108	0.0077	0.0084	0	0	0.0049	0	0	0.0815	0.1573	0.0041	0	0.058	0	0.0311	0.1856	8.00E-04	0.1864
Mix_42	0	0	0.2089	0.0269	7.00E-04	0.0358	0	0.0071	0	0.0285	0.0347	0.0179	0.0039	0	0	0	0.0487	0	0	0	0	0	0	0	0.007	0	2.00E-04	0	0.0168	0.1559	0	0	0	0	0	3.00E-04	0.151	0	0.0307	0	0.0138	5.00E-04	0.0034	0	0	0	0.0084	0.0099	0	0.0043	0	0	0	0	0.019	0	0	0.0535	0.1344	0	0	0.073	0	0.0429	0.1884	0	0.1884
Mix_43	0	0	0.2135	0.0684	0	0	0	0	0	0	0.009	0.0274	8.00E-04	0	0	0	0.0519	0	0	0	0	0	0	0.0157	0	0	0	0	0.0206	0.1227	0	0	0	0	0	5.00E-04	0.1601	0	0.0754	0	0.0419	0.0124	0.0039	0.0019	0	0.0354	0.0185	0	0	0.0195	0	0	0	0	0.0052	0	0	0.1212	0.1652	0	0	0.0785	0	0.0505	0.2218	0	0.2218
Mix_44	0	0	0.0791	0.058	0	0.0029	0	0	0	0	0.0064	0.0301	0	0	0	0	0.0202	0	0.0032	0	0	0	0	0.0313	0	0	0	0	0.0143	0.0537	0	0	0	0	0	2.00E-04	0.0653	0	0.0922	0.0019	0.0813	0.0069	5.00E-04	0.0014	0	0.0516	0.0144	0	0	0.0226	0.0014	0.0054	8.00E-04	0	0.0084	0	0	0.1307	0.1152	0.0015	0	0.0354	0	0.0206	0.1693	0.0016	0.1709
Mix_45	0	0	0.1185	0.0115	0	0.0022	0	0	0	0.031	0.0323	0.0358	0.0031	0	0	0	0.028	0	0.001	0	0.0022	0	0	0.0097	0	0	7.00E-04	0	0.0173	0.0544	0	0	0	0	0	0	0.0906	0	0.078	0	0.0565	0.0116	9.00E-04	9.00E-04	0	0.042	0.0116	0.0068	0	0.0169	0	0.0117	0	0	0.0114	0	0	0.1382	0.1092	3.00E-04	0	0.0482	0	0.0248	0.1899	5.00E-04	0.1904
Mix_46	0	0	0.2215	0.0502	0	0.0144	0	0	0	0.0258	0.0298	0.01	0.0038	0	0	0	0.0603	0	3.00E-04	0	0	0	0	0.0085	0.0018	0	2.00E-04	0	0.0196	0.09	0	0	0	0	0	9.00E-04	0.1592	0	0.0638	0	0	0.0033	0.0038	0	0	0.0245	0.0136	0	0	0.0118	0	0	0	0	0.0095	0	0	0.1133	0.1325	0	0	0.0715	0	0.0428	0.2074	1.00E-04	0.2076
Mix_47	0	0	0.1658	0.0511	0	0	0	0	0	0	0.0115	0.0268	0	0	0	0	0.0441	4.00E-04	0	0	1.00E-04	0	0	0.0375	0	8.00E-04	0	0	0.0194	0.1161	0	0	0	0	0	9.00E-04	0.1307	0	0.1065	0	0.0477	0.0164	0.0019	0.0011	0	0.0404	0.0164	0	0	0.0288	0	0	0	0	0.0059	0	0	0.175	0.1252	4.00E-04	0	0.0613	0.0026	0.0361	0.2143	0	0.2143
Mix_48	0	0	0.2027	0.0349	0	0.0126	0	0.002	0	0	0.0156	0.0281	0	0	0	0	0.0487	0	8.00E-04	0	0	0	0	6.00E-04	0.0045	0	0	0	0.019	0.0989	0	0	0	0	0	0	0.147	0	0.0458	8.00E-04	0.0596	0	0.0026	0	0	0.0206	0.0152	0.0088	0	0.0038	0	0	0	0	0.018	0	0	0.0536	0.1017	0.0014	0	0.0727	0	0.0401	0.2054	4.00E-04	0.2058
Mix_49	0	0	0.1059	0.0397	0	0.0096	0	0	0	0.0098	0.0155	0.0411	0.0015	0	0	0	0.0114	0	0.0016	0	0	0	0	0	0.0022	0	0	0	0.0116	0.0325	0	0	0	0	0	0	0.0795	0	0.0122	0.006	0.116	0	0.001	0	0	0.0089	0.0071	0.0075	0	0	0.0023	0.0301	0.006	0	0.027	0	0	0.0158	0.0476	0.0045	0	0.0489	0	0.0273	0.1626	8.00E-04	0.1634
Mix_50	0	0	0.0924	0	0.0031	0.035	0.0015	0.0061	0	0.045	0.0422	0.0285	0.0026	0	0	0	0.0245	0	0	0.002	0.0021	0	0	0.029	0.0031	0	0.0014	0	0.014	0.0808	0	0	0	0	0	0	0.0754	0	0.0783	0	0.0317	0.0061	4.00E-04	0	0	0.0428	0.009	0.0051	0	0.0157	0	0	0.0068	0	0.0041	0	0	0.1118	0.14	0	0	0.032	2.00E-04	0.0194	0.1683	0	0.1683
Mix_51	0	0	0.1964	0.0351	0	0.0277	0	0.0062	0	0.0011	0.0136	0.0251	4.00E-04	0	0	0	0.0451	0	0.0018	0	0	0	0	0.0012	0.0019	0	0	0	0.0192	0.1286	0	0	0	0	0	3.00E-04	0.1434	0	0.0586	0	0.0435	0.0054	0.0027	0	0	3.00E-04	0.0134	0	0	0.0096	0	0	0	0	0.0196	0	0	0.072	0.1301	0	0	0.0708	0	0.0413	0.1997	9.00E-04	0.2006
Mix_52	0	0	0.0334	0.0243	0	0.0118	0	0	0	0.0379	0.0344	0.0402	0.0026	0	0	0.0016	0.0088	0	9.00E-04	0	5.00E-04	0	0	0	0	0	2.00E-04	0	0.0044	0.0042	0	0	0	0	0	0	0.0265	0	0.0559	0.006	0.089	0.01	7.00E-04	2.00E-04	5.00E-04	0.0403	0.0066	0.007	0	0.009	9.00E-04	0.0313	0.0049	0	0.018	0	0	0.0691	0.0296	0.0016	0	0.0214	0	0.0076	0.1443	4.00E-04	0.1447
Mix_53	0	0	0.1772	0.0355	0	0.0074	0	0	0	0.0082	0.0187	0.0233	7.00E-04	0	0	0	0.0457	2.00E-04	0	0	0	0	0	0.04	1.00E-04	0	0	0	0.0221	0.1314	0	0	0	0	0	1.00E-04	0.1363	0	0.1013	0	0.0285	0.0164	0.0021	0	0	0.032	0.0147	1.00E-04	0	0.0233	0	0	0	0	0.0012	0	0	0.1624	0.1541	0	0	0.0625	2.00E-04	0.042	0.2103	0	0.2103
Mix_54	0	0	0.0643	0.0724	0	0	0	0	0	0	0	0.0327	0	0	0	0	0.0153	0	0	0	0	0	0	0.0393	0	2.00E-04	0	0	0.0112	0.0827	0	0	0	0	0	4.00E-04	0.0643	0	0.0982	0.0042	0.088	0.0101	2.00E-04	0.0091	0	0.0594	0.0171	0	0	0.0286	0.0029	0	0	0	0	0	0	0.1643	0.1609	0.0042	0	0.036	0	0.0219	0.1731	0	0.1731
