	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10893	8.41712898155e-119	1.07732054522e-26	2.55369709663e-102	0	0
S10895	5.64084602976e-119	1.03883054855e-26	1.81342960795e-102	0	0
S10902	6.5681097084e-119	7.70330036008e-27	1.43523543188e-102	0	0
S10903	7.19101237079e-119	7.42674360212e-27	3.07343948361e-102	0	0
S1092	7.68810598656e-119	1.24572859962e-26	2.47115826673e-102	0	0
S10925	4.68552776504e-119	8.33694498209e-27	1.73149802887e-102	0	0
S10927	1.33450076272e-118	1.60030461341e-26	1.32343506667e-102	0	0
S10936	3.83394123703e-119	1.46879970972e-26	1.91811259694e-102	0	0
S10945	1.55311730276e-118	9.91795730962e-27	1.75254814602e-102	0	0
S10947	3.61049061289e-119	8.83514475799e-27	5.97228152374e-103	0	0
S10949	8.15948572422e-119	1.69746714889e-26	2.73035286085e-102	0	0
S1095	5.94459376859e-119	8.5171972378e-27	4.01226113779e-103	0	0
S10961	6.94108674195e-119	9.02903635599e-27	1.89963302828e-102	0	0
S10969	5.38655004792e-119	1.27542209228e-26	1.67518536689e-102	0	0
S10972	4.54247389949e-119	7.91338436687e-27	1.64317645185e-102	0	0
S10973	8.02209040625e-119	9.25471919978e-27	7.08523402815e-103	0	0
S10978	1.26398861013e-118	1.4766521041e-26	1.36331670418e-102	0	0
S10979	4.71550263295e-119	9.48555355897e-27	8.38812778734e-103	0	0
S10986	5.72269568764e-119	1.31714695984e-26	1.01336512085e-102	0	0
S10989	5.92546438882e-119	1.1878105247e-26	1.87551579353e-102	0	0
S10995	9.60406316187e-119	1.4097064472e-26	3.78175022086e-102	0	0
S11005	5.3005603831e-119	8.99982493437e-27	1.56803099638e-102	0	0
S11008	6.11998545828e-119	1.03682189962e-26	1.0017256297e-102	0	0
S11010	2.41124496365e-119	1.04103757116e-26	1.93091868656e-102	0	0
S11013	1.10310245772e-118	1.20320315084e-26	1.80882655657e-102	0	0
S11016	8.84193150454e-119	1.3981657901e-26	3.9177375249e-102	0	0
S11017	3.37275663986e-119	8.95244261952e-27	2.11475042496e-102	0	0
S11020	7.90379151149e-119	1.44979765787e-26	2.37883313847e-102	0	0
S11027	1.25649081931e-118	7.60489793545e-27	4.55448336422e-102	0	0
S11035	7.8810884437e-119	1.03265486633e-26	2.73597316211e-102	0	0
S11041	5.35998225682e-119	1.17023133789e-26	1.75672383611e-102	0	0
S1106	6.28506743913e-119	1.14088412765e-26	1.69582513237e-102	0	0
S11071	3.34254015412e-119	1.07856112781e-26	2.72499593642e-102	0	0
S11076	4.97269596064e-119	1.08977474616e-26	1.10395962676e-102	0	0
S11078	7.78903656987e-119	9.13016634276e-27	1.80845046077e-102	0	0
S11081	5.90803439425e-119	9.45498587941e-27	9.03807486131e-103	0	0
S11086	8.58823434542e-119	9.99026398522e-27	1.47971644859e-102	0	0
S1109	8.19992979694e-119	7.89034419225e-27	2.0871304072e-102	0	0
S11096	1.9636214027e-118	1.13521455602e-26	2.9856686804e-102	0	0
S11100	5.97157527513e-119	9.00802144078e-27	4.65457305095e-103	0	0
S11107	1.17443494156e-118	1.13127762888e-26	2.04295025931e-102	0	0
S11109	8.11399018982e-119	9.62589729433e-27	8.34289934679e-103	0	0
S1111	4.06234159471e-119	1.49760413055e-26	2.58940520691e-102	0	0
S11119	6.48742021897e-119	1.0624668295e-26	1.17182251803e-102	0	0
S11127	1.17203592913e-118	8.43617631665e-27	4.20980695488e-102	0	0
S11136	3.86449051403e-119	1.33548886422e-26	5.09547099513e-103	0	0
S11147	1.21489654297e-118	9.74040120164e-27	1.64937648581e-102	0	0
S11150	1.27857205165e-118	1.43766339245e-26	1.59983236705e-102	0	0
S11152	5.7544507187e-119	9.23324592976e-27	7.91404630611e-103	0	0
S1116	4.01271369686e-119	1.57051972209e-26	3.04509536774e-102	0	0
S11163	6.21395398533e-119	1.31636317987e-26	7.34391234927e-103	0	0
S11164	5.1231396736e-119	9.46562549792e-27	2.57466978668e-102	0	0
S11166	1.53318121277e-119	5.37229425474e-27	2.06324551847e-103	0	0
