	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S11330	0	26.349482	0	0	0
S11332	0	26.929866	0	0	0
S11334	0	26.99741	0	0	0
S11335	0	26.221996	0	0	0
S11345	0	26.020526	0	0	0
S11349	0	27.430868	0	0	0
S1135	0	26.738176	0	0	0
S11352	0	26.125566	0	0	0
S11353	0	26.308072	0	0	0
S11368	0	26.743796	0	0	0
S11369	0	26.36549	0	0	0
S11371	0	26.369188	0	0	0
S11377	0	26.080846	0	0	0
S11378	0	25.803548	0	0	0
S11383	0	27.367546	0	0	0
S11384	0	26.737084	0	0	0
S11392	0	26.38033	0	0	0
S1140	0	25.63245	0	0	0
S11410	0	26.625244	0	0	0
S11411	0	26.884472	0	0	0
S11414	0	26.058598	0	0	0
S11419	0	26.721548	0	0	0
S11424	0	26.842242	0	0	0
S11425	0	26.408258	0	0	0
S11433	0	27.538324	0	0	0
S11434	0	27.315804	0	0	0
S11436	0	26.874758	0	0	0
S11437	0	26.815772	0	0	0
S11440	0	26.087974	0	0	0
S11449	0	26.428754	0	0	0
S11459	0	26.01566	0	0	0
S11477	0	26.773312	0	0	0
S11480	0	26.047974	0	0	0
S11486	0	25.623564	0	0	0
S11501	0	24.8457	0	0	0
S11504	0	26.071914	0	0	0
S11507	0	25.918564	0	0	0
S11518	0	27.780326	0	0	0
S11525	0	25.992198	0	0	0
S11531	0	25.898294	0	0	0
S11532	0	26.357966	0	0	0
S1154	0	26.776682	0	0	0
S11542	0	25.79177	0	0	0
S11543	0	26.53673	0	0	0
S11546	0	26.759062	0	0	0
S1155	0	26.428714	0	0	0
S1156	0	26.003588	0	0	0
S11568	0	25.900548	0	0	0
S11576	0	26.974962	0	0	0
S11584	0	26.120866	0	0	0
S11586	0	27.3384	0	0	0
S11590	0	26.976584	0	0	0
S11592	0	25.999588	0	0	0
S11593	0	26.997496	0	0	0
S11599	0	26.154546	0	0	0
S1160	0	25.983858	0	0	0
S11610	0	25.995594	0	0	0
S11615	0	26.406636	0	0	0
S11629	0	27.942776	0	0	0
S11631	0	26.716542	0	0	0
S1164	0	26.618798	0	0	0
S11642	0	25.04225	0	0	0
S11656	0	25.953698	0	0	0
S11663	0	26.966514	0	0	0
S11667	0	27.407702	0	0	0
S11668	0	26.239442	0	0	0
S1167	0	26.158482	0	0	0
S11673	0	25.539028	0	0	0
S11682	0	26.796856	0	0	0
S11693	0	26.36303	0	0	0
S11696	0	26.368284	0	0	0
S11699	0	26.815986	0	0	0
S117	0	24.47752	0	0	0
S1170	0	26.457128	0	0	0
S11709	0	25.976722	0	0	0
S11713	0	26.226526	0	0	0
S11717	0	26.679154	0	0	0
S1173	0	26.093808	0	0	0
S11731	0	26.386152	0	0	0
S11732	0	26.3249	0	0	0
S11733	0	27.185526	0	0	0
S11734	0	26.033498	0	0	0
S11735	0	26.631052	0	0	0
S11737	0	25.641976	0	0	0
S11745	0	26.565586	0	0	0
S11760	0	25.306874	0	0	0
S11761	0	26.224032	0	0	0
S11769	0	25.7346	0	0	0
S11783	0	26.856052	0	0	0
S11784	0	25.960238	0	0	0
S11786	0	26.82433	0	0	0
S11797	0	26.51379	0	0	0
S11799	0	26.172462	0	0	0
S118	0	26.44226	0	0	0
S11800	0	27.101432	0	0	0
S11802	0	26.390718	0	0	0
S11806	0	25.71312	0	0	0
S11807	0	26.535486	0	0	0
S11810	0	25.933584	0	0	0
S11811	0	26.921342	0	0	0
S11812	0	25.612354	0	0	0
S11820	0	26.693086	0	0	0
S11822	0	26.09806	0	0	0
S11823	0	26.090256	0	0	0
S11826	0	26.18072	0	0	0
S1183	0	25.85136	0	0	0
S1184	0	26.477084	0	0	0
S11842	0	27.384648	0	0	0
S11843	0	26.241354	0	0	0
S11844	0	26.442338	0	0	0
S11850	0	26.406024	0	0	0
S11853	0	26.087954	0	0	0
S11857	0	25.85636	0	0	0
S11858	0	25.7895	0	0	0
S11860	0	26.954212	0	0	0
S11864	0	26.106512	0	0	0
S11870	0	26.66641	0	0	0
S11875	0	26.129754	0	0	0
S11877	0	25.015026	0	0	0
S11878	0	27.817524	0	0	0
S11882	0	25.471588	0	0	0
S11883	0	24.964728	0	0	0
S11884	0	26.807754	0	0	0
S11886	0	25.850822	0	0	0
S11897	0	26.975102	0	0	0
S1190	0	26.190768	0	0	0
S11903	0	26.215854	0	0	0
S11905	0	25.768486	0	0	0
S11907	0	26.964778	0	0	0
S11914	0	25.908974	0	0	0
S11917	0	26.874042	0	0	0
S11928	0	26.395752	0	0	0
S11929	0	26.458696	0	0	0
S1193	0	26.152662	0	0	0
S11930	0	26.43638	0	0	0
S11934	0	25.974238	0	0	0
S11939	0	26.051728	0	0	0
S11944	0	26.816224	0	0	0
S11945	0	27.002742	0	0	0
S11957	0	26.355224	0	0	0
S11958	0	26.528404	0	0	0
S1196	0	26.231338	0	0	0
S11960	0	26.015966	0	0	0
S11965	0	25.98639	0	0	0
S11967	0	26.158684	0	0	0
