naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	otherCells
S10227	0.0117493652021004	0.0631040922182417	0.227482481905172	0.0278790019367842	0.035283144881733	0.0293226510868209	4.98083821993762e-09	0.174558763300368	0.430620494487942
S10228	0.00770512002977549	0.0648557379050755	0.236644860495396	0.0285262222397898	0.033278216335525	0.0295069001674605	2.1295029814548e-09	0.173021950283075	0.426460990414399
S10232	0.0228224637204826	0.0549805009207779	0.240719564908315	0.0281852874472685	0.0327975606342847	0.0273880425859529	4.78228185752586e-09	0.181409760092875	0.411696814907762
S10248	0.0191553068364252	0.0551434024507927	0.239573471020555	0.0277993980845382	0.0336685510168056	0.0264496411549465	4.54831483894992e-09	0.168610751770262	0.429599473117361
S10249	0.0120997168390922	0.0575956124499131	0.22341099113851	0.0248907197274034	0.0298007278758898	0.041042565966802	1.30740472582283e-10	0.172848115598167	0.438311550273481
S1025	0.0200936133732394	0.0559805088556611	0.237641676272938	0.0272141899212383	0.0361664471609289	0.0248266587612736	1.27872686976588e-10	0.173059024254028	0.42501788127282
S10266	0.0193902413657974	0.0557849381329253	0.2242418744366	0.0293464855543361	0.036328942399492	0.0308521404200343	1.5205114545757e-08	0.171118172584425	0.432937189901276
S10269	0.0178566439613411	0.0639010995855831	0.22210808106905	0.0302002444781886	0.0360571645669295	0.0284992519171197	9.60200306531979e-09	0.174795671728875	0.42658183309091
S10272	0.00994184080337375	0.0605440075460253	0.219841072395163	0.0284617963164505	0.0375490073259479	0.0253609166672679	8.68696464314564e-09	0.176235112408757	0.44206623785005
S10273	0.035001355897803	0.0441411579777517	0.226415294978402	0.0263099907128616	0.0352588567138046	0.0282089725436441	1.07631189349374e-08	0.172119429030767	0.432544931381847
S10274	0.0176707263232898	0.0578507612171217	0.223569379071889	0.0279265674732125	0.0366644782308564	0.0265769573224653	6.15351716019574e-10	0.178771707445692	0.430969422300121
S1028	0.0254368107836351	0.0451192728853339	0.237392812212871	0.0272483476321484	0.0280627467691002	0.0312734226754137	1.6732273878007e-08	0.173168583799811	0.432297986509413
S10280	0.0295813763332755	0.039396163639418	0.243135200781275	0.0284397860658306	0.0331635187277051	0.0296983970765249	2.40760329628025e-09	0.170829066696088	0.42575648827228
S10283	0.0202107353257169	0.0568827892945003	0.243008671373579	0.0300731672998292	0.0340046608821141	0.0236461254602842	1.12322946628308e-07	0.170431325060085	0.421742412980944
S1029	0.0268485905347079	0.0484735364398493	0.230020091722172	0.0293248321063438	0.0338604692562159	0.0285935825974434	1.79098678542943e-09	0.173978320404935	0.428900575147346
S10292	0.0235407742317096	0.0539673806393632	0.236352659977936	0.0282644574665562	0.0377536553539524	0.0248599670060655	9.62906644737162e-09	0.177924122887889	0.417336972807462
S10294	0.0242041283270449	0.049680199036854	0.234587708332194	0.0285608503773059	0.0330263925193122	0.0266989513532099	5.90843844975775e-08	0.175756462331315	0.427485248638381
S10302	0.0142496835938573	0.0599217217759845	0.232691822500678	0.0293488071125183	0.0365963948195016	0.0254549677889989	1.2987582806656e-08	0.173200662609583	0.428535926811296
S10303	0.0256028780752237	0.0500411473430521	0.22905030532599	0.0286879192293221	0.0382628064848096	0.0256364914954248	2.55134081390041e-09	0.174772127514495	0.427946321980342
