B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	otherCells
S10168	0.0337204312728641	0.0239450743798874	0.0057705431983259	0.0297335788684672	5.48315370655816e-09	0.228991383734458	0.00502782031892532	0.020245886837433	0.0233298735856705	0.0528087465234527	0.576426655797363
S10173	0.0331816286673219	0.0289072532344675	0.00607241879706623	0.0226730798365044	9.85793564786185e-09	0.229062139704542	0.00428036068982319	0.0231017615938488	0.0240827897613683	0.0523608116120284	0.576277746245094
S10175	0.0315831426943514	0.0251964049437734	0.00579206762735339	0.0257009906308607	2.01154687648259e-09	0.237968530221355	0.00384822229530834	0.0244759793160851	0.0224936012929189	0.0454317368770134	0.577509322089433
S10179	0.027281627671214	0.0279938037890625	0.00645353234212667	0.0271916620233967	1.13717691805202e-06	0.226498264176291	0.00209528006559877	0.0224398082840735	0.0258821390707782	0.056701029382879	0.577461716017662
S10186	0.0359707667601834	0.0256187068880173	0.00609565663028987	0.0242519123416805	1.0076947418272e-09	0.21218200062071	0.00829573094237511	0.0202194033145331	0.0255012463512442	0.0536115291361454	0.588253046007127
S1019	0.0316977144775547	0.0264478235905193	0.00601551666056692	0.0264317859413304	2.91475652629393e-09	0.227666032403661	0.00616855929246529	0.0232167225386118	0.0236762934851653	0.0474158912754465	0.581263657419922
S10190	0.0328678381636774	0.0260100619050291	0.00589476514270904	0.0200231574206788	3.83571794811476e-09	0.236260579243012	0.00238208838084181	0.0275770520182856	0.0242903074778541	0.0508835032565254	0.573810643155668
S10195	0.0316842322432307	0.0246507465092802	0.00561705094399137	0.0251734063158286	8.20712279077811e-08	0.245079433763594	0.00616956892693777	0.0197953324803578	0.020700073430866	0.04657770581421	0.574552367500476
S10196	0.0283181740359481	0.0262193402170473	0.0056046673132541	0.0264219367933299	6.15543234974136e-09	0.239939675383487	0.00466397922234761	0.0270348727426184	0.0225250563630608	0.0439842483380738	0.575288043435401
S10200	0.0235288282660646	0.0296448866179321	0.00586617237865364	0.0291110371764944	4.66831076556001e-08	0.24181524427962	0.00442510204380748	0.0206013141253458	0.023360391877978	0.0490020250760409	0.572644951474955
S10201	0.0321175874231088	0.0245832325366485	0.00543776376669585	0.0264028354532767	2.39985119835267e-09	0.255861497540042	0.00760453315100036	0.0113704514818224	0.020902469656143	0.0470148738196934	0.568704752771718
S10202	0.0327465460891178	0.0222309996449612	0.00644910061447728	0.0289819971936237	7.81020848983007e-08	0.232906444983497	0.0046722171859004	0.0168492299376965	0.0239528228472597	0.0580612015686337	0.573149361832748
S10205	0.036105939655305	0.0224738797901032	0.0051130749793462	0.0269259181614744	1.18419830433761e-07	0.240937342190461	0.00436875976117626	0.0262348934301445	0.0227818281545184	0.0437743441933436	0.571283901264297
S10211	0.0262279881711643	0.0275928459815805	0.00551698392439178	0.025097435694554	1.51638124972556e-06	0.233785088217987	1.09284309662047e-07	0.0277299379818842	0.0226906712557817	0.0480669926367678	0.583290430470329
S10221	0.0312029545329624	0.0247624524932546	0.00584427236987104	0.0234021219582005	1.10100655901868e-08	0.237265004167829	0.00159625502868928	0.026881690264412	0.0226609574076892	0.0496065137239677	0.576777767043059
S10222	0.0306623713446525	0.0266449991510333	0.00526021783678003	0.0211291260949948	4.6494683377095e-09	0.244499076960077	0.00732725554920241	0.0150655239283191	0.0237873569532002	0.0500701330982762	0.575553934433996
S10226	0.0310153021154768	0.027204577049825	0.00561631271922696	0.0221716194062876	7.03168618881454e-08	0.244494170261813	0.00491510436908285	0.0225159284515334	0.0222928496144069	0.0481688740175925	0.571605191677894
S10227	0.0277041391893236	0.0278491610553358	0.00601151752740919	0.0243877494548252	4.23546424242683e-08	0.241869108127694	0.00389581943913712	0.0259768594827419	0.0215978339690742	0.0435925127653453	0.577115256634472
S10228	0.0242133241057161	0.0309470194483664	0.00591015741627405	0.0251298515689296	1.43046610601858e-09	0.237547438063648	0.00686026637485932	0.0220247831449769	0.0234897839262696	0.0482869109153258	0.575590463605168
