	B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
S1419	0	0.0104788529209987	0.0201452086127982	0.252733899082249	0.385092232328839	0.331549807055115	0
S14193	0	0.0224096700095791	0	0.258623581107517	0.37884308578904	0.340123663093863	0
S14197	0	0.0243665791465109	0	0.275031347924076	0.377496603106332	0.323105469823081	0
S142	0	0	0.0245981407026151	0.236654016977696	0.393862372855248	0.344885469464441	0
S14206	0	0	0.0166058743895049	0.230639099460164	0.370110463261693	0.382644562888638	0
S14215	0	0.00337146005522072	0.00298072788258128	0.244561383507133	0.394646830686832	0.354439597868233	0
S14220	0	0	0.0254621852387756	0.259049729174315	0.387201191285298	0.328286894301612	0
S14222	0	0	0.012840300856079	0.244136797796252	0.38820146327334	0.354821438074329	0
S14225	0	0.0223435639619082	0	0.262122250134915	0.373507037055612	0.342027148847565	0
S1423	0	0.00262827894403004	0.00699866796880766	0.245578458008468	0.400068720668313	0.344725874410381	0
S14233	0	0	0.0330687782669205	0.235407148032653	0.384063820492513	0.347460253207914	0
S14251	0	0	0.00203339460296368	0.258597744777751	0.388307685326898	0.351061175292387	0
S14260	0	0	0	0.256954276744152	0.378507758405189	0.364537964850659	0
S14266	0	0.0242215718894016	0	0.257247987692102	0.37194774082382	0.346582699594676	0
S14278	0	0	0.01909716682936	0.257764430106957	0.397021743717795	0.326116659345889	0
S14280	0	0	0.000344959057004884	0.25556747587788	0.399210857425405	0.344876707639711	0
S14286	0	0	0.0338883696123617	0.226651282896481	0.363749282652801	0.375711064838357	0
S14287	0	0.00380733025083549	0	0.266587491985221	0.388596266017551	0.341008911746393	0
S14290	0	0	0.0103201164030915	0.25037526725093	0.382111581711292	0.357193034634686	0
S14297	0	0.00891978504563487	0.0110314263111398	0.246825997376681	0.378380760653824	0.35484203061272	0
S14303	0	0	0.0116412470985389	0.233266974248295	0.394675259628966	0.3604165190242	0
S14305	0	0.00773478720179854	0.00504262812941989	0.25699246243034	0.388016932789193	0.342213189449249	0
S1432	0	0.0279297321981991	0.00320304190267117	0.255338371545153	0.359816299259506	0.353712555094471	0
S14320	0	0.001285825974704	0.0195939166363297	0.248861918330406	0.383173776093699	0.347084562964861	0
S14332	0	0	0.0291067803074343	0.234823894319563	0.371675832394803	0.3643934929782	0
S14339	0	0.0166156673427336	0.00372184234334306	0.25849382199247	0.385091349295811	0.336077319025642	0
S14340	0	0.00709110326371067	0	0.274248587674985	0.373939973287335	0.34472033577397	0
S14342	0	0.00571179617621824	0	0.259812895627689	0.382856707546512	0.351618600649581	0
S14346	0	0.00639544355112494	0.0246631661470138	0.230963160254564	0.393325447234534	0.344652782812763	0
S14348	0	0	0	0.258468422533451	0.387987497551193	0.353544079915356	0
S14354	0	0	0.0036271347003878	0.237619492404027	0.387464107081306	0.37128926581428	0
S14358	0	0.0014263005106898	0.028901587975899	0.228557697386428	0.398083295482645	0.343031118644338	0
S1436	0	0	0.0189067613315206	0.242291134749626	0.385088262707547	0.353713841211306	0
S1437	0	0.0160011520515992	0	0.25561772352984	0.386846265952606	0.341534858465954	0
S14372	0	0.0153755883034157	0.0123270143163389	0.253600532282025	0.375222577931775	0.343474287166446	0
