	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
S10175	0.0636315435483188	0.190777388876215	0.745591067575466	0	0	0
S10179	0.0663887253452624	0.184530450562279	0.749080824092459	0	0	0
S10186	0.0761712705719376	0.183695507670723	0.740133221757339	0	0	0
S1019	0.0680090440156807	0.187724038496776	0.744266917487543	0	0	0
S10190	0.0788437059104957	0.190422551224153	0.730733742865351	0	0	0
S10195	0.0625242428683492	0.19269939832473	0.74477635880692	0	0	0
S10196	0.0639213476564712	0.190890513942303	0.745188138401226	0	0	0
S10200	0.0557526216246266	0.192889990388242	0.751357387987131	0	0	0
S10201	0.0447477739480812	0.202178254842775	0.752642793998775	0.000431177210368808	0	0
S10202	0.0547911131790153	0.19128161030115	0.753927276519834	0	0	0
S10205	0.0660739425645425	0.189202421154216	0.744723636281241	0	0	0
S10211	0.0714526473950505	0.191900142672664	0.736647209932286	0	0	0
S10221	0.0689981884773482	0.193164622770713	0.737837188751939	0	0	0
S10222	0.0605875803405461	0.197036414580283	0.742376005079171	0	0	0
S10226	0.0651679468862928	0.194215159054604	0.740616894059103	0	0	0
S10227	0.0619609834646709	0.195818240986626	0.742220775548703	0	0	0
S10228	0.059350315216169	0.191570505300664	0.749079179483167	0	0	0
S10232	0.0845733883116829	0.180266779736303	0.735159831952014	0	0	0
S10248	0.0741509190041519	0.189019703277691	0.736829377718157	0	0	0
S10249	0.0569212675646292	0.205511182801235	0.737567549634136	0	0	0
S1025	0.0674307259481714	0.186508259869998	0.746061014181831	0	0	0
S10266	0.0612554437970208	0.19651066099526	0.742233895207719	0	0	0
S10269	0.0637239553877286	0.191623402832325	0.744652641779947	0	0	0
S10272	0.0607799942882624	0.19470163485882	0.744518370852918	0	0	0
S10273	0.062066217845089	0.191540847950582	0.746392934204329	0	0	0
S10274	0.0666782076085585	0.192409764604711	0.74091202778673	0	0	0
S1028	0.0710410793542112	0.193715302197042	0.735243618448746	0	0	0
S10280	0.0575080539563897	0.192632666665278	0.749859279378332	0	0	0
S10283	0.0707554447077706	0.182475399125356	0.746769156166873	0	0	0
S1029	0.0614952941582516	0.190227001133477	0.748277704708272	0	0	0
S10292	0.0745222021282619	0.181479922322248	0.74399787554949	0	0	0
S10294	0.0716351113487258	0.183394671158351	0.744970217492923	0	0	0
S10302	0.0707611007682123	0.18809880416633	0.741140095065457	0	0	0
S10303	0.0622775010664768	0.190157011547795	0.747565487385728	0	0	0
S10323	0.0614825785712933	0.192208638280958	0.746308783147749	0	0	0
S10326	0.0581512082795318	0.191775113851504	0.750073677868964	0	0	0
S10328	0.0572082590341692	0.183128818428019	0.759662922537812	0	0	0
S10329	0.0688755218933099	0.186401020616524	0.744723457490166	0	0	0
S10336	0.0592792061294566	0.189683505648757	0.751037288221786	0	0	0
S10340	0.0702547447192358	0.188537997082358	0.741207258198406	0	0	0
S10347	0.0671339810081164	0.183971582508333	0.74889443648355	0	0	0
S10353	0.0691918795398028	0.193175384562168	0.737632735898029	0	0	0
S10356	0.0700123605130777	0.188925635157887	0.741062004329035	0	0	0
S10358	0.0590732326687107	0.194149205573274	0.746777561758016	0	0	0
S10365	0.0597417308238578	0.198445855628724	0.741812413547418	0	0	0
S1037	0.0734377622034982	0.177777705382331	0.748784532414171	0	0	0
S10373	0.072318354118133	0.185542645450585	0.742139000431282	0	0	0
S10374	0.0756066796689842	0.192330292475671	0.732063027855344	0	0	0
S10375	0.064051782224915	0.193405834297752	0.742542383477333	0	0	0
S10377	0.0778460219058286	0.18989836447615	0.732255613618022	0	0	0
S10378	0.0695083106523477	0.187454732785879	0.743036956561774	0	0	0
S10390	0.0708646678159	0.189609286494419	0.739526045689681	0	0	0
S10391	0.0703891464635095	0.190597374850034	0.739013478686456	0	0	0
S10393	0.070291165926462	0.192415052297651	0.737293781775886	0	0	0
S10400	0.0640305505407513	0.195828915969023	0.740140533490226	0	0	0
S10401	0.0632078091713063	0.192182971660429	0.744609219168265	0	0	0
S10406	0.0624765450613068	0.199372262213939	0.738151192724754	0	0	0
S10408	0.0608966079755877	0.192416573896605	0.746686818127808	0	0	0
S10409	0.0802310337858099	0.187854682880081	0.731914283334109	0	0	0
S10418	0.0526377287600922	0.196613608339924	0.750748662899984	0	0	0
S10431	0.0710493243701065	0.188308418641516	0.740642256988378	0	0	0
S10438	0.0668899411260851	0.190267938521044	0.742842120352871	0	0	0
S10439	0.0644089496140604	0.194879639021807	0.740711411364133	0	0	0
S10441	0.0505805773075083	0.203649579928015	0.745769842764477	0	0	0
S10442	0.0632785023452063	0.193029454534352	0.743692043120442	0	0	0
S1046	0.0624356453761661	0.197494301945943	0.740070052677891	0	0	0
S10478	0.0580810918751508	0.208236396542505	0.733682511582345	0	0	0
S10480	0.0739562837208324	0.175269080196001	0.750774636083167	0	0	0
