	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S18717	0	1	0	0	0	0	0	0
S18718	0	1	0	0	0	0	0	0
S18719	0	1	0	0	0	0	0	0
S18725	0	0.99908145409915	0	0	0.000918545900849935	0	0	0
S18730	0	0.999996976463518	0	0	3.02353648174603e-06	0	0	0
S18732	0	0.999921608337117	0	0	7.83916628831581e-05	0	0	0
S18740	0	0.997957690058793	0	0.00204230994120692	0	0	0	0
S18741	0	1	0	0	0	0	0	0
S18746	0	0.999807603710854	0	0	0.000192396289146267	0	0	0
S18749	0	1	0	0	0	0	0	0
S18751	0	0.999573785966864	0	0	0.000426214033135687	0	0	0
S18757	0	1	0	0	0	0	0	0
S18758	0	1	0	0	0	0	0	0
S1876	0	1	0	0	0	0	0	0
S18761	0	1	0	0	0	0	0	0
S18763	0	1	0	0	0	0	0	0
S18767	0	0.999540606701612	0	0	0.000459393298388048	0	0	0
S18771	0	1	0	0	0	0	0	0
S18786	0	1	0	0	0	0	0	0
S18792	0	0.997945028295732	0	0.00205497170426844	0	0	0	0
S18801	0	0.997187708716932	0	0.00281229128306797	0	0	0	0
S18806	0	0.999627594937626	0	0	0.000372405062374218	0	0	0
S18815	0	1	0	0	0	0	0	0
S18825	0	0.999991704978874	0	0	8.29502112607039e-06	0	0	0
S18826	0	0.989904635813841	0	0.0100953641861591	0	0	0	0
S18827	0	1	0	0	0	0	0	0
S18832	0	0.999862115553587	0	0	0.000137884446413262	0	0	0
S18842	0	1	0	0	0	0	0	0
S18851	0	0.999508674639305	0	0	0.000491325360694919	0	0	0
S18856	0	1	0	0	0	0	0	0
S1887	0	1	0	0	0	0	0	0
S18879	0	0.999006481024517	0	0	0.000993518975482803	0	0	0
S18881	0	1	0	0	0	0	0	0
S18882	0	0.994961292966533	0	0.00218718600777364	0.00285152102569371	0	0	0
S18888	0	1	0	0	0	0	0	0
S18889	0	1	0	0	0	0	0	0
S18895	0	1	0	0	0	0	0	0
S18896	0	0.995354638128889	0	0.00464536187111082	0	0	0	0
S18897	0	0.986190598510513	0	0.0138094014894864	0	0	0	0
S18905	0	0.999873201577096	0	0	0.000126798422904238	0	0	0
S18906	0	1	0	0	0	0	0	0
S18907	0	0.99985944813278	0	0	0.000140551867220114	0	0	0
S1891	0	1	0	0	0	0	0	0
S18911	0	1	0	0	0	0	0	0
S18914	0	1	0	0	0	0	0	0
S18920	0	1	0	0	0	0	0	0
S18921	0	1	0	0	0	0	0	0
S18934	0	1	0	0	0	0	0	0
S18936	0	0.999037851478501	0	0	0.000962148521498828	0	0	0
S18939	0	1	0	0	0	0	0	0
S18941	0	0.993433265873964	0	0.00656673412603637	0	0	0	0
S18943	0	0.999797853158062	0	0	0.000202146841938424	0	0	0
S18954	0	1	0	0	0	0	0	0
S18957	0	1	0	0	0	0	0	0
S18960	0	1	0	0	0	0	0	0
S18967	0	0.998510200570198	0	0	0.00148979942980222	0	0	0
S18969	0	0.994633201941896	0	0.00536679805810444	0	0	0	0
S18972	0	0.999968900512806	0	0	3.10994871938861e-05	0	0	0
S18979	0	0.99984096156328	0	0	0.000159038436719605	0	0	0
S18980	0	0.999780175213103	0	0	0.000219824786896852	0	0	0
S18985	0	1	0	0	0	0	0	0
S18986	0	0.986292963954491	0	0.0137070360455088	0	0	0	0
S18987	0	0.994936236507934	0	0.0050637634920665	0	0	0	0
S1899	0	0.99986033085212	0	0	0.000139669147879775	0	0	0
S18990	0	1	0	0	0	0	0	0
S190	0	1	0	0	0	0	0	0
S1900	0	0.999819971071466	0	0	0.000180028928533979	0	0	0
S19002	0	1	0	0	0	0	0	0
S19020	0	1	0	0	0	0	0	0
S19021	0	1	0	0	0	0	0	0
S19037	0	0.999393123314185	0	0	0.000606876685815477	0	0	0
S19042	0	1	0	0	0	0	0	0
S19044	0	0.994232731575317	0	0.00576726842468341	0	0	0	0
S19060	0	1	0	0	0	0	0	0
S19061	0	0.99867727716571	0	0.000695423344906505	0.000627299489383756	0	0	0
S19063	0	0.999954759234385	0	0	4.52407656148741e-05	0	0	0
S1907	0	0.998218730923237	0	0.00178126907676261	0	0	0	0
S19076	0	0.99636084073611	0	0.00363915926389048	0	0	0	0
S19078	0	1	0	0	0	0	0	0
S19084	0	1	0	0	0	0	0	0
S19086	0	1	0	0	0	0	0	0
S19091	0	1	0	0	0	0	0	0
S19098	0	1	0	0	0	0	0	0
S19099	0	1	0	0	0	0	0	0
S19104	0	1	0	0	0	0	0	0
S19107	0	1	0	0	0	0	0	0
S19113	0	0.999384421050852	0	0	0.000615578949147721	0	0	0
S19122	0	0.999776849936043	0	0	0.000223150063956535	0	0	0
S19126	0	1	0	0	0	0	0	0
