	B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	Plasma.cells	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	Dendritic.cells.resting	Dendritic.cells.activated	Eosinophils
S25849	0.0795571527995977	0.0214707835917482	0.046039721613302	0.0572183519896737	0	0.101993928431681	0	0.00129302509617629	0.0506838425294918	0.0950819392425362	0	0.014267942028439	0.0867204833060201	0.0760968383288363	0	0.140159591655044	0.0646671990395064	0.0248374884956394	0	0.0527547899084388	0.0512088186958959	0.0359481032479736
S25858	0.0901644885034941	0.00806536168761236	0.0435032273961248	0.0689794282244249	0	0.102836380166201	0	0	0.0467160598111339	0.0830992270133033	0	0.0149831062321601	0.0880694795754933	0.0703367091506936	0	0.140163278377639	0.0640353672494221	0.0329316642667384	0	0.048690749826851	0.0558378079023294	0.041587664616379
S2586	0.073883352084813	0.0198321647365133	0.0529105568375027	0.0629680244164233	0	0.0882060085199535	0	0	0.0497453422156117	0.0886200613732863	0	0.0165372233634246	0.0856937652019055	0.0764892997474299	0	0.143456493143757	0.0631111902739062	0.0225117196614143	0	0.0556422358735686	0.0555647086066143	0.0448278539438757
S25861	0.0826851614123895	0.0142448376167719	0.0430909677623537	0.0565281883128683	0	0.105543153034271	0	0.00403459856608528	0.0477669281715301	0.0843973628629822	0	0.0157447970408255	0.0898027199019768	0.0736006828248584	0	0.139471442149554	0.062246749904931	0.0339975743243726	0	0.0524196969623882	0.0569354788596252	0.0374896602922166
S25867	0.0767479600155859	0.0245733237496756	0.0467472350826671	0.0607735997773001	0	0.100917670863293	0	0.00210566804757574	0.0467796905794865	0.0897317700587638	0	0.0151015570173644	0.085790302610411	0.0752707057611706	0	0.144113449561933	0.0576945194464862	0.0240166061504949	0	0.0517040043602511	0.0524715519952451	0.0454603849222956
S25874	0.085244021012577	0.0135922559421682	0.0492213290188582	0.0608916492089575	0	0.0995902881140335	0	0.00701976452327039	0.0487194345583929	0.0949289985030352	0	0.0159663628339855	0.0877406451784491	0.0729342799295811	0	0.13694116398329	0.0643077909278679	0.0217301766126083	0	0.0509757169656769	0.0535360423726001	0.0366600803146485
S25883	0.0762799401142676	0.022205967964749	0.0452202569858265	0.0584289161053063	0	0.101696906446161	0	0	0.0458908887323084	0.0942258806380536	0	0.0171953290453239	0.0883382511145645	0.0761876442653399	0	0.141230965619606	0.0698597015068943	0.0185660706735381	0	0.053585960591247	0.0553809758937431	0.0357063443030703
S25886	0.0832171149287614	0.0183410977658596	0.0380304142336787	0.0602629146702771	0	0.0951868159165336	0	0.00133875834172484	0.0527974297378753	0.100045303001322	0	0.0151170365587027	0.0787929268293608	0.0822496543837113	0	0.137801161786664	0.0616164380081557	0.0137668241637082	0	0.0494492978519469	0.0549462724032176	0.0570405394185006
S2589	0.0813637649913545	0.0211594865279256	0.0438503231146167	0.0615928094950847	0	0.100714670649178	0	0	0.0469925869920009	0.0900214560351997	0	0.0159584830934617	0.0853327875868519	0.0741204850908692	0	0.139680400594893	0.069576259950704	0.0230323621630606	0	0.0548493713804082	0.0552783141583869	0.0364764381760046
S25892	0.0741235665157834	0.019150056290932	0.0424133695721112	0.0605134123407414	0	0.112196672844459	0	0.000515437112186932	0.0503421434569767	0.0862948776703686	0	0.0142110446940169	0.0924599394592322	0.0778917794460737	0	0.141754866617816	0.0598528958399159	0.0246629306220635	0	0.045403912194562	0.0535334649417817	0.0446796303809788
