	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
S6033	0.093863259995044	0	0	0	0	0.0168167304478306	0	0	0	0.0934250527098536	0.179388235314877	0	0.0869780797329699	0.476973361034532	0.0490926707532045	0	0	0	0.00346261001168892	0	0
S6034	0.0784526476759898	0	0	0	0	0.0147876454626732	0	0	0	0.072869822336149	0.208584045537679	0	0.0888128364810515	0.456646325440925	0.0451286827014106	0	0	0.00341677184704167	0.0313012225170801	0	0
S6041	0.0845465818645508	0	0	0	0	0.0193160702713585	0	0	0	0.0580993969721091	0.203637239747961	0	0.0690197654236271	0.492463914100594	0.0499895216651332	0.00972678608065192	0	0.0132007238740146	0	0	0
S6047	0.082271849579133	0	0	0	0	0.0167987322116089	0	0	0	0.0395323546786974	0.208156324552886	0	0.0656565195674753	0.507306441357987	0.0437183977149	0	0	0.027070480663562	0.00948889967375034	0	0
S6049	0.11279995632458	0.0115022169401589	0	0	0	0.0135430962413215	0	0	0	0.114536613828882	0.167476252894344	0	0.0967088290329071	0.425350564128663	0.0532685482561222	0	0	0	0.0048139223530219	0	0
S6051	0.0934147907571271	0	0	0	0	0.0130603798037429	0	0	0	0.0859692455242866	0.201585210848312	0	0.0660693409918517	0.460854008138218	0.0482999524160855	0	0	0.0307470715203754	0	0	0
S6058	0.0604583433506876	0.0388340038353025	0	0	0	0.0245832700036813	0	0	0	0.118941551645229	0.207102336676452	0	0.0870960219617423	0.405190490779663	0.0573131008648174	0	0	0	0.000480880882425092	0	0
S6063	0.0958684980267021	0.0165711263189563	0	0	0	0.0182406879538193	0	0	0	0.131848519940314	0.174550445047641	0	0.088277760347647	0.418645834605069	0.0536668442661493	0	0	0	0.00233028349370178	0	0
S6065	0.102066812416124	0.00121875095292486	0	0	0	0.0129785262890278	0	0	0	0.115254265106591	0.215362750000213	0	0.0844826830955165	0.41669851349992	0.0519376986396823	0	0	0	0	0	0
S6068	0.0939335996365285	0	0	0	0	0.012077301890747	0	0	0	0.0947900488598383	0.215860847719945	0	0.0945832508848254	0.431201609547074	0.0490681287281595	0	0	0	0.00848521273288249	0	0
S6099	0.22065103455502	0	0	0	0	0.0183710043693632	0	0	0	0.0442893930586111	0.13908601140357	0	0.0680812503867989	0.45375665915901	0.0557646470676261	0	0	0	0	0	0
S6104	0.0898606065168892	0	0	0	0	0.0189509565652562	0	0	0	0	0.212989226832805	0	0.0710781871982584	0.482177606370518	0.0405300100935523	0	0	0.0549150986622189	0.0294983077605012	0	0
S6105	0.081717194188371	0.0156914516782629	0	0	0	0.0198713413148253	0	0	0	0.117445572517912	0.200869621923265	0	0.0857380982220681	0.414451877059964	0.0566857286553811	0	0	0	0.00752911443995115	0	0
S6106	0.063955431912522	0	0	0	0	0.0281418082080201	0	0	0	0.0873003272098611	0.20654961069147	0	0.088983837700922	0.458625495365325	0.0544613582493415	0	0	0	0.0119821306625386	0	0
S6107	0.101164648331811	0	0	0	0	0.0186195213222396	0	0	0	0.0647459633144176	0.246327995134029	0	0.0733992128039954	0.429249493712487	0.0558210145433634	0	0	0	0.0106721508376571	0	0
S6114	0.0854466059277109	0.00799878324973861	0	0	0	0.0186509319180965	0	0	0	0.125148621531003	0.193044129923344	0	0.0768679410329417	0.428904234219357	0.0594465545987744	0	0	0	0.00449219759903333	0	0
S613	0.100851818194218	0.000138291268207785	0	0	0	0.0180378522302139	0	0	0	0.0796971367388521	0.224123901796648	0	0.0818119948353419	0.446594269140518	0.0487447357960003	0	0	0	0	0	0
S6131	0.120307420738636	0.00787779521453657	0	0	0	0.0147725001290395	0	0	0	0.106362657459219	0.1990161560488	0	0.0712689425630728	0.420425677370254	0.0524459834660122	0	0	0	0.00752286701042908	0	0
S6134	0.0761090403542155	0	0	0	0	0.0149388405772221	0	0	0	0.0543856377386906	0.20109135015107	0	0.0775604301753339	0.526442657485355	0.0469707194863842	0	0	0.00250132403172937	0	0	0
S6140	0.0964941480215867	0	0	0	0	0.0162619259839172	0	0	0	0.0486602172366341	0.213930562710027	0	0.0743421855094283	0.461961815203767	0.0474115639195358	0	0	0.0316881306881686	0.00924945072693529	0	0
S6156	0.0919589526629398	0	0	0	0	0.0194652431005275	0	0	0	0.0215337426819871	0.209532106026476	0	0.0786634528968284	0.493374571268972	0.0451712232131112	0	0	0.0115693505043007	0.0287313576448577	0	0
S6164	0.103518856140266	0	0	0	0	0.010034960276864	0	0	0	0.0902361281221137	0.195121549855662	0	0.0774994738361509	0.458969810983457	0.0495976726794244	0	0	0.0139626562466447	0.00105889185941772	0	0
S6173	0.101935271550157	0	0	0	0	0.0165347454403028	0	0	0	0.0765282846900089	0.20543761914956	0	0.072878050853639	0.476351482254518	0.0503345460618145	0	0	0	0	0	0
S618	0.0967430561143994	0	0	0	0	0.0111667869147408	0	0	0	0.0799244686935045	0.197725396114476	0	0.0803521198921008	0.466876085836005	0.0499341794107811	0	0	0.00335745580882636	0.0139204512151656	0	0
S6195	0.0548773303323915	0	0	0	0	0.0198090673652161	0	0	0	0.0363500635481281	0.207114776919892	0	0.0727372525483672	0.552354161517569	0.0445053991515139	0	0	0	0.0122519486169228	0	0
S6198	0.105194483159342	0.000395458626670905	0	0	0	0.0119986689762985	0	0	0	0.0937507670082328	0.199533662100384	0	0.0970817201627397	0.431103169986533	0.0529392976934695	0	0	0	0.0080027722863299	0	0
S620	0.0645277872744251	0	0	0	0	0.0175558233485143	0	0	0	0.0424167531050895	0.227446443818575	0	0.0539543269281487	0.478908468352682	0.0425462744916712	0	0	0.0574741658056308	0.0151699568752635	0	0
S6200	0.0735833270667271	0.0126710730730414	0	0	0	0.0217862402065519	0	0	0	0.13463015404999	0.175610748727097	0	0.0870193308119429	0.433141711323133	0.0615574147415172	0	0	0	0	0	0
S6203	0.103968802735383	0	0	0	0	0.0130649041580802	0	0	0	0.0595834930733277	0.190939714271262	0	0.0896012958156989	0.464077768298283	0.045458513369323	0	0	0.0227573656995965	0.0105481425790457	0	0
S6205	0.300147950281105	0	0	0	0	0.00881108282620387	0	0	0	0.0325079916474225	0.110418706565229	0	0.055489942966623	0.445590801893244	0.0470335238201723	0	0	0	0	0	0
S6210	0.0800268347468207	0	0	0	0	0.0129545841183803	0	0	0	0.0729831493771241	0.19484088796103	0	0.0706507881631202	0.484057752041696	0.0479493065595941	0	0	0.0365366970322345	0	0	0
S6214	0.0619193066172192	0	0	0	0	0.0212419680360211	0	0	0	0.0675130918774712	0.204347872051349	0	0.0738261316628267	0.505647408889158	0.0425181774270829	0	0	0.00960402414099994	0.013382019297872	0	0
S6216	0.0752004664763526	0	0	0	0	0.016974213711327	0	0	0	0.0834799559605068	0.216549637522478	0	0.101218695002791	0.45385528208819	0.052721749238355	0	0	0	0	0	0
S6219	0.104073563448294	0.011132013690031	0	0	0	0.0135191811591563	0	0	0	0.132486356168106	0.173080751770936	0	0.0866628515319438	0.418533204369926	0.0555928924000097	0	0	0	0.00491918546159773	0	0
S6225	0.142643334774362	0.0063242233458254	0	0	0	0.012995254267272	0	0	0	0.144075143714665	0.15324069698313	0	0.0802746907718831	0.399538133555054	0.0609085225878079	0	0	0	0	0	0
S6227	0.0780904173097159	0	0	0	0	0.0247422311070545	0	0	0	0.110128560747973	0.201651284766102	0	0.0812995348681309	0.440406849564052	0.0533983622366283	0	0	0	0.0102827594003429	0	0
S6234	0.0897349201748301	0	0	0	0	0.0183329113478481	0	0	0	0.0393613159224821	0.193795967065786	0	0.0756851873946271	0.518050340009377	0.0427276321293888	0	0	0.014850942969266	0.00746078298639485	0	0
S624	0.116746482974254	0	0	0	0	0.01794126996171	0	0	0	0.0467585221749693	0.183615130733847	0	0.0719945706463591	0.457709345525586	0.0508541910695805	0	0	0.0442109464750371	0.0101695404386567	0	0
S6240	0.0974523811828462	0	0	0	0	0.0166130234382191	0	0	0	0.0730062859901596	0.224167629750897	0	0.0906029319678395	0.429462036747604	0.0507478982262282	0	0	0.00703433374476458	0.0109134789514413	0	0
