	B_cells	T_cells_.CD4..	T_cells_.CD8..	Endothelial_cells	Fibroblasts	Macrophage
S10555	0	0.378472830185077	0	0.0566442950740659	0.267970810037752	0.296912064703104
S10559	0	0.366650844462857	0	0.0513434599772838	0.273051332127068	0.308954363432791
S1056	0	0.377710342798227	0	0.0573742354587271	0.26726635879354	0.297649062949507
S10563	0	0.366121661703658	0	0.0549530610839502	0.267469459598895	0.311455817613496
S10574	0	0.378576501678805	0	0.0498757510508614	0.271116945541519	0.300430801728814
S10576	0	0.3671454523651	0	0.0490847436420158	0.275843452907576	0.307926351085308
S10578	0	0.352762674188963	0	0.0595539099254587	0.275927599295207	0.311755816590372
S10579	0	0.37072053685447	0	0.0493833024964656	0.274559983033089	0.305336177615976
S10582	0	0.372652260988373	0	0.0505157413141325	0.268855282384402	0.307976715313092
S1059	0	0.369685090431167	0	0.0587118105124038	0.268137685992961	0.303465413063469
S10599	0	0.362106302010517	0	0.0593046131758485	0.266575306466552	0.312013778347082
S10611	0	0.369489971025416	0	0.0504960728921009	0.273497243979007	0.306516712103476
S10614	0	0.369030592665731	0	0.0462665747668693	0.269275145202839	0.315427687364562
S10624	0	0.367811497069037	0	0.0516524978057272	0.272640968231772	0.307895036893463
S10632	0	0.367320735933293	0	0.0497404063020472	0.28234036882615	0.30059848893851
S10634	0	0.377792161669854	0	0.0493216564431046	0.273868252025551	0.29901792986149
S10638	0	0.358674625268582	0	0.0510574511033105	0.274899394312068	0.315368529316039
S10644	0	0.377136307840451	0	0.0522238338998839	0.270249383992635	0.30039047426703
S10649	0	0.368530266037282	0	0.045446505263609	0.275775979976519	0.31024724872259
S10652	0	0.364493602915037	0	0.0486466331416021	0.276920241502702	0.30993952244066
S10654	0	0.36824989996404	0	0.0579114879940848	0.273430952169598	0.300407659872277
S10655	0	0.376118476181806	0	0.0500512590511415	0.272087739001379	0.301742525765673
S10656	0	0.38034353025703	0	0.0508596692301689	0.268407185282107	0.300389615230693
S10657	0	0.355427714889555	0	0.0663603121535873	0.274355303966711	0.303856668990147
S10658	0	0.376065963269995	0	0.0530092426485358	0.267800801795049	0.30312399228642
S10660	0	0.373732565005083	0	0.0592485351779822	0.277480813685342	0.289538086131593
S10661	0	0.37818646792027	0	0.0498130971020462	0.274611040242304	0.29738939473538
S10676	0	0.35709381156528	0	0.0520847533597753	0.271655764310696	0.319165670764249
S1068	0	0.376183027182277	0	0.049571445632002	0.270468543513744	0.303776983671978
S10681	0	0.356911142937056	0	0.0536597463023356	0.284333838191766	0.305095272568842
S10686	0	0.366504069608355	0	0.0469916695407055	0.281565564925161	0.304938695925778
S10688	0	0.37311779580752	0	0.0507835873027935	0.271744762070889	0.304353854818797
S10690	0	0.363474152954709	0	0.0468776191720142	0.282797385650217	0.30685084222306
S10698	0	0.380215375082901	0	0.0493422968503405	0.270889221444708	0.29955310662205
S107	0	0.379410184007731	0	0.055856108417248	0.270299385709689	0.294434321865332
S10703	0	0.375958094887159	0	0.0557340386614045	0.269394482220023	0.298913384231413
S10726	0	0.373837757487896	0	0.056026625690307	0.272699026780242	0.297436590041555
S10729	0	0.35957077003265	0	0.0607643876712148	0.274771001914233	0.304893840381902
S10733	0	0.368233112107708	0	0.0582155662526525	0.265575935387052	0.307975386252588
S10734	0	0.359626150250815	0	0.069467315919451	0.271927788279289	0.298978745550444
S10735	0	0.368688267851921	0	0.0555030091411284	0.27311346739489	0.30269525561206
S10740	0	0.358622447447935	0	0.0579657627851787	0.264999265713676	0.31841252405321
S10745	0	0.359745006056545	0	0.0468514512580739	0.272011739794625	0.321391802890756
S10748	0	0.365525490845038	0	0.0542904581092046	0.276814038067782	0.303370012977975
S10753	0	0.366917200658081	0	0.0525910999266452	0.265510918243261	0.314980781172014
S10756	0	0.369701443648214	0	0.0531861983817585	0.270984826712487	0.30612753125754
S10757	0	0.380053269635169	0	0.0558520464237115	0.271428848367957	0.292665835573163
S1076	0	0.36817932568399	0	0.0575615950712003	0.267418596136519	0.306840483108291
S10764	0	0.360921086109003	0	0.0582363363773405	0.277702837338737	0.30313974017492
S10767	0	0.373262480115946	0	0.0593198929967368	0.274603260086105	0.292814366801212
S10776	0	0.372906385643137	0	0.0447720030431241	0.26976111018645	0.312560501127289
S10778	0	0.369072900465749	0	0.0530110634029688	0.269046314895895	0.308869721235387
