	Tool	BatchSize	cpuSeconds	maxvmem	wallclock
96	CIBERSORT	500	37037.464	3.113G	16552.443
97	CIBERSORT	500	39438.845	3.113G	18519.782
98	CIBERSORT	500	42145.699	3.214G	18561.695
99	CIBERSORT	1000	79691.818	4.357G	36743.305
100	CIBERSORT	1000	79655.94	4.357G	36751.612
101	CIBERSORT	1000	79930.146	4.357G	36801.53
102	CIBERSORT	1000	99799.701	4.310G	43502.452
103	CIBERSORT	1000	99424.502	4.311G	43262.204
105	CIBERSORT	2526	128642.92	9.258G	86400.311
106	CIBERSORT	2526	170287.55	9.019G	86400.178
107	DCQ	1000	78.188	1.325G	120.322
108	DCQ	100	5.037	735.754M	8.429
109	DCQ	1000	72.197	1.325G	74.184
110	DCQ	100	4.912	735.789M	10.906
111	DCQ	100	4.849	735.695M	6.435
112	DCQ	100	5.552	608.637M	12.209
113	DCQ	100	5.593	735.766M	12.209
114	DCQ	100	5.383	735.711M	12.209
115	DCQ	100	5.355	735.738M	12.209
116	DCQ	100	4.765	713.570M	10.339
117	DCQ	1000	184.94	1.325G	187.898
118	DCQ	100	4.711	541.570M	6.012
119	DCQ	10	2.358	1.161G	8.89
120	DCQ	10	2.352	688.051M	8.03
121	DCQ	10	2.283	648.102M	8.89
122	DCQ	1000	83.094	1.325G	85.49
123	DCQ	100	6.196	735.746M	15.929
124	DCQ	10	1.855	659.199M	6.2
125	DCQ	10	3.404	0	6.045
126	DCQ	10	1.813	608.680M	2.524
127	DCQ	10	2.142	574.066M	4.008
128	DCQ	10	2.061	569.121M	6.156
129	DCQ	10	2.053	566.930M	6.984
130	DCQ	10	2.01	549.945M	6.984
131	DCQ	1000	151.736	1.325G	154.387
132	DCQ	10	1.88	0	5.133
133	DCQ	10	2.412	0	5.701
134	DCQ	10	3.264	599.367M	6.097
135	DCQ	10	1.886	0	3.096
136	DCQ	10	2.184	0	4.093
137	DCQ	10	2.401	0	4.817
138	DCQ	10	2.195	574.043M	8.492
139	DCQ	10	2.467	574.035M	8.038
140	DCQ	10	2.658	573.938M	9.763
141	DCQ	10	3.134	0	6.129
142	DCQ	50	3.173	375.090M	9.352
143	DCQ	50	5.129	531.219M	8.079
144	DCQ	50	3.051	0	5.166
145	DCQ	50	3.704	590.582M	11.138
146	DCQ	500	50.392	999.203M	51.747
147	DCQ	50	5.012	569.605M	8.879
148	DCQ	50	3.009	702.000M	4.026
149	DCQ	50	3.381	713.062M	9.039
150	DCQ	500	57.075	999.203M	75.294
151	DCQ	500	50.664	999.043M	76.997
152	DCQ	500	52.91	999.090M	78.241
153	DCQ	50	2.976	0	4.866
154	DCQ	50	3.538	535.496M	7.141
155	DCQ	50	5.209	707.531M	8.04
156	DCQ	500	92.896	999.215M	95.501
157	DCQ	2526	169.901	2.672G	171.716
159	DCQ	2526	177.583	2.672G	293.988
160	DeconRNASeq	100	13.627	1.718G	9.014
161	DeconRNASeq	100	9.348	654.023M	12.356
162	DeconRNASeq	100	12.954	1.469G	12.032
163	DeconRNASeq	100	11.23	721.168M	10.076
164	DeconRNASeq	100	13.385	1.730G	8.247
165	DeconRNASeq	100	8.861	1.206G	11.159
166	DeconRNASeq	100	11.733	1.469G	11.569
167	DeconRNASeq	1000	150.446	2.451G	63.281
168	DeconRNASeq	100	13.031	1.469G	10.009
169	DeconRNASeq	10	3.202	561.414M	6.138
170	DeconRNASeq	100	11.984	1.738G	7.489
171	DeconRNASeq	100	8.505	654.086M	11.107
172	DeconRNASeq	10	2.98	1.374G	3.473
173	DeconRNASeq	10	3.52	1.133M	5.03
174	DeconRNASeq	1000	217.718	2.941G	108.678
175	DeconRNASeq	10	3.365	0	3.442
176	DeconRNASeq	10	5.239	2.187G	5.188
177	DeconRNASeq	10	3.282	545.629M	6.077
178	DeconRNASeq	10	3.946	0	7.104
179	DeconRNASeq	1000	221.462	2.857G	116.559
180	DeconRNASeq	1000	226.716	2.922G	116.559
181	DeconRNASeq	10	2.99	0	3.696
182	DeconRNASeq	10	3.533	474.520M	5.069
183	DeconRNASeq	1000	1061.387	4.312G	132.066
184	DeconRNASeq	10	3.746	529.227M	4.009
185	DeconRNASeq	10	5.035	207.527M	5.08
186	DeconRNASeq	10	3.276	561.414M	6.029
187	DeconRNASeq	10	4.102	531.969M	7.286
188	DeconRNASeq	10	3.742	1.672G	9.264
189	DeconRNASeq	10	4.346	1.642G	10.178
190	DeconRNASeq	10	4.298	1.510G	10.178
191	DeconRNASeq	10	3.242	636.805M	4.081
192	DeconRNASeq	10	3.084	552.375M	5.625
193	DeconRNASeq	10	3.208	492.352M	4.181
194	DeconRNASeq	10	9.896	485.555M	5.009
195	DeconRNASeq	50	5.78	672.227M	5.465
196	DeconRNASeq	50	7.755	526.262M	5.434
197	DeconRNASeq	50	25.726	2.998G	7.302
198	DeconRNASeq	50	7.98	1.417G	8.869
199	DeconRNASeq	500	77.775	1.911G	49.204
200	DeconRNASeq	50	6.372	593.938M	5.263
201	DeconRNASeq	50	6.834	1.417G	5.624
202	DeconRNASeq	50	6.86	551.379M	6.025
203	DeconRNASeq	50	26.003	552.367M	6.008
204	DeconRNASeq	50	7.149	605.270M	10.065
205	DeconRNASeq	500	100.669	2.255G	62.424
206	DeconRNASeq	500	99.011	2.255G	63.994
207	DeconRNASeq	500	100.739	2.255G	63.994
208	DeconRNASeq	500	99.543	2.255G	66.197
209	DeconRNASeq	50	12.916	2.247G	8.018
211	DeconRNASeq	2526	666.606	5.112G	192.982
212	DeconRNASeq	2526	1034.052	5.641G	249.315
213	EPIC	10	1.25	0	6.121
214	EPIC	10	1.331	453.359M	7.21
215	EPIC	10	1.477	456.953M	7.21
216	EPIC	10	1.483	453.371M	7.21
217	EPIC	10	1.597	453.375M	7.542
218	EPIC	100	8.669	556.723M	11.015
219	EPIC	100	6.341	567.844M	11.013
220	EPIC	100	10.158	559.199M	11.401
221	EPIC	100	10.465	542.863M	12.049
222	EPIC	100	12.328	536.129M	14.068
223	EPIC	100	12.411	536.117M	15.051
224	EPIC	100	11.711	536.113M	16.166
225	EPIC	100	9.448	546.840M	17.208
226	EPIC	100	10.336	542.883M	18.046
227	EPIC	100	12.627	536.109M	18.096
228	EPIC	10	1.374	511.648M	2.176
229	EPIC	10	1.358	0	3.07
230	EPIC	10	1.249	410.520M	2.245
231	EPIC	10	1.501	501.766M	2.437
232	EPIC	10	1.346	366.023M	3.069
233	EPIC	10	1.002	507.328M	3.191
234	EPIC	10	2.008	0	3.023
235	EPIC	10	2.06	0	3.33
236	EPIC	10	1.244	0	5.039
237	EPIC	10	1.605	0	6.958
238	EPIC	10	1.603	0	6.088
239	EPIC	10	1.606	0	6.088
240	EPIC	10	1.533	0	7.126
241	EPIC	10	2.484	403.738M	8.085
242	EPIC	10	2.171	0	4.031
243	EPIC	50	4.511	534.539M	6.031
244	EPIC	50	3.708	549.355M	8.312
245	EPIC	50	4.725	538.250M	8.433
246	EPIC	50	7.121	517.621M	9.305
247	EPIC	50	4.857	528.344M	11.298
248	EPIC	50	4.958	528.379M	12.122
249	EPIC	50	5.418	534.555M	12.283
250	EPIC	50	5.595	534.523M	12.122
251	EPIC	50	5.623	534.527M	14.104
252	EPIC	1000	87.391	841.648M	88.407
253	EPIC	1000	87.746	861.598M	89.149
254	EPIC	50	7.177	517.652M	13.653
255	EPIC	500	42.136	719.680M	67.249
256	EPIC	500	52.371	715.719M	54.105
257	EPIC	500	45.022	715.723M	73.187
258	EPIC	1000	120.154	861.605M	123.342
259	EPIC	500	60.644	708.977M	62.166
260	EPIC	1000	119.443	921.258M	126.464
261	EPIC	500	62.931	708.945M	67.274
262	EPIC	1000	132.3	861.598M	134.311
264	EPIC	2526	259.427	1.504G	261.771
265	EPIC	2526	294.353	1.661G	298.369
266	GEDIT	100	19.044	522.754M	35.521
267	GEDIT	100	19.046	512.949M	36.002
268	GEDIT	100	18.406	635.191M	19.435
269	GEDIT	100	16.953	512.945M	19.438
270	GEDIT	100	19.131	561.551M	37.28
271	GEDIT	100	19.64	685.898M	21.521
272	GEDIT	100	20.134	561.551M	22.033
273	GEDIT	100	18.655	592.836M	38.044
274	GEDIT	10	6.341	434.141M	9.755
275	GEDIT	10	5.179	446.098M	10.709
276	GEDIT	10	5.715	592.836M	12.561
277	GEDIT	100	28.656	615.539M	45.216
278	GEDIT	10	5.239	432.312M	6.388
279	GEDIT	10	5.039	434.656M	6.051
280	GEDIT	10	5.548	446.102M	7.033
281	GEDIT	10	5.712	600.457M	7.249
282	GEDIT	10	8.324	600.457M	10.084
283	GEDIT	10	8.649	446.109M	11.297
284	GEDIT	10	5.144	446.105M	12.027
285	GEDIT	10	5.714	508.336M	14.157
286	GEDIT	10	5.665	446.102M	14.157
287	GEDIT	10	5.778	446.098M	15.265
288	GEDIT	10	8.94	529.387M	16.747
289	GEDIT	100	29.694	561.547M	33.077
290	GEDIT	10	9.249	620.664M	18.173
291	GEDIT	10	6.234	434.137M	8.758
292	GEDIT	10	5.4	431.375M	8.721
293	GEDIT	10	8.7	507.367M	11.31
294	GEDIT	10	5.205	444.152M	11.025
295	GEDIT	10	5.719	600.453M	12.01
296	GEDIT	50	11.113	683.984M	23.692
297	GEDIT	50	12.537	539.539M	24.425
298	GEDIT	50	11.306	597.715M	13.017
299	GEDIT	50	12.888	496.922M	15.083
300	GEDIT	50	10.939	523.625M	17.033
301	GEDIT	50	17.248	529.520M	20.138
302	GEDIT	50	18.298	496.926M	20.083
303	GEDIT	50	12.411	514.160M	23.012
304	GEDIT	50	17.966	480.402M	24.193
305	GEDIT	50	18.479	600.453M	25.082
306	GEDIT	1000	145.985	1.727G	148.278
307	GEDIT	1000	108.202	1.767G	149.753
308	GEDIT	1000	164.377	1.727G	166.925
309	GEDIT	500	74.753	1.077G	76.126
310	GEDIT	500	80.512	1.126G	81.53
311	GEDIT	500	80.089	993.109M	119.982
312	GEDIT	500	121.401	1.127G	123.33
313	GEDIT	500	80.182	1.077G	123.368
314	GEDIT	1000	223.535	1.727G	226.739
315	GEDIT	1000	158.581	1.727G	232.468
317	GEDIT	2526	349.464	3.842G	350.872
318	GEDIT	2526	617.919	3.863G	619.295
319	MCP	100	3.353	548.961M	8.943
320	MCP	100	5.871	548.965M	8.04
321	MCP	100	5.354	475.453M	8.113
322	MCP	100	3.533	483.902M	8.65
323	MCP	100	3.733	483.902M	8.052
324	MCP	100	5.683	483.887M	10.707
325	MCP	1000	37.878	797.254M	39.135
326	MCP	1000	30.689	797.250M	54.159
327	MCP	100	5.626	485.164M	11.289
328	MCP	100	3.471	487.652M	4.453
329	MCP	100	2.348	483.891M	5.69
330	MCP	1000	32.749	797.258M	35.154
331	MCP	100	3.517	450.688M	9.666
332	MCP	1000	37.137	852.895M	39.416
333	MCP	10	0.93	0	2.083
334	MCP	10	1.097	0	2.124
335	MCP	10	1.394	442.855M	3.413
336	MCP	10	0.767	0	3.329
337	MCP	10	1.363	433.188M	3.905
338	MCP	10	0.699	0	3.075
339	MCP	10	1.346	453.836M	4.043
340	MCP	10	1.455	0	4.048
341	MCP	10	0.691	0	4.52
342	MCP	10	0.698	0	1.365
343	MCP	1000	39.606	797.320M	61.447
344	MCP	10	0.692	0	2.053
345	MCP	10	0.735	0	2.026
346	MCP	10	0.566	0	2.029
347	MCP	10	0.823	446.605M	2.192
348	MCP	10	0.935	502.289M	3.081
349	MCP	10	0.707	420.832M	3.173
350	MCP	10	0.738	446.621M	5.146
351	MCP	10	1.42	444.145M	3.524
352	MCP	10	1.372	446.594M	5.872
353	MCP	10	1.452	404.879M	7.72
354	MCP	50	1.867	0	3.189
355	MCP	50	1.979	0	3.566
356	MCP	50	1.283	0	3.126
357	MCP	50	2.103	543.801M	3.214
358	MCP	50	2.286	483.516M	4.069
359	MCP	50	1.893	480.180M	6.035
360	MCP	50	1.921	472.879M	6.547
361	MCP	50	2.262	477.652M	6.749
362	MCP	500	16.904	599.762M	27.43
363	MCP	500	16.553	599.637M	27.14
364	MCP	500	15.753	599.703M	27.569
365	MCP	500	17.461	599.703M	18.103
366	MCP	50	3.238	479.695M	5.444
367	MCP	500	16.323	638.457M	35.149
368	MCP	50	3.496	182.648M	10.728
369	MCP	2526	80.454	1.200G	82.861
371	MCP	2526	206.292	1.263G	208.376
372	SAVANT	100	0.714	0	5.031
373	SAVANT	1000	9.511	1.128G	11.485
374	SAVANT	1000	9.872	1.091G	11.102
375	SAVANT	1000	10.162	1001.004M	12.64
376	SAVANT	1000	6.161	1.144G	13.207
377	SAVANT	100	0.666	0	1.255
378	SAVANT	100	0.651	0	1.111
379	SAVANT	1000	10.589	1.160G	16.263
380	SAVANT	100	0.491	0	2.273
381	SAVANT	100	0.712	0	2.153
382	SAVANT	100	0.826	0	2.03
383	SAVANT	10	0.121	0	2.283
384	SAVANT	10	0.13	0	2.311
385	SAVANT	100	0.658	385.941M	3.093
386	SAVANT	100	0.767	0	4.026
387	SAVANT	100	0.706	0	4.427
388	SAVANT	10	0.123	0	4.536
389	SAVANT	100	0.691	0	4.132
390	SAVANT	10	0.13	0	1.167
391	SAVANT	10	0.181	0	1.069
392	SAVANT	10	0.272	0	1.179
393	SAVANT	10	0.259	0	1.038
394	SAVANT	10	0.295	0	2.035
395	SAVANT	10	0.229	0	2.096
396	SAVANT	10	0.287	0	3.031
397	SAVANT	10	0.134	0	3.16
398	SAVANT	10	0.135	0	4.442
399	SAVANT	10	0.134	0	4.442
400	SAVANT	10	0.086	0	0.486
401	SAVANT	10	0.117	0	1.216
402	SAVANT	10	0.123	0	1.165
403	SAVANT	10	0.139	0	1.248
404	SAVANT	10	0.131	0	2.282
405	SAVANT	10	0.118	0	3.091
406	SAVANT	500	2.97	802.121M	6.152
407	SAVANT	10	0.459	0	7.049
408	SAVANT	500	2.987	460.477M	8.813
409	SAVANT	500	2.934	567.320M	8.473
410	SAVANT	50	0.397	0	1.027
411	SAVANT	50	0.49	0	1.12
412	SAVANT	50	0.681	0	2.396
413	SAVANT	50	0.362	0	2.578
414	SAVANT	50	0.69	0	3.064
415	SAVANT	50	0.699	0	3.291
416	SAVANT	50	0.381	0	4.377
417	SAVANT	50	0.383	0	5.011
418	SAVANT	500	5.175	566.609M	7.098
419	SAVANT	500	5.271	440.531M	7.165
421	SAVANT	2526	15.29	2.622G	22.544
422	SAVANT	2526	15.059	2.489G	24.402
423	SAVANT	50	0.37	0	1.183
424	SAVANT	50	0.707	354.180M	3.095
425	dtangle	100	2.054	530.918M	5.156
426	dtangle	100	2.132	588.160M	6.751
427	dtangle	100	2.079	614.930M	7.315
428	dtangle	100	2.45	588.172M	7.697
429	dtangle	1000	14.596	903.152M	16.089
430	dtangle	1000	12.067	901.504M	17.016
431	dtangle	10	1.508	0	2.62
432	dtangle	100	1.988	626.023M	3.082
433	dtangle	1000	16.717	901.113M	18.064
434	dtangle	1000	17.188	894.730M	19.034
435	dtangle	10	1.184	0	4.069
436	dtangle	10	1.094	0	4.125
437	dtangle	100	3.632	626.016M	5.033
438	dtangle	100	3.578	588.180M	5.06
439	dtangle	100	3.817	626.016M	5.281
440	dtangle	1000	18.993	838.227M	20.036
441	dtangle	100	3.54	1.133M	6.892
442	dtangle	10	1.246	0	6.097
443	dtangle	10	1.32	0	7.068
444	dtangle	10	1.265	0	6.097
445	dtangle	10	1.263	0	6.978
446	dtangle	100	4.082	588.188M	8.113
447	dtangle	10	0.982	0	2.084
448	dtangle	10	1.058	0	3.276
449	dtangle	10	1.054	527.379M	3.259
450	dtangle	10	1.023	0	4.023
451	dtangle	10	2.074	523.039M	4.045
452	dtangle	10	1.2	585.809M	5.038
453	dtangle	10	2.392	525.266M	11.075
454	dtangle	10	1.108	0	2.028
455	dtangle	10	1.845	577.516M	3.107
456	dtangle	10	1.929	493.980M	3.083
457	dtangle	10	2.066	559.910M	3.101
458	dtangle	10	1.981	0	5.043
459	dtangle	50	1.529	598.441M	5.559
460	dtangle	50	1.667	0	5.018
461	dtangle	50	1.832	590.465M	7.552
462	dtangle	50	1.937	590.469M	8.163
463	dtangle	500	8.04	868.738M	9.129
464	dtangle	500	7.171	704.223M	10.032
465	dtangle	10	2.421	577.461M	12.151
466	dtangle	500	10.406	695.547M	12.092
467	dtangle	500	11.102	703.734M	19.45
468	dtangle	500	10.929	703.730M	19.811
469	dtangle	50	1.692	522.816M	3.578
470	dtangle	50	2.628	0	5.098
471	dtangle	50	2.467	0	4.45
472	dtangle	50	1.506	572.469M	5.978
473	dtangle	50	1.4	592.684M	6.044
474	dtangle	50	1.595	0	6.422
476	dtangle	2526	51.352	1.471G	53.227
477	dtangle	2526	58.664	2.021G	60.123
