	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_79	0.0	0.2032666466	0.171413203024	0	0	0	0	0
mix_80	0.0	0.323851779539	0.126517696317	0	0	0	0	0
mix_81	0.0	0.167067214236	0.201530542868	0	0	0	0	0
mix_82	0.0	0.109884922269	0.183419825567	0	0	0	0	0
mix_83	0.0	0.317380770218	0.201671411096	0	0	0	0	0
mix_84	0.0	0.230181304683	0.268909992805	0	0	0	0	0
mix_85	0.0	0.225525332791	0.208498284812	0	0	0	0	0
mix_86	0.0	0.266654065165	0.276547462922	0	0	0	0	0
mix_87	0.0	0.41668582079	0.141951643461	0	0	0	0	0
mix_88	0.0	0.333420562632	0.184765178215	0	0	0	0	0
mix_89	0.0323360413239	0.187786085858	0.139378633749	0	0	0	0	0
mix_90	0.0	0.378481181238	0.194670142876	0	0	0	0	0
mix_91	0.0	0.278102773382	0.240342478249	0	0	0	0	0
mix_92	0.0	0.339756727139	0.237521345492	0	0	0	0	0
mix_93	0.0	0.18829907751	0.231203565111	0	0	0	0	0
mix_94	0.0	0.298160681564	0.292129664337	0	0	0	0	0
mix_95	0.0	0.356882386178	0.233762680212	0	0	0	0	0
mix_96	0.0	0.302333137913	0.197963435742	0	0	0	0	0
mix_97	0.0	0.357870510993	0.161949850994	0	0	0	0	0
mix_98	0.0	0.358790692328	0.175676934328	0	0	0	0	0
mix_99	0.0340309582519	0.137202594754	0.131213727724	0	0	0	0	0
mix_100	0.0	0.302903114014	0.261748886191	0	0	0	0	0
