	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S11518	0	27.7693114828	0	0	0	0.0
S11525	0	0.0	0	0	0	0.0
S11531	0	0.0	0	0	0	-5.39170147748
S11532	0	0.0	0	0	0	0.0
S1154	0	0.0	0	0	0	0.0
S11542	0	0.0	0	0	0	0.0
S11543	0	0.0	0	0	0	0.0
S11546	0	0.0	0	0	0	0.0
S1155	0	0.0	0	0	0	0.0
S1156	0	0.0	0	0	0	0.0
S11568	0	0.0	0	0	0	0.0
S11576	0	0.0	0	0	0	0.0
S11584	0	0.0	0	0	0	-14.8915041191
S11586	0	0.0	0	0	0	0.0
S11590	0	0.0	0	0	0	0.0
S11592	0	0.0	0	0	0	0.0
S11593	0	0.0	0	0	0	0.0
S11599	0	0.0	0	0	0	0.0
S1160	0	0.0	0	0	0	-17.2686776894
S11610	0	0.0	0	0	0	0.0
S11615	0	0.0	0	0	0	0.0
S11629	0	0.0	0	0	0	110.925570233
S11631	0	0.0	0	0	0	0.0
S1164	0	0.0	0	0	0	0.0
S11642	0	0.0	0	0	0	0.0
S11656	0	0.0	0	0	0	0.0
S11663	0	0.0	0	0	0	0.0
S11667	0	0.0	0	0	0	0.0
S11668	0	0.0	0	0	0	0.0
S1167	0	0.0	0	0	0	0.0
S11673	0	0.0	0	0	0	-16.0984722652
S11682	0	0.0	0	0	0	0.0
S11693	0	0.0	0	0	0	0.0
S11696	0	0.0	0	0	0	0.0
S11699	0	0.0	0	0	0	-29.75427451
S117	0	0.0	0	0	0	0.0
S1170	0	0.0	0	0	0	0.0
S11709	0	0.0	0	0	0	0.0
S11713	0	0.0	0	0	0	0.0
S11717	0	0.0	0	0	0	0.0
S1173	0	0.0	0	0	0	0.0
S11731	0	0.0	0	0	0	0.0
S11732	0	0.0	0	0	0	0.0
S11733	0	0.411374260159	0	0	0	0.0
S11734	0	0.0	0	0	0	0.0
S11735	0	0.0	0	0	0	0.0
S11737	0	0.0	0	0	0	0.0
S11745	0	0.0	0	0	0	0.0
S11760	0	0.0	0	0	0	0.0
S11761	0	30.3141548791	0	0	0	0.0
S11769	0	0.0	0	0	0	-3.5345501631
S11783	0	0.0	0	0	0	0.0
S11784	0	0.0	0	0	0	0.0
S11786	0	0.0	0	0	0	0.0
S11797	0	0.0	0	0	0	0.0
S11799	0	0.0	0	0	0	0.0
S118	0	0.0	0	0	0	0.0
S11800	0	0.0	0	0	0	0.0
S11802	0	0.0	0	0	0	-1.61039545459
S11806	0	0.0	0	0	0	0.0
S11807	0	35.4242827017	0	0	0	0.0
S11810	0	0.0	0	0	0	0.0
S11811	0	0.0	0	0	0	20.1092542623
S11812	0	0.0	0	0	0	0.0
S11820	0	0.0	0	0	0	0.0
S11822	0	0.0	0	0	0	0.0
S11823	0	0.0	0	0	0	0.0
S11826	0	0.0	0	0	0	0.0
S1183	0	0.0	0	0	0	0.0
S1184	0	0.0	0	0	0	0.0
S11842	0	0.0	0	0	0	0.0
S11843	0	0.0	0	0	0	0.0
S11844	0	0.0	0	0	0	0.0
S11850	0	0.0	0	0	0	0.0
S11853	0	0.0	0	0	0	0.0
S11857	0	0.0	0	0	0	0.0
S11858	0	0.0	0	0	0	0.0
S11860	0	0.0	0	0	0	-31.7917748389
S11864	0	0.0	0	0	0	37.8972282239
S11870	0	0.0	0	0	0	0.0
S11875	0	0.0	0	0	0	6.21609667613
S11877	0	0.0	0	0	0	0.0
S11878	0	0.0	0	0	0	0.0
S11882	0	0.0	0	0	0	0.0
S11883	0	0.0	0	0	0	-1.66242746128
S11884	0	0.0	0	0	0	0.0
S11886	0	0.0	0	0	0	0.0
S11897	0	0.0	0	0	0	0.0
S1190	0	0.0	0	0	0	0.0
S11903	0	0.0	0	0	0	0.0
S11905	0	0.0	0	0	0	0.0
S11907	0	0.0	0	0	0	0.0
S11914	0	0.0	0	0	0	2.93957743788
S11917	0	0.0	0	0	0	0.0
S11928	0	0.0	0	0	0	0.0
S11929	0	0.0	0	0	0	-76.4247416858
S1193	0	0.0	0	0	0	15.9246143081
S11930	0	0.0	0	0	0	0.0
S11934	0	0.0	0	0	0	0.0
S11939	0	0.0	0	0	0	0.0
S11944	0	0.0	0	0	0	0.0
S11945	0	0.0	0	0	0	0.0
S11957	0	0.0	0	0	0	0.0
S11958	0	0.0	0	0	0	0.0
S1196	0	0.0	0	0	0	0.0
S11960	0	0.0	0	0	0	3.92167216463
S11965	0	0.0	0	0	0	-6.44073928844
S11967	0	0.0	0	0	0	0.0
S1197	0	0.0	0	0	0	0.0
S11973	0	0.0	0	0	0	25.6458758672
S11974	0	0.0	0	0	0	-3.25666769278
S11980	0	0.0	0	0	0	0.0
S11985	0	0.0	0	0	0	-19.5050144961
S11987	0	0.0	0	0	0	0.0
S11993	0	0.0	0	0	0	0.0
S12001	0	0.0	0	0	0	-22.8059201745
S12004	0	0.0	0	0	0	0.0
S12006	0	0.0	0	0	0	0.0
S12010	0	0.0	0	0	0	0.0
S12011	0	0.0	0	0	0	0.0
S12012	0	0.0	0	0	0	0.0
S12022	0	0.0	0	0	0	30.6292153801
S12043	0	0.0	0	0	0	0.0
S12052	0	0.0	0	0	0	0.0
S12056	0	0.0	0	0	0	0.0
S12057	0	0.0	0	0	0	0.0
S12058	0	-12.6090453894	0	0	0	0.0
S12061	0	0.0	0	0	0	0.0
S12064	0	0.0	0	0	0	-15.1496424004
S12073	0	0.0	0	0	0	-6.73602101004
S12076	0	0.0	0	0	0	0.0
S12079	0	0.0	0	0	0	0.0
S12089	0	0.0	0	0	0	-8.67817105618
S12098	0	0.0	0	0	0	0.0
S1210	0	0.0	0	0	0	0.0
S12101	0	0.0	0	0	0	0.0
S12105	0	0.0	0	0	0	0.0
S12106	0	0.0	0	0	0	0.0
S1212	0	0.0	0	0	0	0.0
S12120	0	0.0	0	0	0	-4.75627871389
S12129	0	0.0	0	0	0	0.0
S12137	0	0.0	0	0	0	0.0
S12140	0	0.0	0	0	0	0.0
S12159	0	0.0	0	0	0	47.4827045791
S12170	0	0.0	0	0	0	0.0
S12178	0	0.0	0	0	0	4.22283316133
S12179	0	0.0	0	0	0	0.0
S1218	0	0.0	0	0	0	0.0
S12182	0	0.0	0	0	0	0.0
S12196	0	0.0	0	0	0	9.48615126998
S12198	0	0.0	0	0	0	0.0
S1220	0	0.0	0	0	0	24.2860779747
S12200	0	0.0	0	0	0	0.0
S12202	0	0.0	0	0	0	0.0
