	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S11280	0	1.0	0	0	0	5.16537189802e-58
S11281	0	1.0	0	0	0	5.47670947005e-58
S11285	0	1.0	0	0	0	6.29376779152e-58
S11298	0	1.0	0	0	0	5.38715607506e-58
S11311	0	1.0	0	0	0	5.10898231917e-58
S11312	0	1.0	0	0	0	5.11713025882e-58
S11316	0	1.0	0	0	0	5.25022928902e-58
S1133	0	1.0	0	0	0	5.958811103e-58
S11330	0	1.0	0	0	0	5.54638084035e-58
S11332	0	1.0	0	0	0	4.67760636654e-58
S11334	0	1.0	0	0	0	5.25184144637e-58
S11335	0	1.0	0	0	0	5.41250585486e-58
S11345	0	1.0	0	0	0	6.08177833764e-58
S11349	0	1.0	0	0	0	5.03450680541e-58
S1135	0	1.0	0	0	0	5.76239516891e-58
S11352	0	1.0	0	0	0	6.00230062641e-58
S11353	0	1.0	0	0	0	5.26141257491e-58
S11368	0	1.0	0	0	0	5.85824008807e-58
S11369	0	1.0	0	0	0	5.54378597509e-58
S11371	0	1.0	0	0	0	5.84763649306e-58
S11377	0	1.0	0	0	0	5.97353138548e-58
S11378	0	1.0	0	0	0	6.03567256287e-58
S11383	0	1.0	0	0	0	4.91179213368e-58
S11384	0	1.0	0	0	0	5.59901089738e-58
S11392	0	1.0	0	0	0	5.45172300916e-58
S1140	0	1.0	0	0	0	6.22775765692e-58
S11410	0	1.0	0	0	0	5.28004216458e-58
S11411	0	1.0	0	0	0	4.98147578501e-58
S11414	0	1.0	0	0	0	5.92478900821e-58
S11419	0	1.0	0	0	0	5.40827164493e-58
S11424	0	1.0	0	0	0	5.29122469807e-58
S11425	0	1.0	0	0	0	4.9449201465e-58
S11433	0	1.0	0	0	0	5.14828516272e-58
S11434	0	1.0	0	0	0	4.96610892737e-58
S11436	0	1.0	0	0	0	5.39445892344e-58
S11437	0	1.0	0	0	0	5.20411539461e-58
S11440	0	1.0	0	0	0	6.05415585054e-58
S11449	0	1.0	0	0	0	4.75870202238e-58
S11459	0	1.0	0	0	0	5.65107417029e-58
S11477	0	1.0	0	0	0	5.40526879509e-58
S11480	0	1.0	0	0	0	5.70740253466e-58
S11486	0	1.0	0	0	0	5.45415563204e-58
S11501	0	1.0	0	0	0	6.67368869422e-58
S11504	0	1.0	0	0	0	5.8488979708e-58
S11507	0	1.0	0	0	0	5.48380494803e-58
S11518	0	1.0	0	0	0	4.6888157328e-58
S11525	0	1.0	0	0	0	5.50823608446e-58
S11531	0	1.0	0	0	0	5.43705519286e-58
S11532	0	1.0	0	0	0	5.43371450146e-58
