	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10273	0	0.00767290274505	0	0	0	0.992327097255
S10274	0	0.00742564276426	0	0	0	0.992574357236
S1028	0	0.008244696848	0	0	0	0.991755303152
S10280	0	0.00751698892039	0	0	0	0.99248301108
S10283	0	0.00875515645187	0	0	0	0.991244843548
S1029	0	0.00753255564877	0	0	0	0.992467444351
S10292	0	0.00775054016516	0	0	0	0.992249459835
S10294	0	0.0071012830146	0	0	0	0.992898716985
S10302	0	0.00797688469919	0	0	0	0.992023115301
S10303	0	0.00785503127966	0	0	0	0.99214496872
S10323	0	0.0073257570517	0	0	0	0.992674242948
S10326	0	0.00776416368065	0	0	0	0.992235836319
S10328	0	0.00801751078989	0	0	0	0.99198248921
S10329	0	0.00804131835125	0	0	0	0.991958681649
S10336	0	0.00769962797719	0	0	0	0.992300372023
S10340	0	0.00775121035425	0	0	0	0.992248789646
S10347	0	0.00664667391979	0	0	0	0.99335332608
S10353	0	0.00806271807912	0	0	0	0.991937281921
S10356	0	0.00737200042444	0	0	0	0.992627999576
S10358	0	0.00791046460266	0	0	0	0.992089535397
S10365	0	0.00789688702153	0	0	0	0.992103112978
S1037	0	0.00818197649579	0	0	0	0.991818023504
S10373	0	0.00783606702076	0	0	0	0.992163932979
S10374	0	0.00734808048629	0	0	0	0.992651919514
S10375	0	0.00794882730933	0	0	0	0.992051172691
S10377	0	0.00624198045589	0	0	0	0.993758019544
S10378	0	0.00859194485379	0	0	0	0.991408055146
S10390	0	0.00650208338921	0	0	0	0.993497916611
S10391	0	0.00745300543704	0	0	0	0.992546994563
S10393	0	0.00810074989226	0	0	0	0.991899250108
S10400	0	0.0070998693248	0	0	0	0.992900130675
S10401	0	0.00742143668244	0	0	0	0.992578563318
S10406	0	0.00728602727756	0	0	0	0.992713972722
S10408	0	0.00788886232586	0	0	0	0.992111137674
S10409	0	0.00784573744176	0	0	0	0.992154262558
S10418	0	0.00686235170885	0	0	0	0.993137648291
S10431	0	0.00703433393164	0	0	0	0.992965666068
S10438	0	0.00746029777896	0	0	0	0.992539702221
S10439	0	0.00791511412642	0	0	0	0.992084885874
S10441	0	0.0073258573823	0	0	0	0.992674142618
