	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10155	8.44800714286	16.869625	6.20532857143	0	0	29.9807605495
S1016	8.32955714286	16.520775	6.40555714286	0	0	29.4274413736
S10163	8.54751428571	16.9124875	6.1516	0	0	30.2777552198
S10167	8.42465714286	17.0223	6.12342857143	0	0	30.3386476099
S10168	8.19090714286	17.875925	6.08698571429	0	0	30.1334716209
S10173	8.24904285714	17.246	6.15724285714	0	0	29.3968101923
S10175	8.54298571429	16.2034125	6.18984285714	0	0	29.3386174176
S10179	8.29592857143	18.247	6.59457142857	0	0	31.5156795055
S10186	7.52402142857	18.2039875	6.3632	0	0	29.5557246154
S1019	8.19455714286	16.766675	6.33432857143	0	0	29.4700249176
S10190	8.47968571429	17.203725	6.57047142857	0	0	29.8764026648
S10195	8.82225714286	16.084475	6.29842857143	0	0	29.9046808791
S10196	8.73939285714	16.3451125	6.48575714286	0	0	30.2194856319
S10200	8.56347142857	16.4082625	6.44605714286	0	0	29.4567878571
S10201	9.06555714286	15.7960625	5.99555714286	0	0	28.7621453022
S10202	8.35052857143	16.6266375	6.40798571429	0	0	30.1664725824
S10205	8.72575	17.447025	6.539	0	0	29.9229951648
S10211	8.36772857143	17.0354625	5.87941428571	0	0	29.7278784615
S10221	8.52593571429	17.6369	6.25517142857	0	0	30.0387037912
S10222	8.43274285714	16.1231625	5.9539	0	0	28.5899776374
S10226	8.64687857143	17.3761375	6.44287142857	0	0	29.4459792308
S10227	8.65195714286	15.6407	6.22748571429	0	0	29.5083175549
S10228	8.36304285714	16.9013	6.11867142857	0	0	29.7562275
S10232	7.86285714286	17.35965	5.8971	0	0	30.3613615934
S10248	8.57478571429	16.8265	6.13622857143	0	0	29.3930882143
S10249	8.76267142857	15.94525	6.93721428571	0	0	28.4399853297
S1025	8.34639285714	17.5659625	6.42284285714	0	0	30.5064255495
S10266	8.58017142857	16.6825875	6.27815714286	0	0	29.7568992033
S10269	8.58572857143	17.0086	6.32944285714	0	0	29.676983956
S10272	8.73690714286	15.93345	6.00264285714	0	0	28.8398820055
S10273	8.70041428571	17.4234	6.23282857143	0	0	29.4858116758
S10274	8.70406428571	16.092925	6.28037142857	0	0	29.7131548352
S1028	8.60992142857	16.2816125	6.69398571429	0	0	29.2519183242
S10280	8.50945	18.26215	6.72164285714	0	0	29.6927301648
S10283	8.062	18.29115	6.67597142857	0	0	30.2825569231
