Tool	Reference	SampleName	CellType	Prediction	Answer	Error	SqError
Cibersort	BlueCodeV1.tsv	B	Monocytes	0.260950931475	0.194	0.066950931475	0.00448242722537
Cibersort	BlueCodeV1.tsv	B	NK Cells	0.0	0.194	0.194	0.037636
Cibersort	BlueCodeV1.tsv	B	Neutrophils	0.0	0.03	0.03	0.0009
Cibersort	BlueCodeV1.tsv	B	CD4 T Cells	0.174366551166	0.194	0.019633448834	0.000385472313117
Cibersort	BlueCodeV1.tsv	B	CD8 T Cell	0.0775943956957	0.194	0.116405604304	0.0135502647134
Cibersort	BlueCodeV1.tsv	C	B Cells	0.0593428807028	0.005	0.0543428807028	0.00295314868308
Cibersort	BlueCodeV1.tsv	C	Monocytes	0.0971571113667	0.01	0.0871571113667	0.00759636206179
Cibersort	BlueCodeV1.tsv	C	NK Cells	0.0	0.051	0.051	0.002601
Cibersort	BlueCodeV1.tsv	C	Neutrophils	0.0	0.004	0.004	1.6e-05
Cibersort	BlueCodeV1.tsv	C	CD4 T Cells	0.282225076268	0.828	0.545774923732	0.297870267375
Cibersort	BlueCodeV1.tsv	C	CD8 T Cell	0.0728495383721	0.102	0.0291504616279	0.00084974941312
Cibersort	BlueCodeV1.tsv	D	B Cells	0.0674425905319	0.005	0.0624425905319	0.00389907711233
Cibersort	BlueCodeV1.tsv	D	Monocytes	0.0970321276524	0.01	0.0870321276524	0.0075745912437
Cibersort	BlueCodeV1.tsv	D	NK Cells	0.0	0.051	0.051	0.002601
Cibersort	BlueCodeV1.tsv	D	Neutrophils	0.0	0.004	0.004	1.6e-05
Cibersort	BlueCodeV1.tsv	D	CD4 T Cells	0.288906502825	0.828	0.539093497175	0.290621798696
Cibersort	BlueCodeV1.tsv	D	CD8 T Cell	0.0684640352276	0.102	0.0335359647724	0.00112466093322
Cibersort	BlueCodeV1.tsv	E	B Cells	0.0138008657205	0.01	0.0038008657205	1.44465802253e-05
Cibersort	BlueCodeV1.tsv	E	Monocytes	0.161234935431	0.026	0.135234935431	0.018288487761
Cibersort	BlueCodeV1.tsv	E	NK Cells	0.0	0.104	0.104	0.010816
Cibersort	BlueCodeV1.tsv	E	Neutrophils	0.0	0.008	0.008	6.4e-05
Cibersort	BlueCodeV1.tsv	E	CD4 T Cells	0.226474604786	0.005	0.221474604786	0.0490510005651
