B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
S1046	0	0	0.2149	0	0	0.6052	0.1657	0	0	0.0141
S10478	0	0	0.3038	0	0	0.6315	0.0646	0	0	0
S10480	0	0	0.13	0.1258	0.093	0.2491	0.1921	0	0	0.21
S10484	0	0	0.2676	0.0755	0	0.4438	0.1391	0	0	0.074
S10492	0	0	0.1787	0.0219	0.0261	0.3344	0.1743	0.0296	0	0.235
S10496	0	0	0.161	0.1226	0	0.407	0.1589	0	0	0.1504
S10510	0	0	0.24	0.0614	0	0.3803	0.1425	0.0275	0.021	0.1272
S10513	0	0	0.2969	0.0959	0	0.3925	0.1593	0	0	0.0553
S10516	0	0	0.3012	0.0623	0.0192	0.3751	0.1411	0	0	0.1011
S10534	0	0	0.2662	0	0	0.4131	0.2197	0	0	0.1011
S10535	0	0	0.1995	0.0184	0.0224	0.3281	0.1393	0.1057	0.0057	0.181
S10537	0	0	0.3209	0.065	0	0.3895	0.1758	0	0	0.0489
S1054	0	0	0.185	0.0895	0	0.3136	0.1447	0	0.0049	0.2624
S10543	0	0	0.1246	0.1597	0	0.4352	0.1381	0	0	0.1424
S10546	0	0	0.223	0.0874	0.0606	0.4189	0.1652	0	0	0.045
S1055	0	0	0.2632	0.0179	0	0.5375	0.1122	0	0	0.0691
S10551	0	0	0.2336	0.0851	0	0.3615	0.2059	0	0	0.1139
S10552	0	0	0.2312	0.1036	0	0.5154	0.1078	0	0	0.042
S10555	0	0	0.1294	0.1755	0.006	0.3025	0.041	0	0	0.3457
S10559	0	0	0.3242	0.0396	0	0.4313	0.1643	0	0	0.0407
S1056	0	0	0.2036	0.0024	0	0.4169	0.2305	0	0	0.1466
S10563	0	0	0.1842	0.0395	0	0.4749	0.1204	0	0	0.181
S10574	0	0	0.2046	0.0682	0.0129	0.3629	0.1971	0.0068	0	0.1475
S10576	0	0	0.2037	0.0139	0	0.6163	0.1312	0	0	0.0349
S10578	0	0	0.2438	0.094	0	0.5029	0.0983	0	0	0.061
S10579	0	0	0.1289	0.0271	0	0.6183	0.1351	0	0	0.0907
S10582	0	0	0.167	0.0581	0	0.5538	0.1165	0	0	0.1046
