B.cells.naive	B.cells.memory	Monocytes	NK.cells.resting	NK.cells.activated	Neutrophils	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8
mix_15	0.0132840232243172	0.0488260042522524	0.0274242706589354	0.0277358250484797	0.173396103558801	0.00915556298555028	0.0559365808447658	0.289375736888262	0.163539106146927	0.19132678639171
mix_16	0.0210656066681719	0.113863381588819	0.045672354087657	0.0318646234009407	0.138753491842239	0.0125272349751087	0.0673181902141506	0.383580322358829	0.0759181800640144	0.10943661480007
mix_17	0.0300194533440702	0.0878026616649604	0.0385869042319186	0.0271803216333625	0.0762469344359529	0.0140473468518751	0.0805467999614684	0.390758428308032	0.164625628023459	0.090185521544901
mix_18	0.0241885998644469	0.0527552889675682	0.0891136435278715	0.0296862953731182	0.0573878255105948	0.0167729968494514	0.0873901197766053	0.352388963914732	0.252377316627763	0.0379389495878491
mix_19	0.0160778917027556	0.00553409893880419	0.0820176671921176	0.0352139429123355	0.142104623603286	0.0155799053162961	0.057398157245803	0.326537540188395	0.162296137409739	0.157240035490468
mix_20	0.013187857795809	0.0756698697155583	0.0160007931911525	0.0116359519183266	0.150723649459502	0.00592189823515923	0.0612708229960996	0.309672106580374	0.187871055527758	0.16804599458026
mix_21	0.0174894105839416	0.0345465329373965	0.0302267635898134	0.0333068033134714	0.0967555575329735	0.012937251557379	0.0901540194419366	0.398352794375445	0.21248889734455	0.0737419693230925
mix_22	0.0103858531177798	0.0290414891880523	0.0511948858938342	0.0288901416039408	0.177094062547513	0.00982163988964816	0.0595931638187264	0.282786817599355	0.165075898068564	0.186116048272586
mix_23	0.0144389434973157	0.0510468655164011	0.0369493497330951	0.0211083070707432	0.149779334698902	0.00943641769625699	0.0645219818175865	0.305005358109602	0.172547825142584	0.175165616717514
mix_24	0.0128533020890508	0.0500253912305989	0.0146065936069986	0.0252277716627814	0.155223626132474	0.00862467561292527	0.0620223683156177	0.325339481187431	0.18183527222079	0.164241517941332
mix_25	0.0126516500308612	0.062558263383958	0.0168856349011178	0.0191355976264568	0.158093683383274	0.00759503239151739	0.0671432158809861	0.290446651921306	0.187752435776668	0.177737834703855
mix_26	0.0175949427975215	0.0185435677276096	0.0875983478887801	0.0409283944753376	0.0592347153931228	0.0203878715685915	0.0790694886878904	0.410422362863011	0.205266393332833	0.0609539152653025
mix_27	0.0115927966112058	0.0461460642299353	0.0413473633555116	0.0259124269864165	0.161901602662809	0.0102124940582398	0.0537035906955938	0.273756872152168	0.159279868644476	0.216146920603644
mix_28	0.0129814354905331	0.0621812502494389	0.0174767015777599	0.0194298136919772	0.154444738643989	0.00794933289750364	0.0604723787904705	0.289646753509593	0.178125334593979	0.197292260554756
mix_29	0.0122066739490452	0.0365572367096836	0.0451694394017487	0.0305578885367028	0.164759271032447	0.00939017743202659	0.0473378167342664	0.302828196158436	0.134526904213875	0.216666395831769
mix_30	0.0100162740639316	0.0451546708955397	0.0222963973834124	0.0236704376728987	0.160198946967804	0.00839029418942508	0.0640727994246607	0.302771761318284	0.185717022367119	0.177711395716924
mix_31	0.015013483469559	0.0265036009019258	0.052500221593491	0.0264006368397746	0.149767338862733	0.0118096877809886	0.0655200440708442	0.299974855614556	0.190897074480578	0.161613056385549
mix_32	0.0176277047373623	0.0452157259395427	0.0466161366743324	0.0278132117424663	0.141649689616874	0.0108411492150136	0.0615647612045477	0.290216560573931	0.207914842767403	0.150540217528527
mix_33	0.0121977896286084	0.0166157055249378	0.0707596736697253	0.0263833527822571	0.121751413701788	0.0159116257345347	0.0764354678958626	0.322729021201878	0.229727007816944	0.107488942043464
mix_34	0.0287210218228413	0.0465877822900775	0.121820719669522	0.0360180226878191	0.0575934132984597	0.0194636762378862	0.0729312063755434	0.460575770407587	0.109956319300205	0.0463320679100588
mix_35	0.0110745065146063	0.0195530769178645	0.0367045540855131	0.0253661557874152	0.15905777692886	0.00987894024649384	0.0586976269962117	0.31924365545907	0.1782340518306	0.182189655233366
mix_36	0.0146570439916806	0.0379763192536688	0.048519105080772	0.0286210419545091	0.146142767316207	0.0114347857179243	0.0511175674238934	0.320928513453604	0.177579569135916	0.163023286671826
mix_37	0.018013526492522	0.051851822909775	0.0475316764435208	0.0290056525743877	0.137814378631457	0.0125665685126866	0.0658805472302065	0.360113002471393	0.119883105715395	0.157339719018657
mix_38	0.0158513326458765	0.0478329440535313	0.0521041328947283	0.0312810330955482	0.15806572510916	0.0120369233423159	0.0528216682647454	0.319104468381083	0.137099700268968	0.173802071944043
mix_39	0.0133391947316946	0.0588104064178783	0.0196412893136212	0.0215266823730993	0.159459095165414	0.006935358262529	0.0606850528384647	0.302729070120942	0.161409826461464	0.195464024314893
mix_40	0.019368510439682	0.0190917926437899	0.0564753888800119	0.030285902315562	0.156966526367161	0.0124123248374334	0.0612833246778644	0.313600162631943	0.197569906030143	0.13294616117641
mix_41	0.0251311383099521	0.0304929711262464	0.0893399604109526	0.0366122722183459	0.0938280243706654	0.0168037990035741	0.0792438616541671	0.364400092039494	0.191276260760481	0.072871620106122
mix_42	0.0205123649487588	0.0825421641972512	0.0281525842292674	0.0124876360082254	0.0902995612820165	0.00922330446837268	0.0844024740475057	0.321657146458581	0.254569875346707	0.0961528890133146
mix_43	0.0272835689376281	0.0814080835231642	0.0921064019498811	0.0362004841672322	0.0682173654114358	0.0192962159570626	0.0825196998064979	0.316076274241539	0.222109723412821	0.0547821825927377
mix_44	0.0156231652157901	0.0753115586544321	0.0462562912043851	0.0251622259469353	0.143941556330187	0.00959481361999329	0.0554317079391291	0.290724792715646	0.175675887908237	0.162278000465266
mix_45	0.0127594208356023	0.0496611823798709	0.0265335875410102	0.0292023469159725	0.160114382379505	0.00888914080540007	0.0447527644545141	0.346104584334837	0.15537450455958	0.166608085793708
mix_46	0.0134395142162607	0.00705097638108841	0.092513130555659	0.0307915297313713	0.141351970002621	0.0164088565770612	0.0715783685530093	0.37571610310587	0.126834890473579	0.124314660403481
mix_47	0.0328473685880489	0.150059737922809	0.0250493662775253	0.048801691381563	0.143716080943708	0.0163823702750043	0.040408003869831	0.411871458246841	0.0905402686855912	0.0403236538090781
mix_48	0.0211261169160111	0.0713631943857124	0.0635351746425478	0.0259251673789909	0.0907552841718066	0.0124867166663576	0.0771531605015223	0.328031580004921	0.221329259315126	0.0882943460170042
mix_49	0.0185293287832159	0.0315444706832006	0.0773031041260541	0.0292399572382183	0.156395315415595	0.0130745540833954	0.056234330784598	0.310419331061055	0.156761168079107	0.150498439745561
mix_50	0.0163299325667359	0.0392587119102041	0.0301256139563489	0.025573099240435	0.164444658057194	0.00828465765893906	0.060310950348065	0.272854374584267	0.176001297417895	0.206816704259915
mix_51	0.0272704750187206	0.0634161580475609	0.0862937514552452	0.0400909989830757	0.0441085855680105	0.0182291231591873	0.0823618800723578	0.394371829643908	0.197367647225241	0.0464895508266924
mix_52	0.0212609664058852	0.0444649155134056	0.0775030915754186	0.028079938972171	0.105793433192098	0.0166237585445754	0.0647943669255654	0.395127480590009	0.150502837594538	0.0958492106863339
mix_53	0.0201041031912109	0.11675562753529	0.0798534874044396	0.0197745156810827	0.0990491135025008	0.0149290311778869	0.0616975031349744	0.311493449293275	0.188361812556001	0.087981356523338
mix_54	0.0139709832106029	0.0573336579082104	0.0396609338770878	0.0265492648960757	0.138263932918181	0.0107458220280836	0.0644664168131888	0.303232588703787	0.1919610388867	0.153815360758084
mix_55	0.0205805561531421	0.0181744190744223	0.0574399860965662	0.0270613489741399	0.109567708155243	0.0163032562487363	0.0984072307501784	0.367834738175597	0.215789044163002	0.0688417122089722
mix_56	0.0130268266105697	0.0109030798376724	0.0491146988472815	0.0234118896255448	0.136414980357987	0.012443420342481	0.0700519538780937	0.290038294197486	0.23091643793168	0.163678418371204
mix_57	0.0118795874484711	0.0511096560564426	0.0250908483473952	0.0185865658375969	0.165965565642174	0.00761319032313803	0.0582530218274576	0.296408285581086	0.170451532553698	0.194641746382541
mix_58	0.0127845530407956	0.0291216452696103	0.0266631608299198	0.0248399334554237	0.165053990994358	0.0103851361813519	0.0599282195014158	0.314508281331641	0.165718768031157	0.190996311364326
mix_59	0.0282165147034936	0.0873823089964008	0.095555196923768	0.02783238116651	0.100454555582021	0.0174878353442703	0.0571661942783867	0.317454163041983	0.17783993133432	0.0906109186288462
