Gene,naive_B_cell,memory_B_cell,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell
mix_64,3281.5428125,20.8,264.075833333,763.015,42.1325,323.44,704.188,27.056875
mix_65,3274.7721875,22.95,254.94,978.731,34.665,215.226363636,669.901,29.84125
mix_66,3180.64875,25.668,89.6875,415.907,44.561875,347.399090909,675.1605,27.181875
mix_67,3642.3828125,29.298,344.765833333,1352.697,20.56125,103.880909091,648.459,35.08375
mix_68,3105.4265625,19.755,291.858333333,1677.906,31.03875,163.448636364,683.5465,35.89375
mix_69,3253.0359375,20.647,229.873333333,750.975,42.653125,325.631818182,701.154,27.5575
mix_70,3457.8171875,39.514,61.8108333333,299.014,32.92625,245.082272727,617.718,28.80875
mix_71,3330.24375,27.48,87.65,361.047,50.79875,373.438181818,687.447,26.531875
mix_72,4056.5671875,33.543,332.688333333,1000.223,21.190625,144.274545455,657.8745,35.7875
mix_73,3479.454375,29.179,153.515,757.747,28.781875,217.057727273,633.6595,30.841875
mix_74,3451.00375,19.891,294.416666667,844.483,34.90625,247.667727273,689.012,31.365625
mix_75,3177.7796875,24.219,129.168333333,369.167,50.266875,362.531363636,704.5885,26.56625
mix_76,3180.8184375,15.566,325.538333333,1417.14,31.4625,205.260909091,686.024,33.528125
mix_77,3268.6784375,18.058,496.781666667,1978.722,20.68125,113.796818182,701.044,39.42875
mix_78,3162.1853125,21.732,143.501666667,737.448,42.88125,320.698181818,688.549,27.018125
mix_79,2925.934375,15.713,210.670833333,825.821,48.34125,362.834545455,723.299,27.548125
mix_80,3574.0875,22.794,285.2825,1267.8,32.41875,225.361363636,657.3065,31.995625
mix_81,3280.5590625,17.374,429.529166667,1468.663,30.76,218.329090909,698.2815,33.378125
mix_82,3267.6971875,22.758,186.0275,890.876,39.0475,301.182727273,677.624,27.975625
mix_83,3163.011875,23.392,139.930833333,512.311,48.20125,365.992727273,694.906,23.12625
mix_84,3426.565,19.963,330.615833333,1261.783,32.661875,235.765454545,681.466,30.02125
mix_85,3301.265,15.306,352.5325,1376.664,32.26375,242.606818182,689.139,31.69625
mix_86,3178.716875,15.227,467.728333333,1655.751,27.07375,163.229545455,713.481,36.258125
mix_87,3117.165625,13.957,347.276666667,1180.848,38.470625,288.097727273,713.4435,31.218125
mix_88,3338.331875,19.507,332.506666667,1294.076,27.579375,195.673181818,681.754,33.320625
mix_89,3338.635,16.468,424.330833333,1771.405,22.805625,133.661818182,675.534,35.69375
mix_90,3066.8403125,14.444,278.745833333,1138.824,41.57,303.595909091,721.9125,28.82
mix_91,3079.57625,21.574,143.718333333,515.686,48.08125,347.417272727,689.0195,24.02
mix_92,3217.6159375,17.078,302.270833333,994.757,39.975625,299.735909091,711.88,27.72625
mix_93,2794.385625,17.006,103.954166667,326.2,67.058125,478.018181818,745.173,23.803125
mix_94,2802.4025,17.86,108.9275,637.067,53.4175,400.816363636,726.9645,23.764375
mix_95,3212.17125,29.823,90.1766666667,386.464,42.55625,330.247727273,674.876,27.028125
mix_96,3132.8978125,26.065,103.391666667,468.602,43.441875,310.8,662.1395,27.96875
mix_97,3106.77,17.89,211.479166667,893.982,43.1875,324.880454545,700.7885,28.733125
mix_98,3248.616875,19.889,260.876666667,804.775,41.918125,308.299545455,693.715,28.7825
mix_99,3291.38,14.542,616.753333333,2148.924,18.06375,101.52,743.601,40.97375
mix_100,3258.5159375,17.517,304.718333333,1050.443,37.0225,279.736818182,705.588,29.06875
