ID,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
S10551,6.23369354839,6.28503076923,7.3259,6.88171,6.9825,8.21454285714,6.45365,7.27025384615,4.95230769231,6.52361666667
S10552,6.15808387097,6.17767692308,7.30086153846,6.915115,7.05004,8.4278,6.18511818182,6.9042,4.89005384615,6.24295
S10555,6.47551290323,6.34127692308,7.33736153846,7.432475,7.741685,8.47239761905,6.58132727273,7.51953076923,5.11442307692,7.379
S10559,6.11562258065,6.09883076923,7.42406923077,6.92972,6.876655,8.3840952381,6.32817272727,7.22813846154,4.83590769231,6.3292
S1056,6.80245806452,6.45648461538,7.38623076923,6.984555,6.84298,8.35293571429,6.50298181818,7.47653846154,5.01729230769,6.83578333333
S10563,6.4777,6.22839230769,7.45092307692,7.07043,7.288635,8.75083333333,6.50521818182,7.43150769231,5.05190769231,6.7967
S10574,6.43130645161,6.29883076923,7.30646153846,6.994615,7.27912,8.31226428571,6.54804090909,7.61342307692,4.95996923077,6.58056666667
S10576,6.35872580645,6.1781,7.43436153846,6.75382,6.803225,8.61380238095,6.21368181818,6.88555384615,4.91675384615,6.31661666667
S10578,6.08647741935,6.19298461538,7.44938461538,7.02379,6.86431,8.4720047619,6.18359545455,6.91684615385,4.89208461538,6.31003333333
S10579,6.33459032258,6.18194615385,7.25258461538,6.943395,6.98013,8.60049047619,6.31142272727,7.2784,4.85096923077,6.4487
S10582,6.48354193548,6.30309230769,7.40746153846,6.95114,7.17642,8.63915238095,6.41285,7.36008461538,4.8098,6.41985
S1059,6.53292258065,6.32686153846,7.47599230769,7.33033,7.40775,8.49820952381,6.44595,7.33143076923,4.89440769231,6.75718333333
S10599,6.60603870968,6.35403076923,7.64568461538,6.96561,6.73201,8.76763333333,6.39850454545,7.13369230769,4.86611538462,6.26463333333
S10611,6.19376774194,6.30883076923,7.32184615385,6.690775,6.765105,8.4963452381,6.43551363636,7.32352307692,4.88743846154,6.32485
S10614,6.30034193548,6.18524615385,7.66526153846,7.008975,7.00357,8.81744047619,6.39803636364,7.04021538462,4.84332307692,6.4084
S10624,6.61558709677,6.60352307692,7.04193846154,6.59273,6.766875,8.07773333333,6.32786363636,7.16083846154,4.89028461538,6.46633333333
S10632,6.34347741935,6.04865384615,7.16006153846,6.659765,6.869445,8.17459047619,6.16563636364,7.04910769231,4.9373,6.22911666667
S10634,6.56608709677,6.29718461538,7.19467692308,6.747225,6.731135,8.34571428571,6.41245909091,7.3838,4.92810769231,6.40868333333
S10638,6.45811612903,6.42287692308,7.524,6.756215,6.97288,8.59657619048,6.53322272727,7.33316153846,5.01846153846,6.87468333333
S10644,6.37588709677,6.39724615385,7.32734615385,6.96869,7.330385,8.3361452381,6.58740909091,7.52271538462,5.10409230769,6.63641666667
S10649,6.35504516129,6.2464,7.45259230769,6.85439,6.86827,8.88029047619,6.33095,7.20956923077,4.84464615385,6.36561666667
S10652,6.3892483871,6.15346923077,7.31250769231,7.214535,6.925675,8.50542619048,6.11949090909,6.86343846154,4.88839230769,6.28791666667
S10654,6.38349354839,6.43778461538,7.39288461538,7.192585,7.32538,8.40301666667,6.37530454545,7.36476923077,4.91374615385,6.4474
S10655,6.28033225806,6.3365,7.34016923077,6.954135,6.863545,8.37578333333,6.43063181818,7.30868461538,4.88354615385,6.56426666667
S10656,6.44419032258,6.36154615385,7.28098461538,7.19126,7.7932,8.6733952381,6.58396818182,7.65870769231,5.01096923077,6.90311666667
S10657,6.42759354839,6.44741538462,7.16815384615,6.766575,7.048795,8.26276666667,6.35437727273,7.04668461538,5.11055384615,6.40326666667
S10658,6.78662258065,6.36046923077,7.46043076923,7.005955,7.2188,8.64167857143,6.49976363636,7.47750769231,4.97376923077,6.72493333333
S10660,6.14032258065,6.3541,7.13093076923,6.932135,7.126915,7.60875238095,6.42637727273,7.28465384615,5.06326923077,6.77625
