Gene,B cells naive,B cells memory,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated
Mix_25,926.676308946,353.920589095,177.273616605,475.859787902,67.3975730975,484.115900945,24.5705438151,104.587538285,125.595477457,27.8989953912,20.665922515
Mix_26,713.486444235,269.09260478,216.505490352,593.777080089,80.243293635,579.770413281,40.3163070954,107.377244105,191.093172996,33.6113418593,20.5907319487
Mix_27,832.132799396,351.34621973,178.114370429,471.155776482,50.094666685,698.005219292,96.5902178043,136.79550475,421.218852776,66.0605107439,34.5682495308
Mix_28,620.477260071,261.730485613,148.49068605,429.827493194,69.3774243025,358.38614212,101.410410271,126.255913161,416.146607148,72.7313053113,40.757639694
Mix_29,819.923159007,305.780051329,212.507168925,568.197050499,72.9566485,571.214677288,40.0492702739,110.074578416,188.638476756,33.9667019142,20.890319021
Mix_30,604.549201667,203.085128543,169.544577476,455.310370792,69.795366385,596.65344447,18.4182216819,82.9873649706,109.838220804,33.4436130506,20.3569818598
Mix_31,750.90272957,294.316552219,181.499257805,497.513313122,72.6677531925,442.325454211,60.9673074953,113.571762587,270.255991829,46.2983511185,25.7618121692
Mix_32,539.459287976,195.648609844,245.630224193,674.922374886,90.1178886325,451.061264502,78.9963840424,125.299354361,325.629358361,52.3721761055,29.8820224132
Mix_33,410.593335603,145.843098855,218.450941088,597.945822548,81.19480831,554.831190053,80.1403302704,113.255525102,336.362268791,56.5595653298,32.3549008907
Mix_34,712.510951074,322.184881352,111.082664072,315.012095197,58.5893319625,338.440880958,128.886854117,131.697156341,526.444295351,98.3826643563,48.3164433208
Mix_35,611.094685429,225.035171442,169.028015359,475.842372787,78.906102455,323.652821127,41.2889725761,97.2474535783,176.201046048,39.363180949,23.8455799355
Mix_36,711.589732661,274.219022852,170.25640995,464.796935641,71.5624530175,457.688558252,53.6051666604,105.625639528,234.313182242,44.570962579,24.5801469055
Mix_37,427.625941673,151.639432188,154.62970509,421.756028168,71.2138454875,525.91956334,65.595695626,94.5327983911,266.867958282,61.6478065362,31.4616391988
Mix_38,339.629486842,122.372364691,178.094826775,493.28930631,77.8393023125,398.42745446,95.0537633927,111.226896026,387.239014279,69.6998560362,38.1711963315
Mix_39,901.338565818,404.071183594,139.074831976,386.680987072,50.6652722525,288.264847056,132.196915951,154.828036936,536.965278531,82.8336990722,46.108078454
Mix_40,672.677526684,245.749094749,139.221348249,379.220193565,64.33680665,489.018085907,41.390637508,93.4700958987,190.216094997,45.845445551,25.9681441755
Mix_41,570.41128706,213.518819622,124.025913636,367.031794875,83.6346279,303.962411073,62.1065571203,104.02800441,243.699624713,61.2806720549,30.3191584997
Mix_42,765.047955948,279.611666686,234.467502545,621.166335528,67.434095205,629.008687086,41.5971226816,107.708087282,210.441257502,39.7832946589,22.3839813903
Mix_43,780.216519099,327.896737497,115.259652786,328.943917912,55.4617751825,390.47330608,87.0101615843,118.639971257,355.834475545,63.6129754762,37.534736736
Mix_44,398.662531894,157.135807944,143.844335846,411.230119379,72.4825064875,281.735827432,90.3771901509,107.886788378,369.906887226,64.710068145,38.6814373937
Mix_45,491.804770877,184.16689524,188.128900491,508.600734199,66.2545855725,712.023529087,75.7195263711,112.653812977,345.949991878,68.8137755673,35.0703814907
Mix_46,783.623584484,313.693339395,209.014024078,555.362345006,56.8600851075,714.349161892,70.7167445057,124.375652334,318.191936573,64.1576361338,31.4200113833
Mix_47,611.066788208,270.197155628,129.419413685,358.291408964,61.597088035,384.872585522,113.084015725,132.653118356,442.773176181,80.436622935,44.7780249927
