Gene,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8
mix_23,425.382543639,264.217709773,179.844448393,605.367985792,1104.7054712,256.642337504,519.328183627,1394.31439697,623.995301351,1713.94545485
mix_24,319.466735094,194.425459602,98.9784183501,477.797111947,838.735440613,186.309540429,432.27199202,1180.85293411,504.215592092,1323.93049552
mix_25,422.792774262,255.893837075,140.360114649,626.535778366,1127.15713234,221.040379064,571.891292421,1517.94085118,697.866390273,1798.96136292
mix_26,284.69472906,166.333572805,161.982609623,276.567117167,359.043919752,248.027097285,365.957857653,990.699225171,411.235593005,761.839921535
mix_27,410.999511887,269.819714412,179.383922162,670.037316218,1265.58000444,249.694190159,488.537656164,1372.81417855,594.537846807,1892.44513051
mix_28,362.290047074,229.475663652,120.240380673,539.70426834,983.474033854,198.190021871,478.84126016,1299.25282856,595.24010885,1578.96271936
mix_29,400.032212668,235.277157983,182.717684431,643.863491123,1235.62711835,252.876523391,438.715229836,1225.62715546,560.919584951,1785.25622421
mix_30,397.516977041,245.154369976,154.042430597,594.924244443,1065.03234328,226.477346434,541.727600066,1457.44383812,667.507798164,1702.21544478
mix_31,375.657654712,211.958126447,184.892987406,502.970921535,887.507166253,258.807634137,479.251186355,1287.06943626,570.219648115,1429.34913348
mix_32,499.924291756,342.024746799,277.292114332,610.794994947,1033.74054679,346.794170614,619.747409085,1555.77928898,744.333347196,1796.8623094
mix_33,340.814368762,218.342297816,210.195170175,394.884699043,626.416662786,274.706867825,467.370464974,1257.01824003,558.244476819,1169.64728408
mix_34,340.042165446,197.86103275,207.875914156,257.831854528,342.102496238,284.424585503,339.50861202,861.974353697,326.471729783,663.564430663
mix_35,373.513145879,194.713045456,158.406457453,570.004699525,1050.56811363,233.788303107,490.015024856,1325.53455216,597.851712058,1600.08092966
mix_36,376.191286069,220.895138257,185.033040362,523.643610943,912.027223951,260.100920533,445.249472966,1207.79992368,531.500928359,1429.71529153
mix_37,273.645445643,164.033165902,112.74587306,362.26322885,589.745862517,194.232537577,335.792181908,909.937548576,367.935318543,948.952082202
mix_38,297.560888089,200.647325058,144.362196626,454.11394963,821.818264774,219.357442876,343.060558114,963.859589515,407.879466022,1197.70545324
mix_39,384.850599461,218.37546805,122.463676138,573.425266601,1040.40613772,200.315491695,479.550941672,1289.04510821,569.643630069,1619.5700927
mix_40,383.908448275,227.357375221,207.438899016,487.904766595,845.825466432,273.942271975,463.36874566,1252.67758944,570.950837595,1386.81688146
mix_41,314.461395376,191.038773406,189.920832104,315.50146017,469.321638683,268.991867418,359.708804044,972.302654587,407.750449037,837.900003085
mix_42,507.73316942,299.899084517,198.402934562,500.334688839,765.696156054,277.503637221,623.154947517,1528.93474695,723.570294139,1443.05231469
mix_43,349.298180629,231.376609487,193.24150203,299.360940271,406.544034342,272.167414055,393.523651293,1021.57554449,432.203420412,822.97611913
mix_44,431.901602445,283.885749955,183.403632103,571.667548886,1012.59109712,247.930035735,482.399357015,1283.50667552,568.949805885,1617.46478133
mix_45,382.076505258,209.537520204,134.939968376,533.626922515,1016.0904061,212.686274811,414.932643442,1141.84293397,505.264700381,1446.05583934
mix_46,330.899852505,219.556627321,236.426494279,406.82349001,661.535919689,301.848770107,411.264851553,1106.16796899,472.89511857,1104.212631
mix_47,210.298489511,145.019786084,66.5957099245,161.66688531,185.53436661,156.449913464,180.97579535,465.221480702,131.945888669,290.196298603
mix_48,451.886302729,286.561848274,223.9473306,417.010715843,617.428145476,296.124462534,519.942593533,1322.08353286,608.745054623,1223.23395555
mix_49,464.388286098,319.327066258,348.760479676,607.310930748,1110.87265444,397.63577542,480.368994045,1257.98397568,617.814369361,1676.44033663
mix_50,389.599220248,210.743650875,141.131646994,589.134132138,1104.92062912,216.887824271,492.365904777,1310.918828,603.911086333,1686.51007644
mix_51,290.264852352,187.159362097,153.417889909,253.44158626,311.285850088,235.274669922,334.925053976,861.073920552,347.469554514,644.422664994
mix_52,330.412978878,209.061296174,176.939415337,330.190635766,485.068794708,258.719633283,367.248614709,983.170917151,394.86010903,881.01891827
mix_53,407.131181248,287.395775617,207.545859434,343.595448517,504.297306721,273.814018263,391.317604308,1013.78083283,405.174064825,950.902183742
mix_54,357.403739091,231.196936807,160.561625883,468.335115142,789.155704781,230.94426759,468.463278074,1281.08857926,566.596012378,1366.06382882
mix_55,322.989291466,173.773304873,145.810031684,313.082949029,422.915040079,232.378819861,434.275074925,1171.74882217,500.470060012,908.25772129
mix_56,379.110284384,233.547549211,206.552000233,558.919332054,974.297250889,272.299607148,544.935280748,1467.51447633,691.802262371,1637.00006949
mix_57,423.205018346,265.927642377,163.36574935,657.691764618,1244.55861544,238.209184756,547.924993652,1452.3206393,681.570943535,1876.2843735
mix_58,314.629622659,179.276979755,120.85105928,510.623572298,938.548509264,200.992125114,428.568298979,1206.88201135,530.684081178,1454.57016093
mix_59,355.666521419,249.418997393,200.316769696,309.185046004,484.399249546,276.636291918,330.503358496,852.438897614,346.91279991,821.75355208
mix_60,347.145940429,220.718403976,174.660006826,398.751695244,622.149771932,249.020529674,445.974837043,1234.56774624,544.479600569,1157.18511093
mix_61,353.326387327,228.437781466,157.905423835,497.712716691,887.291975973,237.018426827,441.391634627,1171.94352711,512.372472164,1390.42411277
mix_62,276.638249118,189.054402278,165.388195958,385.855733484,642.01858249,243.637791137,335.601265811,947.641844794,389.413632055,1025.31496378
mix_63,325.288340454,188.985080196,136.611693901,523.606793597,933.402994551,210.104693791,465.8049747,1282.00136806,571.379387794,1494.95659439
mix_64,269.7414999,185.58120413,86.4870023544,185.217985814,234.52878626,174.210726596,205.178417881,506.681174234,137.104432473,372.234770067
mix_65,318.404421008,192.745860757,185.098470555,318.791219642,507.514909787,268.426031169,335.408344936,895.060539726,372.620342518,859.101428225
mix_66,396.466239407,256.352076307,209.869535068,441.161222075,742.826225626,276.321030029,357.809100598,928.027018969,374.374984031,1129.75464944
mix_67,376.450723789,270.148482773,183.472863286,598.630309284,1144.1260775,246.538245877,408.794597972,1164.90485191,487.984501728,1650.75555516
mix_68,312.725241135,178.085535285,113.493267692,385.919742732,625.999656393,205.38659713,375.711087206,1048.50927007,418.556035023,1072.22087576
mix_69,416.293897209,252.702982461,113.320564146,509.573684613,848.31461527,200.281709575,505.592486476,1332.1469502,543.843387113,1394.8311238
mix_70,260.527578836,153.750490339,132.144939246,297.240728458,413.585359837,218.080941789,355.318660138,950.505315613,385.113406303,781.637758271
mix_71,304.368818369,189.242156439,135.542649033,422.288674347,713.45424509,211.551591472,352.743529989,992.384986481,399.56232448,1139.33284513
mix_72,273.614917189,209.918226067,164.851392635,387.877911114,679.142638169,232.955676201,339.582276241,903.71264509,392.292752203,1071.72450631
mix_73,258.761036904,180.311469371,106.605636523,308.425107257,452.302859718,196.283302232,360.892939164,977.083633976,424.763124127,834.669077668
mix_74,446.01912099,270.767402174,181.773246773,655.355145227,1139.2255722,257.823153171,614.893258967,1617.26267026,756.219178958,1861.66905973
mix_75,377.820671675,246.716368885,178.836444663,391.292035207,621.182994124,252.044748785,473.736146028,1226.90954468,549.472192283,1143.36283508
mix_76,319.808337173,208.908192357,177.215209947,538.068256238,1034.72985359,243.051966861,367.853053571,1030.67893041,449.995885331,1450.08729773
mix_77,408.008349825,255.5896265,156.543400615,523.938658411,939.36912833,237.760795009,489.453794154,1314.52683471,598.816574451,1512.00114071
mix_78,304.154278143,185.101006183,125.312322703,380.244731967,635.813898908,205.95465186,395.179841272,1096.61425354,464.519215534,1067.87310206
mix_79,317.11204557,292.199695463,186.402303887,293.158258994,406.576532933,256.807317307,292.558451779,759.318714224,333.391113682,680.307941709
mix_80,423.160928273,307.02332133,243.041293314,353.914218024,484.129589571,310.878036916,428.946067129,1081.76270689,452.164228688,962.758684819
mix_81,343.960353693,261.658990777,240.766185652,291.895161298,459.727597264,308.497342454,304.610776182,786.985903264,285.298369031,724.514123348
mix_82,209.613346492,113.91795343,125.654524256,194.432823259,268.863972905,202.575236264,199.847513591,489.594169013,147.266905974,365.400116733
mix_83,300.673709635,147.729798587,108.120571617,311.43921459,440.820465486,202.187905895,427.121603072,1095.03742947,481.809483961,891.480965689
mix_84,320.119522787,182.357785292,128.652950996,461.900513819,851.197219974,210.478727561,378.403063659,1045.66302895,444.682382645,1267.9463327
mix_85,303.474540923,186.167990934,173.712477222,352.664220176,581.774816326,250.07533795,301.073239848,834.129213335,341.855170064,878.656466996
mix_86,346.041209886,223.524997068,121.544736714,500.017667518,874.166219095,206.914670406,455.878533921,1228.43167445,541.261815599,1434.6012655
mix_87,498.682008681,345.8031218,267.610685759,852.673498217,1558.06169081,311.311041227,657.323460051,1744.10671172,858.443210011,2391.72373757
mix_88,389.325192146,252.67868133,206.099290831,586.334799918,1051.54056365,276.359727761,509.758590865,1377.65505562,647.583301027,1645.66183428
mix_89,331.642990772,299.726793868,176.988143938,248.298204782,253.488303901,257.22314775,263.525495991,669.752493984,237.801018594,538.638184696
mix_90,435.078820343,231.820241791,180.066313161,770.123330156,1441.50430682,249.299474506,582.484397964,1575.72462761,778.731289406,2162.36120996
mix_91,367.00327801,194.422950945,165.335453134,572.740285445,1061.38374056,243.031309152,475.497725571,1305.38116805,605.772448918,1615.88360539
mix_92,381.772495095,217.899149684,141.498356281,483.299151922,842.004163271,221.046773468,491.539239271,1314.56510684,577.448052259,1421.46655259
mix_93,237.837119472,182.747475729,76.7424052869,247.02247009,317.57136897,170.526673296,287.778900617,726.093304004,259.433770177,569.983261759
mix_94,416.495008167,245.513469445,175.606624946,649.859056583,1168.98454574,244.359375929,575.687690132,1519.57588541,722.211366509,1844.25434965
mix_95,370.523976647,192.268914968,144.319992747,511.502754584,887.879843474,224.347909541,521.989906365,1411.04726727,648.057677005,1480.18618969
mix_96,399.166176715,238.132681806,202.313505345,459.829522027,808.875188075,277.616169194,430.010290298,1163.2346696,503.503043117,1280.12421154
mix_97,481.053654562,290.342441536,243.214816985,616.475921942,1096.02322139,323.388155412,591.559761998,1475.31713735,725.575905115,1785.97791379
mix_98,400.941060818,226.667561874,220.616643015,460.54623801,763.241517504,296.900626013,523.266722593,1353.27168821,628.678908775,1329.41443975
mix_99,331.169226289,241.126430495,145.911083523,233.541133189,303.189106073,236.289386532,265.865518667,601.346209075,216.250184095,489.907215378
mix_100,327.907830133,168.023896028,137.637617158,490.529385007,860.998838972,223.207767858,475.17239964,1287.03695127,561.305421525,1386.29164903
