ID,HPCA_B_cells,HPCA_Monocytes_CD14plusCD16minus,HPCA_NK_cells,HPCA_Neutrophils,HPCA_T_cells_CD4+,HPCA_T_cells_CD8+
9167,7.0813024,8.3364866,7.1093682,8.4610132,7.4909798,7.5087938
9207,7.0131446,8.4865926,7.344753,8.8855848,7.815855,7.8025064
9210,6.948586,7.7929122,7.2050496,7.9527028,8.03735,7.6676214
9222,6.9360408,8.6049226,7.0650544,8.9789312,7.4523576,7.3408696
9228,6.9051498,8.3818012,7.032223,8.6731584,7.1852052,7.2373232
9235,6.9531326,8.4710436,7.3071382,8.8306046,7.5496696,7.5707534
9245,6.6404366,8.1155994,7.0357588,8.5956004,7.3829428,7.3251586
9248,7.0117464,8.104056,7.10056,8.608963,7.3627712,7.40073
9252,6.7765518,8.245411,7.013457,8.510399,7.376959,7.1537336
9270,6.9017026,8.1856348,7.1719992,8.4948016,7.6582312,7.6418286
9277,7.2478028,8.1831868,7.4066258,8.0213222,8.2015252,8.0071056
9307,6.9507394,8.674725,7.0641598,8.9534918,7.6562476,7.4598112
9311,7.058145,8.681675,7.5620594,8.9837562,7.9534268,8.1390326
9313,7.0852804,8.5422228,7.3033378,8.8257438,7.8828904,7.6827874
9315,6.9026574,8.2632934,7.1100004,8.5213764,7.4147786,7.210816
9326,7.2423194,8.503777,7.402781,8.9214608,7.8185572,7.8438688
9338,6.9775624,8.1878318,7.2628082,8.5688762,7.6697222,7.4801402
9346,7.079834,8.3860326,7.1917342,8.6791204,7.5270518,7.55065
9356,6.9313758,8.1317972,7.0996608,8.5046036,7.6613374,7.4853654
9357,6.9888886,8.5303972,7.0974472,8.692133,7.6537084,7.4080154
9370,7.1138406,8.313081,7.628181,8.620802,7.933422,8.2145668
9372,6.791756,8.2257734,7.2435802,8.6666736,7.2806584,7.231539
9376,7.133451,8.5371886,7.3587174,8.854524,7.696872,7.7629838
9387,6.7752536,8.2343686,7.3429712,8.581041,7.656284,7.6979218
9395,7.0430708,8.8862346,7.2369866,9.3618206,7.3522822,7.4343564
9396,6.6946598,8.0559918,7.256955,8.4991938,7.373919,7.6060298
9400,6.7671786,8.5924516,7.2191808,8.8081548,7.5888698,7.4934918
9402,7.2745386,8.0885198,7.3961948,8.3307328,8.1919444,8.050725
9405,7.1136162,8.4055192,7.097391,8.8282798,7.800987,7.67551
9410,6.833894,8.4117452,7.0499686,8.7129484,7.2902976,7.2065752
9419,6.5877084,8.0665902,7.0989348,8.4341342,7.4584898,7.5035668
9449,6.6796692,8.1842266,7.15561,8.5141394,7.2272972,7.2380506
9452,6.4965012,7.857747,6.9959888,8.105335,7.1536438,6.9893292
9453,6.8861172,8.1438024,7.2141188,8.611682,7.743011,7.550049
9466,6.8182966,7.7255638,6.9963968,7.7863468,7.128095,7.2023622
9485,6.8999246,8.4055384,7.2594526,8.8152988,7.7159686,7.7297384
9503,7.153504,8.0512586,7.5566598,8.2400886,7.8019616,7.8586584
9510,6.9491584,8.4082666,7.1838574,8.6871258,7.573356,7.4468018
9521,6.860528,8.1718112,7.1373916,8.325405,7.730157,7.4401214
9532,6.7255306,8.1791816,7.180365,8.4828062,7.7708252,7.52417
9533,6.8769266,8.1099764,7.287212,8.489934,7.643138,7.7232192
9535,6.8719878,7.8770388,7.0622154,8.008782,7.5181312,7.3499408
9539,6.6294788,8.1052468,7.1508078,8.4891216,7.5155012,7.3663296
9560,6.6760764,8.2284596,7.101722,8.5673144,7.3866878,7.1985894
9584,6.727244,8.030475,7.0010444,8.3142352,7.2526518,7.1863416
9596,6.7884316,8.022388,7.2413768,8.3836786,7.5606758,7.669041
9598,6.9806664,8.4468992,7.3529076,8.5471988,7.5588914,7.4984116
9602,7.2672728,8.1977144,7.386163,8.3277502,7.7473132,7.8409836
9604,6.9579416,7.8516278,6.9988362,8.1738566,7.6407976,7.3974398
9605,6.9470164,8.3989088,7.3167536,8.6875764,7.5306946,7.574377
9610,7.0341398,7.933915,7.408895,8.1867254,7.7640066,7.7424462
9619,7.0341764,8.3085568,7.1702532,8.3566858,7.4426054,7.3193816
9622,7.565893,8.1799734,7.0894052,8.3148896,7.4513474,7.331906
9632,6.961144,7.825856,7.2301136,8.0132902,7.7001432,7.5904958
9650,6.9610694,8.2698922,7.5998888,8.2377822,7.842366,7.9824038
9659,7.1260624,8.599529,7.1060524,8.782653,7.6060498,7.5317798
9697,6.9818274,8.4065,7.0493292,8.9023046,7.6701304,7.476723
9698,6.7967872,7.984362,7.242355,8.2533218,7.381978,7.4988942
9703,6.7255852,7.8834942,7.1490816,8.2631898,7.4133172,7.304384
9709,6.8789224,8.3891528,7.3080796,8.5911862,7.4203014,7.3866958
9729,6.6457394,7.9519222,6.798235,8.4459228,7.2150616,7.0312392
9733,6.834763,8.2648466,7.1163662,8.6392508,7.4507514,7.4713606
9743,6.7112742,8.586147,6.9949548,8.8533428,7.085952,7.0617508
9765,6.7933158,8.2496294,7.1810836,8.6393542,7.6633862,7.444047
9769,7.2950182,8.495273,7.4779932,8.685428,7.8626808,7.9290786
9771,7.156731,8.1977802,7.3626732,8.6619858,7.703454,7.6746072
9785,7.1406688,8.3901964,7.479721,8.5900948,7.480597,7.6998954
9786,6.7150056,8.1800586,7.4240066,8.4660078,7.6096266,7.618606
9791,7.3530026,8.3362342,7.3943344,8.6295992,7.9194244,7.9451362
9796,6.8024554,8.3990288,7.114468,8.661425,7.4595236,7.3899674
9802,6.9188198,8.136198,6.8933192,8.334274,7.6084036,7.3947412
9823,7.0159934,8.4170152,7.2046352,8.5799724,7.636145,7.6161006
9824,6.554652,8.0827942,7.1696778,8.4537664,7.4385888,7.4076666
9831,6.769567,8.4059566,7.2836446,8.8235754,7.6198372,7.6303994
9847,7.1923618,8.6194676,7.1953298,9.1060074,7.7028684,7.648094
9863,6.9662196,7.5477228,7.2318794,7.377248,7.9112228,7.6920236
9877,7.00822,8.2666348,7.2497084,8.4503974,7.7677206,7.6657242
9878,6.7000668,7.7161914,7.264666,8.1335644,7.324392,7.6344246
9895,6.7889116,7.9953232,7.0475984,8.0884108,7.202893,7.148415
9904,7.0217612,8.082055,7.398019,8.4185844,7.5936014,7.7106282
9905,7.125564,8.2106352,7.405271,8.1462082,7.5798486,7.7014012
9912,6.859353,8.2660218,7.1764098,8.40317,7.4243574,7.5649024
9927,6.9102256,8.3518088,7.2919816,8.8681242,7.6899532,7.6662132
